gi|493613085|ref|WP_006565388.1|	MULTISPECIES: chromosomal replication initiator protein DnaA [Anaerostipes] 
gi|493613973|ref|WP_006566253.1|	MULTISPECIES: lactate dehydrogenase [Firmicutes] 
gi|493613974|ref|WP_006566254.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613975|ref|WP_006566255.1|	MULTISPECIES: terminase [Firmicutes] 
gi|493613976|ref|WP_006566256.1|	HNH endonuclease [Anaerostipes caccae] 
gi|493613977|ref|WP_006566257.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613978|ref|WP_006566258.1|	MULTISPECIES: DEAD/DEAH box helicase [Firmicutes] 
gi|493613979|ref|WP_006566259.1|	MULTISPECIES: nuclease [Firmicutes] 
gi|493613980|ref|WP_006566260.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613981|ref|WP_006566261.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613982|ref|WP_006566262.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613983|ref|WP_006566263.1|	MULTISPECIES: XRE family transcriptional regulator [Firmicutes] 
gi|493613984|ref|WP_006566264.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613985|ref|WP_006566265.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613986|ref|WP_006566266.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613987|ref|WP_006566267.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613988|ref|WP_006566268.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613989|ref|WP_006566269.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613990|ref|WP_006566270.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613991|ref|WP_006566271.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613992|ref|WP_006566272.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613993|ref|WP_006566273.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613994|ref|WP_006566274.1|	MULTISPECIES: DNA-cytosine methyltransferase [Firmicutes] 
gi|493613995|ref|WP_006566275.1|	MULTISPECIES: DNA-cytosine methyltransferase [Firmicutes] 
gi|493613996|ref|WP_006566276.1|	MULTISPECIES: antitoxin [Firmicutes] 
gi|493613997|ref|WP_006566277.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613998|ref|WP_006566278.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613999|ref|WP_006566279.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614000|ref|WP_006566280.1|	MULTISPECIES: chloramphenicol resistance protein [Anaerostipes] 
gi|493614001|ref|WP_006566281.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614002|ref|WP_006566282.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614003|ref|WP_006566283.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614004|ref|WP_006566284.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614005|ref|WP_006566285.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614006|ref|WP_006566286.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614007|ref|WP_006566287.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614008|ref|WP_006566288.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614009|ref|WP_006566289.1|	MULTISPECIES: phage capsid protein [Anaerostipes] 
gi|493614010|ref|WP_006566290.1|	MULTISPECIES: terminase [Anaerostipes] 
gi|493614011|ref|WP_006566291.1|	phage portal protein [Anaerostipes caccae] 
gi|493614012|ref|WP_006566292.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614013|ref|WP_006566293.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614014|ref|WP_006566294.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614015|ref|WP_006566295.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614016|ref|WP_006566296.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614017|ref|WP_006566297.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614018|ref|WP_006566298.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614019|ref|WP_006566299.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614020|ref|WP_006566300.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614021|ref|WP_006566301.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614022|ref|WP_006566302.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614023|ref|WP_006566303.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614024|ref|WP_006566304.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614025|ref|WP_006566305.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614026|ref|WP_006566306.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614027|ref|WP_006566307.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614028|ref|WP_006566308.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614030|ref|WP_006566309.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614031|ref|WP_006566310.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614032|ref|WP_006566311.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614033|ref|WP_006566312.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614034|ref|WP_006566313.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614035|ref|WP_006566314.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614036|ref|WP_006566315.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614037|ref|WP_006566316.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614038|ref|WP_006566317.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614039|ref|WP_006566318.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614040|ref|WP_006566319.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614041|ref|WP_006566320.1|	MULTISPECIES: DNA-binding protein [Anaerostipes] 
gi|493614042|ref|WP_006566321.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614043|ref|WP_006566322.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614044|ref|WP_006566323.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614045|ref|WP_006566324.1|	integrase [Anaerostipes caccae] 
gi|493614046|ref|WP_006566325.1|	nucleotidyltransferase [Anaerostipes caccae] 
gi|493614047|ref|WP_006566326.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614048|ref|WP_006566327.1|	ATP-binding protein [Anaerostipes caccae] 
gi|493614049|ref|WP_006566328.1|	MULTISPECIES: ribulose-phosphate 3-epimerase [Anaerostipes] 
gi|493614050|ref|WP_006566329.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614051|ref|WP_006566330.1|	PTS sugar transporter [Anaerostipes caccae] 
gi|493614052|ref|WP_006566331.1|	PTS fructose transporter subunit IIB [Anaerostipes caccae] 
gi|493614053|ref|WP_006566332.1|	PTS fructose transporter subunit IIA [Anaerostipes caccae] 
gi|493614054|ref|WP_006566333.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614055|ref|WP_006566334.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614056|ref|WP_006566335.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614057|ref|WP_006566336.1|	xylose isomerase [Anaerostipes caccae] 
gi|493614058|ref|WP_006566337.1|	dihydroxyacetone kinase subunit K [Anaerostipes caccae] 
gi|493614059|ref|WP_006566338.1|	dihydroxyacetone kinase [Anaerostipes caccae] 
gi|493614060|ref|WP_006566339.1|	RpiR family transcriptional regulator [Anaerostipes caccae] 
gi|493614061|ref|WP_006566340.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614062|ref|WP_006566341.1|	aminodeoxychorismate lyase [Anaerostipes caccae] 
gi|493614063|ref|WP_006566342.1|	MULTISPECIES: peptidylprolyl isomerase [Anaerostipes] 
gi|493614064|ref|WP_006566343.1|	haloacid dehalogenase [Anaerostipes caccae] 
gi|493614065|ref|WP_006566344.1|	ATP-dependent Clp protease ATP-binding protein [Anaerostipes caccae] 
gi|493614066|ref|WP_006566345.1|	MULTISPECIES: TetR family transcriptional regulator [Anaerostipes] 
gi|493614067|ref|WP_006566346.1|	permease [Anaerostipes caccae] 
gi|493614068|ref|WP_006566347.1|	XRE family transcriptional regulator [Anaerostipes caccae] 
gi|493614069|ref|WP_006566348.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614070|ref|WP_006566349.1|	spermidine/putrescine ABC transporter ATP-binding protein [Anaerostipes caccae] 
gi|493614072|ref|WP_006566350.1|	MULTISPECIES: ABC transporter permease [Anaerostipes] 
gi|493614073|ref|WP_006566351.1|	diguanylate cyclase [Anaerostipes caccae] 
gi|493614074|ref|WP_006566352.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614075|ref|WP_006566353.1|	histidinol phosphatase [Anaerostipes caccae] 
gi|493614076|ref|WP_006566354.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614077|ref|WP_006566355.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614078|ref|WP_006566356.1|	amino acid transporter LysE [Anaerostipes caccae] 
gi|493614079|ref|WP_006566357.1|	DNA-binding protein [Anaerostipes caccae] 
gi|493614080|ref|WP_006566358.1|	MULTISPECIES: glyoxalase [Anaerostipes] 
gi|493614081|ref|WP_006566359.1|	FAD-dependent oxidoreductase [Anaerostipes caccae] 
gi|493614082|ref|WP_006566360.1|	mannitol dehydrogenase [Anaerostipes caccae] 
gi|493614083|ref|WP_006566361.1|	MULTISPECIES: 3-hexulose-6-phosphate isomerase [Anaerostipes] 
gi|493614084|ref|WP_006566362.1|	MULTISPECIES: 3-hexulose-6-phosphate synthase [Anaerostipes] 
gi|493614085|ref|WP_006566363.1|	mannitol dehydrogenase [Anaerostipes caccae] 
gi|493614086|ref|WP_006566364.1|	MULTISPECIES: PTS mannitol transporter subunit IIA [Anaerostipes] 
gi|493614087|ref|WP_006566365.1|	transcriptional antiterminator [Anaerostipes caccae] 
gi|493614088|ref|WP_006566366.1|	PTS mannitol transporter subunit IIB [Anaerostipes caccae] 
gi|493614089|ref|WP_006566367.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614090|ref|WP_006566368.1|	MULTISPECIES: DeoR family transcriptional regulator [Anaerostipes] 
gi|493614091|ref|WP_006566369.1|	MULTISPECIES: L-sorbose 1-phosphate reductase [Anaerostipes] 
gi|493614092|ref|WP_006566370.1|	methyltransferase type 11 [Anaerostipes caccae] 
gi|493614093|ref|WP_006566371.1|	PTS sugar transporter [Anaerostipes caccae] 
gi|493614094|ref|WP_006566372.1|	DeoR family transcriptional regulator [Anaerostipes caccae] 
gi|493614095|ref|WP_006566373.1|	L-sorbose 1-phosphate reductase [Anaerostipes caccae] 
gi|493614096|ref|WP_006566374.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614097|ref|WP_006566375.1|	MULTISPECIES: CTP synthetase [Anaerostipes] 
gi|493614098|ref|WP_006566376.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614099|ref|WP_006566377.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614100|ref|WP_006566378.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614101|ref|WP_006566379.1|	hypothetical protein partial [Anaerostipes caccae] 
gi|493614103|ref|WP_006566380.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614104|ref|WP_006566381.1|	MULTISPECIES: ribose 5-phosphate isomerase [Anaerostipes] 
gi|493614105|ref|WP_006566382.1|	hydrolase [Anaerostipes caccae] 
gi|493614106|ref|WP_006566383.1|	MULTISPECIES: cupin [Anaerostipes] 
gi|493614107|ref|WP_006566384.1|	PTS sugar transporter [Anaerostipes caccae] 
gi|493614108|ref|WP_006566385.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614109|ref|WP_006566386.1|	PTS sugar transporter [Anaerostipes caccae] 
gi|493614110|ref|WP_006566387.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614111|ref|WP_006566388.1|	PTS sugar transporter [Anaerostipes caccae] 
gi|493614112|ref|WP_006566389.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614113|ref|WP_006566390.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614114|ref|WP_006566391.1|	MULTISPECIES: formamidopyrimidine-DNA glycosylase [Anaerostipes] 
gi|493614115|ref|WP_006566392.1|	resolvase [Anaerostipes caccae] 
gi|493614116|ref|WP_006566393.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614117|ref|WP_006566394.1|	diguanylate cyclase [Anaerostipes caccae] 
gi|493614118|ref|WP_006566395.1|	short-chain dehydrogenase [Anaerostipes caccae] 
gi|493614119|ref|WP_006566396.1|	MULTISPECIES: DtxR family transcriptional regulator [Anaerostipes] 
gi|493614120|ref|WP_006566397.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614121|ref|WP_006566398.1|	MULTISPECIES: ABC transporter ATP-binding protein [Anaerostipes] 
gi|493614122|ref|WP_006566399.1|	MULTISPECIES: flavodoxin [Anaerostipes] 
gi|493614123|ref|WP_006566400.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614124|ref|WP_006566401.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614125|ref|WP_006566402.1|	exonuclease SbcC [Anaerostipes caccae] 
gi|493614126|ref|WP_006566403.1|	nuclease [Anaerostipes caccae] 
gi|493614127|ref|WP_006566404.1|	MULTISPECIES: haloacid dehalogenase [Anaerostipes] 
gi|493614128|ref|WP_006566405.1|	single-stranded DNA exonuclease [Anaerostipes caccae] 
gi|493614129|ref|WP_006566406.1|	preprotein translocase subunit SecD [Anaerostipes caccae] 
gi|493614130|ref|WP_006566407.1|	radical SAM protein [Anaerostipes caccae] 
gi|493614131|ref|WP_006566408.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614132|ref|WP_006566409.1|	histidinol phosphatase [Anaerostipes caccae] 
gi|493614133|ref|WP_006566410.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493614134|ref|WP_006566411.1|	methionine synthase [Anaerostipes caccae] 
gi|493614135|ref|WP_006566412.1|	preprotein translocase subunit YajC [Anaerostipes caccae] 
gi|493614136|ref|WP_006566413.1|	queuine tRNA-ribosyltransferase [Anaerostipes caccae] 
gi|493614137|ref|WP_006566414.1|	MULTISPECIES: chorismate synthase [Anaerostipes] 
gi|493614138|ref|WP_006566415.1|	S1 RNA binding domain protein [Anaerostipes caccae] 
gi|493614139|ref|WP_006566416.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614140|ref|WP_006566417.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614141|ref|WP_006566418.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614142|ref|WP_006566419.1|	MULTISPECIES: GntR family transcriptional regulator [Anaerostipes] 
gi|493614143|ref|WP_006566420.1|	ABC transporter [Anaerostipes caccae] 
gi|493614144|ref|WP_006566421.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614145|ref|WP_006566422.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493614146|ref|WP_006566423.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614147|ref|WP_006566424.1|	RNA polymerase subunit sigma-24 [Anaerostipes caccae] 
gi|493614148|ref|WP_006566425.1|	threonine synthase [Anaerostipes caccae] 
gi|493614149|ref|WP_006566426.1|	amidohydrolase [Anaerostipes caccae] 
gi|493614150|ref|WP_006566427.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614151|ref|WP_006566428.1|	phosphoglycerate mutase [Anaerostipes caccae] 
gi|493614152|ref|WP_006566429.1|	MULTISPECIES: thioesterase [Anaerostipes] 
gi|493614153|ref|WP_006566430.1|	membrane protein [Anaerostipes caccae] 
gi|493614154|ref|WP_006566431.1|	MULTISPECIES: phospho-2-dehydro-3-deoxyheptonate aldolase [Anaerostipes] 
gi|493614155|ref|WP_006566432.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614156|ref|WP_006566433.1|	NUDIX hydrolase [Anaerostipes caccae] 
gi|493614157|ref|WP_006566434.1|	mannitol dehydrogenase [Anaerostipes caccae] 
gi|493614158|ref|WP_006566435.1|	MULTISPECIES: DeoR family transcriptional regulator [Anaerostipes] 
gi|493614159|ref|WP_006566436.1|	MULTISPECIES: PTS sugar transporter [Anaerostipes] 
gi|493614160|ref|WP_006566437.1|	sorbitol-6-phosphate 2-dehydrogenase [Anaerostipes caccae] 
gi|493614162|ref|WP_006566438.1|	MULTISPECIES: ribonuclease [Anaerostipes] 
gi|493614163|ref|WP_006566439.1|	cyclomaltodextrinase [Anaerostipes caccae] 
gi|493614164|ref|WP_006566440.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614165|ref|WP_006566441.1|	MULTISPECIES: macrolide ABC transporter ATP-binding protein [Anaerostipes] 
gi|493614166|ref|WP_006566442.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614167|ref|WP_006566443.1|	AraC family transcriptional regulator [Anaerostipes caccae] 
gi|493614168|ref|WP_006566444.1|	glyoxalase [Anaerostipes caccae] 
gi|493614169|ref|WP_006566445.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614170|ref|WP_006566446.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614171|ref|WP_006566447.1|	dihydroorotate dehydrogenase [Anaerostipes caccae] 
gi|493614172|ref|WP_006566448.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614173|ref|WP_006566449.1|	chromosome condensation protein CrcB [Anaerostipes caccae] 
gi|493614174|ref|WP_006566450.1|	MULTISPECIES: carbonate dehydratase [Anaerostipes] 
gi|493614175|ref|WP_006566451.1|	MULTISPECIES: prolyl-tRNA synthetase [Anaerostipes] 
gi|493614176|ref|WP_006566452.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614177|ref|WP_006566453.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614178|ref|WP_006566454.1|	cyclic nucleotide-binding protein [Anaerostipes caccae] 
gi|493614179|ref|WP_006566455.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614180|ref|WP_006566456.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614181|ref|WP_006566457.1|	ATPase [Anaerostipes caccae] 
gi|493614182|ref|WP_006566458.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614183|ref|WP_006566459.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614184|ref|WP_006566460.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614185|ref|WP_006566461.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614186|ref|WP_006566462.1|	membrane protein [Anaerostipes caccae] 
gi|493614187|ref|WP_006566463.1|	MULTISPECIES: multidrug transporter [Anaerostipes] 
gi|493614188|ref|WP_006566464.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614189|ref|WP_006566465.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614190|ref|WP_006566466.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614191|ref|WP_006566467.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614192|ref|WP_006566468.1|	2-hydroxy-acid oxidase [Anaerostipes caccae] 
gi|493614193|ref|WP_006566469.1|	MULTISPECIES: methionine ABC transporter permease [Anaerostipes] 
gi|493614194|ref|WP_006566470.1|	MULTISPECIES: ABC transporter ATP-binding protein [Anaerostipes] 
gi|493614195|ref|WP_006566471.1|	methionine ABC transporter ATPase [Anaerostipes caccae] 
gi|493614196|ref|WP_006566472.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614197|ref|WP_006566473.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614198|ref|WP_006566474.1|	MULTISPECIES: glyoxalase [Anaerostipes] 
gi|493614199|ref|WP_006566475.1|	DeoR family transcriptional regulator [Anaerostipes caccae] 
gi|493614200|ref|WP_006566476.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614201|ref|WP_006566477.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614202|ref|WP_006566478.1|	nitroreductase [Anaerostipes caccae] 
gi|493614203|ref|WP_006566479.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614204|ref|WP_006566480.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614205|ref|WP_006566481.1|	MULTISPECIES: asparagine synthase [Anaerostipes] 
gi|493614206|ref|WP_006566482.1|	MULTISPECIES: dipicolinate synthase [Anaerostipes] 
gi|493614207|ref|WP_006566483.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614208|ref|WP_006566484.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614209|ref|WP_006566485.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493614210|ref|WP_006566486.1|	MULTISPECIES: hisitidine kinase [Anaerostipes] 
gi|493614212|ref|WP_006566487.1|	hypothetical protein [Anaerostipes caccae] 
gi|493614213|ref|WP_006566488.1|	UDP-glucose 4-epimerase [Anaerostipes caccae] 
gi|493614214|ref|WP_006566489.1|	UDP-galactose 4-epimerase [Anaerostipes caccae] 
gi|493614215|ref|WP_006566490.1|	galactose-1-phosphate uridylyltransferase [Anaerostipes caccae] 
gi|493614216|ref|WP_006566491.1|	aldose 1-epimerase [Anaerostipes caccae] 
