gi|491802668|ref|WP_005608258.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491805325|ref|WP_005609855.1|	sodium:proton antiporter [Ruminococcus lactaris] 
gi|491805328|ref|WP_005609857.1|	peptidase [Ruminococcus lactaris] 
gi|491805331|ref|WP_005609859.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805334|ref|WP_005609861.1|	zinc ribbon NADH pyrophosphatase [Ruminococcus lactaris] 
gi|491805336|ref|WP_005609862.1|	maltodextrin glucosidase [Ruminococcus lactaris] 
gi|491805339|ref|WP_005609864.1|	MULTISPECIES: 50S ribosomal protein L13 [Ruminococcus] 
gi|491805341|ref|WP_005609865.1|	30S ribosomal protein S9 [Ruminococcus lactaris] 
gi|491805343|ref|WP_005609866.1|	K+-dependent Na+/Ca+ exchanger [Ruminococcus lactaris] 
gi|491805345|ref|WP_005609867.1|	DNA invertase [Ruminococcus lactaris] 
gi|491805348|ref|WP_005609868.1|	transposase [Ruminococcus lactaris] 
gi|491805351|ref|WP_005609869.1|	L-glyceraldehyde 3-phosphate reductase [Ruminococcus lactaris] 
gi|491805353|ref|WP_005609870.1|	S-ribosylhomocysteinase [Ruminococcus lactaris] 
gi|491805356|ref|WP_005609872.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805358|ref|WP_005609873.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805360|ref|WP_005609874.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805362|ref|WP_005609875.1|	1-acyl-sn-glycerol-3-phosphate acyltransferase [Ruminococcus lactaris] 
gi|491805366|ref|WP_005609878.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805369|ref|WP_005609880.1|	peptidoglycan-binding protein [Ruminococcus lactaris] 
gi|491805371|ref|WP_005609881.1|	4-diphosphocytidyl-2C-methyl-D-erythritol kinase [Ruminococcus lactaris] 
gi|491805373|ref|WP_005609882.1|	GntR family transcriptional regulator [Ruminococcus lactaris] 
gi|491805375|ref|WP_005609883.1|	stage II sporulation protein R [Ruminococcus lactaris] 
gi|491805377|ref|WP_005609884.1|	cation diffusion facilitator family transporter [Ruminococcus lactaris] 
gi|491805380|ref|WP_005609885.1|	acyl-ACP thioesterase [Ruminococcus lactaris] 
gi|491805382|ref|WP_005609886.1|	ABC transporter [Ruminococcus lactaris] 
gi|491805384|ref|WP_005609887.1|	ABC transporter [Ruminococcus lactaris] 
gi|491805387|ref|WP_005609888.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805389|ref|WP_005609889.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805391|ref|WP_005609890.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805394|ref|WP_005609892.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805396|ref|WP_005609893.1|	molecular chaperone DnaJ [Ruminococcus lactaris] 
gi|491805398|ref|WP_005609894.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805401|ref|WP_005609896.1|	translation elongation factor G [Ruminococcus lactaris] 
gi|491805404|ref|WP_005609898.1|	chemotaxis protein CheY [Ruminococcus lactaris] 
gi|491805406|ref|WP_005609899.1|	histidine kinase [Ruminococcus lactaris] 
gi|491805408|ref|WP_005609900.1|	ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491805410|ref|WP_005609901.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805414|ref|WP_005609903.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805416|ref|WP_005609904.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805419|ref|WP_005609906.1|	orotidine 5'-phosphate decarboxylase [Ruminococcus lactaris] 
gi|491805421|ref|WP_005609907.1|	dihydroorotate dehydrogenase [Ruminococcus lactaris] 
gi|491805424|ref|WP_005609909.1|	diguanylate cyclase [Ruminococcus lactaris] 
gi|491805428|ref|WP_005609912.1|	orotate phosphoribosyltransferase [Ruminococcus lactaris] 
gi|491805433|ref|WP_005609915.1|	cytochrome C biosynthesis protein [Ruminococcus lactaris] 
gi|491805441|ref|WP_005609920.1|	membrane protein [Ruminococcus lactaris] 
gi|491805445|ref|WP_005609923.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805450|ref|WP_005609926.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805452|ref|WP_005609927.1|	N5-carboxyaminoimidazole ribonucleotide mutase [Ruminococcus lactaris] 
gi|491805458|ref|WP_005609931.1|	phosphoribosylaminoimidazole synthetase [Ruminococcus lactaris] 
gi|491805463|ref|WP_005609934.1|	phosphoribosylglycinamide formyltransferase [Ruminococcus lactaris] 
gi|491805466|ref|WP_005609936.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805468|ref|WP_005609937.1|	phosphoribosylamine--glycine ligase [Ruminococcus lactaris] 
gi|491805488|ref|WP_005609944.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805490|ref|WP_005609945.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805492|ref|WP_005609946.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805494|ref|WP_005609947.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805496|ref|WP_005609948.1|	DNA-binding protein [Ruminococcus lactaris] 
gi|491805500|ref|WP_005609950.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805503|ref|WP_005609952.1|	capsular polysaccharide phosphotransferase [Ruminococcus lactaris] 
gi|491805505|ref|WP_005609953.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805507|ref|WP_005609954.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805509|ref|WP_005609955.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805512|ref|WP_005609956.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805514|ref|WP_005609957.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491805524|ref|WP_005609959.1|	thiamine biosynthesis lipoprotein ApbE [Ruminococcus lactaris] 
gi|491805527|ref|WP_005609960.1|	membrane protein [Ruminococcus lactaris] 
gi|491805530|ref|WP_005609962.1|	heptaprenyl diphosphate synthase subunit I [Ruminococcus lactaris] 
gi|491805533|ref|WP_005609963.1|	Holliday junction DNA helicase RuvA [Ruminococcus lactaris] 
gi|491805536|ref|WP_005609965.1|	Holliday junction DNA helicase RuvB [Ruminococcus lactaris] 
gi|491805538|ref|WP_005609966.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491805541|ref|WP_005609968.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805543|ref|WP_005609969.1|	cell division protein FtsW [Ruminococcus lactaris] 
gi|491805545|ref|WP_005609970.1|	peptidoglycan glycosyltransferase [Ruminococcus lactaris] 
gi|491805547|ref|WP_005609971.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805550|ref|WP_005609972.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805552|ref|WP_005609973.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805554|ref|WP_005609974.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805556|ref|WP_005609975.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805558|ref|WP_005609976.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805561|ref|WP_005609978.1|	ATP-dependent DNA helicase RecG [Ruminococcus lactaris] 
gi|491805564|ref|WP_005609979.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805568|ref|WP_005609981.1|	spore protein [Ruminococcus lactaris] 
gi|491805570|ref|WP_005609982.1|	methyltransferase [Ruminococcus lactaris] 
gi|491805573|ref|WP_005609984.1|	phosphopantetheine adenylyltransferase [Ruminococcus lactaris] 
gi|491805575|ref|WP_005609985.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805578|ref|WP_005609987.1|	transporter [Ruminococcus lactaris] 
gi|491805580|ref|WP_005609988.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805582|ref|WP_005609989.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805587|ref|WP_005609992.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805591|ref|WP_005609995.1|	SAM-dependent methyltransferase [Ruminococcus lactaris] 
gi|491805794|ref|WP_005609996.1|	RNA pseudouridine synthase [Ruminococcus lactaris] 
gi|491805797|ref|WP_005609998.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805800|ref|WP_005609999.1|	short-chain dehydrogenase [Ruminococcus lactaris] 
gi|491805802|ref|WP_005610000.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805805|ref|WP_005610001.1|	pseudouridine synthase [Ruminococcus lactaris] 
gi|491805807|ref|WP_005610002.1|	endonuclease [Ruminococcus lactaris] 
gi|491805811|ref|WP_005610005.1|	histidyl-tRNA synthetase [Ruminococcus lactaris] 
gi|491805816|ref|WP_005610008.1|	ATP phosphoribosyltransferase [Ruminococcus lactaris] 
gi|491805819|ref|WP_005610010.1|	histidinol dehydrogenase [Ruminococcus lactaris] 
gi|491805822|ref|WP_005610012.1|	imidazoleglycerol-phosphate dehydratase [Ruminococcus lactaris] 
gi|491805823|ref|WP_005610013.1|	imidazole glycerol phosphate synthase [Ruminococcus lactaris] 
gi|491805824|ref|WP_005610014.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805825|ref|WP_005610015.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805826|ref|WP_005610016.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805832|ref|WP_005610020.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805835|ref|WP_005610021.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805839|ref|WP_005610023.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805843|ref|WP_005610025.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805845|ref|WP_005610026.1|	Fe-S oxidoreductase [Ruminococcus lactaris] 
gi|491805847|ref|WP_005610027.1|	Fe-S oxidoreductase [Ruminococcus lactaris] 
gi|491805849|ref|WP_005610028.1|	ribonuclease [Ruminococcus lactaris] 
gi|491805851|ref|WP_005610029.1|	prolyl-tRNA synthetase [Ruminococcus lactaris] 
gi|491805852|ref|WP_005610030.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805855|ref|WP_005610032.1|	aspartate kinase [Ruminococcus lactaris] 
gi|491805859|ref|WP_005610034.1|	membrane protein [Ruminococcus lactaris] 
gi|491805862|ref|WP_005610036.1|	50S ribosomal protein L21 [Ruminococcus lactaris] 
gi|491805865|ref|WP_005610038.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805867|ref|WP_005610039.1|	50S ribosomal protein L27 [Ruminococcus lactaris] 
gi|491805869|ref|WP_005610040.1|	GTPase [Ruminococcus lactaris] 
gi|491805870|ref|WP_005610041.1|	RNA-binding protein [Ruminococcus lactaris] 
gi|491805871|ref|WP_005610042.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805872|ref|WP_005610043.1|	phosphodiesterase [Ruminococcus lactaris] 
gi|491805873|ref|WP_005610044.1|	ribosome-associated protein IOJAP [Ruminococcus lactaris] 
gi|491805874|ref|WP_005610045.1|	ArsR family transcriptional regulator [Ruminococcus lactaris] 
gi|491805875|ref|WP_005610046.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805876|ref|WP_005610047.1|	integrase [Ruminococcus lactaris] 
gi|491805877|ref|WP_005610048.1|	cytidylate kinase [Ruminococcus lactaris] 
gi|491805879|ref|WP_005610050.1|	RNA pseudouridine synthase [Ruminococcus lactaris] 
gi|491805882|ref|WP_005610052.1|	peptidase A8 [Ruminococcus lactaris] 
gi|491805885|ref|WP_005610054.1|	RNA-binding protein [Ruminococcus lactaris] 
gi|491805889|ref|WP_005610057.1|	cell division protein SepF [Ruminococcus lactaris] 
gi|491805891|ref|WP_005610058.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805895|ref|WP_005610060.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805899|ref|WP_005610061.1|	membrane protein [Ruminococcus lactaris] 
gi|491805902|ref|WP_005610062.1|	D-Ala-D-Ala carboxypeptidase [Ruminococcus lactaris] 
gi|491805904|ref|WP_005610063.1|	methylglyoxal synthase [Ruminococcus lactaris] 
gi|491805906|ref|WP_005610064.1|	rod shape-determining protein RodA [Ruminococcus lactaris] 
gi|491805909|ref|WP_005610066.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805911|ref|WP_005610067.1|	septum site-determining protein MinD [Ruminococcus lactaris] 
gi|491805914|ref|WP_005610069.1|	septum formation inhibitor [Ruminococcus lactaris] 
gi|491805917|ref|WP_005610071.1|	penicillin-binding protein [Ruminococcus lactaris] 
gi|491805920|ref|WP_005610073.1|	rod shape-determining protein MreD [Ruminococcus lactaris] 
gi|491805922|ref|WP_005610074.1|	rod shape-determining protein MreC [Ruminococcus lactaris] 
gi|491805924|ref|WP_005610075.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805926|ref|WP_005610076.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805928|ref|WP_005610077.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805930|ref|WP_005610078.1|	pyridine nucleotide-disulfide oxidoreductase [Ruminococcus lactaris] 
gi|491805932|ref|WP_005610079.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805935|ref|WP_005610081.1|	tRNA delta(2)-isopentenylpyrophosphate transferase [Ruminococcus lactaris] 
gi|491805937|ref|WP_005610082.1|	DNA mismatch repair protein MutL [Ruminococcus lactaris] 
gi|491805939|ref|WP_005610083.1|	DNA mismatch repair protein MutS [Ruminococcus lactaris] 
gi|491805942|ref|WP_005610084.1|	1-deoxy-D-xylulose-5-phosphate synthase [Ruminococcus lactaris] 
gi|491805946|ref|WP_005610086.1|	transcriptional regulator [Ruminococcus lactaris] 
gi|491805948|ref|WP_005610088.1|	DNA damage-inducible protein [Ruminococcus lactaris] 
gi|491805950|ref|WP_005610089.1|	macrolide ABC transporter permease [Ruminococcus lactaris] 
gi|491805953|ref|WP_005610091.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805956|ref|WP_005610092.1|	macrolide ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491805958|ref|WP_005610093.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805961|ref|WP_005610094.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805963|ref|WP_005610095.1|	threonyl-tRNA synthase [Ruminococcus lactaris] 
gi|491805965|ref|WP_005610096.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805968|ref|WP_005610098.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805970|ref|WP_005610099.1|	aspartate aminotransferase [Ruminococcus lactaris] 
gi|491805973|ref|WP_005610101.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805975|ref|WP_005610102.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805977|ref|WP_005610103.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805979|ref|WP_005610104.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805981|ref|WP_005610105.1|	cell dividion protein FtsZ [Ruminococcus lactaris] 
gi|491805983|ref|WP_005610106.1|	molecular chaperone [Ruminococcus lactaris] 
gi|491805985|ref|WP_005610107.1|	ATP-dependent Lon protease [Ruminococcus lactaris] 
gi|491805988|ref|WP_005610109.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805990|ref|WP_005610110.1|	ATPase P [Ruminococcus lactaris] 
gi|491805992|ref|WP_005610111.1|	cell division protein FtsH [Ruminococcus lactaris] 
gi|491805996|ref|WP_005610113.1|	ATPase [Ruminococcus lactaris] 
gi|491806000|ref|WP_005610115.1|	glutamate dehydrogenase [Ruminococcus lactaris] 
gi|490155554|ref|WP_004054229.1|	MULTISPECIES: 30S ribosomal protein S21 [Bacteria] 
gi|491806004|ref|WP_005610117.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491806007|ref|WP_005610119.1|	alanyl-tRNA synthase [Ruminococcus lactaris] 
gi|491806013|ref|WP_005610123.1|	homocysteine methyltransferase [Ruminococcus lactaris] 
gi|491806017|ref|WP_005610126.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491806022|ref|WP_005610129.1|	5,10-methylenetetrahydrofolate reductase [Ruminococcus lactaris] 
gi|491806026|ref|WP_005610132.1|	glycogen synthase [Ruminococcus lactaris] 
gi|491806031|ref|WP_005610135.1|	sporulation protein [Ruminococcus lactaris] 
gi|491806035|ref|WP_005610138.1|	stage IV sporulation protein B [Ruminococcus lactaris] 
gi|491806040|ref|WP_005610142.1|	DNA repair protein RecN [Ruminococcus lactaris] 
gi|491806045|ref|WP_005610144.1|	arginine repressor ArgR [Ruminococcus lactaris] 
gi|491806047|ref|WP_005610145.1|	inorganic polyphosphate/ATP-NAD kinase [Ruminococcus lactaris] 
gi|491806051|ref|WP_005610147.1|	RNA methyltransferase [Ruminococcus lactaris] 
gi|491806054|ref|WP_005610149.1|	1-deoxy-D-xylulose-5-phosphate synthase [Ruminococcus lactaris] 
gi|491806057|ref|WP_005610151.1|	farnesyl-diphosphate synthase [Ruminococcus lactaris] 
gi|491806060|ref|WP_005610153.1|	exodeoxyribonuclease VII [Ruminococcus lactaris] 
gi|491806062|ref|WP_005610155.1|	exodeoxyribonuclease VII [Ruminococcus lactaris] 
gi|491806066|ref|WP_005610157.1|	transcription antitermination protein NusB [Ruminococcus lactaris] 
gi|491806070|ref|WP_005610159.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491806072|ref|WP_005610160.1|	peptide chain release factor 3 [Ruminococcus lactaris] 
gi|491806074|ref|WP_005610161.1|	stage III sporulation protein AH [Ruminococcus lactaris] 
gi|491806077|ref|WP_005610163.1|	stage III sporulation protein AG [Ruminococcus lactaris] 
gi|491806079|ref|WP_005610164.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491806081|ref|WP_005610165.1|	stage III sporulation protein AF [Ruminococcus lactaris] 
gi|491806084|ref|WP_005610167.1|	stage III sporulation protein AD [Ruminococcus lactaris] 
gi|491806087|ref|WP_005610168.1|	stage III sporulation protein AC [Ruminococcus lactaris] 
gi|491806089|ref|WP_005610169.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491806091|ref|WP_005610170.1|	stage III sporulation protein AA [Ruminococcus lactaris] 
gi|491806093|ref|WP_005610171.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491806095|ref|WP_005610172.1|	polyribonucleotide nucleotidyltransferase [Ruminococcus lactaris] 
gi|491806097|ref|WP_005610173.1|	3-phosphoglycerate dehydrogenase [Ruminococcus lactaris] 
gi|491806100|ref|WP_005610174.1|	MFS transporter [Ruminococcus lactaris] 
gi|491806102|ref|WP_005610175.1|	acetolactate synthase [Ruminococcus lactaris] 
gi|491806104|ref|WP_005610177.1|	dihydroxy-acid dehydratase [Ruminococcus lactaris] 
gi|491806106|ref|WP_005610178.1|	3-isopropylmalate dehydrogenase [Ruminococcus lactaris] 
gi|491806109|ref|WP_005610180.1|	preprotein translocase subunit YajC [Ruminococcus lactaris] 
gi|491806111|ref|WP_005610181.1|	queuine tRNA-ribosyltransferase [Ruminococcus lactaris] 
gi|491806113|ref|WP_005610182.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491806116|ref|WP_005610184.1|	chorismate synthase [Ruminococcus lactaris] 
gi|491806120|ref|WP_005610186.1|	spermidine/putrescine ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491806122|ref|WP_005610187.1|	ABC transporter permease [Ruminococcus lactaris] 
gi|491806124|ref|WP_005610188.1|	ornithine carbamoyltransferase [Ruminococcus lactaris] 
gi|491806126|ref|WP_005610189.1|	ATPase AAA [Ruminococcus lactaris] 
gi|491806129|ref|WP_005610191.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491806131|ref|WP_005610192.1|	SAM-dependent methyltransferase [Ruminococcus lactaris] 
gi|491806134|ref|WP_005610194.1|	RNA polymerase sigma factor RpoD [Ruminococcus lactaris] 
gi|491806136|ref|WP_005610195.1|	DNA primase [Ruminococcus lactaris] 
gi|491806139|ref|WP_005610197.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491806142|ref|WP_005610199.1|	50S ribosomal protein L20 [Ruminococcus lactaris] 
gi|491806144|ref|WP_005610200.1|	50S ribosomal protein L35 [Ruminococcus lactaris] 
gi|491806147|ref|WP_005610202.1|	translation initiation factor IF-3 [Ruminococcus lactaris] 
gi|491806150|ref|WP_005610204.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491806152|ref|WP_005610205.1|	resolvase [Ruminococcus lactaris] 
gi|488263605|ref|WP_002334813.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|491806170|ref|WP_005610211.1|	recombinase [Ruminococcus lactaris] 
