gi|493773704|ref|WP_006722204.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775338|ref|WP_006723814.1|	magnesium transporter MgtE [Collinsella intestinalis] 
gi|493775339|ref|WP_006723815.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775340|ref|WP_006723816.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775341|ref|WP_006723817.1|	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [Collinsella intestinalis] 
gi|493775342|ref|WP_006723818.1|	carbon starvation protein CstA [Collinsella intestinalis] 
gi|493775343|ref|WP_006723819.1|	pyrroline-5-carboxylate reductase [Collinsella intestinalis] 
gi|493775344|ref|WP_006723820.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775345|ref|WP_006723821.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775346|ref|WP_006723822.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775347|ref|WP_006723823.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775348|ref|WP_006723824.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775349|ref|WP_006723825.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775350|ref|WP_006723826.1|	ribonucleoside triphosphate reductase [Collinsella intestinalis] 
gi|493775351|ref|WP_006723827.1|	ribonucleotide-diphosphate reductase subunit beta [Collinsella intestinalis] 
gi|493775352|ref|WP_006723828.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775353|ref|WP_006723829.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775354|ref|WP_006723830.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775355|ref|WP_006723831.1|	GTP-binding protein [Collinsella intestinalis] 
gi|493775356|ref|WP_006723832.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775357|ref|WP_006723833.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775358|ref|WP_006723834.1|	arginine ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493775359|ref|WP_006723835.1|	polar amino acid ABC transporter permease [Collinsella intestinalis] 
gi|493775360|ref|WP_006723836.1|	ABC transporter substrate-binding protein [Collinsella intestinalis] 
gi|493775361|ref|WP_006723837.1|	23S rRNA methyltransferase [Collinsella intestinalis] 
gi|493775362|ref|WP_006723838.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775363|ref|WP_006723839.1|	phosphoesterase [Collinsella intestinalis] 
gi|493775364|ref|WP_006723840.1|	membrane protein [Collinsella intestinalis] 
gi|493775365|ref|WP_006723841.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775366|ref|WP_006723842.1|	cell division protein FtsH [Collinsella intestinalis] 
gi|493775367|ref|WP_006723843.1|	hypoxanthine phosphoribosyltransferase [Collinsella intestinalis] 
gi|493775368|ref|WP_006723844.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775369|ref|WP_006723845.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775370|ref|WP_006723846.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775371|ref|WP_006723847.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775372|ref|WP_006723848.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775373|ref|WP_006723849.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775374|ref|WP_006723850.1|	MFS transporter [Collinsella intestinalis] 
gi|493775375|ref|WP_006723851.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775376|ref|WP_006723852.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775377|ref|WP_006723853.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775378|ref|WP_006723854.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775379|ref|WP_006723855.1|	heat shock protein Hsp20 [Collinsella intestinalis] 
gi|493775380|ref|WP_006723856.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775381|ref|WP_006723857.1|	amino acid ABC transporter permease [Collinsella intestinalis] 
gi|493775382|ref|WP_006723858.1|	glutamine ABC transporter permease [Collinsella intestinalis] 
gi|493775383|ref|WP_006723859.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775384|ref|WP_006723860.1|	ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493775385|ref|WP_006723861.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775386|ref|WP_006723862.1|	4Fe-4S ferredoxin [Collinsella intestinalis] 
gi|493775387|ref|WP_006723863.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775388|ref|WP_006723864.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775389|ref|WP_006723865.1|	lactamase [Collinsella intestinalis] 
gi|493775390|ref|WP_006723866.1|	seryl-tRNA synthetase [Collinsella intestinalis] 
gi|493775391|ref|WP_006723867.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775392|ref|WP_006723868.1|	glycoprotease [Collinsella intestinalis] 
gi|493775393|ref|WP_006723869.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775394|ref|WP_006723870.1|	DNA polymerase [Collinsella intestinalis] 
gi|493775395|ref|WP_006723871.1|	alanine racemase [Collinsella intestinalis] 
gi|493775396|ref|WP_006723872.1|	carbohydrate kinase [Collinsella intestinalis] 
gi|493775397|ref|WP_006723873.1|	ACP synthase [Collinsella intestinalis] 
gi|493775398|ref|WP_006723874.1|	hypothetical protein [Collinsella intestinalis] 
gi|493772480|ref|WP_006720998.1|	MULTISPECIES: 50S ribosomal protein L20 [Collinsella] 
gi|493775399|ref|WP_006723875.1|	50S ribosomal protein L35 [Collinsella intestinalis] 
gi|493775400|ref|WP_006723876.1|	translation initiation factor IF-3 [Collinsella intestinalis] 
gi|493775401|ref|WP_006723877.1|	fructose-bisphosphate aldolase [Collinsella intestinalis] 
gi|493775402|ref|WP_006723878.1|	beta-lactamase [Collinsella intestinalis] 
gi|493775403|ref|WP_006723879.1|	GTP pyrophosphokinase [Collinsella intestinalis] 
gi|493775404|ref|WP_006723880.1|	single-stranded DNA exonuclease RecJ [Collinsella intestinalis] 
gi|493775405|ref|WP_006723881.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775406|ref|WP_006723882.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775407|ref|WP_006723883.1|	amino acid ABC transporter ATPase [Collinsella intestinalis] 
gi|493775408|ref|WP_006723884.1|	ABC transporter [Collinsella intestinalis] 
gi|493775409|ref|WP_006723885.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775410|ref|WP_006723886.1|	ABC transporter permease [Collinsella intestinalis] 
gi|493775411|ref|WP_006723887.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775412|ref|WP_006723888.1|	homoserine dehydrogenase [Collinsella intestinalis] 
gi|493775413|ref|WP_006723889.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775414|ref|WP_006723890.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775417|ref|WP_006723892.1|	ATP-dependent helicase [Collinsella intestinalis] 
gi|493775418|ref|WP_006723893.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775419|ref|WP_006723894.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775420|ref|WP_006723895.1|	histone acetyltransferase [Collinsella intestinalis] 
gi|493775421|ref|WP_006723896.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775422|ref|WP_006723897.1|	methyltransferase [Collinsella intestinalis] 
gi|493775423|ref|WP_006723898.1|	DEAD/DEAH box helicase [Collinsella intestinalis] 
gi|493775424|ref|WP_006723899.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775425|ref|WP_006723900.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775426|ref|WP_006723901.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775427|ref|WP_006723902.1|	dinitrogenase iron-molybdenum cofactor biosynthesis protein [Collinsella intestinalis] 
gi|493775428|ref|WP_006723903.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775429|ref|WP_006723904.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775430|ref|WP_006723905.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775431|ref|WP_006723906.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775432|ref|WP_006723907.1|	ABC transporter [Collinsella intestinalis] 
gi|493775433|ref|WP_006723908.1|	toxin RelE [Collinsella intestinalis] 
gi|493775434|ref|WP_006723909.1|	XRE family transcriptional regulator [Collinsella intestinalis] 
gi|493775435|ref|WP_006723910.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775436|ref|WP_006723911.1|	GMP synthase [Collinsella intestinalis] 
gi|493775437|ref|WP_006723912.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775438|ref|WP_006723913.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775439|ref|WP_006723914.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775440|ref|WP_006723915.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775441|ref|WP_006723916.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775442|ref|WP_006723917.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775443|ref|WP_006723918.1|	DNA methyltransferase [Collinsella intestinalis] 
gi|493775444|ref|WP_006723919.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775445|ref|WP_006723920.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775446|ref|WP_006723921.1|	DNA mismatch repair protein MutT [Collinsella intestinalis] 
gi|493775447|ref|WP_006723922.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775448|ref|WP_006723923.1|	amidase [Collinsella intestinalis] 
gi|493775449|ref|WP_006723924.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775450|ref|WP_006723925.1|	rubrerythrin [Collinsella intestinalis] 
gi|493775451|ref|WP_006723926.1|	phosphohydrolase [Collinsella intestinalis] 
gi|493775452|ref|WP_006723927.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775453|ref|WP_006723928.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775454|ref|WP_006723929.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775455|ref|WP_006723930.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775456|ref|WP_006723931.1|	CoA activase [Collinsella intestinalis] 
gi|493775457|ref|WP_006723932.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775458|ref|WP_006723933.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775459|ref|WP_006723934.1|	GTP-binding protein [Collinsella intestinalis] 
gi|493775460|ref|WP_006723935.1|	membrane protein [Collinsella intestinalis] 
gi|493775461|ref|WP_006723936.1|	ABC transporter substrate-binding protein [Collinsella intestinalis] 
gi|493775462|ref|WP_006723937.1|	methionine ABC transporter permease [Collinsella intestinalis] 
gi|493775463|ref|WP_006723938.1|	ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493775464|ref|WP_006723939.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775465|ref|WP_006723940.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775466|ref|WP_006723941.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775467|ref|WP_006723942.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775468|ref|WP_006723943.1|	transcriptional regulator [Collinsella intestinalis] 
gi|493775469|ref|WP_006723944.1|	prolipoprotein diacylglyceryl transferase [Collinsella intestinalis] 
gi|493775470|ref|WP_006723945.1|	nitrogen fixation protein NifU [Collinsella intestinalis] 
gi|493775471|ref|WP_006723946.1|	50S rRNA methyltransferase [Collinsella intestinalis] 
gi|493775472|ref|WP_006723947.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775473|ref|WP_006723948.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775474|ref|WP_006723949.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775475|ref|WP_006723950.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775476|ref|WP_006723951.1|	serine protease [Collinsella intestinalis] 
gi|493775477|ref|WP_006723952.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775478|ref|WP_006723953.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775479|ref|WP_006723954.1|	Baf family transcriptional regulator [Collinsella intestinalis] 
gi|493775480|ref|WP_006723955.1|	peptide transporter [Collinsella intestinalis] 
gi|493775481|ref|WP_006723956.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775482|ref|WP_006723957.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775483|ref|WP_006723958.1|	protein tyrosine phosphatase [Collinsella intestinalis] 
gi|493775484|ref|WP_006723959.1|	membrane protein [Collinsella intestinalis] 
gi|493775485|ref|WP_006723960.1|	peptide chain release factor 3 [Collinsella intestinalis] 
gi|493775486|ref|WP_006723961.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775487|ref|WP_006723962.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775488|ref|WP_006723963.1|	sulfate permease [Collinsella intestinalis] 
gi|493775489|ref|WP_006723964.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775491|ref|WP_006723966.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775492|ref|WP_006723967.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [Collinsella intestinalis] 
gi|493775493|ref|WP_006723968.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775495|ref|WP_006723969.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775496|ref|WP_006723970.1|	molecular chaperone GroEL [Collinsella intestinalis] 
gi|493775497|ref|WP_006723971.1|	molecular chaperone GroES [Collinsella intestinalis] 
gi|493775498|ref|WP_006723972.1|	amidohydrolase [Collinsella intestinalis] 
gi|493775499|ref|WP_006723973.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775500|ref|WP_006723974.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775501|ref|WP_006723975.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775502|ref|WP_006723976.1|	isocitrate dehydrogenase [Collinsella intestinalis] 
gi|493775503|ref|WP_006723977.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775504|ref|WP_006723978.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775505|ref|WP_006723979.1|	3-hydroxyisobutyrate dehydrogenase [Collinsella intestinalis] 
gi|493775506|ref|WP_006723980.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775507|ref|WP_006723981.1|	30S ribosomal protein S30 [Collinsella intestinalis] 
gi|493775508|ref|WP_006723982.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775509|ref|WP_006723983.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775511|ref|WP_006723984.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775512|ref|WP_006723985.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775513|ref|WP_006723986.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775514|ref|WP_006723987.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775515|ref|WP_006723988.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775516|ref|WP_006723989.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775517|ref|WP_006723990.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775518|ref|WP_006723991.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775519|ref|WP_006723992.1|	hypothetical protein partial [Collinsella intestinalis] 
