gi|492677625|ref|WP_005920071.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684900|ref|WP_005922319.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684903|ref|WP_005922322.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684905|ref|WP_005922324.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684908|ref|WP_005922327.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684910|ref|WP_005922329.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684912|ref|WP_005922331.1|	translation initiation factor 2 [Faecalibacterium prausnitzii] 
gi|492684914|ref|WP_005922333.1|	50S ribosomal protein L7ae [Faecalibacterium prausnitzii] 
gi|492684915|ref|WP_005922334.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684917|ref|WP_005922336.1|	transcription elongation factor NusA [Faecalibacterium prausnitzii] 
gi|492684919|ref|WP_005922338.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684921|ref|WP_005922340.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684923|ref|WP_005922342.1|	sodium:alanine symporter [Faecalibacterium prausnitzii] 
gi|492684925|ref|WP_005922344.1|	multidrug transporter MatE [Faecalibacterium prausnitzii] 
gi|492684927|ref|WP_005922346.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684929|ref|WP_005922348.1|	phosphodiesterase [Faecalibacterium prausnitzii] 
gi|492684931|ref|WP_005922350.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684933|ref|WP_005922352.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684934|ref|WP_005922353.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684935|ref|WP_005922354.1|	kinase [Faecalibacterium prausnitzii] 
gi|492684937|ref|WP_005922356.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684938|ref|WP_005922357.1|	glutaconyl-CoA decarboxylase subunit beta [Faecalibacterium prausnitzii] 
gi|492684940|ref|WP_005922359.1|	oxaloacetate decarboxylase [Faecalibacterium prausnitzii] 
gi|492684942|ref|WP_005922361.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684944|ref|WP_005922363.1|	AraC family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492684946|ref|WP_005922365.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684948|ref|WP_005922367.1|	hydrolase [Faecalibacterium prausnitzii] 
gi|492684950|ref|WP_005922369.1|	NADH oxidase [Faecalibacterium prausnitzii] 
gi|492684951|ref|WP_005922370.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684953|ref|WP_005922372.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492684955|ref|WP_005922374.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684958|ref|WP_005922377.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684956|ref|WP_005922375.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684960|ref|WP_005922379.1|	peptide ABC transporter ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492684962|ref|WP_005922381.1|	xylose isomerase [Faecalibacterium prausnitzii] 
gi|492684965|ref|WP_005922384.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684968|ref|WP_005922387.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684967|ref|WP_005922386.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684972|ref|WP_005922391.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684970|ref|WP_005922389.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684974|ref|WP_005922393.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684979|ref|WP_005922398.1|	transposase IS116/IS110/IS902 family [Faecalibacterium prausnitzii] 
gi|492684980|ref|WP_005922399.1|	chromosome partitioning protein ParA [Faecalibacterium prausnitzii] 
gi|492684982|ref|WP_005922401.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684984|ref|WP_005922403.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684985|ref|WP_005922404.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684987|ref|WP_005922406.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684988|ref|WP_005922407.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684990|ref|WP_005922409.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684992|ref|WP_005922411.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684994|ref|WP_005922413.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684996|ref|WP_005922415.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684999|ref|WP_005922417.1|	internalin [Faecalibacterium prausnitzii] 
gi|492685002|ref|WP_005922419.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685005|ref|WP_005922421.1|	5'-nucleotidase [Faecalibacterium prausnitzii] 
gi|492685008|ref|WP_005922423.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685011|ref|WP_005922425.1|	gamma-glutamyltranspeptidase [Faecalibacterium prausnitzii] 
gi|492685014|ref|WP_005922427.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685017|ref|WP_005922429.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685019|ref|WP_005922430.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685022|ref|WP_005922432.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685025|ref|WP_005922433.1|	fasciclin [Faecalibacterium prausnitzii] 
gi|492685029|ref|WP_005922435.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685031|ref|WP_005922436.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685033|ref|WP_005922437.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685036|ref|WP_005922439.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685039|ref|WP_005922441.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685041|ref|WP_005922442.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685044|ref|WP_005922444.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685047|ref|WP_005922446.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685051|ref|WP_005922448.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685054|ref|WP_005922450.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685058|ref|WP_005922453.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685062|ref|WP_005922455.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685067|ref|WP_005922458.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685070|ref|WP_005922460.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685073|ref|WP_005922462.1|	short-chain dehydrogenase [Faecalibacterium prausnitzii] 
gi|492685075|ref|WP_005922463.1|	GNAT family acetyltransferase [Faecalibacterium prausnitzii] 
gi|492685078|ref|WP_005922465.1|	N-acetyltransferase [Faecalibacterium prausnitzii] 
gi|492685080|ref|WP_005922466.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685082|ref|WP_005922467.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685083|ref|WP_005922468.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685086|ref|WP_005922470.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685088|ref|WP_005922471.1|	(Fe-S)-binding protein [Faecalibacterium prausnitzii] 
gi|492685090|ref|WP_005922472.1|	Crp/Fnr family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492685092|ref|WP_005922473.1|	histidine kinase [Faecalibacterium prausnitzii] 
gi|492685094|ref|WP_005922474.1|	AraC family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492685096|ref|WP_005922475.1|	TRAP transporter [Faecalibacterium prausnitzii] 
gi|492685098|ref|WP_005922476.1|	TRAP transporter [Faecalibacterium prausnitzii] 
gi|492685100|ref|WP_005922477.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492685102|ref|WP_005922478.1|	C4-dicarboxylate ABC transporter [Faecalibacterium prausnitzii] 
gi|492685104|ref|WP_005922479.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685106|ref|WP_005922480.1|	transporter [Faecalibacterium prausnitzii] 
gi|492685108|ref|WP_005922481.1|	autotransporter [Faecalibacterium prausnitzii] 
gi|492685110|ref|WP_005922482.1|	citrate transporter [Faecalibacterium prausnitzii] 
gi|492685112|ref|WP_005922483.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685115|ref|WP_005922485.1|	O-methyltransferase [Faecalibacterium prausnitzii] 
gi|492685117|ref|WP_005922486.1|	methyltransferase [Faecalibacterium prausnitzii] 
gi|492685120|ref|WP_005922488.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685123|ref|WP_005922490.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685126|ref|WP_005922492.1|	cyclase [Faecalibacterium prausnitzii] 
gi|492685130|ref|WP_005922494.1|	flavodoxin [Faecalibacterium prausnitzii] 
gi|492685133|ref|WP_005922496.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685135|ref|WP_005922498.1|	oxidoreductase [Faecalibacterium prausnitzii] 
gi|492685137|ref|WP_005922499.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685140|ref|WP_005922501.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685143|ref|WP_005922503.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685145|ref|WP_005922504.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685147|ref|WP_005922505.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685150|ref|WP_005922507.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685154|ref|WP_005922509.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685157|ref|WP_005922511.1|	DNA methylase [Faecalibacterium prausnitzii] 
gi|492685159|ref|WP_005922512.1|	alpha-glucosidase [Faecalibacterium prausnitzii] 
gi|492685162|ref|WP_005922514.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685164|ref|WP_005922515.1|	alpha/beta hydrolase [Faecalibacterium prausnitzii] 
gi|492685166|ref|WP_005922516.1|	DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492685169|ref|WP_005922518.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685172|ref|WP_005922520.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685176|ref|WP_005922522.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685179|ref|WP_005922524.1|	toxin MazF [Faecalibacterium prausnitzii] 
gi|492685182|ref|WP_005922526.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685184|ref|WP_005922527.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685186|ref|WP_005922528.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685188|ref|WP_005922529.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685190|ref|WP_005922531.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685192|ref|WP_005922532.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685196|ref|WP_005922535.1|	ketopantoate reductase [Faecalibacterium prausnitzii] 
gi|492685199|ref|WP_005922537.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685203|ref|WP_005922540.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685205|ref|WP_005922541.1|	beta-lactamase [Faecalibacterium prausnitzii] 
gi|492685208|ref|WP_005922543.1|	methyltransferase [Faecalibacterium prausnitzii] 
gi|492685212|ref|WP_005922546.1|	methyltransferase type 11 [Faecalibacterium prausnitzii] 
gi|492685215|ref|WP_005922548.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685219|ref|WP_005922551.1|	NTP pyrophosphohydrolase [Faecalibacterium prausnitzii] 
gi|492685223|ref|WP_005922554.1|	phosphohydrolase [Faecalibacterium prausnitzii] 
gi|492685227|ref|WP_005922557.1|	methionine sulfoxide reductase A [Faecalibacterium prausnitzii] 
gi|492685232|ref|WP_005922560.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685236|ref|WP_005922563.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685240|ref|WP_005922566.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492685258|ref|WP_005922573.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493786961|ref|WP_006735233.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493786962|ref|WP_006735234.1|	methyltransferase [Faecalibacterium prausnitzii] 
gi|493786963|ref|WP_006735235.1|	SAM-dependent methyltransferase [Faecalibacterium prausnitzii] 
gi|493786965|ref|WP_006735237.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493786969|ref|WP_006735241.1|	4Fe-4S ferredoxin [Faecalibacterium prausnitzii] 
gi|493786971|ref|WP_006735243.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493786973|ref|WP_006735245.1|	acriflavin resistance protein [Faecalibacterium prausnitzii] 
gi|493786976|ref|WP_006735247.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493786978|ref|WP_006735249.1|	aldose 1-epimerase [Faecalibacterium prausnitzii] 
gi|493786980|ref|WP_006735251.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493786982|ref|WP_006735253.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493786983|ref|WP_006735254.1|	UDP-galactose-4-epimerase [Faecalibacterium prausnitzii] 
gi|493786986|ref|WP_006735257.1|	iron transporter FeoB [Faecalibacterium prausnitzii] 
gi|493786987|ref|WP_006735258.1|	MarR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|493786989|ref|WP_006735260.1|	transporter [Faecalibacterium prausnitzii] 
gi|493786991|ref|WP_006735262.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493786993|ref|WP_006735264.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493786995|ref|WP_006735266.1|	serine dehydratase [Faecalibacterium prausnitzii] 
gi|493786997|ref|WP_006735268.1|	serine dehydratase [Faecalibacterium prausnitzii] 
gi|493786999|ref|WP_006735270.1|	recombinase [Faecalibacterium prausnitzii] 
gi|493787001|ref|WP_006735272.1|	DNA-binding protein [Faecalibacterium prausnitzii] 
gi|493787003|ref|WP_006735274.1|	primase [Faecalibacterium prausnitzii] 
gi|493787005|ref|WP_006735276.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787006|ref|WP_006735277.1|	relaxase [Faecalibacterium prausnitzii] 
gi|493787009|ref|WP_006735280.1|	mobilization protein [Faecalibacterium prausnitzii] 
gi|493787010|ref|WP_006735281.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787012|ref|WP_006735283.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492706681|ref|WP_005928958.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787014|ref|WP_006735285.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492706675|ref|WP_005928954.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492706670|ref|WP_005928951.1|	transposase [Faecalibacterium prausnitzii] 
gi|492706665|ref|WP_005928948.1|	DNA-cytosine methyltransferase [Faecalibacterium prausnitzii] 
gi|493787020|ref|WP_006735291.1|	type III restriction endonuclease [Faecalibacterium prausnitzii] 
gi|492706657|ref|WP_005928943.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492706654|ref|WP_005928941.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492706651|ref|WP_005928939.1|	ATPase [Faecalibacterium prausnitzii] 
gi|492706646|ref|WP_005928936.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787024|ref|WP_006735295.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787026|ref|WP_006735297.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787027|ref|WP_006735298.1|	PTS galactitol transporter subunit IIC [Faecalibacterium prausnitzii] 
gi|493787029|ref|WP_006735300.1|	PTS sugar transporter [Faecalibacterium prausnitzii] 
gi|493787030|ref|WP_006735301.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787031|ref|WP_006735302.1|	L-sorbose 1-phosphate reductase [Faecalibacterium prausnitzii] 
gi|493787033|ref|WP_006735304.1|	DeoR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|493787035|ref|WP_006735306.1|	glucosamine-6-phosphate deaminase [Faecalibacterium prausnitzii] 
gi|493787037|ref|WP_006735308.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787038|ref|WP_006735309.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787042|ref|WP_006735313.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787040|ref|WP_006735311.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787044|ref|WP_006735315.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787046|ref|WP_006735317.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787048|ref|WP_006735319.1|	beta-glucosidase [Faecalibacterium prausnitzii] 
gi|493787049|ref|WP_006735320.1|	beta-glucosidase [Faecalibacterium prausnitzii] 
gi|493787051|ref|WP_006735322.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787052|ref|WP_006735323.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787054|ref|WP_006735325.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787056|ref|WP_006735327.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787057|ref|WP_006735328.1|	ribonuclease [Faecalibacterium prausnitzii] 
gi|493787059|ref|WP_006735330.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787061|ref|WP_006735332.1|	serine/threonine transporter SstT [Faecalibacterium prausnitzii] 
gi|493787062|ref|WP_006735333.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787064|ref|WP_006735335.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787066|ref|WP_006735337.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787067|ref|WP_006735338.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787069|ref|WP_006735339.1|	threonyl-tRNA synthase [Faecalibacterium prausnitzii] 
gi|493787070|ref|WP_006735340.1|	adenylate cyclase [Faecalibacterium prausnitzii] 
gi|493787071|ref|WP_006735341.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787072|ref|WP_006735342.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787073|ref|WP_006735343.1|	cupin [Faecalibacterium prausnitzii] 
gi|493787074|ref|WP_006735344.1|	gluconate 5-dehydrogenase [Faecalibacterium prausnitzii] 
gi|493787075|ref|WP_006735345.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787076|ref|WP_006735346.1|	ketoacyl reductase [Faecalibacterium prausnitzii] 
gi|493787077|ref|WP_006735347.1|	tryptophanyl-tRNA synthase [Faecalibacterium prausnitzii] 
gi|493787078|ref|WP_006735348.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787079|ref|WP_006735349.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787080|ref|WP_006735350.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787081|ref|WP_006735351.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787082|ref|WP_006735352.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|493787084|ref|WP_006735354.1|	hypothetical protein [Faecalibacterium prausnitzii] 
