gi|490423333|ref|WP_004295544.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424635|ref|WP_004296821.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424636|ref|WP_004296822.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424637|ref|WP_004296823.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424638|ref|WP_004296824.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424639|ref|WP_004296825.1|	metal-dependent hydrolase [Bacteroides ovatus] 
gi|490424640|ref|WP_004296826.1|	O-acetylhomoserine aminocarboxypropyltransferase [Bacteroides ovatus] 
gi|490424641|ref|WP_004296827.1|	N-acetylmuramoyl-L-alanine amidase [Bacteroides ovatus] 
gi|490424642|ref|WP_004296828.1|	methylmalonyl-CoA carboxyltransferase [Bacteroides ovatus] 
gi|490424643|ref|WP_004296829.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424644|ref|WP_004296830.1|	biotin carboxylase [Bacteroides ovatus] 
gi|490424645|ref|WP_004296831.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424646|ref|WP_004296832.1|	MULTISPECIES: thioredoxin [Bacteroides] 
gi|490424647|ref|WP_004296833.1|	nicotinate phosphoribosyltransferase [Bacteroides ovatus] 
gi|490424648|ref|WP_004296834.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424649|ref|WP_004296835.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424650|ref|WP_004296836.1|	TetR family transcriptional regulator [Bacteroides ovatus] 
gi|490424651|ref|WP_004296837.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424652|ref|WP_004296838.1|	MULTISPECIES: 7-alpha-hydroxysteroid dehydrogenase [Bacteroides] 
gi|490424653|ref|WP_004296839.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424654|ref|WP_004296840.1|	MULTISPECIES: cupin [Bacteroides] 
gi|490424655|ref|WP_004296841.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424656|ref|WP_004296842.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|490424657|ref|WP_004296843.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424658|ref|WP_004296844.1|	MULTISPECIES: glyoxalase [Bacteroides] 
gi|490424659|ref|WP_004296845.1|	MULTISPECIES: AraC family transcriptional regulator [Bacteroides] 
gi|490424660|ref|WP_004296846.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424661|ref|WP_004296847.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424662|ref|WP_004296848.1|	ATPase [Bacteroides ovatus] 
gi|490424663|ref|WP_004296849.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424664|ref|WP_004296850.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424496|ref|WP_004296684.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424497|ref|WP_004296685.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424665|ref|WP_004296851.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424667|ref|WP_004296852.1|	MULTISPECIES: 50S ribosomal protein L32 [Bacteroides] 
gi|490424668|ref|WP_004296853.1|	hypothetical protein partial [Bacteroides ovatus] 
gi|490424671|ref|WP_004296855.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424672|ref|WP_004296856.1|	hypothetical protein partial [Bacteroides ovatus] 
gi|490424673|ref|WP_004296857.1|	hypothetical protein partial [Bacteroides ovatus] 
gi|490424674|ref|WP_004296858.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424675|ref|WP_004296859.1|	transcriptional regulator [Bacteroides ovatus] 
gi|490423593|ref|WP_004295798.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424676|ref|WP_004296860.1|	hypothetical protein partial [Bacteroides ovatus] 
gi|490424677|ref|WP_004296861.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424678|ref|WP_004296862.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424679|ref|WP_004296863.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424680|ref|WP_004296864.1|	hypothetical protein partial [Bacteroides ovatus] 
gi|490424681|ref|WP_004296865.1|	transposase [Bacteroides ovatus] 
gi|490424682|ref|WP_004296866.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424683|ref|WP_004296867.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424684|ref|WP_004296868.1|	histidine kinase [Bacteroides ovatus] 
gi|490424685|ref|WP_004296869.1|	membrane protein [Bacteroides ovatus] 
gi|490424686|ref|WP_004296870.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490424687|ref|WP_004296871.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424688|ref|WP_004296872.1|	MULTISPECIES: 5-keto-4-deoxyuronate isomerase [Bacteroides] 
gi|490424689|ref|WP_004296873.1|	MULTISPECIES: gluconate 5-dehydrogenase [Bacteroides] 
gi|490424690|ref|WP_004296874.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424691|ref|WP_004296875.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424692|ref|WP_004296876.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424693|ref|WP_004296877.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424694|ref|WP_004296878.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424695|ref|WP_004296879.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424696|ref|WP_004296880.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424697|ref|WP_004296881.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424698|ref|WP_004296882.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424699|ref|WP_004296883.1|	MULTISPECIES: polysaccharide deacetylase [Bacteroides] 
gi|490424701|ref|WP_004296885.1|	membrane protein [Bacteroides ovatus] 
gi|490424700|ref|WP_004296884.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424702|ref|WP_004296886.1|	RNA polymerase [Bacteroides ovatus] 
gi|490424703|ref|WP_004296887.1|	anti-sigma factor [Bacteroides ovatus] 
gi|490424704|ref|WP_004296888.1|	membrane protein [Bacteroides ovatus] 
gi|490424705|ref|WP_004296889.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424706|ref|WP_004296890.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424707|ref|WP_004296891.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424708|ref|WP_004296892.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424709|ref|WP_004296893.1|	hypothetical protein partial [Bacteroides ovatus] 
gi|490424713|ref|WP_004296897.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424714|ref|WP_004296898.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424715|ref|WP_004296899.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424716|ref|WP_004296900.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490424717|ref|WP_004296901.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490424718|ref|WP_004296902.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424719|ref|WP_004296903.1|	NAD synthetase [Bacteroides ovatus] 
gi|490424720|ref|WP_004296904.1|	MULTISPECIES: protein tyrosine/serine phosphatase [Bacteroides] 
gi|490424721|ref|WP_004296905.1|	MULTISPECIES: imidazoleglycerol-phosphate dehydratase [Bacteroides] 
gi|490424722|ref|WP_004296906.1|	histidinol-phosphate aminotransferase [Bacteroides ovatus] 
gi|490424723|ref|WP_004296907.1|	bifunctional histidinal dehydrogenase/ histidinol dehydrogenase [Bacteroides ovatus] 
gi|490424724|ref|WP_004296908.1|	MULTISPECIES: ATP phosphoribosyltransferase [Bacteroides] 
gi|490424725|ref|WP_004296909.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424726|ref|WP_004296910.1|	MULTISPECIES: thioesterase [Bacteroides] 
gi|490424727|ref|WP_004296911.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424728|ref|WP_004296912.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424729|ref|WP_004296913.1|	ATPase AAA [Bacteroides ovatus] 
gi|490424730|ref|WP_004296914.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424731|ref|WP_004296915.1|	membrane protein [Bacteroides ovatus] 
gi|490424732|ref|WP_004296916.1|	glycerophosphodiester phosphodiesterase [Bacteroides ovatus] 
gi|490424733|ref|WP_004296917.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424734|ref|WP_004296918.1|	endonuclease [Bacteroides ovatus] 
gi|490424735|ref|WP_004296919.1|	MULTISPECIES: cell surface protein [Bacteroides] 
gi|490424736|ref|WP_004296920.1|	membrane protein [Bacteroides ovatus] 
gi|490424737|ref|WP_004296921.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490424738|ref|WP_004296922.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424739|ref|WP_004296923.1|	iron dicitrate transporter FecR [Bacteroides ovatus] 
gi|490424740|ref|WP_004296924.1|	RNA polymerase sigma 70 [Bacteroides ovatus] 
gi|490424741|ref|WP_004296925.1|	MULTISPECIES: pirin [Bacteroides] 
gi|490424742|ref|WP_004296926.1|	thiol:disulfide interchange protein [Bacteroides ovatus] 
gi|490424743|ref|WP_004296927.1|	MULTISPECIES: stress responsive protein [Bacteroides] 
gi|490424744|ref|WP_004296928.1|	MULTISPECIES: uridine/cytidine kinase [Bacteroides] 
gi|490424745|ref|WP_004296929.1|	transglycosylase [Bacteroides ovatus] 
gi|490424746|ref|WP_004296930.1|	MULTISPECIES: sodium:solute symporter [Bacteroides] 
gi|490424748|ref|WP_004296931.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424750|ref|WP_004296933.1|	MULTISPECIES: NAD(P)H nitroreductase [Bacteroides] 
gi|490424752|ref|WP_004296934.1|	5-methyltetrahydrofolate--homocysteine methyltransferase [Bacteroides ovatus] 
gi|490424753|ref|WP_004296935.1|	single-stranded DNA-binding protein [Bacteroides ovatus] 
gi|490424754|ref|WP_004296936.1|	membrane protein [Bacteroides ovatus] 
gi|490424755|ref|WP_004296937.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424756|ref|WP_004296938.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424757|ref|WP_004296939.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424758|ref|WP_004296940.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424759|ref|WP_004296941.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424760|ref|WP_004296942.1|	MULTISPECIES: nitrogen-fixing protein NifU [Bacteroides] 
gi|490424761|ref|WP_004296943.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424762|ref|WP_004296944.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424763|ref|WP_004296945.1|	MULTISPECIES: AraC family transcriptional regulator [Bacteroides] 
gi|490424764|ref|WP_004296946.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424765|ref|WP_004296947.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|490424766|ref|WP_004296948.1|	MULTISPECIES: peptidylprolyl isomerase [Bacteroides] 
gi|490424767|ref|WP_004296949.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424768|ref|WP_004296950.1|	penicillin-binding protein 1C [Bacteroides ovatus] 
gi|490424769|ref|WP_004296951.1|	permease [Bacteroides ovatus] 
gi|490424770|ref|WP_004296952.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490424771|ref|WP_004296953.1|	MULTISPECIES: sodium:proton antiporter [Bacteroides] 
gi|490424772|ref|WP_004296954.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424773|ref|WP_004296955.1|	transcriptional regulator [Bacteroides ovatus] 
gi|490424774|ref|WP_004296956.1|	thiouridylase [Bacteroides ovatus] 
gi|490424775|ref|WP_004296957.1|	peptidase S41 [Bacteroides ovatus] 
gi|490424776|ref|WP_004296958.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424777|ref|WP_004296959.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424778|ref|WP_004296960.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424779|ref|WP_004296961.1|	collagen-binding protein [Bacteroides ovatus] 
gi|490424780|ref|WP_004296962.1|	MULTISPECIES: peptidase M48 [Bacteroides] 
gi|490424781|ref|WP_004296963.1|	MULTISPECIES: hemolysin [Bacteroides] 
gi|490424782|ref|WP_004296964.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424783|ref|WP_004296965.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424784|ref|WP_004296966.1|	glucuronyl hydrolase [Bacteroides ovatus] 
gi|490424785|ref|WP_004296967.1|	glycoside hydrolase [Bacteroides ovatus] 
gi|490424786|ref|WP_004296968.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424787|ref|WP_004296969.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424788|ref|WP_004296970.1|	membrane protein [Bacteroides ovatus] 
gi|490424789|ref|WP_004296971.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490424790|ref|WP_004296972.1|	MULTISPECIES: RNA polymerase sigma 70 [Bacteroides] 
gi|490424792|ref|WP_004296974.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424791|ref|WP_004296973.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424793|ref|WP_004296975.1|	transcriptional regulator [Bacteroides ovatus] 
gi|490424794|ref|WP_004296976.1|	XRE family transcriptional regulator [Bacteroides ovatus] 
gi|490424795|ref|WP_004296977.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424796|ref|WP_004296978.1|	beta-galactosidase [Bacteroides ovatus] 
gi|490424797|ref|WP_004296979.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424798|ref|WP_004296980.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424799|ref|WP_004296981.1|	membrane protein [Bacteroides ovatus] 
gi|490424800|ref|WP_004296982.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490424801|ref|WP_004296983.1|	RNA polymerase sigma 70 [Bacteroides ovatus] 
gi|490424802|ref|WP_004296984.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424803|ref|WP_004296985.1|	transcriptional regulator [Bacteroides ovatus] 
gi|490424804|ref|WP_004296986.1|	heparinase [Bacteroides ovatus] 
gi|490424805|ref|WP_004296987.1|	beta-lactamase [Bacteroides ovatus] 
gi|490424806|ref|WP_004296988.1|	acetyl-CoA carboxylase [Bacteroides ovatus] 
gi|490424807|ref|WP_004296989.1|	glycoside hydrolase [Bacteroides ovatus] 
gi|490424808|ref|WP_004296990.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424809|ref|WP_004296991.1|	glycosyl hydrolase family 30 [Bacteroides ovatus] 
gi|490424810|ref|WP_004296992.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424811|ref|WP_004296993.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424812|ref|WP_004296994.1|	membrane protein [Bacteroides ovatus] 
gi|490424813|ref|WP_004296995.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490424814|ref|WP_004296996.1|	RNA polymerase sigma 70 [Bacteroides ovatus] 
gi|490424815|ref|WP_004296997.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424816|ref|WP_004296998.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424817|ref|WP_004296999.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424818|ref|WP_004297000.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424820|ref|WP_004297002.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424819|ref|WP_004297001.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424821|ref|WP_004297003.1|	2,5-diketo-D-gluconic acid reductase [Bacteroides ovatus] 
gi|490424822|ref|WP_004297004.1|	alpha-glucosidase [Bacteroides ovatus] 
gi|490424824|ref|WP_004297006.1|	transcriptional regulator [Bacteroides ovatus] 
gi|490424823|ref|WP_004297005.1|	dioxygenase [Bacteroides ovatus] 
gi|490424825|ref|WP_004297007.1|	mannonate dehydratase [Bacteroides ovatus] 
gi|490424826|ref|WP_004297008.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424827|ref|WP_004297009.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424828|ref|WP_004297010.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424710|ref|WP_004296894.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424711|ref|WP_004296895.1|	transposase [Bacteroides ovatus] 
gi|490424712|ref|WP_004296896.1|	glycoside hydrolase [Bacteroides ovatus] 
gi|490424829|ref|WP_004297011.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424830|ref|WP_004297012.1|	transferase [Bacteroides ovatus] 
gi|490424831|ref|WP_004297013.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424832|ref|WP_004297014.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424833|ref|WP_004297015.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424834|ref|WP_004297016.1|	oxidoreductase [Bacteroides ovatus] 
gi|490424835|ref|WP_004297017.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424836|ref|WP_004297018.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424837|ref|WP_004297019.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424838|ref|WP_004297020.1|	chain-length determining protein [Bacteroides ovatus] 
gi|490424839|ref|WP_004297021.1|	capsule polysaccharide transporter [Bacteroides ovatus] 
gi|490424840|ref|WP_004297022.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|490424841|ref|WP_004297023.1|	integrase [Bacteroides ovatus] 
gi|490424842|ref|WP_004297024.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424843|ref|WP_004297025.1|	MULTISPECIES: RNA methyltransferase [Bacteroides] 
gi|490424845|ref|WP_004297026.1|	DNA repair protein RecN [Bacteroides ovatus] 
gi|490424846|ref|WP_004297027.1|	phosphopantothenoylcysteine decarboxylase [Bacteroides ovatus] 
gi|490424847|ref|WP_004297028.1|	MULTISPECIES: DNA polymerase III subunit epsilon [Bacteroides] 
gi|490424848|ref|WP_004297029.1|	MULTISPECIES: DNA polymerase III subunit beta [Bacteroides] 
gi|490424849|ref|WP_004297030.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424850|ref|WP_004297031.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424851|ref|WP_004297032.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424852|ref|WP_004297033.1|	hydrolase [Bacteroides ovatus] 
gi|490424854|ref|WP_004297035.1|	MULTISPECIES: UDP-N-acetylenolpyruvoylglucosamine reductase [Bacteroides] 
gi|490424856|ref|WP_004297036.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424857|ref|WP_004297037.1|	UDP-glucose 4-epimerase [Bacteroides ovatus] 
gi|490424858|ref|WP_004297038.1|	2-amino-3-ketobutyrate CoA ligase [Bacteroides ovatus] 
gi|490424859|ref|WP_004297039.1|	membrane protein [Bacteroides ovatus] 
gi|490424860|ref|WP_004297040.1|	histidine kinase [Bacteroides ovatus] 
gi|490424861|ref|WP_004297041.1|	ferritin [Bacteroides ovatus] 
gi|490424862|ref|WP_004297042.1|	diaminopimelate decarboxylase [Bacteroides ovatus] 
gi|490424863|ref|WP_004297043.1|	aspartate kinase [Bacteroides ovatus] 
gi|490424864|ref|WP_004297044.1|	MULTISPECIES: phosphonate ABC transporter ATP-binding protein [Bacteroides] 
gi|490424865|ref|WP_004297045.1|	phosphoribosyl-AMP cyclohydrolase [Bacteroides ovatus] 
gi|490424866|ref|WP_004297046.1|	imidazole glycerol phosphate synthase [Bacteroides ovatus] 
gi|490424867|ref|WP_004297047.1|	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [Bacteroides ovatus] 
gi|490424868|ref|WP_004297048.1|	MULTISPECIES: imidazole glycerol phosphate synthase [Bacteroides] 
gi|490424869|ref|WP_004297049.1|	MULTISPECIES: formyltetrahydrofolate deformylase [Bacteroides] 
gi|490424870|ref|WP_004297050.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424871|ref|WP_004297051.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424872|ref|WP_004297052.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424873|ref|WP_004297053.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424874|ref|WP_004297054.1|	MULTISPECIES: cyclic nucleotide-binding protein [Bacteroides] 
gi|490424875|ref|WP_004297055.1|	multidrug transporter MatE [Bacteroides ovatus] 
gi|490424876|ref|WP_004297056.1|	hydrolase [Bacteroides ovatus] 
gi|490424877|ref|WP_004297057.1|	coproporphyrinogen III oxidase [Bacteroides ovatus] 
gi|490424878|ref|WP_004297058.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490424879|ref|WP_004297059.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424880|ref|WP_004297060.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424881|ref|WP_004297061.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424882|ref|WP_004297062.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424883|ref|WP_004297063.1|	ribonucleoside triphosphate reductase [Bacteroides ovatus] 
gi|490424884|ref|WP_004297064.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424885|ref|WP_004297065.1|	MULTISPECIES: cystathionine beta-lyase [Bacteroides] 
gi|490424886|ref|WP_004297066.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424887|ref|WP_004297067.1|	hypothetical protein [Bacteroides ovatus] 
