gi|494108007|ref|WP_007048791.1|	hypothetical protein partial [Anaerofustis stercorihominis] 
gi|494108880|ref|WP_007049664.1|	uracil-DNA glycosylase [Anaerofustis stercorihominis] 
gi|494108881|ref|WP_007049665.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108882|ref|WP_007049666.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108883|ref|WP_007049667.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108884|ref|WP_007049668.1|	PhoB family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108885|ref|WP_007049669.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108886|ref|WP_007049670.1|	serine O-acetyltransferase [Anaerofustis stercorihominis] 
gi|494108887|ref|WP_007049671.1|	membrane protein [Anaerofustis stercorihominis] 
gi|494108888|ref|WP_007049672.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108889|ref|WP_007049673.1|	HIT family hydrolase [Anaerofustis stercorihominis] 
gi|494108890|ref|WP_007049674.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108891|ref|WP_007049675.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108892|ref|WP_007049676.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108893|ref|WP_007049677.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108894|ref|WP_007049678.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108895|ref|WP_007049679.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108896|ref|WP_007049680.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108897|ref|WP_007049681.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108898|ref|WP_007049682.1|	small multi-drug export protein [Anaerofustis stercorihominis] 
gi|494108899|ref|WP_007049683.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108900|ref|WP_007049684.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108901|ref|WP_007049685.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108902|ref|WP_007049686.1|	peptide chain release factor 1 [Anaerofustis stercorihominis] 
gi|494108903|ref|WP_007049687.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108904|ref|WP_007049688.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108905|ref|WP_007049689.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108906|ref|WP_007049690.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108907|ref|WP_007049691.1|	ATPase [Anaerofustis stercorihominis] 
gi|494108908|ref|WP_007049692.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108909|ref|WP_007049693.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108910|ref|WP_007049694.1|	MerR family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108911|ref|WP_007049695.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108912|ref|WP_007049696.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108913|ref|WP_007049697.1|	MFS transporter [Anaerofustis stercorihominis] 
gi|494108914|ref|WP_007049698.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108915|ref|WP_007049699.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108916|ref|WP_007049700.1|	membrane protein [Anaerofustis stercorihominis] 
gi|494108917|ref|WP_007049701.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108918|ref|WP_007049702.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108919|ref|WP_007049703.1|	TetR family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108920|ref|WP_007049704.1|	potassium transporter [Anaerofustis stercorihominis] 
gi|494108921|ref|WP_007049705.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108922|ref|WP_007049706.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108923|ref|WP_007049707.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108924|ref|WP_007049708.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108925|ref|WP_007049709.1|	membrane protein [Anaerofustis stercorihominis] 
gi|494108926|ref|WP_007049710.1|	acetate kinase [Anaerofustis stercorihominis] 
gi|494108927|ref|WP_007049711.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108928|ref|WP_007049712.1|	50S ribosomal protein L32 [Anaerofustis stercorihominis] 
gi|494108929|ref|WP_007049713.1|	Fis family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108930|ref|WP_007049714.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108931|ref|WP_007049715.1|	transporter [Anaerofustis stercorihominis] 
gi|494108932|ref|WP_007049716.1|	30S ribosomal protein S2 [Anaerofustis stercorihominis] 
gi|494108933|ref|WP_007049717.1|	elongation factor Ts [Anaerofustis stercorihominis] 
gi|494108934|ref|WP_007049718.1|	uridylate kinase [Anaerofustis stercorihominis] 
gi|494108935|ref|WP_007049719.1|	ribosome recycling factor [Anaerofustis stercorihominis] 
gi|494108936|ref|WP_007049720.1|	UDP pyrophosphate synthase [Anaerofustis stercorihominis] 
gi|494108937|ref|WP_007049721.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108938|ref|WP_007049722.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108939|ref|WP_007049723.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [Anaerofustis stercorihominis] 
gi|494108940|ref|WP_007049724.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108941|ref|WP_007049725.1|	N-acetyltransferase GCN5 [Anaerofustis stercorihominis] 
gi|494108942|ref|WP_007049726.1|	6-aminohexanoate-dimer hydrolase [Anaerofustis stercorihominis] 
gi|494108943|ref|WP_007049727.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108944|ref|WP_007049728.1|	polyribonucleotide nucleotidyltransferase [Anaerofustis stercorihominis] 
gi|494108945|ref|WP_007049729.1|	30S ribosomal protein S15 [Anaerofustis stercorihominis] 
gi|494108946|ref|WP_007049730.1|	deoxyuridine 5'-triphosphate nucleotidohydrolase [Anaerofustis stercorihominis] 
gi|494108947|ref|WP_007049731.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108948|ref|WP_007049732.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108949|ref|WP_007049733.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108950|ref|WP_007049734.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108951|ref|WP_007049735.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108952|ref|WP_007049736.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108953|ref|WP_007049737.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108954|ref|WP_007049738.1|	enoyl-CoA hydratase [Anaerofustis stercorihominis] 
gi|494108955|ref|WP_007049739.1|	4-hydroxybutyrate CoA-transferase [Anaerofustis stercorihominis] 
gi|494108956|ref|WP_007049740.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108957|ref|WP_007049741.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108958|ref|WP_007049742.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108959|ref|WP_007049743.1|	PTS sorbitol transporter subunit IIB [Anaerofustis stercorihominis] 
gi|494108960|ref|WP_007049744.1|	PTS sorbitol transporter subunit IIC [Anaerofustis stercorihominis] 
gi|494108961|ref|WP_007049745.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108962|ref|WP_007049746.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108963|ref|WP_007049747.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108964|ref|WP_007049748.1|	chromosome partitioning protein ParB [Anaerofustis stercorihominis] 
gi|494108965|ref|WP_007049749.1|	tRNA uridine 5-carboxymethylaminomethyl modification protein [Anaerofustis stercorihominis] 
gi|494108966|ref|WP_007049750.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108967|ref|WP_007049751.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108968|ref|WP_007049752.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108969|ref|WP_007049753.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108970|ref|WP_007049754.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108971|ref|WP_007049755.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108972|ref|WP_007049756.1|	4-hydroxybutyrate CoA-transferase [Anaerofustis stercorihominis] 
gi|494108973|ref|WP_007049757.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108974|ref|WP_007049758.1|	DNA-binding protein [Anaerofustis stercorihominis] 
gi|494108975|ref|WP_007049759.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108976|ref|WP_007049760.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108977|ref|WP_007049761.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108978|ref|WP_007049762.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108979|ref|WP_007049763.1|	nitrogen fixation protein NifU [Anaerofustis stercorihominis] 
gi|494108980|ref|WP_007049764.1|	diguanylate cyclase [Anaerofustis stercorihominis] 
gi|494108981|ref|WP_007049765.1|	ABC transporter ATP-binding protein [Anaerofustis stercorihominis] 
gi|494108982|ref|WP_007049766.1|	endoribonuclease L-PSP [Anaerofustis stercorihominis] 
gi|494108983|ref|WP_007049767.1|	hydrolase [Anaerofustis stercorihominis] 
gi|494108984|ref|WP_007049768.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108985|ref|WP_007049769.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108986|ref|WP_007049770.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108987|ref|WP_007049771.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108988|ref|WP_007049772.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108989|ref|WP_007049773.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108990|ref|WP_007049774.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108991|ref|WP_007049775.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108992|ref|WP_007049776.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108993|ref|WP_007049777.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108994|ref|WP_007049778.1|	CotJC [Anaerofustis stercorihominis] 
gi|494108995|ref|WP_007049779.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108996|ref|WP_007049780.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108997|ref|WP_007049781.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108998|ref|WP_007049782.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108999|ref|WP_007049783.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109000|ref|WP_007049784.1|	30S ribosomal protein S12 methylthiotransferase [Anaerofustis stercorihominis] 
gi|494109001|ref|WP_007049785.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109002|ref|WP_007049786.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109003|ref|WP_007049787.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109004|ref|WP_007049788.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109005|ref|WP_007049789.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109006|ref|WP_007049790.1|	NrdR family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494109007|ref|WP_007049791.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109008|ref|WP_007049792.1|	semialdehyde dehydrogenase [Anaerofustis stercorihominis] 
gi|494109009|ref|WP_007049793.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109010|ref|WP_007049794.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109011|ref|WP_007049795.1|	2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase [Anaerofustis stercorihominis] 
gi|494109012|ref|WP_007049796.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109013|ref|WP_007049797.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109014|ref|WP_007049798.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109015|ref|WP_007049799.1|	stage V sporulation protein S [Anaerofustis stercorihominis] 
gi|494109016|ref|WP_007049800.1|	pyruvate synthase [Anaerofustis stercorihominis] 
gi|494109017|ref|WP_007049801.1|	ferredoxin [Anaerofustis stercorihominis] 
gi|494109018|ref|WP_007049802.1|	2-ketoisovalerate ferredoxin oxidoreductase subunit alpha [Anaerofustis stercorihominis] 
gi|494109019|ref|WP_007049803.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109020|ref|WP_007049804.1|	metallophosphoesterase [Anaerofustis stercorihominis] 
gi|494109021|ref|WP_007049805.1|	ribonuclease [Anaerofustis stercorihominis] 
gi|494109022|ref|WP_007049806.1|	large conductance mechanosensitive channel protein MscL [Anaerofustis stercorihominis] 
gi|494109023|ref|WP_007049807.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109024|ref|WP_007049808.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109025|ref|WP_007049809.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109026|ref|WP_007049810.1|	fructose-bisphosphate aldolase [Anaerofustis stercorihominis] 
gi|494109027|ref|WP_007049811.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109028|ref|WP_007049812.1|	radical SAM protein [Anaerofustis stercorihominis] 
gi|494109029|ref|WP_007049813.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109030|ref|WP_007049814.1|	ABC transporter ATP-binding protein [Anaerofustis stercorihominis] 
gi|494109031|ref|WP_007049815.1|	ABC transporter permease [Anaerofustis stercorihominis] 
gi|494109032|ref|WP_007049816.1|	ArsR family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494109033|ref|WP_007049817.1|	sugar ABC transporter substrate-binding protein [Anaerofustis stercorihominis] 
gi|494109034|ref|WP_007049818.1|	sugar ABC transporter substrate-binding protein [Anaerofustis stercorihominis] 
gi|494109035|ref|WP_007049819.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109036|ref|WP_007049820.1|	dihydroxy-acid dehydratase [Anaerofustis stercorihominis] 
gi|494109037|ref|WP_007049821.1|	ketol-acid reductoisomerase [Anaerofustis stercorihominis] 
gi|494109038|ref|WP_007049822.1|	acetolactate synthase [Anaerofustis stercorihominis] 
gi|494109039|ref|WP_007049823.1|	acetolactate synthase [Anaerofustis stercorihominis] 
gi|494109040|ref|WP_007049824.1|	amino acid ABC transporter ATPase [Anaerofustis stercorihominis] 
gi|494109041|ref|WP_007049825.1|	branched-chain amino acid ABC transporter ATP-binding protein [Anaerofustis stercorihominis] 
gi|494109042|ref|WP_007049826.1|	ABC transporter [Anaerofustis stercorihominis] 
gi|494109043|ref|WP_007049827.1|	ABC transporter permease [Anaerofustis stercorihominis] 
gi|494109044|ref|WP_007049828.1|	ethanolamine utilization protein EutJ [Anaerofustis stercorihominis] 
gi|494109045|ref|WP_007049829.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109046|ref|WP_007049830.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109047|ref|WP_007049831.1|	ABC transporter [Anaerofustis stercorihominis] 
gi|494109048|ref|WP_007049832.1|	ABC transporter [Anaerofustis stercorihominis] 
gi|494109049|ref|WP_007049833.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109050|ref|WP_007049834.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109051|ref|WP_007049835.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109052|ref|WP_007049836.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109053|ref|WP_007049837.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109054|ref|WP_007049838.1|	sortase [Anaerofustis stercorihominis] 
gi|494109055|ref|WP_007049839.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109056|ref|WP_007049840.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109057|ref|WP_007049841.1|	serine recombinase [Anaerofustis stercorihominis] 
gi|494109058|ref|WP_007049842.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109059|ref|WP_007049843.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109060|ref|WP_007049844.1|	conjugal transfer protein TraD [Anaerofustis stercorihominis] 
gi|494109061|ref|WP_007049845.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109062|ref|WP_007049846.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109063|ref|WP_007049847.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109064|ref|WP_007049848.1|	LysR family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494109065|ref|WP_007049849.1|	AraC family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494109066|ref|WP_007049850.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109067|ref|WP_007049851.1|	arginyl-tRNA synthetase [Anaerofustis stercorihominis] 
gi|494109068|ref|WP_007049852.1|	D-alanine--D-alanine ligase [Anaerofustis stercorihominis] 
gi|494109069|ref|WP_007049853.1|	nicotinate phosphoribosyltransferase [Anaerofustis stercorihominis] 
gi|494109070|ref|WP_007049854.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109071|ref|WP_007049855.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109072|ref|WP_007049856.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109073|ref|WP_007049857.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109074|ref|WP_007049858.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109075|ref|WP_007049859.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109076|ref|WP_007049860.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109077|ref|WP_007049861.1|	endonuclease IV [Anaerofustis stercorihominis] 
gi|494109078|ref|WP_007049862.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109079|ref|WP_007049863.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109080|ref|WP_007049864.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109081|ref|WP_007049865.1|	hypothetical protein [Anaerofustis stercorihominis] 
