gi|493470989|ref|WP_006426059.1|	hypothetical protein partial [Dorea longicatena] 
gi|493471989|ref|WP_006427037.1|	hypothetical protein [Dorea longicatena] 
gi|493471990|ref|WP_006427038.1|	hypothetical protein [Dorea longicatena] 
gi|493471991|ref|WP_006427039.1|	4Fe-4S ferredoxin [Dorea longicatena] 
gi|493471992|ref|WP_006427040.1|	MULTISPECIES: ATPase AAA [Dorea] 
gi|493471993|ref|WP_006427041.1|	hypothetical protein [Dorea longicatena] 
gi|493471994|ref|WP_006427042.1|	MULTISPECIES: flavin reductase [Dorea] 
gi|493471995|ref|WP_006427043.1|	inorganic pyrophosphatase [Dorea longicatena] 
gi|493471996|ref|WP_006427044.1|	S1 RNA binding domain protein [Dorea longicatena] 
gi|493471997|ref|WP_006427045.1|	NAD synthetase [Dorea longicatena] 
gi|493471998|ref|WP_006427046.1|	molecular chaperone Hsp33 [Dorea longicatena] 
gi|493471999|ref|WP_006427047.1|	MULTISPECIES: methyltransferase [Dorea] 
gi|493472000|ref|WP_006427048.1|	MULTISPECIES: TetR family transcriptional regulator [Dorea] 
gi|493472001|ref|WP_006427049.1|	alanyl-tRNA synthetase [Dorea longicatena] 
gi|493472002|ref|WP_006427050.1|	arginyl-tRNA synthetase [Dorea longicatena] 
gi|493472003|ref|WP_006427051.1|	hypothetical protein [Dorea longicatena] 
gi|493472004|ref|WP_006427052.1|	hypothetical protein [Dorea longicatena] 
gi|493472005|ref|WP_006427053.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472006|ref|WP_006427054.1|	MULTISPECIES: elongation factor P [Dorea] 
gi|493472007|ref|WP_006427055.1|	MULTISPECIES: HAD family hydrolase [Dorea] 
gi|493472008|ref|WP_006427056.1|	chorismate mutase [Dorea longicatena] 
gi|493472009|ref|WP_006427057.1|	2,4-dienoyl-CoA reductase [Dorea longicatena] 
gi|493472010|ref|WP_006427058.1|	hypothetical protein [Dorea longicatena] 
gi|493472011|ref|WP_006427059.1|	amino acid permease [Dorea longicatena] 
gi|493472012|ref|WP_006427060.1|	MULTISPECIES: cytidylate kinase [Dorea] 
gi|493472013|ref|WP_006427061.1|	sulfate transporter [Dorea longicatena] 
gi|493472014|ref|WP_006427062.1|	MULTISPECIES: branched-chain amino acid aminotransferase [Dorea] 
gi|493472015|ref|WP_006427063.1|	MULTISPECIES: acetolactate synthase [Dorea] 
gi|493472016|ref|WP_006427064.1|	acetolactate synthase [Dorea longicatena] 
gi|493472017|ref|WP_006427065.1|	glucose-1-phosphate adenylyltransferase [Dorea longicatena] 
gi|493472018|ref|WP_006427066.1|	glucose-1-phosphate adenylyltransferase [Dorea longicatena] 
gi|493472019|ref|WP_006427067.1|	MULTISPECIES: glycosyltransferase family 1 [Dorea] 
gi|493472020|ref|WP_006427068.1|	MULTISPECIES: diacylglycerol kinase [Dorea] 
gi|493472021|ref|WP_006427069.1|	MULTISPECIES: thymidylate synthase [Dorea] 
gi|493472022|ref|WP_006427070.1|	MarR family transcriptional regulator [Dorea longicatena] 
gi|493472025|ref|WP_006427072.1|	multidrug transporter MatE [Dorea longicatena] 
gi|493472026|ref|WP_006427073.1|	homoserine dehydrogenase [Dorea longicatena] 
gi|493472027|ref|WP_006427074.1|	hypothetical protein [Dorea longicatena] 
gi|493472028|ref|WP_006427075.1|	aspartyl-tRNA synthase [Dorea longicatena] 
gi|493472029|ref|WP_006427076.1|	histidyl-tRNA synthetase [Dorea longicatena] 
gi|493472030|ref|WP_006427077.1|	coproporphyrinogen III oxidase [Dorea longicatena] 
gi|493472031|ref|WP_006427078.1|	beta-lactamase [Dorea longicatena] 
gi|493472032|ref|WP_006427079.1|	(p)ppGpp synthetase [Dorea longicatena] 
gi|493472033|ref|WP_006427080.1|	adenine phosphoribosyltransferase [Dorea longicatena] 
gi|493472034|ref|WP_006427081.1|	MULTISPECIES: single-stranded DNA exonuclease [Dorea] 
gi|493472035|ref|WP_006427082.1|	preprotein translocase subunit SecD [Dorea longicatena] 
gi|493472036|ref|WP_006427083.1|	radical SAM protein [Dorea longicatena] 
gi|493472037|ref|WP_006427084.1|	hypothetical protein [Dorea longicatena] 
gi|493472038|ref|WP_006427085.1|	MULTISPECIES: stage V sporulation protein T [Dorea] 
gi|493472039|ref|WP_006427086.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472040|ref|WP_006427087.1|	hypothetical protein [Dorea longicatena] 
gi|493472041|ref|WP_006427088.1|	MULTISPECIES: transcription-repair coupling factor [Dorea] 
gi|493472042|ref|WP_006427089.1|	MULTISPECIES: peptidyl-tRNA hydrolase [Dorea] 
gi|493472043|ref|WP_006427090.1|	hypothetical protein [Dorea longicatena] 
gi|493472044|ref|WP_006427091.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472045|ref|WP_006427092.1|	MULTISPECIES: glyoxalase [Dorea] 
gi|493472046|ref|WP_006427093.1|	HAD family hydrolase [Dorea longicatena] 
gi|493472047|ref|WP_006427094.1|	MULTISPECIES: RNA polymerase sigma 70 [Dorea] 
gi|493472048|ref|WP_006427095.1|	MULTISPECIES: metallo-beta-lactamase [Dorea] 
gi|493472049|ref|WP_006427096.1|	MULTISPECIES: flagellar biosynthesis protein FliA [Dorea] 
gi|493472050|ref|WP_006427097.1|	hypothetical protein [Dorea longicatena] 
gi|493472051|ref|WP_006427098.1|	cell division protein FtsZ [Dorea longicatena] 
gi|493472052|ref|WP_006427099.1|	hypothetical protein [Dorea longicatena] 
gi|493472053|ref|WP_006427100.1|	hypothetical protein [Dorea longicatena] 
gi|493472054|ref|WP_006427101.1|	cell division protein [Dorea longicatena] 
gi|493472055|ref|WP_006427102.1|	UDP-N-acetylmuramoylalanine--D-glutamate ligase [Dorea longicatena] 
gi|493472056|ref|WP_006427103.1|	MULTISPECIES: phospho-N-acetylmuramoyl-pentapeptide-transferase [Dorea] 
gi|493472057|ref|WP_006427104.1|	peptidoglycan glycosyltransferase [Dorea longicatena] 
gi|493472058|ref|WP_006427105.1|	peptidoglycan glycosyltransferase [Dorea longicatena] 
gi|493472059|ref|WP_006427106.1|	hypothetical protein [Dorea longicatena] 
gi|493472060|ref|WP_006427107.1|	MULTISPECIES: 16S rRNA methyltransferase [Dorea] 
gi|493472061|ref|WP_006427108.1|	MULTISPECIES: cell division protein MraZ [Dorea] 
gi|493472062|ref|WP_006427109.1|	hypothetical protein [Dorea longicatena] 
gi|493472063|ref|WP_006427110.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472064|ref|WP_006427111.1|	dihydroxyacetone kinase [Dorea longicatena] 
gi|493472065|ref|WP_006427112.1|	cell division protein [Dorea longicatena] 
gi|493472066|ref|WP_006427113.1|	hypothetical protein [Dorea longicatena] 
gi|493472067|ref|WP_006427114.1|	MULTISPECIES: CotJC [Dorea] 
gi|493472068|ref|WP_006427115.1|	hypothetical protein [Dorea longicatena] 
gi|493472069|ref|WP_006427116.1|	1-acyl-sn-glycerol-3-phosphate acyltransferase [Dorea longicatena] 
gi|493472070|ref|WP_006427117.1|	MULTISPECIES: fumarate hydratase [Dorea] 
gi|493472071|ref|WP_006427118.1|	fumarate hydratase [Dorea longicatena] 
gi|493472072|ref|WP_006427119.1|	hypothetical protein [Dorea longicatena] 
gi|493472073|ref|WP_006427120.1|	MULTISPECIES: DNA gyrase subunit A [Dorea] 
gi|493472074|ref|WP_006427121.1|	MULTISPECIES: DNA gyrase subunit B [Dorea] 
gi|493472076|ref|WP_006427123.1|	DNA replication protein RecF [Dorea longicatena] 
gi|493472078|ref|WP_006427125.1|	RNA-binding protein [Dorea longicatena] 
gi|493472080|ref|WP_006427126.1|	DNA polymerase III subunit beta [Dorea longicatena] 
gi|493472081|ref|WP_006427127.1|	chromosomal replication initiator protein DnaA [Dorea longicatena] 
gi|493472082|ref|WP_006427128.1|	50S ribosomal protein L34 [Dorea longicatena] 
gi|493472083|ref|WP_006427129.1|	MULTISPECIES: ribonuclease P [Dorea] 
gi|493472084|ref|WP_006427130.1|	MULTISPECIES: membrane protein insertion efficiency factor [Dorea] 
gi|493472085|ref|WP_006427131.1|	hypothetical protein [Dorea longicatena] 
gi|493472086|ref|WP_006427132.1|	hypothetical protein [Dorea longicatena] 
gi|493472087|ref|WP_006427133.1|	tRNA modification GTPase [Dorea longicatena] 
gi|493472088|ref|WP_006427134.1|	tRNA uridine 5-carboxymethylaminomethyl modification protein [Dorea longicatena] 
gi|493472089|ref|WP_006427135.1|	hypothetical protein [Dorea longicatena] 
gi|493472090|ref|WP_006427136.1|	16S rRNA methyltransferase [Dorea longicatena] 
gi|493472091|ref|WP_006427137.1|	hypothetical protein [Dorea longicatena] 
gi|493472092|ref|WP_006427138.1|	MULTISPECIES: sporulation initiation inhibitor Soj [Dorea] 
gi|493472093|ref|WP_006427139.1|	plasmid stablization protein ParB [Dorea longicatena] 
gi|493472094|ref|WP_006427140.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472095|ref|WP_006427141.1|	MULTISPECIES: seryl-tRNA synthetase [Dorea] 
gi|493472096|ref|WP_006427142.1|	hypothetical protein [Dorea longicatena] 
gi|493472097|ref|WP_006427143.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|493472098|ref|WP_006427144.1|	hypothetical protein [Dorea longicatena] 
gi|493472099|ref|WP_006427145.1|	hypothetical protein [Dorea longicatena] 
gi|493472100|ref|WP_006427146.1|	hypothetical protein [Dorea longicatena] 
gi|491477123|ref|WP_005334864.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|493472101|ref|WP_006427147.1|	hypothetical protein [Dorea longicatena] 
gi|491489492|ref|WP_005347230.1|	MULTISPECIES: choloylglycine hydrolase [Clostridiales] 
gi|491502551|ref|WP_005360232.1|	MULTISPECIES: GTP pyrophosphokinase [Clostridiales] 
gi|493472102|ref|WP_006427148.1|	cardiolipin synthase [Dorea longicatena] 
gi|493472103|ref|WP_006427149.1|	phospholipase [Dorea longicatena] 
gi|493472104|ref|WP_006427150.1|	heme response regulator HssR [Dorea longicatena] 
gi|493472105|ref|WP_006427151.1|	histidine kinase [Dorea longicatena] 
gi|493472106|ref|WP_006427152.1|	hypothetical protein [Dorea longicatena] 
gi|493472107|ref|WP_006427153.1|	phosphatidylglycerophosphate synthase [Dorea longicatena] 
gi|493472108|ref|WP_006427154.1|	hypothetical protein [Dorea longicatena] 
gi|493472109|ref|WP_006427155.1|	hypothetical protein [Dorea longicatena] 
gi|493472110|ref|WP_006427156.1|	hypothetical protein [Dorea longicatena] 
gi|493472111|ref|WP_006427157.1|	hypothetical protein [Dorea longicatena] 
gi|493472113|ref|WP_006427159.1|	GNAT family acetyltransferase [Dorea longicatena] 
gi|493472115|ref|WP_006427161.1|	hypothetical protein [Dorea longicatena] 
gi|493472118|ref|WP_006427163.1|	membrane protein [Dorea longicatena] 
gi|493472119|ref|WP_006427164.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472120|ref|WP_006427165.1|	methyltransferase [Dorea longicatena] 
gi|493472121|ref|WP_006427166.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472122|ref|WP_006427167.1|	hypothetical protein [Dorea longicatena] 
gi|493472123|ref|WP_006427168.1|	multidrug transporter MatE [Dorea longicatena] 
gi|493472124|ref|WP_006427169.1|	hypothetical protein [Dorea longicatena] 
gi|493472125|ref|WP_006427170.1|	glucokinase [Dorea longicatena] 
gi|493472126|ref|WP_006427171.1|	hypothetical protein [Dorea longicatena] 
gi|493472127|ref|WP_006427172.1|	PTS cellobiose transporter subunit IIC [Dorea longicatena] 
gi|493472128|ref|WP_006427173.1|	PTS cellobiose transporter subunit IIA [Dorea longicatena] 
gi|493472129|ref|WP_006427174.1|	6-phospho-beta-glucosidase [Dorea longicatena] 
gi|493472130|ref|WP_006427175.1|	hypothetical protein [Dorea longicatena] 
gi|493472131|ref|WP_006427176.1|	hypothetical protein [Dorea longicatena] 
gi|493472132|ref|WP_006427177.1|	SAM-dependent methyltransferase [Dorea longicatena] 
gi|493472133|ref|WP_006427178.1|	hypothetical protein [Dorea longicatena] 
gi|493472134|ref|WP_006427179.1|	PhoB family transcriptional regulator [Dorea longicatena] 
gi|493472135|ref|WP_006427180.1|	heat-shock protein Hsp90 [Dorea longicatena] 
gi|493472136|ref|WP_006427181.1|	hypothetical protein [Dorea longicatena] 
gi|493472137|ref|WP_006427182.1|	nucleoside-diphosphate sugar epimerase [Dorea longicatena] 
gi|493472138|ref|WP_006427183.1|	hypothetical protein [Dorea longicatena] 
gi|493472139|ref|WP_006427184.1|	hypothetical protein [Dorea longicatena] 
gi|493472140|ref|WP_006427185.1|	hypothetical protein [Dorea longicatena] 
gi|493472141|ref|WP_006427186.1|	hypothetical protein [Dorea longicatena] 
gi|493472142|ref|WP_006427187.1|	beta-glycosyltransferase [Dorea longicatena] 
gi|493472143|ref|WP_006427188.1|	hypothetical protein [Dorea longicatena] 
gi|493472144|ref|WP_006427189.1|	hypothetical protein [Dorea longicatena] 
gi|493472145|ref|WP_006427190.1|	hypothetical protein [Dorea longicatena] 
gi|493472146|ref|WP_006427191.1|	hypothetical protein [Dorea longicatena] 
gi|493472147|ref|WP_006427192.1|	hypothetical protein [Dorea longicatena] 
gi|493472148|ref|WP_006427193.1|	hypothetical protein [Dorea longicatena] 
gi|493472149|ref|WP_006427194.1|	hypothetical protein [Dorea longicatena] 
gi|493472150|ref|WP_006427195.1|	hypothetical protein [Dorea longicatena] 
gi|493472151|ref|WP_006427196.1|	hypothetical protein [Dorea longicatena] 
gi|493472152|ref|WP_006427197.1|	hypothetical protein [Dorea longicatena] 
gi|493472153|ref|WP_006427198.1|	hypothetical protein [Dorea longicatena] 
gi|493472154|ref|WP_006427199.1|	hypothetical protein [Dorea longicatena] 
gi|493472155|ref|WP_006427200.1|	hypothetical protein [Dorea longicatena] 
gi|493472156|ref|WP_006427201.1|	hypothetical protein [Dorea longicatena] 
gi|493472157|ref|WP_006427202.1|	hypothetical protein [Dorea longicatena] 
gi|493472158|ref|WP_006427203.1|	hypothetical protein [Dorea longicatena] 
gi|493472159|ref|WP_006427204.1|	hypothetical protein [Dorea longicatena] 
gi|493472160|ref|WP_006427205.1|	hypothetical protein [Dorea longicatena] 
gi|493472161|ref|WP_006427206.1|	hypothetical protein [Dorea longicatena] 
gi|493472162|ref|WP_006427207.1|	hypothetical protein [Dorea longicatena] 
gi|493472163|ref|WP_006427208.1|	hypothetical protein [Dorea longicatena] 
gi|493472164|ref|WP_006427209.1|	hypothetical protein [Dorea longicatena] 
gi|493472165|ref|WP_006427210.1|	hypothetical protein [Dorea longicatena] 
gi|493472166|ref|WP_006427211.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472167|ref|WP_006427212.1|	coenzyme PQQ synthesis protein [Dorea longicatena] 
gi|493472168|ref|WP_006427213.1|	hypothetical protein [Dorea longicatena] 
gi|493472169|ref|WP_006427214.1|	hypothetical protein [Dorea longicatena] 
gi|493472170|ref|WP_006427215.1|	hypothetical protein [Dorea longicatena] 
gi|493472171|ref|WP_006427216.1|	hypothetical protein [Dorea longicatena] 
gi|493472172|ref|WP_006427217.1|	hypothetical protein [Dorea longicatena] 
gi|493472173|ref|WP_006427218.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472174|ref|WP_006427219.1|	hypothetical protein [Dorea longicatena] 
gi|493472175|ref|WP_006427220.1|	hypothetical protein [Dorea longicatena] 
gi|493472176|ref|WP_006427221.1|	hypothetical protein [Dorea longicatena] 
gi|493472177|ref|WP_006427222.1|	hypothetical protein [Dorea longicatena] 
gi|493472178|ref|WP_006427223.1|	isoleucyl-tRNA synthase [Dorea longicatena] 
gi|493472179|ref|WP_006427224.1|	glycosyl transferase family 35 [Dorea longicatena] 
gi|493472180|ref|WP_006427225.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472181|ref|WP_006427226.1|	peptidase M23 [Dorea longicatena] 
gi|493472182|ref|WP_006427227.1|	hypothetical protein [Dorea longicatena] 
gi|493472183|ref|WP_006427228.1|	hemolysin [Dorea longicatena] 
gi|493472184|ref|WP_006427229.1|	hypothetical protein [Dorea longicatena] 
gi|493472185|ref|WP_006427230.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472186|ref|WP_006427231.1|	Fur family transcriptional regulator [Dorea longicatena] 
gi|493472187|ref|WP_006427232.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472188|ref|WP_006427233.1|	hypothetical protein [Dorea longicatena] 
gi|493472189|ref|WP_006427234.1|	MULTISPECIES: disulfide oxidoreductase [Dorea] 
gi|493472190|ref|WP_006427235.1|	hypothetical protein [Dorea longicatena] 
gi|493472191|ref|WP_006427236.1|	hypothetical protein [Dorea longicatena] 
gi|493471094|ref|WP_006426162.1|	hypothetical protein [Dorea longicatena] 
gi|493472192|ref|WP_006427237.1|	hypothetical protein [Dorea longicatena] 
gi|493472193|ref|WP_006427238.1|	hypothetical protein [Dorea longicatena] 
gi|493472194|ref|WP_006427239.1|	hypothetical protein partial [Dorea longicatena] 
gi|493472195|ref|WP_006427240.1|	hypothetical protein [Dorea longicatena] 
gi|493472196|ref|WP_006427241.1|	hypothetical protein [Dorea longicatena] 
gi|493472200|ref|WP_006427244.1|	hypothetical protein partial [Dorea longicatena] 
gi|491473092|ref|WP_005330844.1|	MULTISPECIES: bacteriocin ABC transporter permease [Clostridiales] 
gi|490991665|ref|WP_004853398.1|	MULTISPECIES: bacteriocin ABC transporter permease [Clostridiales] 
gi|491804171|ref|WP_005609481.1|	MULTISPECIES: lantibiotic ABC transporter ATP-binding protein [Clostridiales] 
gi|493472201|ref|WP_006427245.1|	transcriptional regulator [Dorea longicatena] 
gi|493470991|ref|WP_006426061.1|	hypothetical protein [Dorea longicatena] 
gi|493472202|ref|WP_006427246.1|	transposase [Dorea longicatena] 
gi|493472203|ref|WP_006427247.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472204|ref|WP_006427248.1|	MULTISPECIES: DeoR family transcriptional regulator [Dorea] 
gi|493472205|ref|WP_006427249.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472206|ref|WP_006427250.1|	thioesterase [Dorea longicatena] 
gi|493472207|ref|WP_006427251.1|	hypothetical protein [Dorea longicatena] 
gi|493472208|ref|WP_006427252.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472209|ref|WP_006427253.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472210|ref|WP_006427254.1|	MULTISPECIES: DNA-binding protein [Dorea] 
gi|493472211|ref|WP_006427255.1|	MULTISPECIES: signal recognition particle protein Srp54 [Dorea] 
gi|493472212|ref|WP_006427256.1|	30S ribosomal protein S16 [Dorea longicatena] 
gi|493472213|ref|WP_006427257.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472214|ref|WP_006427258.1|	16S rRNA-processing protein RimM [Dorea longicatena] 
gi|493472215|ref|WP_006427259.1|	MULTISPECIES: tRNA (guanine-N1)-methyltransferase [Dorea] 
gi|493472216|ref|WP_006427260.1|	50S ribosomal protein L19 [Dorea longicatena] 
gi|493472217|ref|WP_006427261.1|	MULTISPECIES: signal peptidase I [Dorea] 
gi|493472218|ref|WP_006427262.1|	MULTISPECIES: GTPase YlqF [Dorea] 
gi|493472220|ref|WP_006427263.1|	hypothetical protein [Dorea longicatena] 
gi|493472221|ref|WP_006427264.1|	ribonuclease HII [Dorea longicatena] 
gi|493472222|ref|WP_006427265.1|	hypothetical protein [Dorea longicatena] 
gi|493472223|ref|WP_006427266.1|	hypothetical protein [Dorea longicatena] 
gi|493472224|ref|WP_006427267.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472225|ref|WP_006427268.1|	mechanosensitive ion channel protein [Dorea longicatena] 
gi|493472226|ref|WP_006427269.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472227|ref|WP_006427270.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472228|ref|WP_006427271.1|	hypothetical protein [Dorea longicatena] 
gi|493472229|ref|WP_006427272.1|	nitrate ABC transporter permease [Dorea longicatena] 
gi|493472230|ref|WP_006427273.1|	MULTISPECIES: spermidine/putrescine ABC transporter ATP-binding protein [Dorea] 
gi|493472231|ref|WP_006427274.1|	hypothetical protein [Dorea longicatena] 
gi|493472232|ref|WP_006427275.1|	argininosuccinate lyase [Dorea longicatena] 
gi|493472233|ref|WP_006427276.1|	MULTISPECIES: aspartate-semialdehyde dehydrogenase [Dorea] 
gi|493472234|ref|WP_006427277.1|	MULTISPECIES: polyphosphate kinase [Dorea] 
