gi|493770745|ref|WP_006719278.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772049|ref|WP_006720568.1|	nucleotide pyrophosphohydrolase [Collinsella stercoris] 
gi|493772050|ref|WP_006720569.1|	membrane protein [Collinsella stercoris] 
gi|493772051|ref|WP_006720570.1|	hypothetical protein [Collinsella stercoris] 
gi|493772052|ref|WP_006720571.1|	hypothetical protein [Collinsella stercoris] 
gi|493772053|ref|WP_006720572.1|	hypothetical protein [Collinsella stercoris] 
gi|493772054|ref|WP_006720573.1|	hypothetical protein [Collinsella stercoris] 
gi|493772055|ref|WP_006720574.1|	hypothetical protein [Collinsella stercoris] 
gi|493772056|ref|WP_006720575.1|	hypothetical protein [Collinsella stercoris] 
gi|493772057|ref|WP_006720576.1|	hypothetical protein [Collinsella stercoris] 
gi|493772058|ref|WP_006720577.1|	pyrroline-5-carboxylate reductase [Collinsella stercoris] 
gi|493772059|ref|WP_006720578.1|	hypothetical protein [Collinsella stercoris] 
gi|493772060|ref|WP_006720579.1|	seryl-tRNA synthetase [Collinsella stercoris] 
gi|493772061|ref|WP_006720580.1|	N-acetylmuramic acid-6-phosphate etherase [Collinsella stercoris] 
gi|493772062|ref|WP_006720581.1|	PTS lactose transporter subunit IIA [Collinsella stercoris] 
gi|493772063|ref|WP_006720582.1|	hypothetical protein [Collinsella stercoris] 
gi|493772064|ref|WP_006720583.1|	hypothetical protein [Collinsella stercoris] 
gi|493772065|ref|WP_006720584.1|	RpiR family transcriptional regulator [Collinsella stercoris] 
gi|493772066|ref|WP_006720585.1|	PTS lactose transporter subunit IIB [Collinsella stercoris] 
gi|493772067|ref|WP_006720586.1|	PTS lactose transporter subunit IIC [Collinsella stercoris] 
gi|493772068|ref|WP_006720587.1|	hypothetical protein [Collinsella stercoris] 
gi|493772069|ref|WP_006720588.1|	hypothetical protein [Collinsella stercoris] 
gi|493772070|ref|WP_006720589.1|	hypothetical protein [Collinsella stercoris] 
gi|493772071|ref|WP_006720590.1|	hypothetical protein [Collinsella stercoris] 
gi|493772072|ref|WP_006720591.1|	hypothetical protein [Collinsella stercoris] 
gi|493772073|ref|WP_006720592.1|	hypothetical protein [Collinsella stercoris] 
gi|493772074|ref|WP_006720593.1|	hypothetical protein [Collinsella stercoris] 
gi|493772075|ref|WP_006720594.1|	membrane protein [Collinsella stercoris] 
gi|493772076|ref|WP_006720595.1|	TetR family transcriptional regulator [Collinsella stercoris] 
gi|493772077|ref|WP_006720596.1|	hypothetical protein [Collinsella stercoris] 
gi|493772078|ref|WP_006720597.1|	hypothetical protein [Collinsella stercoris] 
gi|493772079|ref|WP_006720598.1|	hypothetical protein [Collinsella stercoris] 
gi|493772080|ref|WP_006720599.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Collinsella stercoris] 
gi|493772081|ref|WP_006720600.1|	hypothetical protein [Collinsella stercoris] 
gi|493772082|ref|WP_006720601.1|	NADH oxidase [Collinsella stercoris] 
gi|493772083|ref|WP_006720602.1|	ATPase [Collinsella stercoris] 
gi|493772084|ref|WP_006720603.1|	hypothetical protein [Collinsella stercoris] 
gi|493772085|ref|WP_006720604.1|	hypothetical protein [Collinsella stercoris] 
gi|493772086|ref|WP_006720605.1|	hypothetical protein [Collinsella stercoris] 
gi|493772087|ref|WP_006720606.1|	hypothetical protein [Collinsella stercoris] 
gi|493772088|ref|WP_006720607.1|	hypothetical protein [Collinsella stercoris] 
gi|493772089|ref|WP_006720608.1|	hypothetical protein [Collinsella stercoris] 
gi|493772090|ref|WP_006720609.1|	hypothetical protein [Collinsella stercoris] 
gi|493772091|ref|WP_006720610.1|	hypothetical protein [Collinsella stercoris] 
gi|493772092|ref|WP_006720611.1|	branched-chain amino acid aminotransferase [Collinsella stercoris] 
gi|493772093|ref|WP_006720612.1|	hypothetical protein [Collinsella stercoris] 
gi|493772094|ref|WP_006720613.1|	hypothetical protein [Collinsella stercoris] 
gi|493772095|ref|WP_006720614.1|	orotate phosphoribosyltransferase [Collinsella stercoris] 
gi|493772096|ref|WP_006720615.1|	hypothetical protein [Collinsella stercoris] 
gi|493772097|ref|WP_006720616.1|	phosphoglycolate phosphatase [Collinsella stercoris] 
gi|493772098|ref|WP_006720617.1|	antitoxin HicB [Collinsella stercoris] 
gi|493772099|ref|WP_006720618.1|	peptidoglycan-binding protein [Collinsella stercoris] 
gi|493772100|ref|WP_006720619.1|	thioredoxin [Collinsella stercoris] 
gi|493772101|ref|WP_006720620.1|	hypothetical protein [Collinsella stercoris] 
gi|493772102|ref|WP_006720621.1|	quinolinate synthetase [Collinsella stercoris] 
gi|493772103|ref|WP_006720622.1|	L-aspartate oxidase [Collinsella stercoris] 
gi|493772104|ref|WP_006720623.1|	nicotinate-nucleotide pyrophosphorylase [Collinsella stercoris] 
gi|493772105|ref|WP_006720624.1|	DeoR family transcriptional regulator [Collinsella stercoris] 
gi|493772106|ref|WP_006720625.1|	hypothetical protein [Collinsella stercoris] 
gi|493772107|ref|WP_006720626.1|	hypothetical protein [Collinsella stercoris] 
gi|493772108|ref|WP_006720627.1|	hypothetical protein [Collinsella stercoris] 
gi|493772109|ref|WP_006720628.1|	hypothetical protein [Collinsella stercoris] 
gi|493772110|ref|WP_006720629.1|	hypothetical protein [Collinsella stercoris] 
gi|493772111|ref|WP_006720630.1|	hypothetical protein [Collinsella stercoris] 
gi|493772112|ref|WP_006720631.1|	capsular polysaccharide biosynthesis protein [Collinsella stercoris] 
gi|493772113|ref|WP_006720632.1|	capsular polysaccharide biosynthesis protein Cap8F [Collinsella stercoris] 
gi|493772114|ref|WP_006720633.1|	UDP-N-acetylglucosamine 2-epimerase [Collinsella stercoris] 
gi|493772115|ref|WP_006720634.1|	hypothetical protein [Collinsella stercoris] 
gi|493772116|ref|WP_006720635.1|	hypothetical protein [Collinsella stercoris] 
gi|493772117|ref|WP_006720636.1|	hypothetical protein [Collinsella stercoris] 
gi|493772118|ref|WP_006720637.1|	hypothetical protein [Collinsella stercoris] 
gi|493772119|ref|WP_006720638.1|	hypothetical protein [Collinsella stercoris] 
gi|493772120|ref|WP_006720639.1|	hypothetical protein [Collinsella stercoris] 
gi|493772121|ref|WP_006720640.1|	aspartate aminotransferase [Collinsella stercoris] 
gi|493772122|ref|WP_006720641.1|	glycerol-3-phosphate cytidiltransferase [Collinsella stercoris] 
gi|493772123|ref|WP_006720642.1|	hypothetical protein [Collinsella stercoris] 
gi|493772124|ref|WP_006720643.1|	hypothetical protein [Collinsella stercoris] 
gi|493772125|ref|WP_006720644.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772126|ref|WP_006720645.1|	hypothetical protein [Collinsella stercoris] 
gi|493772127|ref|WP_006720646.1|	hypothetical protein [Collinsella stercoris] 
gi|493772128|ref|WP_006720647.1|	hypothetical protein [Collinsella stercoris] 
gi|493772129|ref|WP_006720648.1|	hypothetical protein [Collinsella stercoris] 
gi|493772130|ref|WP_006720649.1|	ribonucleotide-diphosphate reductase subunit beta [Collinsella stercoris] 
gi|493772131|ref|WP_006720650.1|	ribonucleoside triphosphate reductase [Collinsella stercoris] 
gi|493772132|ref|WP_006720651.1|	hypothetical protein [Collinsella stercoris] 
gi|493772133|ref|WP_006720652.1|	hypothetical protein [Collinsella stercoris] 
gi|493772134|ref|WP_006720653.1|	lactamase [Collinsella stercoris] 
gi|493772135|ref|WP_006720654.1|	hypothetical protein [Collinsella stercoris] 
gi|493772136|ref|WP_006720655.1|	hydrogenase [Collinsella stercoris] 
gi|493772137|ref|WP_006720656.1|	hypothetical protein [Collinsella stercoris] 
gi|493772138|ref|WP_006720657.1|	hypothetical protein [Collinsella stercoris] 
gi|493772139|ref|WP_006720658.1|	NADH dehydrogenase [Collinsella stercoris] 
gi|493772140|ref|WP_006720659.1|	hypothetical protein [Collinsella stercoris] 
gi|493772141|ref|WP_006720660.1|	asparagine synthase [Collinsella stercoris] 
gi|493772142|ref|WP_006720661.1|	UDP-N-acetylmuramyl peptide synthase [Collinsella stercoris] 
gi|493772144|ref|WP_006720662.1|	hypothetical protein [Collinsella stercoris] 
gi|493772145|ref|WP_006720663.1|	4Fe-4S ferredoxin [Collinsella stercoris] 
gi|493772146|ref|WP_006720664.1|	hypothetical protein [Collinsella stercoris] 
gi|493772147|ref|WP_006720665.1|	hypothetical protein [Collinsella stercoris] 
gi|493772148|ref|WP_006720666.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772149|ref|WP_006720667.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772150|ref|WP_006720668.1|	hypothetical protein [Collinsella stercoris] 
gi|493772151|ref|WP_006720669.1|	hypothetical protein [Collinsella stercoris] 
gi|493772152|ref|WP_006720670.1|	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [Collinsella stercoris] 
gi|493772153|ref|WP_006720671.1|	hypothetical protein [Collinsella stercoris] 
gi|493772154|ref|WP_006720672.1|	hypothetical protein [Collinsella stercoris] 
gi|493772155|ref|WP_006720673.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772156|ref|WP_006720674.1|	hypothetical protein [Collinsella stercoris] 
gi|493772157|ref|WP_006720675.1|	hypothetical protein [Collinsella stercoris] 
gi|493772158|ref|WP_006720676.1|	hypothetical protein [Collinsella stercoris] 
gi|493772159|ref|WP_006720677.1|	N-acylglucosamine-6-phosphate 2-epimerase [Collinsella stercoris] 
gi|493772160|ref|WP_006720678.1|	aminotransferase [Collinsella stercoris] 
gi|493772161|ref|WP_006720679.1|	PTS sorbose transporter subunit IIB [Collinsella stercoris] 
gi|493772162|ref|WP_006720680.1|	PTS sorbose transporter subunit IIC [Collinsella stercoris] 
gi|493772163|ref|WP_006720681.1|	mannose permease IID component [Collinsella stercoris] 
gi|493772164|ref|WP_006720682.1|	hypothetical protein [Collinsella stercoris] 
gi|493772165|ref|WP_006720683.1|	magnesium transporter MgtE [Collinsella stercoris] 
gi|493772166|ref|WP_006720684.1|	hypothetical protein [Collinsella stercoris] 
gi|493772167|ref|WP_006720685.1|	hypothetical protein [Collinsella stercoris] 
gi|493772168|ref|WP_006720686.1|	hypothetical protein [Collinsella stercoris] 
gi|493772169|ref|WP_006720687.1|	acyltransferase [Collinsella stercoris] 
gi|493772170|ref|WP_006720688.1|	hypothetical protein [Collinsella stercoris] 
gi|493772171|ref|WP_006720689.1|	hypothetical protein [Collinsella stercoris] 
gi|493772172|ref|WP_006720690.1|	hypothetical protein [Collinsella stercoris] 
gi|493772173|ref|WP_006720691.1|	hypothetical protein [Collinsella stercoris] 
gi|493772174|ref|WP_006720692.1|	hypothetical protein [Collinsella stercoris] 
gi|493772175|ref|WP_006720693.1|	hypothetical protein [Collinsella stercoris] 
gi|493772176|ref|WP_006720694.1|	hypothetical protein [Collinsella stercoris] 
gi|493772177|ref|WP_006720695.1|	multidrug ABC transporter ATP-binding protein [Collinsella stercoris] 
gi|493772178|ref|WP_006720696.1|	sugar ABC transporter ATP-binding protein [Collinsella stercoris] 
gi|493772179|ref|WP_006720697.1|	MFS transporter [Collinsella stercoris] 
gi|493772180|ref|WP_006720698.1|	hypothetical protein [Collinsella stercoris] 
gi|493772181|ref|WP_006720699.1|	hypothetical protein [Collinsella stercoris] 
gi|493772182|ref|WP_006720700.1|	hypothetical protein [Collinsella stercoris] 
gi|493772183|ref|WP_006720701.1|	LytTR family transcriptional regulator [Collinsella stercoris] 
gi|493772184|ref|WP_006720702.1|	phosphodiesterase [Collinsella stercoris] 
gi|493772185|ref|WP_006720703.1|	AsnC family transcriptional regulator [Collinsella stercoris] 
gi|493772186|ref|WP_006720704.1|	adenine glycosylase [Collinsella stercoris] 
gi|493772187|ref|WP_006720705.1|	rubrerythrin [Collinsella stercoris] 
gi|493772188|ref|WP_006720706.1|	hypothetical protein [Collinsella stercoris] 
gi|493772189|ref|WP_006720707.1|	DNA recombination protein RmuC [Collinsella stercoris] 
gi|493772190|ref|WP_006720708.1|	endonuclease III [Collinsella stercoris] 
gi|493772191|ref|WP_006720709.1|	hypothetical protein [Collinsella stercoris] 
gi|493772192|ref|WP_006720710.1|	PTS glucose transporter subunit IIABC [Collinsella stercoris] 
gi|493772193|ref|WP_006720711.1|	6-phospho-alpha-glucosidase [Collinsella stercoris] 
gi|493772194|ref|WP_006720712.1|	hypothetical protein [Collinsella stercoris] 
gi|493772195|ref|WP_006720713.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772196|ref|WP_006720714.1|	transposase [Collinsella stercoris] 
gi|493772197|ref|WP_006720715.1|	hypothetical protein [Collinsella stercoris] 
gi|493772198|ref|WP_006720716.1|	hypothetical protein [Collinsella stercoris] 
gi|493772199|ref|WP_006720717.1|	transcription-repair coupling factor [Collinsella stercoris] 
gi|493772200|ref|WP_006720718.1|	hypothetical protein [Collinsella stercoris] 
gi|493772201|ref|WP_006720719.1|	6-phospho-beta-galactosidase [Collinsella stercoris] 
gi|493772202|ref|WP_006720720.1|	protein-N(pi)-phosphohistidine--sugar phosphotransferase [Collinsella stercoris] 
gi|493772203|ref|WP_006720721.1|	hypothetical protein [Collinsella stercoris] 
gi|493772204|ref|WP_006720722.1|	4Fe-4S ferredoxin [Collinsella stercoris] 
gi|493772205|ref|WP_006720723.1|	hypothetical protein [Collinsella stercoris] 
gi|493772206|ref|WP_006720724.1|	molecular chaperone DnaK [Collinsella stercoris] 
gi|493772207|ref|WP_006720725.1|	molecular chaperone GrpE [Collinsella stercoris] 
gi|493772208|ref|WP_006720726.1|	molecular chaperone DnaJ [Collinsella stercoris] 
gi|493772209|ref|WP_006720727.1|	MerR family transcriptional regulator [Collinsella stercoris] 
gi|493772210|ref|WP_006720728.1|	hypothetical protein [Collinsella stercoris] 
gi|493772211|ref|WP_006720729.1|	hypothetical protein [Collinsella stercoris] 
gi|493772212|ref|WP_006720730.1|	hypothetical protein [Collinsella stercoris] 
gi|493772213|ref|WP_006720731.1|	TetR family transcriptional regulator [Collinsella stercoris] 
gi|493772214|ref|WP_006720732.1|	ATPase AAA [Collinsella stercoris] 
gi|493772215|ref|WP_006720733.1|	hypothetical protein [Collinsella stercoris] 
gi|493772216|ref|WP_006720734.1|	hypothetical protein [Collinsella stercoris] 
gi|493772217|ref|WP_006720735.1|	hypothetical protein [Collinsella stercoris] 
gi|493772218|ref|WP_006720736.1|	DNA methyltransferase [Collinsella stercoris] 
gi|493772219|ref|WP_006720737.1|	hypothetical protein [Collinsella stercoris] 
gi|493772220|ref|WP_006720738.1|	hypothetical protein [Collinsella stercoris] 
gi|493772221|ref|WP_006720739.1|	hypothetical protein [Collinsella stercoris] 
gi|493772222|ref|WP_006720740.1|	hypothetical protein [Collinsella stercoris] 
gi|493772223|ref|WP_006720741.1|	hypothetical protein [Collinsella stercoris] 
gi|493772224|ref|WP_006720742.1|	hypothetical protein [Collinsella stercoris] 
gi|493772225|ref|WP_006720743.1|	hypothetical protein [Collinsella stercoris] 
gi|493772226|ref|WP_006720744.1|	hypothetical protein [Collinsella stercoris] 
gi|493772227|ref|WP_006720745.1|	hypothetical protein [Collinsella stercoris] 
gi|493772228|ref|WP_006720746.1|	hypothetical protein [Collinsella stercoris] 
gi|493772229|ref|WP_006720747.1|	hypothetical protein [Collinsella stercoris] 
gi|493772230|ref|WP_006720748.1|	hypothetical protein [Collinsella stercoris] 
gi|493772231|ref|WP_006720749.1|	hypothetical protein [Collinsella stercoris] 
gi|493772232|ref|WP_006720750.1|	hypothetical protein [Collinsella stercoris] 
gi|493772233|ref|WP_006720751.1|	hypothetical protein [Collinsella stercoris] 
gi|493772234|ref|WP_006720752.1|	hypothetical protein [Collinsella stercoris] 
gi|493772235|ref|WP_006720753.1|	tail protein [Collinsella stercoris] 
gi|493772236|ref|WP_006720754.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772237|ref|WP_006720755.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772238|ref|WP_006720756.1|	hypothetical protein [Collinsella stercoris] 
gi|493772239|ref|WP_006720757.1|	hypothetical protein [Collinsella stercoris] 
gi|493772240|ref|WP_006720758.1|	hypothetical protein [Collinsella stercoris] 
gi|493772241|ref|WP_006720759.1|	hypothetical protein [Collinsella stercoris] 
gi|493772242|ref|WP_006720760.1|	hypothetical protein [Collinsella stercoris] 
gi|493772243|ref|WP_006720761.1|	hypothetical protein [Collinsella stercoris] 
gi|493772244|ref|WP_006720762.1|	hypothetical protein [Collinsella stercoris] 
gi|493772245|ref|WP_006720763.1|	hypothetical protein [Collinsella stercoris] 
gi|493772246|ref|WP_006720764.1|	hypothetical protein [Collinsella stercoris] 
gi|493772247|ref|WP_006720765.1|	hypothetical protein [Collinsella stercoris] 
gi|493772248|ref|WP_006720766.1|	hypothetical protein [Collinsella stercoris] 
gi|493772249|ref|WP_006720767.1|	antirepressor [Collinsella stercoris] 
gi|493772250|ref|WP_006720768.1|	hypothetical protein [Collinsella stercoris] 
gi|493772251|ref|WP_006720769.1|	hypothetical protein [Collinsella stercoris] 
gi|493772252|ref|WP_006720770.1|	hypothetical protein [Collinsella stercoris] 
gi|493772253|ref|WP_006720771.1|	hypothetical protein [Collinsella stercoris] 
gi|493772254|ref|WP_006720772.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772255|ref|WP_006720773.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772256|ref|WP_006720774.1|	hypothetical protein [Collinsella stercoris] 
gi|493772257|ref|WP_006720775.1|	hypothetical protein [Collinsella stercoris] 
gi|493772258|ref|WP_006720776.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772259|ref|WP_006720777.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772260|ref|WP_006720778.1|	hypothetical protein [Collinsella stercoris] 
gi|493772261|ref|WP_006720779.1|	single-stranded DNA-binding protein [Collinsella stercoris] 
gi|493772262|ref|WP_006720780.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772263|ref|WP_006720781.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772264|ref|WP_006720782.1|	hypothetical protein [Collinsella stercoris] 
gi|493772265|ref|WP_006720783.1|	hypothetical protein partial [Collinsella stercoris] 
