gi|490373514|ref|WP_004253117.1|	membrane protein [Providencia rettgeri] 
gi|490377093|ref|WP_004256692.1|	pyridoxal phosphate phosphatase [Providencia rettgeri] 
gi|490377097|ref|WP_004256696.1|	ROK family protein [Providencia rettgeri] 
gi|490377099|ref|WP_004256698.1|	N-acetylglucosamine-6-phosphate deacetylase [Providencia rettgeri] 
gi|490377115|ref|WP_004256714.1|	glucosamine-6-phosphate deaminase [Providencia rettgeri] 
gi|490377116|ref|WP_004256715.1|	ABC transporter permease [Providencia rettgeri] 
gi|490377119|ref|WP_004256718.1|	D-mannonate oxidoreductase [Providencia rettgeri] 
gi|490377122|ref|WP_004256721.1|	molybdate ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490377125|ref|WP_004256724.1|	molybdate ABC transporter permease [Providencia rettgeri] 
gi|490377127|ref|WP_004256726.1|	molybdenum ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490377129|ref|WP_004256728.1|	deubiquitinase SseL(Deubiquitinating enzyme) [Providencia rettgeri] 
gi|490377132|ref|WP_004256731.1|	membrane protein [Providencia rettgeri] 
gi|490377133|ref|WP_004256732.1|	transcriptional regulator [Providencia rettgeri] 
gi|490377134|ref|WP_004256733.1|	molybdenum ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490377136|ref|WP_004256735.1|	CAAX amino protease [Providencia rettgeri] 
gi|490377137|ref|WP_004256736.1|	phosphoesterase [Providencia rettgeri] 
gi|490377138|ref|WP_004256737.1|	oligogalacturonate-specific porin protein family protein [Providencia rettgeri] 
gi|490377139|ref|WP_004256738.1|	multiphosphoryl transfer protein 2 [Providencia rettgeri] 
gi|490377142|ref|WP_004256741.1|	sugar hydrolase [Providencia rettgeri] 
gi|490377144|ref|WP_004256743.1|	PTS mannose transporter subunit IIAB [Providencia rettgeri] 
gi|490377147|ref|WP_004256746.1|	PTS sugar transporter subunit IIC [Providencia rettgeri] 
gi|490377150|ref|WP_004256749.1|	hypothetical protein [Providencia rettgeri] 
gi|490377153|ref|WP_004256752.1|	phosphoglyceromutase [Providencia rettgeri] 
gi|490377155|ref|WP_004256754.1|	hypothetical protein [Providencia rettgeri] 
gi|490377157|ref|WP_004256756.1|	hypothetical protein [Providencia rettgeri] 
gi|490377159|ref|WP_004256758.1|	phospho-2-dehydro-3-deoxyheptonate aldolase [Providencia rettgeri] 
gi|490377161|ref|WP_004256760.1|	nicotinamide riboside transporter PnuC [Providencia rettgeri] 
gi|490377169|ref|WP_004256768.1|	quinolinate synthetase [Providencia rettgeri] 
gi|490377172|ref|WP_004256771.1|	hypothetical protein [Providencia rettgeri] 
gi|490377175|ref|WP_004256774.1|	hypothetical protein [Providencia rettgeri] 
gi|490377178|ref|WP_004256777.1|	tol-pal system protein YbgF [Providencia rettgeri] 
gi|490377181|ref|WP_004256780.1|	peptidoglycan-associated outer membrane lipoprotein [Providencia rettgeri] 
gi|490377183|ref|WP_004256782.1|	translocation protein TolB [Providencia rettgeri] 
gi|490377185|ref|WP_004256784.1|	cell division protein FtsX [Providencia rettgeri] 
gi|490377187|ref|WP_004256786.1|	colicin transporter [Providencia rettgeri] 
gi|490377188|ref|WP_004256787.1|	colicin transporter [Providencia rettgeri] 
gi|490377190|ref|WP_004256789.1|	acyl-CoA thioesterase [Providencia rettgeri] 
gi|490377192|ref|WP_004256791.1|	hypothetical protein [Providencia rettgeri] 
gi|490377193|ref|WP_004256792.1|	hypothetical protein [Providencia rettgeri] 
gi|490377195|ref|WP_004256794.1|	cytochrome BD oxidase subunit II [Providencia rettgeri] 
gi|490377200|ref|WP_004256799.1|	cytochrome BD oxidase subunit I [Providencia rettgeri] 
gi|490377205|ref|WP_004256804.1|	hypothetical protein [Providencia rettgeri] 
gi|490377209|ref|WP_004256808.1|	succinyl-CoA synthetase subunit alpha [Providencia rettgeri] 
gi|490377213|ref|WP_004256812.1|	malate--CoA ligase subunit beta [Providencia rettgeri] 
gi|490377216|ref|WP_004256815.1|	dihydrolipoamide succinyltransferase [Providencia rettgeri] 
gi|490377221|ref|WP_004256820.1|	2-oxoglutarate dehydrogenase E1 [Providencia rettgeri] 
gi|490377225|ref|WP_004256824.1|	succinate dehydrogenase iron-sulfur subunit [Providencia rettgeri] 
gi|490377230|ref|WP_004256829.1|	succinate dehydrogenase flavoprotein subunit [Providencia rettgeri] 
gi|490377233|ref|WP_004256832.1|	succinate dehydrogenase cytochrome b556 small membrane subunit [Providencia rettgeri] 
gi|490377241|ref|WP_004256840.1|	succinate dehydrogenase cytochrome b556 large membrane subunit [Providencia rettgeri] 
gi|490377243|ref|WP_004256842.1|	type II citrate synthase [Providencia rettgeri] 
gi|490377246|ref|WP_004256845.1|	AraC family transcriptional regulator [Providencia rettgeri] 
gi|490377249|ref|WP_004256848.1|	major facilitator transporter [Providencia rettgeri] 
gi|490377268|ref|WP_004256867.1|	sodium/potassium-transporting ATPase subunit beta-3 [Providencia rettgeri] 
gi|490377271|ref|WP_004256870.1|	hypothetical protein [Providencia rettgeri] 
gi|490377275|ref|WP_004256874.1|	LemA protein [Providencia rettgeri] 
gi|490377281|ref|WP_004256880.1|	PAAR motif protein [Providencia rettgeri] 
gi|490377285|ref|WP_004256884.1|	hypothetical protein [Providencia rettgeri] 
gi|490377291|ref|WP_004256890.1|	hypothetical protein [Providencia rettgeri] 
gi|490377294|ref|WP_004256893.1|	hypothetical protein [Providencia rettgeri] 
gi|490377299|ref|WP_004256898.1|	hypothetical protein [Providencia rettgeri] 
gi|490377303|ref|WP_004256902.1|	lipase [Providencia rettgeri] 
gi|490377307|ref|WP_004256906.1|	hypothetical protein [Providencia rettgeri] 
gi|490377311|ref|WP_004256910.1|	triacylglycerol lipase [Providencia rettgeri] 
gi|490377314|ref|WP_004256913.1|	hypothetical protein [Providencia rettgeri] 
gi|490377316|ref|WP_004256915.1|	type VI secretion protein [Providencia rettgeri] 
gi|490377317|ref|WP_004256916.1|	PAAR motif protein family protein [Providencia rettgeri] 
gi|490377318|ref|WP_004256917.1|	metal-binding protein [Providencia rettgeri] 
gi|490377319|ref|WP_004256918.1|	hypothetical protein [Providencia rettgeri] 
gi|490377320|ref|WP_004256919.1|	putative periplasmic protein [Providencia rettgeri] 
gi|490377322|ref|WP_004256921.1|	hypothetical protein [Providencia rettgeri] 
gi|490377325|ref|WP_004256924.1|	potassium-transporting ATPase subunit A [Providencia rettgeri] 
gi|490377327|ref|WP_004256926.1|	potassium-transporting ATPase subunit B [Providencia rettgeri] 
gi|490377329|ref|WP_004256928.1|	potassium-transporting ATPase subunit C [Providencia rettgeri] 
gi|490377332|ref|WP_004256931.1|	sensor protein KdpD [Providencia rettgeri] 
gi|490377335|ref|WP_004256934.1|	transcriptional regulator [Providencia rettgeri] 
gi|490377338|ref|WP_004256937.1|	hypothetical protein [Providencia rettgeri] 
gi|490377341|ref|WP_004256940.1|	glutaminyl-tRNA synthetase [Providencia rettgeri] 
gi|490377344|ref|WP_004256943.1|	permease [Providencia rettgeri] 
gi|490377346|ref|WP_004256945.1|	Sel1 repeat family protein [Providencia rettgeri] 
gi|490377349|ref|WP_004256948.1|	cloacin [Providencia rettgeri] 
gi|490377352|ref|WP_004256951.1|	PTS N-acetylglucosamine transporter subunit IIABC [Providencia rettgeri] 
gi|490377355|ref|WP_004256954.1|	glucosamine-6-phosphate deaminase [Providencia rettgeri] 
gi|490377358|ref|WP_004256957.1|	N-acetylglucosamine-6-phosphate deacetylase [Providencia rettgeri] 
gi|490377361|ref|WP_004256960.1|	transcriptional regulator [Providencia rettgeri] 
gi|490377364|ref|WP_004256963.1|	hypothetical protein [Providencia rettgeri] 
gi|490377369|ref|WP_004256968.1|	C4-dicarboxylate ABC transporter [Providencia rettgeri] 
gi|490377373|ref|WP_004256972.1|	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase [Providencia rettgeri] 
gi|490377376|ref|WP_004256975.1|	(dimethylallyl)adenosine tRNA methylthiotransferase [Providencia rettgeri] 
gi|490377378|ref|WP_004256977.1|	nucleoside triphosphate hydrolase [Providencia rettgeri] 
gi|490377390|ref|WP_004256989.1|	metal-binding heat shock protein [Providencia rettgeri] 
gi|490377393|ref|WP_004256992.1|	cobalt transporter [Providencia rettgeri] 
gi|490377396|ref|WP_004256995.1|	apolipoprotein N-acyltransferase [Providencia rettgeri] 
gi|490377399|ref|WP_004256998.1|	sugar kinase [Providencia rettgeri] 
gi|490377402|ref|WP_004257001.1|	hypothetical protein [Providencia rettgeri] 
gi|490377406|ref|WP_004257005.1|	NUDIX hydrolase [Providencia rettgeri] 
gi|490377410|ref|WP_004257009.1|	protein K [Providencia rettgeri] 
gi|490377413|ref|WP_004257012.1|	hypothetical protein [Providencia rettgeri] 
gi|490377417|ref|WP_004257016.1|	copper-sensitivity protein C [Providencia rettgeri] 
gi|490377422|ref|WP_004257021.1|	membrane protein [Providencia rettgeri] 
gi|490377428|ref|WP_004257027.1|	hypothetical protein [Providencia rettgeri] 
gi|490377431|ref|WP_004257030.1|	hypothetical protein [Providencia rettgeri] 
gi|490377434|ref|WP_004257033.1|	amino acid transporter [Providencia rettgeri] 
gi|490377437|ref|WP_004257036.1|	glutamate/aspartate ABC transporter permease GltJ [Providencia rettgeri] 
gi|490377440|ref|WP_004257039.1|	glutamate/aspartate transporter permease GltK [Providencia rettgeri] 
gi|490377442|ref|WP_004257041.1|	arginine ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490377444|ref|WP_004257043.1|	leucyl-tRNA synthetase [Providencia rettgeri] 
gi|490377449|ref|WP_004257048.1|	LPS-assembly lipoprotein RlpB [Providencia rettgeri] 
gi|490377454|ref|WP_004257053.1|	DNA polymerase III subunit delta [Providencia rettgeri] 
gi|490377457|ref|WP_004257056.1|	nicotinic acid mononucleotide adenylyltransferase [Providencia rettgeri] 
gi|490377460|ref|WP_004257059.1|	putative inner membrane protein [Providencia rettgeri] 
gi|490377464|ref|WP_004257063.1|	ribosome-associated protein [Providencia rettgeri] 
gi|490377468|ref|WP_004257066.1|	50S rRNA methyltransferase [Providencia rettgeri] 
gi|490377470|ref|WP_004257068.1|	penicillin-binding protein 2 [Providencia rettgeri] 
gi|490377473|ref|WP_004257071.1|	cell wall shape-determining protein [Providencia rettgeri] 
gi|490377476|ref|WP_004257074.1|	hypothetical protein [Providencia rettgeri] 
gi|490377478|ref|WP_004257076.1|	D-alanyl-D-alanine carboxypeptidase [Providencia rettgeri] 
gi|490377485|ref|WP_004257083.1|	MULTISPECIES: hypothetical protein [Providencia] 
gi|490377488|ref|WP_004257086.1|	lipoate-protein ligase B [Providencia rettgeri] 
gi|490377490|ref|WP_004257088.1|	lipoyl synthase [Providencia rettgeri] 
gi|490377501|ref|WP_004257099.1|	RNA chaperone/anti-terminator [Providencia rettgeri] 
gi|490377503|ref|WP_004257101.1|	methylated-DNA-protein-cysteine methyltransferase [Providencia rettgeri] 
gi|490377505|ref|WP_004257103.1|	glutaredoxin [Providencia rettgeri] 
gi|490377507|ref|WP_004257105.1|	ribonucleotide reductase [Providencia rettgeri] 
gi|490377509|ref|WP_004257107.1|	ribonucleotide-diphosphate reductase subunit alpha [Providencia rettgeri] 
gi|490377511|ref|WP_004257109.1|	ribonucleotide-diphosphate reductase subunit beta [Providencia rettgeri] 
gi|490377513|ref|WP_004257111.1|	glycine/betaine ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490377516|ref|WP_004257114.1|	glycine betaine transporter membrane protein [Providencia rettgeri] 
gi|490377521|ref|WP_004257119.1|	glycine/betaine ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490377523|ref|WP_004257121.1|	transporter [Providencia rettgeri] 
gi|490377526|ref|WP_004257124.1|	transcriptional regulator [Providencia rettgeri] 
gi|490377529|ref|WP_004257127.1|	multidrug transporter [Providencia rettgeri] 
gi|490377532|ref|WP_004257130.1|	hypothetical protein [Providencia rettgeri] 
gi|490377536|ref|WP_004257134.1|	drug resistance transporter EmrB/QacA subfamily [Providencia rettgeri] 
gi|490377540|ref|WP_004257138.1|	methyltransferase [Providencia rettgeri] 
gi|490377542|ref|WP_004257140.1|	hypothetical protein [Providencia rettgeri] 
gi|490377545|ref|WP_004257143.1|	protein lysine acetyltransferase [Providencia rettgeri] 
gi|490377547|ref|WP_004257145.1|	phosphatidylserine synthase [Providencia rettgeri] 
gi|490377549|ref|WP_004257147.1|	hypothetical protein [Providencia rettgeri] 
gi|490377551|ref|WP_004257149.1|	antibiotic biosynthesis monooxygenase [Providencia rettgeri] 
gi|490377553|ref|WP_004257151.1|	amino acid-binding protein [Providencia rettgeri] 
gi|490377555|ref|WP_004257153.1|	ArsR family transcriptional regulator [Providencia rettgeri] 
gi|490377564|ref|WP_004257162.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490377567|ref|WP_004257165.1|	integrase [Providencia rettgeri] 
gi|490377570|ref|WP_004257168.1|	membrane protein [Providencia rettgeri] 
gi|490377572|ref|WP_004257170.1|	long-chain fatty acid outer membrane transporter [Providencia rettgeri] 
gi|490377575|ref|WP_004257173.1|	hypothetical protein [Providencia rettgeri] 
gi|490377576|ref|WP_004257174.1|	3-ketoacyl-CoA thiolase [Providencia rettgeri] 
gi|490377590|ref|WP_004257188.1|	fatty-acid oxidation protein subunit alpha [Providencia rettgeri] 
gi|490377592|ref|WP_004257190.1|	phosphohistidine phosphatase SixA [Providencia rettgeri] 
gi|490377594|ref|WP_004257192.1|	peptidase S10 [Providencia rettgeri] 
gi|490377596|ref|WP_004257194.1|	imidazolonepropionase [Providencia rettgeri] 
gi|490377598|ref|WP_004257196.1|	histidine utilization repressor [Providencia rettgeri] 
gi|490377600|ref|WP_004257198.1|	urocanate hydratase [Providencia rettgeri] 
gi|490377601|ref|WP_004257199.1|	histidine ammonia-lyase [Providencia rettgeri] 
gi|490377603|ref|WP_004257201.1|	permease [Providencia rettgeri] 
gi|490377604|ref|WP_004257202.1|	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase [Providencia rettgeri] 
gi|490377608|ref|WP_004257206.1|	chorismate synthase [Providencia rettgeri] 
gi|490377611|ref|WP_004257209.1|	membrane protein [Providencia rettgeri] 
gi|490377614|ref|WP_004257212.1|	hypothetical protein [Providencia rettgeri] 
gi|490377619|ref|WP_004257217.1|	hypothetical protein [Providencia rettgeri] 
gi|490377630|ref|WP_004257228.1|	GNAT family acetyltransferase [Providencia rettgeri] 
gi|490377634|ref|WP_004257232.1|	tRNA methyltransferase [Providencia rettgeri] 
gi|490377636|ref|WP_004257234.1|	3-oxoacyl-ACP synthase [Providencia rettgeri] 
gi|490377639|ref|WP_004257237.1|	hypothetical protein [Providencia rettgeri] 
gi|490377642|ref|WP_004257240.1|	tripartite tricarboxylate transporter TctA [Providencia rettgeri] 
gi|490377643|ref|WP_004257241.1|	membrane protein [Providencia rettgeri] 
gi|490377645|ref|WP_004257243.1|	tricarboxylic transport membrane protein [Providencia rettgeri] 
gi|490377649|ref|WP_004257247.1|	transcriptional regulator [Providencia rettgeri] 
gi|490377652|ref|WP_004257250.1|	signal transduction histidine kinase [Providencia rettgeri] 
gi|490377655|ref|WP_004257253.1|	hypothetical protein [Providencia rettgeri] 
gi|490377658|ref|WP_004257256.1|	UbiD family decarboxylase [Providencia rettgeri] 
gi|490377661|ref|WP_004257259.1|	hypothetical protein [Providencia rettgeri] 
gi|490377665|ref|WP_004257263.1|	multidrug DMT transporter [Providencia rettgeri] 
gi|490377670|ref|WP_004257268.1|	AraC family transcriptional regulator [Providencia rettgeri] 
gi|490377674|ref|WP_004257272.1|	erythronate-4-phosphate dehydrogenase [Providencia rettgeri] 
gi|490377677|ref|WP_004257275.1|	semialdehyde dehydrogenase [Providencia rettgeri] 
gi|490377681|ref|WP_004257279.1|	tRNA pseudouridine synthase A [Providencia rettgeri] 
gi|490377686|ref|WP_004257284.1|	membrane protein [Providencia rettgeri] 
gi|490377689|ref|WP_004257287.1|	acetyl-CoA carboxylase subunit beta [Providencia rettgeri] 
gi|490377692|ref|WP_004257290.1|	bifunctional folylpolyglutamate synthase/ dihydrofolate synthase [Providencia rettgeri] 
gi|490377698|ref|WP_004257296.1|	protein DedD [Providencia rettgeri] 
gi|490377702|ref|WP_004257300.1|	hypothetical protein [Providencia rettgeri] 
gi|490377706|ref|WP_004257304.1|	colicin V production protein [Providencia rettgeri] 
gi|490377709|ref|WP_004257307.1|	amidophosphoribosyltransferase [Providencia rettgeri] 
gi|490377713|ref|WP_004257311.1|	hypothetical protein [Providencia rettgeri] 
gi|490377719|ref|WP_004257317.1|	3-octaprenyl-4-hydroxybenzoate carboxy-lyase [Providencia rettgeri] 
gi|490377722|ref|WP_004257320.1|	epimerase [Providencia rettgeri] 
gi|490377725|ref|WP_004257323.1|	hypothetical protein [Providencia rettgeri] 
gi|490377728|ref|WP_004257326.1|	hypothetical protein [Providencia rettgeri] 
gi|490377730|ref|WP_004257328.1|	NUDIX hydrolase [Providencia rettgeri] 
gi|490377735|ref|WP_004257333.1|	peptidase M24 [Providencia rettgeri] 
gi|490377739|ref|WP_004257337.1|	membrane protein [Providencia rettgeri] 
gi|490377743|ref|WP_004257341.1|	sodium:solute symporter [Providencia rettgeri] 
gi|490377748|ref|WP_004257346.1|	phosphate acetyltransferase [Providencia rettgeri] 
gi|490377751|ref|WP_004257349.1|	acetate kinase [Providencia rettgeri] 
gi|490377755|ref|WP_004257353.1|	hypothetical protein [Providencia rettgeri] 
gi|490377758|ref|WP_004257356.1|	hypothetical protein [Providencia rettgeri] 
gi|490377762|ref|WP_004257360.1|	hypothetical protein [Providencia rettgeri] 
gi|490377765|ref|WP_004257363.1|	hypothetical protein [Providencia rettgeri] 
gi|490377769|ref|WP_004257367.1|	filamentous hemagglutinin family protein partial [Providencia rettgeri] 
gi|490377772|ref|WP_004257370.1|	D,D-heptose 1,7-bisphosphate phosphatase [Providencia rettgeri] 
gi|490377775|ref|WP_004257373.1|	methionine ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490377777|ref|WP_004257375.1|	methionine ABC transporter permease [Providencia rettgeri] 
gi|490377780|ref|WP_004257378.1|	methionine ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490377782|ref|WP_004257380.1|	membrane protein [Providencia rettgeri] 
gi|490377784|ref|WP_004257382.1|	hypothetical protein [Providencia rettgeri] 
gi|490377785|ref|WP_004257383.1|	prolyl-tRNA synthetase [Providencia rettgeri] 
gi|490377787|ref|WP_004257385.1|	hypothetical protein [Providencia rettgeri] 
gi|490377789|ref|WP_004257387.1|	diacetylchitobiose-6-phosphate hydrolase [Providencia rettgeri] 
gi|490377792|ref|WP_004257390.1|	transcriptional regulator [Providencia rettgeri] 
