gi|490456691|ref|WP_004327459.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490457769|ref|WP_004328495.1|	hypothetical protein [Alistipes putredinis] 
gi|490457770|ref|WP_004328496.1|	hypothetical protein [Alistipes putredinis] 
gi|490457771|ref|WP_004328497.1|	hypothetical protein [Alistipes putredinis] 
gi|490457772|ref|WP_004328498.1|	hypothetical protein [Alistipes putredinis] 
gi|490457773|ref|WP_004328499.1|	hypothetical protein [Alistipes putredinis] 
gi|490457774|ref|WP_004328500.1|	hypothetical protein [Alistipes putredinis] 
gi|490456700|ref|WP_004327467.1|	hypothetical protein [Alistipes putredinis] 
gi|490457775|ref|WP_004328501.1|	hypothetical protein [Alistipes putredinis] 
gi|490456698|ref|WP_004327465.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457776|ref|WP_004328502.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490456697|ref|WP_004327464.1|	MULTISPECIES: sporulation protein [Alistipes] 
gi|490457777|ref|WP_004328503.1|	hypothetical protein [Alistipes putredinis] 
gi|490457778|ref|WP_004328504.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457779|ref|WP_004328505.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457780|ref|WP_004328506.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457781|ref|WP_004328507.1|	hypothetical protein [Alistipes putredinis] 
gi|490457782|ref|WP_004328508.1|	LuxR family transcriptional regulator [Alistipes putredinis] 
gi|490457783|ref|WP_004328509.1|	transposase [Alistipes putredinis] 
gi|490457784|ref|WP_004328510.1|	transposase [Alistipes putredinis] 
gi|490457785|ref|WP_004328511.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457786|ref|WP_004328512.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457787|ref|WP_004328513.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457788|ref|WP_004328514.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457789|ref|WP_004328515.1|	MULTISPECIES: von Willebrand factor A [Bacteroidales] 
gi|490457790|ref|WP_004328516.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457791|ref|WP_004328517.1|	MULTISPECIES: ATPase [Bacteroidales] 
gi|490457792|ref|WP_004328518.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457793|ref|WP_004328519.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457794|ref|WP_004328520.1|	hypothetical protein [Alistipes putredinis] 
gi|490457795|ref|WP_004328521.1|	hypothetical protein [Alistipes putredinis] 
gi|490457796|ref|WP_004328522.1|	hypothetical protein [Alistipes putredinis] 
gi|490457799|ref|WP_004328525.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457801|ref|WP_004328527.1|	hypothetical protein [Alistipes putredinis] 
gi|490457803|ref|WP_004328528.1|	hypothetical protein [Alistipes putredinis] 
gi|490457804|ref|WP_004328529.1|	hypothetical protein [Alistipes putredinis] 
gi|490457805|ref|WP_004328530.1|	hypothetical protein [Alistipes putredinis] 
gi|490457806|ref|WP_004328531.1|	hypothetical protein [Alistipes putredinis] 
gi|490457807|ref|WP_004328532.1|	hypothetical protein [Alistipes putredinis] 
gi|490457808|ref|WP_004328533.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457809|ref|WP_004328534.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457810|ref|WP_004328535.1|	hypothetical protein [Alistipes putredinis] 
gi|490457812|ref|WP_004328536.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457813|ref|WP_004328537.1|	hypothetical protein [Alistipes putredinis] 
gi|490457814|ref|WP_004328538.1|	integrase [Alistipes putredinis] 
gi|490457815|ref|WP_004328539.1|	hypothetical protein [Alistipes putredinis] 
gi|490457816|ref|WP_004328540.1|	hypothetical protein [Alistipes putredinis] 
gi|490457817|ref|WP_004328541.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457818|ref|WP_004328542.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457819|ref|WP_004328543.1|	hypothetical protein [Alistipes putredinis] 
gi|490457820|ref|WP_004328544.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457821|ref|WP_004328545.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457822|ref|WP_004328546.1|	hypothetical protein [Alistipes putredinis] 
gi|490457823|ref|WP_004328547.1|	hypothetical protein [Alistipes putredinis] 
gi|490457824|ref|WP_004328548.1|	hypothetical protein [Alistipes putredinis] 
gi|490457825|ref|WP_004328549.1|	hypothetical protein [Alistipes putredinis] 
gi|490457826|ref|WP_004328550.1|	hypothetical protein [Alistipes putredinis] 
gi|490457827|ref|WP_004328551.1|	hypothetical protein [Alistipes putredinis] 
gi|490457828|ref|WP_004328552.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457829|ref|WP_004328553.1|	hypothetical protein [Alistipes putredinis] 
gi|490431885|ref|WP_004303996.1|	MULTISPECIES: phage portal protein [Bacteroidales] 
gi|490421252|ref|WP_004293512.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490421251|ref|WP_004293511.1|	MULTISPECIES: DNA-binding protein [Bacteroidales] 
gi|490457830|ref|WP_004328554.1|	hypothetical protein [Alistipes putredinis] 
gi|490457831|ref|WP_004328555.1|	hypothetical protein [Alistipes putredinis] 
gi|490421248|ref|WP_004293508.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457832|ref|WP_004328556.1|	hypothetical protein [Alistipes putredinis] 
gi|490457833|ref|WP_004328557.1|	hypothetical protein [Alistipes putredinis] 
gi|490457834|ref|WP_004328558.1|	MULTISPECIES: cupin [Alistipes] 
gi|490457835|ref|WP_004328559.1|	MULTISPECIES: cytochrome C biogenesis protein [Alistipes] 
gi|490457836|ref|WP_004328560.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457837|ref|WP_004328561.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457838|ref|WP_004328562.1|	hypothetical protein [Alistipes putredinis] 
gi|490457839|ref|WP_004328563.1|	hypothetical protein [Alistipes putredinis] 
gi|490457840|ref|WP_004328564.1|	hypothetical protein [Alistipes putredinis] 
gi|490457841|ref|WP_004328565.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457842|ref|WP_004328566.1|	hypothetical protein [Alistipes putredinis] 
gi|490457843|ref|WP_004328567.1|	hypothetical protein [Alistipes putredinis] 
gi|490457844|ref|WP_004328568.1|	hypothetical protein [Alistipes putredinis] 
gi|490457845|ref|WP_004328569.1|	hypothetical protein [Alistipes putredinis] 
gi|490457846|ref|WP_004328570.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457847|ref|WP_004328571.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457848|ref|WP_004328572.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457849|ref|WP_004328573.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457850|ref|WP_004328574.1|	hypothetical protein [Alistipes putredinis] 
gi|490457851|ref|WP_004328575.1|	MULTISPECIES: metallophosphatase [Bacteroidales] 
gi|490457852|ref|WP_004328576.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490457853|ref|WP_004328577.1|	MULTISPECIES: metallophosphatase [Bacteroidales] 
gi|490457854|ref|WP_004328578.1|	MULTISPECIES: XRE family transcriptional regulator [Bacteroidales] 
gi|490457855|ref|WP_004328579.1|	ATP-dependent DNA helicase RecG [Alistipes putredinis] 
gi|490457856|ref|WP_004328580.1|	hypothetical protein [Alistipes putredinis] 
gi|490457857|ref|WP_004328581.1|	hypothetical protein [Alistipes putredinis] 
gi|490457858|ref|WP_004328582.1|	hypothetical protein [Alistipes putredinis] 
gi|490457859|ref|WP_004328583.1|	hypothetical protein [Alistipes putredinis] 
gi|490457860|ref|WP_004328584.1|	hypothetical protein [Alistipes putredinis] 
gi|490457861|ref|WP_004328585.1|	hypothetical protein [Alistipes putredinis] 
gi|490457862|ref|WP_004328586.1|	hypothetical protein [Alistipes putredinis] 
gi|490457863|ref|WP_004328587.1|	hypothetical protein [Alistipes putredinis] 
gi|490457864|ref|WP_004328588.1|	hypothetical protein [Alistipes putredinis] 
gi|490457865|ref|WP_004328589.1|	hypothetical protein [Alistipes putredinis] 
gi|490457866|ref|WP_004328590.1|	hypothetical protein [Alistipes putredinis] 
gi|490457868|ref|WP_004328591.1|	hypothetical protein [Alistipes putredinis] 
gi|490457869|ref|WP_004328592.1|	hypothetical protein [Alistipes putredinis] 
gi|490457870|ref|WP_004328593.1|	hypothetical protein [Alistipes putredinis] 
gi|490457872|ref|WP_004328595.1|	hypothetical protein [Alistipes putredinis] 
gi|490457874|ref|WP_004328597.1|	hypothetical protein [Alistipes putredinis] 
gi|490457876|ref|WP_004328598.1|	hypothetical protein [Alistipes putredinis] 
gi|490457877|ref|WP_004328599.1|	integrase [Alistipes putredinis] 
gi|490457878|ref|WP_004328600.1|	hypothetical protein [Alistipes putredinis] 
gi|490457879|ref|WP_004328601.1|	hypothetical protein [Alistipes putredinis] 
gi|490457880|ref|WP_004328602.1|	hypothetical protein [Alistipes putredinis] 
gi|490457881|ref|WP_004328603.1|	hypothetical protein [Alistipes putredinis] 
gi|490457882|ref|WP_004328604.1|	hypothetical protein [Alistipes putredinis] 
gi|490457883|ref|WP_004328605.1|	hypothetical protein [Alistipes putredinis] 
gi|490457884|ref|WP_004328606.1|	hypothetical protein [Alistipes putredinis] 
gi|490457885|ref|WP_004328607.1|	hypothetical protein [Alistipes putredinis] 
gi|490457886|ref|WP_004328608.1|	hypothetical protein [Alistipes putredinis] 
gi|490457887|ref|WP_004328609.1|	hypothetical protein [Alistipes putredinis] 
gi|490457888|ref|WP_004328610.1|	hypothetical protein [Alistipes putredinis] 
gi|490457889|ref|WP_004328611.1|	hypothetical protein [Alistipes putredinis] 
gi|490457890|ref|WP_004328612.1|	hypothetical protein [Alistipes putredinis] 
gi|490457891|ref|WP_004328613.1|	hypothetical protein [Alistipes putredinis] 
gi|490457892|ref|WP_004328614.1|	hypothetical protein [Alistipes putredinis] 
gi|490457893|ref|WP_004328615.1|	hypothetical protein [Alistipes putredinis] 
gi|490457894|ref|WP_004328616.1|	hypothetical protein [Alistipes putredinis] 
gi|490457895|ref|WP_004328617.1|	hypothetical protein [Alistipes putredinis] 
gi|490457896|ref|WP_004328618.1|	hypothetical protein [Alistipes putredinis] 
gi|490457897|ref|WP_004328619.1|	hypothetical protein [Alistipes putredinis] 
gi|490457898|ref|WP_004328620.1|	hypothetical protein [Alistipes putredinis] 
gi|490457899|ref|WP_004328621.1|	hypothetical protein [Alistipes putredinis] 
gi|490457900|ref|WP_004328622.1|	hypothetical protein [Alistipes putredinis] 
gi|490457901|ref|WP_004328623.1|	hypothetical protein [Alistipes putredinis] 
gi|490457902|ref|WP_004328624.1|	hypothetical protein [Alistipes putredinis] 
gi|490457903|ref|WP_004328625.1|	hypothetical protein [Alistipes putredinis] 
gi|490457904|ref|WP_004328626.1|	hypothetical protein [Alistipes putredinis] 
gi|490457905|ref|WP_004328627.1|	hypothetical protein [Alistipes putredinis] 
gi|490457906|ref|WP_004328628.1|	hypothetical protein [Alistipes putredinis] 
gi|490457907|ref|WP_004328629.1|	hypothetical protein [Alistipes putredinis] 
gi|490457908|ref|WP_004328630.1|	hypothetical protein [Alistipes putredinis] 
gi|490457909|ref|WP_004328631.1|	hypothetical protein [Alistipes putredinis] 
gi|490457910|ref|WP_004328632.1|	hypothetical protein [Alistipes putredinis] 
gi|490457911|ref|WP_004328633.1|	hypothetical protein [Alistipes putredinis] 
gi|490457912|ref|WP_004328634.1|	hypothetical protein [Alistipes putredinis] 
gi|490457913|ref|WP_004328635.1|	hypothetical protein [Alistipes putredinis] 
gi|490457914|ref|WP_004328636.1|	hypothetical protein [Alistipes putredinis] 
gi|490457915|ref|WP_004328637.1|	hypothetical protein [Alistipes putredinis] 
gi|490457916|ref|WP_004328638.1|	hypothetical protein [Alistipes putredinis] 
gi|490457917|ref|WP_004328639.1|	hypothetical protein [Alistipes putredinis] 
gi|490457918|ref|WP_004328640.1|	hypothetical protein [Alistipes putredinis] 
gi|490457919|ref|WP_004328641.1|	hypothetical protein [Alistipes putredinis] 
gi|490457920|ref|WP_004328642.1|	thioredoxin [Alistipes putredinis] 
gi|490457921|ref|WP_004328643.1|	hypothetical protein [Alistipes putredinis] 
gi|490457922|ref|WP_004328644.1|	hypothetical protein [Alistipes putredinis] 
gi|490457923|ref|WP_004328645.1|	hypothetical protein [Alistipes putredinis] 
gi|490457924|ref|WP_004328646.1|	hypothetical protein [Alistipes putredinis] 
gi|490457925|ref|WP_004328647.1|	Ser/Thr phosphatase [Alistipes putredinis] 
gi|490457926|ref|WP_004328648.1|	hypothetical protein [Alistipes putredinis] 
gi|490457927|ref|WP_004328649.1|	hypothetical protein [Alistipes putredinis] 
gi|490457928|ref|WP_004328650.1|	phage tail tape measure protein [Alistipes putredinis] 
gi|490457929|ref|WP_004328651.1|	hypothetical protein [Alistipes putredinis] 
gi|490457930|ref|WP_004328652.1|	hypothetical protein [Alistipes putredinis] 
gi|490457931|ref|WP_004328653.1|	hypothetical protein [Alistipes putredinis] 
gi|490457932|ref|WP_004328654.1|	hypothetical protein [Alistipes putredinis] 
gi|490457935|ref|WP_004328656.1|	hypothetical protein [Alistipes putredinis] 
gi|490457937|ref|WP_004328658.1|	hypothetical protein [Alistipes putredinis] 
gi|490457939|ref|WP_004328660.1|	hypothetical protein [Alistipes putredinis] 
gi|490457941|ref|WP_004328661.1|	hypothetical protein [Alistipes putredinis] 
gi|490457942|ref|WP_004328662.1|	RNA-binding protein [Alistipes putredinis] 
gi|490457943|ref|WP_004328663.1|	hypothetical protein [Alistipes putredinis] 
gi|490457944|ref|WP_004328664.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457945|ref|WP_004328665.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457946|ref|WP_004328666.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457947|ref|WP_004328667.1|	hypothetical protein [Alistipes putredinis] 
gi|490457948|ref|WP_004328668.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457949|ref|WP_004328669.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457950|ref|WP_004328670.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457951|ref|WP_004328671.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457952|ref|WP_004328672.1|	reverse transcriptase [Alistipes putredinis] 
gi|490457953|ref|WP_004328673.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457954|ref|WP_004328674.1|	hypothetical protein [Alistipes putredinis] 
gi|490457955|ref|WP_004328675.1|	hypothetical protein [Alistipes putredinis] 
gi|490457956|ref|WP_004328676.1|	hypothetical protein [Alistipes putredinis] 
gi|490457957|ref|WP_004328677.1|	hypothetical protein [Alistipes putredinis] 
gi|490457958|ref|WP_004328678.1|	hypothetical protein [Alistipes putredinis] 
gi|490457959|ref|WP_004328679.1|	hypothetical protein [Alistipes putredinis] 
gi|490457960|ref|WP_004328680.1|	hypothetical protein [Alistipes putredinis] 
gi|490457961|ref|WP_004328681.1|	hypothetical protein [Alistipes putredinis] 
gi|490457962|ref|WP_004328682.1|	hypothetical protein [Alistipes putredinis] 
gi|490457963|ref|WP_004328683.1|	hypothetical protein [Alistipes putredinis] 
gi|490457964|ref|WP_004328684.1|	hypothetical protein [Alistipes putredinis] 
gi|490457965|ref|WP_004328685.1|	hypothetical protein [Alistipes putredinis] 
gi|490457966|ref|WP_004328686.1|	hypothetical protein [Alistipes putredinis] 
gi|490457967|ref|WP_004328687.1|	hypothetical protein [Alistipes putredinis] 
gi|490457968|ref|WP_004328688.1|	hypothetical protein [Alistipes putredinis] 
gi|490457969|ref|WP_004328689.1|	hypothetical protein [Alistipes putredinis] 
gi|490457970|ref|WP_004328690.1|	hypothetical protein [Alistipes putredinis] 
gi|490457971|ref|WP_004328691.1|	hypothetical protein [Alistipes putredinis] 
gi|490457972|ref|WP_004328692.1|	hypothetical protein [Alistipes putredinis] 
gi|490457973|ref|WP_004328693.1|	hypothetical protein [Alistipes putredinis] 
gi|490457974|ref|WP_004328694.1|	hypothetical protein [Alistipes putredinis] 
gi|490457975|ref|WP_004328695.1|	hypothetical protein [Alistipes putredinis] 
gi|490457976|ref|WP_004328696.1|	hypothetical protein [Alistipes putredinis] 
gi|490457977|ref|WP_004328697.1|	hypothetical protein [Alistipes putredinis] 
gi|490457978|ref|WP_004328698.1|	hypothetical protein [Alistipes putredinis] 
gi|490457979|ref|WP_004328699.1|	hypothetical protein [Alistipes putredinis] 
gi|490457980|ref|WP_004328700.1|	hypothetical protein [Alistipes putredinis] 
gi|490457981|ref|WP_004328701.1|	ADP-ribosylglycohydrolase [Alistipes putredinis] 
gi|490457982|ref|WP_004328702.1|	hypothetical protein [Alistipes putredinis] 
gi|490457983|ref|WP_004328703.1|	hypothetical protein [Alistipes putredinis] 
gi|490457988|ref|WP_004328707.1|	phage portal protein [Alistipes putredinis] 
gi|490457990|ref|WP_004328708.1|	hypothetical protein [Alistipes putredinis] 
gi|490457991|ref|WP_004328709.1|	hypothetical protein [Alistipes putredinis] 
gi|490457992|ref|WP_004328710.1|	hypothetical protein [Alistipes putredinis] 
gi|490457993|ref|WP_004328711.1|	7-carboxy-7-deazaguanine synthase [Alistipes putredinis] 
gi|490457994|ref|WP_004328712.1|	6-pyruvoyl-tetrahydropterin synthase [Alistipes putredinis] 
gi|490457995|ref|WP_004328713.1|	membrane protein [Alistipes putredinis] 
gi|490457996|ref|WP_004328714.1|	7-cyano-7-deazaguanine synthase [Alistipes putredinis] 
gi|490457997|ref|WP_004328715.1|	hypothetical protein [Alistipes putredinis] 
gi|490457998|ref|WP_004328716.1|	hypothetical protein [Alistipes putredinis] 
gi|490457999|ref|WP_004328717.1|	nuclease [Alistipes putredinis] 
gi|490458000|ref|WP_004328718.1|	hypothetical protein [Alistipes putredinis] 
gi|490458001|ref|WP_004328719.1|	hypothetical protein [Alistipes putredinis] 
gi|490458002|ref|WP_004328720.1|	hypothetical protein [Alistipes putredinis] 
gi|490458003|ref|WP_004328721.1|	hypothetical protein [Alistipes putredinis] 
gi|490458004|ref|WP_004328722.1|	hypothetical protein [Alistipes putredinis] 
gi|490458005|ref|WP_004328723.1|	methyltransferase [Alistipes putredinis] 
gi|490458006|ref|WP_004328724.1|	DNA methylase N-4 [Alistipes putredinis] 
gi|490458007|ref|WP_004328725.1|	hypothetical protein [Alistipes putredinis] 
gi|490458008|ref|WP_004328726.1|	hypothetical protein [Alistipes putredinis] 
gi|490458009|ref|WP_004328727.1|	hypothetical protein [Alistipes putredinis] 
gi|490458010|ref|WP_004328728.1|	hypothetical protein [Alistipes putredinis] 
gi|490458011|ref|WP_004328729.1|	hypothetical protein [Alistipes putredinis] 
gi|490458012|ref|WP_004328730.1|	hypothetical protein [Alistipes putredinis] 
gi|490458013|ref|WP_004328731.1|	DNA methyltransferase [Alistipes putredinis] 
gi|490458014|ref|WP_004328732.1|	hypothetical protein [Alistipes putredinis] 
gi|490458015|ref|WP_004328733.1|	hypothetical protein [Alistipes putredinis] 
gi|490458016|ref|WP_004328734.1|	hypothetical protein [Alistipes putredinis] 
gi|490458017|ref|WP_004328735.1|	hypothetical protein [Alistipes putredinis] 
gi|490458018|ref|WP_004328736.1|	hypothetical protein [Alistipes putredinis] 
