gi|491500698|ref|WP_005358390.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491502910|ref|WP_005360587.1|	sodium:alanine symporter [Eubacterium ventriosum] 
gi|491502912|ref|WP_005360589.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502915|ref|WP_005360592.1|	transporter [Eubacterium ventriosum] 
gi|491502917|ref|WP_005360594.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502919|ref|WP_005360596.1|	glyoxalase [Eubacterium ventriosum] 
gi|491502922|ref|WP_005360599.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502924|ref|WP_005360601.1|	transposase [Eubacterium ventriosum] 
gi|491502927|ref|WP_005360604.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502936|ref|WP_005360613.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502939|ref|WP_005360616.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502942|ref|WP_005360619.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502944|ref|WP_005360621.1|	DNA-binding protein [Eubacterium ventriosum] 
gi|491502946|ref|WP_005360623.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502949|ref|WP_005360626.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502951|ref|WP_005360627.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502953|ref|WP_005360629.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502955|ref|WP_005360631.1|	metal-dependent hydrolase [Eubacterium ventriosum] 
gi|491502957|ref|WP_005360633.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502959|ref|WP_005360635.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502960|ref|WP_005360636.1|	ribosome maturation factor RimP [Eubacterium ventriosum] 
gi|491502962|ref|WP_005360638.1|	transcription elongation factor NusA [Eubacterium ventriosum] 
gi|491502963|ref|WP_005360639.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502965|ref|WP_005360641.1|	50S ribosomal protein L7ae [Eubacterium ventriosum] 
gi|491502967|ref|WP_005360643.1|	translation initiation factor IF-2 [Eubacterium ventriosum] 
gi|491502969|ref|WP_005360645.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502970|ref|WP_005360646.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502973|ref|WP_005360649.1|	tRNA pseudouridine synthase B [Eubacterium ventriosum] 
gi|491502975|ref|WP_005360651.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502976|ref|WP_005360652.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502977|ref|WP_005360653.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502980|ref|WP_005360656.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502982|ref|WP_005360658.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502984|ref|WP_005360660.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502986|ref|WP_005360662.1|	30S ribosomal protein S15 [Eubacterium ventriosum] 
gi|491502988|ref|WP_005360664.1|	polyribonucleotide nucleotidyltransferase [Eubacterium ventriosum] 
gi|491502990|ref|WP_005360666.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502992|ref|WP_005360668.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502998|ref|WP_005360674.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502999|ref|WP_005360675.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503000|ref|WP_005360676.1|	nucleotidyltransferase [Eubacterium ventriosum] 
gi|491503001|ref|WP_005360677.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503002|ref|WP_005360678.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503003|ref|WP_005360679.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503004|ref|WP_005360680.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503005|ref|WP_005360681.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503006|ref|WP_005360682.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503007|ref|WP_005360683.1|	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Eubacterium ventriosum] 
gi|491503008|ref|WP_005360684.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503009|ref|WP_005360685.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503010|ref|WP_005360686.1|	serine O-acetyltransferase [Eubacterium ventriosum] 
gi|491503011|ref|WP_005360687.1|	cysteinyl-tRNA synthetase [Eubacterium ventriosum] 
gi|491503012|ref|WP_005360688.1|	ribonuclease III [Eubacterium ventriosum] 
gi|491503014|ref|WP_005360690.1|	RNA methyltransferase [Eubacterium ventriosum] 
gi|491503015|ref|WP_005360691.1|	acetolactate synthase [Eubacterium ventriosum] 
gi|491503016|ref|WP_005360692.1|	ketol-acid reductoisomerase [Eubacterium ventriosum] 
gi|491503017|ref|WP_005360693.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503019|ref|WP_005360695.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503021|ref|WP_005360697.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503022|ref|WP_005360698.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503024|ref|WP_005360700.1|	3-isopropylmalate dehydratase large subunit [Eubacterium ventriosum] 
gi|491503026|ref|WP_005360702.1|	3-isopropylmalate dehydratase small subunit [Eubacterium ventriosum] 
gi|491503027|ref|WP_005360703.1|	threonine synthase [Eubacterium ventriosum] 
gi|491503030|ref|WP_005360706.1|	UDP-diphosphatase [Eubacterium ventriosum] 
gi|491503031|ref|WP_005360707.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503033|ref|WP_005360709.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503036|ref|WP_005360712.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503037|ref|WP_005360713.1|	formate--tetrahydrofolate ligase [Eubacterium ventriosum] 
gi|491503040|ref|WP_005360716.1|	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase [Eubacterium ventriosum] 
gi|491503043|ref|WP_005360719.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503044|ref|WP_005360720.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503048|ref|WP_005360724.1|	peptide deformylase [Eubacterium ventriosum] 
gi|491503050|ref|WP_005360726.1|	methionyl-tRNA formyltransferase [Eubacterium ventriosum] 
gi|491503053|ref|WP_005360729.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503056|ref|WP_005360732.1|	peptidase [Eubacterium ventriosum] 
gi|491503059|ref|WP_005360735.1|	16S rRNA methyltransferase [Eubacterium ventriosum] 
gi|491503063|ref|WP_005360739.1|	23S rRNA methyltransferase [Eubacterium ventriosum] 
gi|491503066|ref|WP_005360742.1|	protein serine/threonine phosphatase [Eubacterium ventriosum] 
gi|491503070|ref|WP_005360746.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503071|ref|WP_005360747.1|	GTPase A [Eubacterium ventriosum] 
gi|491503072|ref|WP_005360748.1|	ribulose-phosphate 3-epimerase [Eubacterium ventriosum] 
gi|491503073|ref|WP_005360749.1|	GTP-binding protein YchF [Eubacterium ventriosum] 
gi|491503074|ref|WP_005360750.1|	diacylglyceryl transferase [Eubacterium ventriosum] 
gi|491503075|ref|WP_005360751.1|	cell division protein MraZ [Eubacterium ventriosum] 
gi|491503076|ref|WP_005360752.1|	16S rRNA methyltransferase [Eubacterium ventriosum] 
gi|491503079|ref|WP_005360755.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503081|ref|WP_005360757.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503082|ref|WP_005360758.1|	peptidoglycan glycosyltransferase [Eubacterium ventriosum] 
gi|491503084|ref|WP_005360760.1|	phospho-N-acetylmuramoyl-pentapeptide-transferase [Eubacterium ventriosum] 
gi|491503086|ref|WP_005360762.1|	UDP-N-acetylmuramoylalanine--D-glutamate ligase [Eubacterium ventriosum] 
gi|491503088|ref|WP_005360764.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503090|ref|WP_005360766.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503094|ref|WP_005360770.1|	cell division protein FtsZ [Eubacterium ventriosum] 
gi|491503096|ref|WP_005360772.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503098|ref|WP_005360774.1|	flagellar biosynthesis protein FliA [Eubacterium ventriosum] 
gi|491503100|ref|WP_005360776.1|	RNA polymerase sigma 70 [Eubacterium ventriosum] 
gi|491503102|ref|WP_005360778.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503106|ref|WP_005360782.1|	NrdR family transcriptional regulator [Eubacterium ventriosum] 
gi|491503109|ref|WP_005360784.1|	HAD family hydrolase [Eubacterium ventriosum] 
gi|491503111|ref|WP_005360786.1|	shikimate 5-dehydrogenase [Eubacterium ventriosum] 
gi|491503113|ref|WP_005360788.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503115|ref|WP_005360790.1|	elongation factor P [Eubacterium ventriosum] 
gi|491503116|ref|WP_005360791.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503122|ref|WP_005360797.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503124|ref|WP_005360799.1|	single-stranded DNA-binding protein [Eubacterium ventriosum] 
gi|491503126|ref|WP_005360801.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503128|ref|WP_005360803.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503130|ref|WP_005360805.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503132|ref|WP_005360807.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503134|ref|WP_005360809.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503142|ref|WP_005360817.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503143|ref|WP_005360818.1|	dihydrodipicolinate synthase [Eubacterium ventriosum] 
gi|491503144|ref|WP_005360819.1|	dihydrodipicolinate reductase [Eubacterium ventriosum] 
gi|491503145|ref|WP_005360820.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503146|ref|WP_005360821.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503147|ref|WP_005360822.1|	N-acetylmuramoyl-L-alanine amidase [Eubacterium ventriosum] 
gi|491503148|ref|WP_005360823.1|	NAD synthetase [Eubacterium ventriosum] 
gi|491503150|ref|WP_005360825.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503152|ref|WP_005360827.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503154|ref|WP_005360829.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503156|ref|WP_005360831.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503158|ref|WP_005360833.1|	ABC transporter ATP-binding protein [Eubacterium ventriosum] 
gi|491503167|ref|WP_005360842.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503168|ref|WP_005360843.1|	L-glyceraldehyde 3-phosphate reductase [Eubacterium ventriosum] 
gi|491503169|ref|WP_005360844.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503170|ref|WP_005360845.1|	ATPase [Eubacterium ventriosum] 
gi|491503172|ref|WP_005360847.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503174|ref|WP_005360849.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503176|ref|WP_005360851.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503178|ref|WP_005360853.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503189|ref|WP_005360864.1|	thiol-disulfide isomerase [Eubacterium ventriosum] 
gi|491503192|ref|WP_005360867.1|	thioredoxin reductase [Eubacterium ventriosum] 
gi|491503194|ref|WP_005360869.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503197|ref|WP_005360872.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503200|ref|WP_005360875.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503203|ref|WP_005360878.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503204|ref|WP_005360879.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503205|ref|WP_005360880.1|	radical SAM protein [Eubacterium ventriosum] 
gi|491503206|ref|WP_005360881.1|	radical SAM protein [Eubacterium ventriosum] 
gi|491503214|ref|WP_005360889.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503221|ref|WP_005360896.1|	MULTISPECIES: integrase [Bacteria] 
gi|491503224|ref|WP_005360898.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503226|ref|WP_005360900.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|491503229|ref|WP_005360903.1|	hypothetical protein [Eubacterium ventriosum] 
gi|490750104|ref|WP_004612412.1|	MULTISPECIES: MerR family transcripitonal regulator [Firmicutes] 
gi|491503230|ref|WP_005360904.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503231|ref|WP_005360905.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503232|ref|WP_005360906.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503233|ref|WP_005360907.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503234|ref|WP_005360908.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503236|ref|WP_005360910.1|	ABC transporter ATP-binding protein [Eubacterium ventriosum] 
gi|491503239|ref|WP_005360913.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503240|ref|WP_005360914.1|	MerR family transcripitonal regulator [Eubacterium ventriosum] 
gi|491503242|ref|WP_005360916.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503244|ref|WP_005360918.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503245|ref|WP_005360919.1|	GntR family transcriptional regulator [Eubacterium ventriosum] 
gi|491503246|ref|WP_005360920.1|	ABC transporter [Eubacterium ventriosum] 
gi|491503248|ref|WP_005360922.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503250|ref|WP_005360924.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503257|ref|WP_005360931.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503278|ref|WP_005360952.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503280|ref|WP_005360954.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503282|ref|WP_005360956.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503284|ref|WP_005360958.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503286|ref|WP_005360960.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503288|ref|WP_005360962.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503290|ref|WP_005360964.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503292|ref|WP_005360966.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503295|ref|WP_005360969.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503297|ref|WP_005360971.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503311|ref|WP_005360985.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503313|ref|WP_005360987.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503315|ref|WP_005360989.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503317|ref|WP_005360991.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503319|ref|WP_005360993.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503321|ref|WP_005360995.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503323|ref|WP_005360997.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503325|ref|WP_005360999.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503327|ref|WP_005361001.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503328|ref|WP_005361002.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503330|ref|WP_005361004.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503332|ref|WP_005361006.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503333|ref|WP_005361007.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503335|ref|WP_005361009.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503336|ref|WP_005361010.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503338|ref|WP_005361012.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503340|ref|WP_005361014.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503342|ref|WP_005361016.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503344|ref|WP_005361018.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503346|ref|WP_005361020.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503348|ref|WP_005361022.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503350|ref|WP_005361024.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503351|ref|WP_005361025.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503353|ref|WP_005361027.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503355|ref|WP_005361029.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503357|ref|WP_005361031.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503359|ref|WP_005361033.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503360|ref|WP_005361034.1|	type II restriction endonuclease BsuBI [Eubacterium ventriosum] 
gi|491503362|ref|WP_005361036.1|	DNA methyltransferase [Eubacterium ventriosum] 
gi|491503364|ref|WP_005361038.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503365|ref|WP_005361039.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503366|ref|WP_005361040.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503367|ref|WP_005361041.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503368|ref|WP_005361042.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503369|ref|WP_005361043.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503370|ref|WP_005361044.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503371|ref|WP_005361045.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491482708|ref|WP_005340449.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491503372|ref|WP_005361046.1|	integrase [Eubacterium ventriosum] 
gi|491503374|ref|WP_005361048.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503376|ref|WP_005361050.1|	toxin RelE [Eubacterium ventriosum] 
gi|491503379|ref|WP_005361053.1|	transcriptional regulator [Eubacterium ventriosum] 
gi|491503382|ref|WP_005361056.1|	topoisomerase [Eubacterium ventriosum] 
gi|491503384|ref|WP_005361058.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503386|ref|WP_005361060.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|491503388|ref|WP_005361062.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503390|ref|WP_005361064.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503392|ref|WP_005361066.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503393|ref|WP_005361067.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503394|ref|WP_005361068.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491503395|ref|WP_005361069.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503397|ref|WP_005361071.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491503399|ref|WP_005361073.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503400|ref|WP_005361074.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503402|ref|WP_005361076.1|	conjugal transfer protein TraG [Eubacterium ventriosum] 
gi|491503407|ref|WP_005361081.1|	MULTISPECIES: conjugative transfer protein [Clostridiales] 
gi|491503410|ref|WP_005361084.1|	membrane protein [Eubacterium ventriosum] 
gi|491503412|ref|WP_005361086.1|	stage V sporulation protein G [Eubacterium ventriosum] 
gi|491503415|ref|WP_005361089.1|	DNA methyltransferase [Eubacterium ventriosum] 
gi|491503417|ref|WP_005361091.1|	hypothetical protein [Eubacterium ventriosum] 
