gi|489924441|ref|WP_003827784.1|	peptide YY [Bifidobacterium breve] 
gi|489925536|ref|WP_003828876.1|	septum formation initiator family protein [Bifidobacterium breve] 
gi|489925537|ref|WP_003828877.1|	septum formation initiator family protein [Bifidobacterium breve] 
gi|489925538|ref|WP_003828878.1|	exopolyphosphatase [Bifidobacterium breve] 
gi|489925539|ref|WP_003828879.1|	cadmium transporter [Bifidobacterium breve] 
gi|489925540|ref|WP_003828880.1|	serine dehydratase [Bifidobacterium breve] 
gi|489925543|ref|WP_003828883.1|	peptidylprolyl isomerase [Bifidobacterium breve] 
gi|489925544|ref|WP_003828884.1|	transcription elongation factor GreA [Bifidobacterium breve] 
gi|489925545|ref|WP_003828885.1|	hemolysin III [Bifidobacterium breve] 
gi|489925546|ref|WP_003828886.1|	sensory histidine kinase [Bifidobacterium breve] 
gi|489925547|ref|WP_003828887.1|	WhiB family transcriptional regulator [Bifidobacterium breve] 
gi|489925549|ref|WP_003828889.1|	cell division protein FtsK [Bifidobacterium breve] 
gi|489925550|ref|WP_003828890.1|	transcriptional regulator [Bifidobacterium breve] 
gi|489925553|ref|WP_003828893.1|	type IV pilus protein [Bifidobacterium breve] 
gi|489925554|ref|WP_003828894.1|	WhiB family transcriptional regulator [Bifidobacterium breve] 
gi|489925556|ref|WP_003828896.1|	membrane protein [Bifidobacterium breve] 
gi|489925557|ref|WP_003828897.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925560|ref|WP_003828900.1|	peptidase [Bifidobacterium breve] 
gi|489925562|ref|WP_003828902.1|	HAD family hydrolase [Bifidobacterium breve] 
gi|489925564|ref|WP_003828904.1|	phosphoribosyl transferase [Bifidobacterium breve] 
gi|489925566|ref|WP_003828906.1|	membrane protein [Bifidobacterium breve] 
gi|489925567|ref|WP_003828907.1|	chemotaxis protein CheY [Bifidobacterium breve] 
gi|489925568|ref|WP_003828908.1|	1,4-alpha-glucan branching protein [Bifidobacterium breve] 
gi|489925569|ref|WP_003828909.1|	CarD family transcriptional regulator [Bifidobacterium breve] 
gi|489925572|ref|WP_003828912.1|	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Bifidobacterium breve] 
gi|489925574|ref|WP_003828914.1|	zinc ABC transporter permease [Bifidobacterium breve] 
gi|489925575|ref|WP_003828915.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489925577|ref|WP_003828917.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489925579|ref|WP_003828919.1|	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase [Bifidobacterium breve] 
gi|489925580|ref|WP_003828920.1|	30S ribosomal protein S1 [Bifidobacterium breve] 
gi|489925582|ref|WP_003828922.1|	dephospho-CoA kinase [Bifidobacterium breve] 
gi|489925585|ref|WP_003828925.1|	excinuclease ABC subunit B [Bifidobacterium breve] 
gi|489925587|ref|WP_003828927.1|	tellurium resistance protein TerC [Bifidobacterium breve] 
gi|489925589|ref|WP_003828929.1|	pyruvate kinase [Bifidobacterium breve] 
gi|489925591|ref|WP_003828931.1|	ADP-ribose pyrophosphatase [Bifidobacterium breve] 
gi|489925594|ref|WP_003828934.1|	chemotaxis protein CheY [Bifidobacterium breve] 
gi|489925596|ref|WP_003828936.1|	DNA polymerase I [Bifidobacterium breve] 
gi|489925597|ref|WP_003828937.1|	PadR family transcriptional regulator [Bifidobacterium breve] 
gi|489925599|ref|WP_003828939.1|	NTP pyrophosphohydrolase [Bifidobacterium breve] 
gi|489925601|ref|WP_003828941.1|	glycogen debranching protein [Bifidobacterium breve] 
gi|489925603|ref|WP_003828943.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925605|ref|WP_003828945.1|	XRE family transcriptional regulator [Bifidobacterium breve] 
gi|489925606|ref|WP_003828946.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925608|ref|WP_003828948.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925610|ref|WP_003828950.1|	methyladenine glycosylase [Bifidobacterium breve] 
gi|489925611|ref|WP_003828951.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925612|ref|WP_003828952.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489925614|ref|WP_003828954.1|	3-phosphoshikimate 1-carboxyvinyltransferase [Bifidobacterium breve] 
gi|489925615|ref|WP_003828955.1|	acetate kinase [Bifidobacterium breve] 
gi|489925616|ref|WP_003828956.1|	phosphate acetyltransferase [Bifidobacterium breve] 
gi|489925619|ref|WP_003828959.1|	ribose-phosphate pyrophosphokinase [Bifidobacterium breve] 
gi|489925621|ref|WP_003828961.1|	acyltransferase [Bifidobacterium breve] 
gi|489925623|ref|WP_003828963.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925624|ref|WP_003828964.1|	toxin-antitoxin system antitoxin component Xre family [Bifidobacterium breve] 
gi|489925625|ref|WP_003828965.1|	DNA helicase II [Bifidobacterium breve] 
gi|489925626|ref|WP_003828966.1|	type III restriction endonuclease [Bifidobacterium breve] 
gi|489925628|ref|WP_003828968.1|	putative type III restriction system endonuclease [Bifidobacterium breve] 
gi|489925630|ref|WP_003828970.1|	chaperonin [Bifidobacterium breve] 
gi|489925631|ref|WP_003828971.1|	transcriptional regulator [Bifidobacterium breve] 
gi|489925633|ref|WP_003828973.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925636|ref|WP_003828976.1|	ISSdy1 transposase OrfB [Bifidobacterium breve] 
gi|489925638|ref|WP_003828978.1|	ATPase AAA [Bifidobacterium breve] 
gi|489925639|ref|WP_003828979.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925641|ref|WP_003828981.1|	integrase [Bifidobacterium breve] 
gi|489925643|ref|WP_003828983.1|	sodium-dependent phosphate transporter [Bifidobacterium breve] 
gi|489925645|ref|WP_003828985.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925646|ref|WP_003828986.1|	putative Cag7 [Bifidobacterium breve] 
gi|489925647|ref|WP_003828987.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925649|ref|WP_003828989.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925651|ref|WP_003828991.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925655|ref|WP_003828995.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925656|ref|WP_003828996.1|	XRE family transcriptional regulator [Bifidobacterium breve] 
gi|489925659|ref|WP_003828999.1|	GMP synthase [Bifidobacterium breve] 
gi|489925660|ref|WP_003829000.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925662|ref|WP_003829002.1|	phosphoketolase [Bifidobacterium breve] 
gi|489925664|ref|WP_003829004.1|	N-acetylglucosamine-1-phosphate uridyltransferase [Bifidobacterium breve] 
gi|489925665|ref|WP_003829005.1|	ribosome-associated protein IOJAP [Bifidobacterium breve] 
gi|489925667|ref|WP_003829007.1|	phosphoglycerate mutase [Bifidobacterium breve] 
gi|489925668|ref|WP_003829008.1|	COF family hydrolase [Bifidobacterium breve] 
gi|489925669|ref|WP_003829009.1|	acyltransferase [Bifidobacterium breve] 
gi|489925670|ref|WP_003829010.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489925671|ref|WP_003829011.1|	methionine ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489925672|ref|WP_003829012.1|	methionine ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489925674|ref|WP_003829014.1|	N-acyl-L-amino acid amidohydrolase [Bifidobacterium breve] 
gi|489925675|ref|WP_003829015.1|	NAD+ synthetase [Bifidobacterium breve] 
gi|489925677|ref|WP_003829017.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925679|ref|WP_003829019.1|	formate acetyltransferase [Bifidobacterium breve] 
gi|489925681|ref|WP_003829021.1|	pyruvate formate lyase-activating protein [Bifidobacterium breve] 
gi|489925682|ref|WP_003829022.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925684|ref|WP_003829024.1|	MFS transporter [Bifidobacterium breve] 
gi|489925686|ref|WP_003829026.1|	ribonuclease D [Bifidobacterium breve] 
gi|489925687|ref|WP_003829027.1|	trigger factor [Bifidobacterium breve] 
gi|489925689|ref|WP_003829029.1|	chloride channel protein [Bifidobacterium breve] 
gi|489925691|ref|WP_003829031.1|	transcriptional regulator [Bifidobacterium breve] 
gi|489925693|ref|WP_003829033.1|	ATP-dependent Clp protease ClpP [Bifidobacterium breve] 
gi|489925695|ref|WP_003829035.1|	ATP-dependent Clp protease proteolytic subunit [Bifidobacterium breve] 
gi|489925697|ref|WP_003829037.1|	ATPase AAA [Bifidobacterium breve] 
gi|489925698|ref|WP_003829038.1|	aspartate aminotransferase [Bifidobacterium breve] 
gi|489925699|ref|WP_003829039.1|	sodium:proton antiporter [Bifidobacterium breve] 
gi|489925700|ref|WP_003829040.1|	DNA-binding protein [Bifidobacterium breve] 
gi|489925701|ref|WP_003829041.1|	O-methyltransferase [Bifidobacterium breve] 
gi|489925702|ref|WP_003829042.1|	(2Fe-2S)-binding protein [Bifidobacterium breve] 
gi|489925703|ref|WP_003829043.1|	succinate dehydrogenase [Bifidobacterium breve] 
gi|489925704|ref|WP_003829044.1|	DNA protecting protein DprA [Bifidobacterium breve] 
gi|489925705|ref|WP_003829045.1|	ATPase AAA [Bifidobacterium breve] 
gi|489925706|ref|WP_003829046.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925707|ref|WP_003829047.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925708|ref|WP_003829048.1|	transposase [Bifidobacterium breve] 
gi|489925709|ref|WP_003829049.1|	glucose transport protein [Bifidobacterium breve] 
gi|489925711|ref|WP_003829051.1|	pyridoxine kinase [Bifidobacterium breve] 
gi|489925713|ref|WP_003829053.1|	O-acetylhomoserine aminocarboxypropyltransferase [Bifidobacterium breve] 
gi|489925716|ref|WP_003829056.1|	peptide ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489925719|ref|WP_003829059.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489925720|ref|WP_003829060.1|	LuxR family transcriptional regulator [Bifidobacterium breve] 
gi|489925722|ref|WP_003829062.1|	histidine kinase [Bifidobacterium breve] 
gi|489925725|ref|WP_003829065.1|	proline iminopeptidase [Bifidobacterium breve] 
gi|489925727|ref|WP_003829067.1|	pyrroline-5-carboxylate reductase [Bifidobacterium breve] 
gi|489925731|ref|WP_003829071.1|	amino acid ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489925733|ref|WP_003829073.1|	glutamine ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489925735|ref|WP_003829075.1|	amino acid ABC transporter permease [Bifidobacterium breve] 
gi|489925737|ref|WP_003829077.1|	polar amino acid ABC transporter permease [Bifidobacterium breve] 
gi|489925740|ref|WP_003829080.1|	GTP-binding protein YchF [Bifidobacterium breve] 
gi|489925741|ref|WP_003829081.1|	AraC family transcriptional regulator [Bifidobacterium breve] 
gi|489925744|ref|WP_003829084.1|	transcriptional regulator [Bifidobacterium breve] 
gi|489925746|ref|WP_003829086.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925748|ref|WP_003829088.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925749|ref|WP_003829089.1|	multidrug transporter MatE [Bifidobacterium breve] 
gi|489925751|ref|WP_003829091.1|	thiamine ABC transporter permease [Bifidobacterium breve] 
gi|489925754|ref|WP_003829094.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925756|ref|WP_003829096.1|	cell division protein Fic [Bifidobacterium breve] 
gi|489925758|ref|WP_003829098.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925760|ref|WP_003829100.1|	membrane protein [Bifidobacterium breve] 
gi|489925764|ref|WP_003829104.1|	MULTISPECIES: methyltransferase [Bifidobacterium] 
gi|489925767|ref|WP_003829107.1|	MULTISPECIES: cupin [Bifidobacterium] 
gi|489925769|ref|WP_003829109.1|	growth inhibitor PemK [Bifidobacterium breve] 
gi|489925772|ref|WP_003829112.1|	MULTISPECIES: translation repressor RelB [Bifidobacterium] 
gi|489925776|ref|WP_003829116.1|	MULTISPECIES: toxin HipA partial [Bifidobacterium] 
gi|489925778|ref|WP_003829118.1|	XRE family transcriptional regulator [Bifidobacterium breve] 
gi|489925781|ref|WP_003829121.1|	MFS transporter [Bifidobacterium breve] 
gi|489925782|ref|WP_003829122.1|	AcrR family transcriptional regulator [Bifidobacterium breve] 
gi|489925784|ref|WP_003829124.1|	resolvase [Bifidobacterium breve] 
gi|489925786|ref|WP_003829126.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925788|ref|WP_003829128.1|	MULTISPECIES: hypothetical protein [Bifidobacterium] 
gi|489925791|ref|WP_003829131.1|	TetR family transcriptional regulator [Bifidobacterium breve] 
gi|489925792|ref|WP_003829132.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925795|ref|WP_003829135.1|	phosphorylase [Bifidobacterium breve] 
gi|489925797|ref|WP_003829137.1|	N-acetylglucosamine-6-phosphate deacetylase [Bifidobacterium breve] 
gi|489925799|ref|WP_003829139.1|	glucosamine-6-phosphate deaminase [Bifidobacterium breve] 
gi|489925801|ref|WP_003829141.1|	NagC family transcriptional regulator [Bifidobacterium breve] 
gi|489925802|ref|WP_003829142.1|	NagC/XylR-type transciptional regulator [Bifidobacterium breve] 
gi|489925803|ref|WP_003829143.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925804|ref|WP_003829144.1|	dihydroxy-acid dehydratase [Bifidobacterium breve] 
gi|489925806|ref|WP_003829146.1|	major facilitator transporter [Bifidobacterium breve] 
gi|489925808|ref|WP_003829148.1|	sulfatase [Bifidobacterium breve] 
gi|489925810|ref|WP_003829150.1|	putative arylsulfatase-activating protein AslB [Bifidobacterium breve] 
gi|489925812|ref|WP_003829152.1|	permease [Bifidobacterium breve] 
gi|489925813|ref|WP_003829153.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925814|ref|WP_003829154.1|	permease [Bifidobacterium breve] 
gi|489925815|ref|WP_003829155.1|	glyoxalase [Bifidobacterium breve] 
gi|489925816|ref|WP_003829156.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925817|ref|WP_003829157.1|	MFS transporter [Bifidobacterium breve] 
gi|489925819|ref|WP_003829159.1|	haloacid dehalogenase [Bifidobacterium breve] 
gi|489925821|ref|WP_003829161.1|	phosphoglycerate mutase [Bifidobacterium breve] 
gi|489925823|ref|WP_003829163.1|	nitrate reductase [Bifidobacterium breve] 
gi|489925826|ref|WP_003829166.1|	DEAD/DEAH box helicase [Bifidobacterium breve] 
gi|489925827|ref|WP_003829167.1|	alpha-amylase [Bifidobacterium breve] 
gi|489925829|ref|WP_003829169.1|	MULTISPECIES: inorganic phosphate transporter PiT [Bifidobacterium] 
gi|489925830|ref|WP_003829170.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925831|ref|WP_003829171.1|	LuxR family transcriptional regulator [Bifidobacterium breve] 
gi|489925837|ref|WP_003829177.1|	MULTISPECIES: histidine kinase [Bifidobacterium] 
gi|489925838|ref|WP_003829178.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489925839|ref|WP_003829179.1|	multidrug ABC transporter permease [Bifidobacterium breve] 
gi|489925840|ref|WP_003829180.1|	multidrug permease ABC transporter [Bifidobacterium breve] 
gi|489925841|ref|WP_003829181.1|	dihydroorotate dehydrogenase [Bifidobacterium breve] 
gi|489925843|ref|WP_003829183.1|	putative extracellular lysophospholipase [Bifidobacterium breve] 
gi|489925845|ref|WP_003829185.1|	clavaspirin [Bifidobacterium breve] 
gi|489925847|ref|WP_003829187.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925848|ref|WP_003829188.1|	peptidase [Bifidobacterium breve] 
gi|489925850|ref|WP_003829190.1|	nicotinamidase [Bifidobacterium breve] 
gi|489925852|ref|WP_003829192.1|	cobalt transporter [Bifidobacterium breve] 
gi|489925853|ref|WP_003829193.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925856|ref|WP_003829196.1|	alpha/beta hydrolase [Bifidobacterium breve] 
gi|489925858|ref|WP_003829198.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925860|ref|WP_003829200.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925871|ref|WP_003829211.1|	MULTISPECIES: XRE family transcriptional regulator [Bifidobacterium] 
gi|489925873|ref|WP_003829213.1|	uracil permease [Bifidobacterium breve] 
gi|489925876|ref|WP_003829216.1|	xanthine phosphoribosyltransferase [Bifidobacterium breve] 
gi|489925878|ref|WP_003829218.1|	ATP-dependent DNA helicase PcrA [Bifidobacterium breve] 
gi|489925880|ref|WP_003829220.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925882|ref|WP_003829222.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489925884|ref|WP_003829224.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489925886|ref|WP_003829226.1|	30S ribosomal protein S4 [Bifidobacterium breve] 
gi|489925887|ref|WP_003829227.1|	amidotransferase [Bifidobacterium breve] 
gi|489925889|ref|WP_003829229.1|	cytidine deaminase [Bifidobacterium breve] 
gi|489925892|ref|WP_003829232.1|	membrane protein [Bifidobacterium breve] 
gi|489925893|ref|WP_003829233.1|	transglutaminase [Bifidobacterium breve] 
gi|489925894|ref|WP_003829234.1|	growth inhibitor PemK [Bifidobacterium breve] 
gi|489925895|ref|WP_003829235.1|	translation repressor RelB [Bifidobacterium breve] 
gi|489925896|ref|WP_003829236.1|	transposase InsI [Bifidobacterium breve] 
gi|489925897|ref|WP_003829237.1|	fructose-2,6-bisphosphatase [Bifidobacterium breve] 
gi|489925898|ref|WP_003829238.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925899|ref|WP_003829239.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925900|ref|WP_003829240.1|	alanyl-tRNA synthetase [Bifidobacterium breve] 
gi|489925901|ref|WP_003829241.1|	Holliday junction resolvase [Bifidobacterium breve] 
gi|489925902|ref|WP_003829242.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925903|ref|WP_003829243.1|	peptidase A24 [Bifidobacterium breve] 
gi|489925904|ref|WP_003829244.1|	chorismate synthase [Bifidobacterium breve] 
gi|489925905|ref|WP_003829245.1|	3-dehydroquinate synthase [Bifidobacterium breve] 
gi|489925906|ref|WP_003829246.1|	transcriptional regulator AraC family [Bifidobacterium breve] 
gi|489925907|ref|WP_003829247.1|	dehydroquinase class II [Bifidobacterium breve] 
gi|489925908|ref|WP_003829248.1|	CTP synthetase [Bifidobacterium breve] 
gi|489925909|ref|WP_003829249.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925911|ref|WP_003829250.1|	Fe-S cluster assembly protein SufB [Bifidobacterium breve] 
gi|489925912|ref|WP_003829251.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489925913|ref|WP_003829252.1|	iron ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489925914|ref|WP_003829253.1|	cysteine desulfurase [Bifidobacterium breve] 
gi|489925915|ref|WP_003829254.1|	nitrogen fixation protein NifU [Bifidobacterium breve] 
gi|489925916|ref|WP_003829255.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925917|ref|WP_003829256.1|	glucose-1-phosphate adenylyltransferase [Bifidobacterium breve] 
gi|489925918|ref|WP_003829257.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925919|ref|WP_003829258.1|	rRNA methyltransferase [Bifidobacterium breve] 
gi|489925920|ref|WP_003829259.1|	16S rRNA methyltransferase [Bifidobacterium breve] 
