gi|489622579|ref|WP_003527019.1|	hypothetical protein partial [[Clostridium] leptum] 
gi|489624420|ref|WP_003528860.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624422|ref|WP_003528862.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624424|ref|WP_003528864.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624426|ref|WP_003528866.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624428|ref|WP_003528868.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624430|ref|WP_003528870.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624431|ref|WP_003528871.1|	gamma-glutamyl phosphate reductase [[Clostridium] leptum] 
gi|489624434|ref|WP_003528874.1|	gamma-glutamyl kinase [[Clostridium] leptum] 
gi|489624436|ref|WP_003528876.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624438|ref|WP_003528878.1|	multidrug transporter MatE [[Clostridium] leptum] 
gi|489624440|ref|WP_003528880.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624450|ref|WP_003528890.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624453|ref|WP_003528893.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624455|ref|WP_003528895.1|	polyribonucleotide nucleotidyltransferase [[Clostridium] leptum] 
gi|489624457|ref|WP_003528897.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624459|ref|WP_003528899.1|	MULTISPECIES: 30S ribosomal protein S15 [Clostridiales] 
gi|489624461|ref|WP_003528901.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624463|ref|WP_003528903.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624466|ref|WP_003528906.1|	amidohydrolase [[Clostridium] leptum] 
gi|489624468|ref|WP_003528908.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624470|ref|WP_003528910.1|	MULTISPECIES: FAD-dependent oxidoreductase [Clostridiales] 
gi|489624472|ref|WP_003528912.1|	fucose isomerase [[Clostridium] leptum] 
gi|489624474|ref|WP_003528914.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624475|ref|WP_003528915.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624478|ref|WP_003528918.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624480|ref|WP_003528920.1|	carbohydrate kinase [[Clostridium] leptum] 
gi|489624482|ref|WP_003528922.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624484|ref|WP_003528924.1|	MULTISPECIES: acid phosphatase [Clostridiales] 
gi|489624485|ref|WP_003528925.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624487|ref|WP_003528927.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624489|ref|WP_003528929.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624491|ref|WP_003528931.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624493|ref|WP_003528933.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624494|ref|WP_003528934.1|	MULTISPECIES: sodium:proton antiporter [Clostridiales] 
gi|489624496|ref|WP_003528936.1|	GNAT family acetyltransferase [[Clostridium] leptum] 
gi|489624497|ref|WP_003528937.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624498|ref|WP_003528938.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624499|ref|WP_003528939.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624500|ref|WP_003528940.1|	NADH-dependent butanol dehydrogenase [[Clostridium] leptum] 
gi|489624501|ref|WP_003528941.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624502|ref|WP_003528942.1|	glyoxal reductase [[Clostridium] leptum] 
gi|489624503|ref|WP_003528943.1|	multidrug transporter MatE [[Clostridium] leptum] 
gi|489624504|ref|WP_003528944.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624506|ref|WP_003528946.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624509|ref|WP_003528949.1|	MULTISPECIES: fucose isomerase [Clostridiales] 
gi|489624511|ref|WP_003528951.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624513|ref|WP_003528953.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624515|ref|WP_003528955.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624517|ref|WP_003528957.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624520|ref|WP_003528960.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624522|ref|WP_003528962.1|	aldo/keto reductase [[Clostridium] leptum] 
gi|489624524|ref|WP_003528964.1|	voltage-gated potassium channel [[Clostridium] leptum] 
gi|489624526|ref|WP_003528966.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624529|ref|WP_003528969.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624530|ref|WP_003528970.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|489624531|ref|WP_003528971.1|	ABC transporter permease [[Clostridium] leptum] 
gi|489624532|ref|WP_003528972.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624533|ref|WP_003528973.1|	MULTISPECIES: alpha-N-arabinofuranosidase [Clostridiales] 
gi|489624534|ref|WP_003528974.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624535|ref|WP_003528975.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624536|ref|WP_003528976.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624537|ref|WP_003528977.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624539|ref|WP_003528979.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624540|ref|WP_003528980.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624541|ref|WP_003528981.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624542|ref|WP_003528982.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624543|ref|WP_003528983.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624545|ref|WP_003528985.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624546|ref|WP_003528986.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624548|ref|WP_003528988.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624550|ref|WP_003528990.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624552|ref|WP_003528992.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624554|ref|WP_003528994.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624556|ref|WP_003528996.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624558|ref|WP_003528998.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624560|ref|WP_003529000.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624562|ref|WP_003529002.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624565|ref|WP_003529005.1|	MULTISPECIES: coproporphyrinogen dehydrogenase [Clostridiales] 
gi|489624567|ref|WP_003529007.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624569|ref|WP_003529009.1|	MULTISPECIES: RNA methyltransferase [Clostridiales] 
gi|489624571|ref|WP_003529011.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624574|ref|WP_003529014.1|	phosphoglycerate kinase [[Clostridium] leptum] 
gi|489624575|ref|WP_003529015.1|	MULTISPECIES: triosephosphate isomerase [Clostridiales] 
gi|489624576|ref|WP_003529016.1|	phosphoglyceromutase [[Clostridium] leptum] 
gi|489624577|ref|WP_003529017.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624579|ref|WP_003529019.1|	FMN reductase [[Clostridium] leptum] 
gi|489624581|ref|WP_003529021.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624583|ref|WP_003529023.1|	DNA polymerase IV [[Clostridium] leptum] 
gi|489624585|ref|WP_003529025.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624587|ref|WP_003529027.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624589|ref|WP_003529029.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624590|ref|WP_003529030.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624598|ref|WP_003529038.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624599|ref|WP_003529039.1|	glycosyl transferase family 35 [[Clostridium] leptum] 
gi|489624601|ref|WP_003529041.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624603|ref|WP_003529043.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624605|ref|WP_003529045.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624608|ref|WP_003529048.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624609|ref|WP_003529049.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624611|ref|WP_003529051.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624613|ref|WP_003529053.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624615|ref|WP_003529055.1|	glycerol kinase [[Clostridium] leptum] 
gi|489624617|ref|WP_003529057.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624619|ref|WP_003529059.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624621|ref|WP_003529061.1|	MULTISPECIES: peptidylprolyl isomerase [Clostridiales] 
gi|489624623|ref|WP_003529063.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624625|ref|WP_003529065.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624626|ref|WP_003529066.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624628|ref|WP_003529068.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624629|ref|WP_003529069.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624630|ref|WP_003529070.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624631|ref|WP_003529071.1|	NAD-dependent deacetylase [[Clostridium] leptum] 
gi|489624632|ref|WP_003529072.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624633|ref|WP_003529073.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624634|ref|WP_003529074.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624635|ref|WP_003529075.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624636|ref|WP_003529076.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624637|ref|WP_003529077.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624638|ref|WP_003529078.1|	MULTISPECIES: rubredoxin [Clostridiales] 
gi|489624640|ref|WP_003529080.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624642|ref|WP_003529082.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624644|ref|WP_003529084.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624647|ref|WP_003529087.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624652|ref|WP_003529092.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624653|ref|WP_003529093.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624655|ref|WP_003529095.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624656|ref|WP_003529096.1|	MULTISPECIES: PadR family transcriptional regulator [Clostridiales] 
gi|489624657|ref|WP_003529097.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624658|ref|WP_003529098.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624659|ref|WP_003529099.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624660|ref|WP_003529100.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624661|ref|WP_003529101.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624663|ref|WP_003529103.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624664|ref|WP_003529104.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624665|ref|WP_003529105.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624666|ref|WP_003529106.1|	ribulose-phosphate 3-epimerase [[Clostridium] leptum] 
gi|489624667|ref|WP_003529107.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624669|ref|WP_003529109.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624671|ref|WP_003529111.1|	2,5-diketo-D-gluconic acid reductase [[Clostridium] leptum] 
gi|489624674|ref|WP_003529114.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624676|ref|WP_003529116.1|	sodium:calcium symporter [[Clostridium] leptum] 
gi|489624678|ref|WP_003529118.1|	inorganic phosphate transporter PiT [[Clostridium] leptum] 
gi|489624680|ref|WP_003529120.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624682|ref|WP_003529122.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624684|ref|WP_003529124.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624685|ref|WP_003529125.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624687|ref|WP_003529127.1|	transcriptional regulator [[Clostridium] leptum] 
gi|489624690|ref|WP_003529130.1|	RNA polymerase sigma 70 [[Clostridium] leptum] 
gi|489624692|ref|WP_003529132.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624694|ref|WP_003529134.1|	histidine kinase [[Clostridium] leptum] 
gi|489624696|ref|WP_003529136.1|	PhoB family transcriptional regulator [[Clostridium] leptum] 
gi|489624698|ref|WP_003529138.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624707|ref|WP_003529147.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624709|ref|WP_003529149.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624711|ref|WP_003529151.1|	recombinase [[Clostridium] leptum] 
gi|489624713|ref|WP_003529153.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624715|ref|WP_003529155.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624717|ref|WP_003529157.1|	thiamine biosynthesis protein ThiI [[Clostridium] leptum] 
gi|489624719|ref|WP_003529159.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624722|ref|WP_003529162.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624724|ref|WP_003529164.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624726|ref|WP_003529166.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624727|ref|WP_003529167.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624729|ref|WP_003529169.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624748|ref|WP_003529188.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|489624750|ref|WP_003529190.1|	membrane protein [[Clostridium] leptum] 
gi|489624752|ref|WP_003529192.1|	hypothetical protein [[Clostridium] leptum] 
gi|488686100|ref|WP_002610319.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|489624756|ref|WP_003529196.1|	conjugal transfer protein TraG [[Clostridium] leptum] 
gi|488686075|ref|WP_002610294.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|488686071|ref|WP_002610290.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|489624759|ref|WP_003529199.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624761|ref|WP_003529201.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624763|ref|WP_003529203.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624764|ref|WP_003529204.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624765|ref|WP_003529205.1|	aspartyl-tRNA synthase [[Clostridium] leptum] 
gi|489624766|ref|WP_003529206.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624767|ref|WP_003529207.1|	histidyl-tRNA synthetase [[Clostridium] leptum] 
gi|489624768|ref|WP_003529208.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624769|ref|WP_003529209.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624770|ref|WP_003529210.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624771|ref|WP_003529211.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624772|ref|WP_003529212.1|	MULTISPECIES: methylglyoxal synthase [Clostridiales] 
gi|489624773|ref|WP_003529213.1|	MULTISPECIES: septum site-determining protein MinD [Clostridiales] 
gi|489624774|ref|WP_003529214.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624775|ref|WP_003529215.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624777|ref|WP_003529217.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624779|ref|WP_003529219.1|	rod shape-determining protein Mbl [[Clostridium] leptum] 
gi|489624781|ref|WP_003529221.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624783|ref|WP_003529223.1|	deoxyuridine 5'-triphosphate nucleotidohydrolase [[Clostridium] leptum] 
gi|489624785|ref|WP_003529225.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624787|ref|WP_003529227.1|	peptidase U32 [[Clostridium] leptum] 
gi|489624790|ref|WP_003529230.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624792|ref|WP_003529232.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624794|ref|WP_003529234.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624796|ref|WP_003529236.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624798|ref|WP_003529238.1|	alpha-glucan phosphorylase [[Clostridium] leptum] 
gi|489624800|ref|WP_003529240.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624802|ref|WP_003529242.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624805|ref|WP_003529245.1|	cyclomaltodextrinase [[Clostridium] leptum] 
gi|489624807|ref|WP_003529247.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624808|ref|WP_003529248.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624809|ref|WP_003529249.1|	Cro/Cl family transcriptional regulator [[Clostridium] leptum] 
gi|489624812|ref|WP_003529252.1|	DNA gyrase subunit A [[Clostridium] leptum] 
gi|489624814|ref|WP_003529254.1|	4-hydroxybenzoyl-CoA thioesterase [[Clostridium] leptum] 
gi|489624815|ref|WP_003529255.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624816|ref|WP_003529256.1|	MULTISPECIES: DNA gyrase subunit B [Clostridiales] 
gi|489624824|ref|WP_003529264.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624825|ref|WP_003529265.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624826|ref|WP_003529266.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624827|ref|WP_003529267.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624828|ref|WP_003529268.1|	DNA polymerase III subunit beta [[Clostridium] leptum] 
gi|489624829|ref|WP_003529269.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624830|ref|WP_003529270.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624831|ref|WP_003529271.1|	MULTISPECIES: chromosome replication protein DnaA [Clostridiales] 
gi|489624832|ref|WP_003529272.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624833|ref|WP_003529273.1|	MULTISPECIES: 50S ribosomal protein L34 [Clostridiales] 
gi|489624835|ref|WP_003529275.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624836|ref|WP_003529276.1|	MULTISPECIES: ribonuclease P [Clostridiales] 
gi|489624837|ref|WP_003529277.1|	MULTISPECIES: membrane protein insertion efficiency factor [Clostridiales] 
gi|489624839|ref|WP_003529279.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624841|ref|WP_003529281.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624842|ref|WP_003529282.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624844|ref|WP_003529284.1|	MULTISPECIES: tRNA uridine 5-carboxymethylaminomethyl modification protein [Clostridiales] 
gi|489624845|ref|WP_003529285.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624846|ref|WP_003529286.1|	16S rRNA methyltransferase [[Clostridium] leptum] 
gi|489624847|ref|WP_003529287.1|	MULTISPECIES: chromosome partitioning protein ParB [Clostridiales] 
gi|489624848|ref|WP_003529288.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624849|ref|WP_003529289.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624850|ref|WP_003529290.1|	MULTISPECIES: sporulation initiation inhibitor Soj [Clostridiales] 
gi|489624859|ref|WP_003529299.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624861|ref|WP_003529301.1|	plasmid partitioning protein ParB [[Clostridium] leptum] 
gi|489624863|ref|WP_003529303.1|	seryl-tRNA synthetase [[Clostridium] leptum] 
