gi|495106006|ref|WP_007830829.1|	hypothetical protein [Bacteroides dorei] 
gi|495108083|ref|WP_007832905.1|	2,5-diketo-D-gluconic acid reductase [Bacteroides dorei] 
gi|495108085|ref|WP_007832907.1|	MULTISPECIES: 2,5-diketo-D-gluconic acid reductase [Bacteroides] 
gi|495108087|ref|WP_007832909.1|	MULTISPECIES: AraC family transcriptional regulator [Bacteroides] 
gi|495108089|ref|WP_007832911.1|	hypothetical protein [Bacteroides dorei] 
gi|495108091|ref|WP_007832913.1|	glycosyl hydrolase family 109 [Bacteroides dorei] 
gi|495108093|ref|WP_007832915.1|	anti-sigma factor [Bacteroides dorei] 
gi|495108094|ref|WP_007832916.1|	RNA polymerase sigma70 factor [Bacteroides dorei] 
gi|495108095|ref|WP_007832917.1|	MULTISPECIES: hisitdine kinase [Bacteroides] 
gi|495108096|ref|WP_007832918.1|	beta-galactosidase [Bacteroides dorei] 
gi|495108098|ref|WP_007832920.1|	ion transporter [Bacteroides dorei] 
gi|495108100|ref|WP_007832922.1|	murein transglycosylase [Bacteroides dorei] 
gi|495108101|ref|WP_007832923.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|495108102|ref|WP_007832924.1|	MULTISPECIES: chemotaxis protein CheY [Bacteroides] 
gi|495108103|ref|WP_007832925.1|	collagen-binding protein [Bacteroides dorei] 
gi|495108104|ref|WP_007832926.1|	MULTISPECIES: starch-binding protein [Bacteroides] 
gi|495108105|ref|WP_007832927.1|	MULTISPECIES: sugar ABC transporter [Bacteroides] 
gi|495108106|ref|WP_007832928.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108107|ref|WP_007832929.1|	rhamnulose-1-phosphate aldolase [Bacteroides dorei] 
gi|495108108|ref|WP_007832930.1|	MULTISPECIES: sugar:proton symporter [Bacteroides] 
gi|492427347|ref|WP_005841030.1|	MULTISPECIES: rhamnose isomerase [Bacteroides] 
gi|495108109|ref|WP_007832931.1|	MULTISPECIES: rhamnulokinase [Bacteroides] 
gi|495108111|ref|WP_007832933.1|	MULTISPECIES: arginine repressor [Bacteroides] 
gi|495108113|ref|WP_007832935.1|	MULTISPECIES: acetyltransferase [Bacteroides] 
gi|495108115|ref|WP_007832937.1|	MULTISPECIES: argininosuccinate synthase [Bacteroides] 
gi|492427359|ref|WP_005841042.1|	MULTISPECIES: N-acetyl-gamma-glutamyl-phosphate reductase [Bacteroides] 
gi|495108118|ref|WP_007832940.1|	MULTISPECIES: acetylornithine aminotransferase [Bacteroides] 
gi|495108120|ref|WP_007832942.1|	MULTISPECIES: pyrroline-5-carboxylate reductase [Bacteroides] 
gi|495108121|ref|WP_007832943.1|	MULTISPECIES: phosphodiesterase [Bacteroides] 
gi|495108123|ref|WP_007832945.1|	MULTISPECIES: aldo/keto reductase [Bacteroides] 
gi|495108125|ref|WP_007832947.1|	ferredoxin [Bacteroides dorei] 
gi|495108127|ref|WP_007832949.1|	MULTISPECIES: TonB-dependent outer membrane receptor [Bacteroides] 
gi|495108129|ref|WP_007832951.1|	MULTISPECIES: 5-nitroimidazole antibiotic resistance protein [Bacteroides] 
gi|495108131|ref|WP_007832953.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|495108133|ref|WP_007832955.1|	MULTISPECIES: acetyl-CoA synthetase [Bacteroides] 
gi|492427402|ref|WP_005841085.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492427404|ref|WP_005841087.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108136|ref|WP_007832958.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495108138|ref|WP_007832960.1|	hypothetical protein [Bacteroides dorei] 
gi|495108139|ref|WP_007832961.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108140|ref|WP_007832962.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495108141|ref|WP_007832963.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108142|ref|WP_007832964.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495108144|ref|WP_007832966.1|	hypothetical protein [Bacteroides dorei] 
gi|495108145|ref|WP_007832967.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|495108146|ref|WP_007832968.1|	hypothetical protein [Bacteroides dorei] 
gi|495108147|ref|WP_007832969.1|	hypothetical protein [Bacteroides dorei] 
gi|495108148|ref|WP_007832970.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495108149|ref|WP_007832971.1|	hypothetical protein [Bacteroides dorei] 
gi|495108151|ref|WP_007832973.1|	ATPase AAA [Bacteroides dorei] 
gi|495108153|ref|WP_007832975.1|	hypothetical protein partial [Bacteroides dorei] 
gi|492444010|ref|WP_005845767.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108155|ref|WP_007832977.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|492444016|ref|WP_005845771.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495108157|ref|WP_007832979.1|	hypothetical protein [Bacteroides dorei] 
gi|495108158|ref|WP_007832980.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495108160|ref|WP_007832982.1|	alpha-1 2-mannosidase [Bacteroides dorei] 
gi|495108162|ref|WP_007832984.1|	MULTISPECIES: hydrolase [Bacteroides] 
gi|495108164|ref|WP_007832986.1|	MULTISPECIES: gamma-glutamyl kinase [Bacteroides] 
gi|495108166|ref|WP_007832988.1|	gamma-glutamyl phosphate reductase [Bacteroides dorei] 
gi|495108168|ref|WP_007832990.1|	MULTISPECIES: N-acetylornithine carbamoyltransferase [Bacteroides] 
gi|495108170|ref|WP_007832992.1|	MULTISPECIES: rhodanese [Bacteroides] 
gi|495108171|ref|WP_007832993.1|	hypothetical protein [Bacteroides dorei] 
gi|495108173|ref|WP_007832995.1|	MULTISPECIES: acyltransferase [Bacteroides] 
gi|495108174|ref|WP_007832996.1|	D-alanine--D-alanine ligase [Bacteroides dorei] 
gi|495108175|ref|WP_007832997.1|	ribosomal large subunit pseudouridine synthase D [Bacteroides dorei] 
gi|495108176|ref|WP_007832998.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108177|ref|WP_007832999.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108178|ref|WP_007833000.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495108180|ref|WP_007833002.1|	MULTISPECIES: RNA-binding protein [Bacteroides] 
gi|495108182|ref|WP_007833004.1|	hypothetical protein [Bacteroides dorei] 
gi|495108183|ref|WP_007833005.1|	chemotaxis protein CheY [Bacteroides dorei] 
gi|495108186|ref|WP_007833008.1|	xylanase [Bacteroides dorei] 
gi|495108188|ref|WP_007833010.1|	collagen-binding protein [Bacteroides dorei] 
gi|495108190|ref|WP_007833012.1|	starch-binding protein [Bacteroides dorei] 
gi|495108192|ref|WP_007833014.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108193|ref|WP_007833015.1|	sulfatase [Bacteroides dorei] 
gi|495108194|ref|WP_007833016.1|	beta-hexosaminidase [Bacteroides dorei] 
gi|495108195|ref|WP_007833017.1|	beta-galactosidase [Bacteroides dorei] 
gi|495108197|ref|WP_007833019.1|	alpha-1,3/4-fucosidase [Bacteroides dorei] 
gi|495108198|ref|WP_007833020.1|	hypothetical protein [Bacteroides dorei] 
gi|495108200|ref|WP_007833022.1|	acid phosphatase [Bacteroides dorei] 
gi|495108201|ref|WP_007833023.1|	ATPase [Bacteroides dorei] 
gi|495108204|ref|WP_007833026.1|	MULTISPECIES: sulfatase-maturase [Bacteroides] 
gi|492426982|ref|WP_005840676.1|	MULTISPECIES: 50S ribosomal protein L34 [Bacteroides] 
gi|495108210|ref|WP_007833032.1|	MULTISPECIES: elongation factor P [Bacteroides] 
gi|495108212|ref|WP_007833034.1|	hypothetical protein [Bacteroides dorei] 
gi|495108214|ref|WP_007833036.1|	MULTISPECIES: glycosyl transferase family 2 [Bacteroides] 
gi|495108216|ref|WP_007833038.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492426995|ref|WP_005840684.1|	MULTISPECIES: putative FeS assembly SUF system protein [Bacteroides] 
gi|495108218|ref|WP_007833040.1|	MULTISPECIES: UDP-2,3-diacylglucosamine hydrolase [Bacteroides] 
gi|495108220|ref|WP_007833042.1|	MULTISPECIES: acetate kinase [Bacteroides] 
gi|495108222|ref|WP_007833044.1|	MULTISPECIES: phosphotransacetylase [Bacteroides] 
gi|492427008|ref|WP_005840692.1|	MULTISPECIES: murein hydrolase transporter LrgA [Bacteroides] 
gi|495108224|ref|WP_007833046.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495108226|ref|WP_007833048.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108228|ref|WP_007833050.1|	MULTISPECIES: acetyltransferase [Bacteroides] 
gi|492427015|ref|WP_005840698.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495108229|ref|WP_007833051.1|	MULTISPECIES: dihydropteroate synthase [Bacteroides] 
gi|495108231|ref|WP_007833053.1|	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [Bacteroides dorei] 
gi|495108233|ref|WP_007833055.1|	hypothetical protein [Bacteroides dorei] 
gi|495108236|ref|WP_007833058.1|	hypothetical protein [Bacteroides dorei] 
gi|495108237|ref|WP_007833059.1|	glycosyhydrolase [Bacteroides dorei] 
gi|495108239|ref|WP_007833061.1|	hypothetical protein [Bacteroides dorei] 
gi|495108241|ref|WP_007833063.1|	chemotaxis protein CheY [Bacteroides dorei] 
gi|495108243|ref|WP_007833065.1|	collagen-binding protein [Bacteroides dorei] 
gi|495108250|ref|WP_007833072.1|	starch-binding protein [Bacteroides dorei] 
gi|495108252|ref|WP_007833074.1|	MULTISPECIES: collagen-binding protein [Bacteroides] 
gi|495108254|ref|WP_007833076.1|	MULTISPECIES: starch-binding protein [Bacteroides] 
gi|495108256|ref|WP_007833078.1|	beta-xylosidase [Bacteroides dorei] 
gi|495108258|ref|WP_007833080.1|	beta-glucanase [Bacteroides dorei] 
gi|495108260|ref|WP_007833082.1|	glycoside hydrolase [Bacteroides dorei] 
gi|495108261|ref|WP_007833083.1|	starch-binding protein [Bacteroides dorei] 
gi|495108262|ref|WP_007833084.1|	TonB-linked outer membrane protein [Bacteroides dorei] 
gi|495108263|ref|WP_007833085.1|	helicase [Bacteroides dorei] 
gi|495108264|ref|WP_007833086.1|	hypothetical protein [Bacteroides dorei] 
gi|492427050|ref|WP_005840733.1|	MULTISPECIES: RNA polymerase sigma70 factor [Bacteroides] 
gi|495108268|ref|WP_007833090.1|	anti-sigma factor [Bacteroides dorei] 
gi|495108270|ref|WP_007833092.1|	collagen-binding protein [Bacteroides dorei] 
gi|495108272|ref|WP_007833094.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495108274|ref|WP_007833096.1|	hypothetical protein [Bacteroides dorei] 
gi|495108275|ref|WP_007833097.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108277|ref|WP_007833099.1|	MULTISPECIES: glycoside hydrolase [Bacteroides] 
gi|495108279|ref|WP_007833101.1|	alpha-L-arabinofuranosidase [Bacteroides dorei] 
gi|495108281|ref|WP_007833103.1|	MULTISPECIES: beta-galactosidase [Bacteroides] 
gi|495108283|ref|WP_007833105.1|	MULTISPECIES: AraC family transcriptional regulator [Bacteroides] 
gi|495108285|ref|WP_007833107.1|	TonB-linked outer membrane protein [Bacteroides dorei] 
gi|495108288|ref|WP_007833110.1|	starch-binding protein [Bacteroides dorei] 
gi|495108290|ref|WP_007833112.1|	MULTISPECIES: acetyl-CoA carboxylase [Bacteroides] 
gi|495108296|ref|WP_007833118.1|	exonuclease [Bacteroides dorei] 
gi|495108298|ref|WP_007833120.1|	ATP-dependent exonuclease [Bacteroides dorei] 
gi|495108300|ref|WP_007833122.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108301|ref|WP_007833123.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108302|ref|WP_007833124.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108303|ref|WP_007833125.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108304|ref|WP_007833126.1|	hypothetical protein [Bacteroides dorei] 
gi|495108305|ref|WP_007833127.1|	hypothetical protein [Bacteroides dorei] 
gi|495108306|ref|WP_007833128.1|	hypothetical protein [Bacteroides dorei] 
gi|495108307|ref|WP_007833129.1|	MULTISPECIES: inorganic polyphosphate/ATP-NAD kinase [Bacteroides] 
gi|495108308|ref|WP_007833130.1|	MULTISPECIES: pyridoxamine 5'-phosphate oxidase [Bacteroides] 
gi|495108309|ref|WP_007833131.1|	MULTISPECIES: biopolymer transporter ExbB [Bacteroides] 
gi|495108310|ref|WP_007833132.1|	MULTISPECIES: biopolymer transporter ExbD [Bacteroides] 
gi|495108311|ref|WP_007833133.1|	cell envelope biogenesis protein TonB [Bacteroides dorei] 
gi|495108312|ref|WP_007833134.1|	MULTISPECIES: thiazole biosynthesis protein ThiJ [Bacteroides] 
gi|495108313|ref|WP_007833135.1|	MULTISPECIES: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Bacteroides] 
gi|495108314|ref|WP_007833136.1|	MULTISPECIES: ATP-dependent DNA helicase RecG [Bacteroides] 
gi|495108315|ref|WP_007833137.1|	nucleoside diphosphate kinase [Bacteroides dorei] 
gi|495108316|ref|WP_007833138.1|	MULTISPECIES: peptidase M23 [Bacteroides] 
gi|495108317|ref|WP_007833139.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108318|ref|WP_007833140.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108319|ref|WP_007833141.1|	MULTISPECIES: triosephosphate isomerase [Bacteroides] 
gi|495108320|ref|WP_007833142.1|	cell division protein [Bacteroides dorei] 
gi|495108321|ref|WP_007833143.1|	MULTISPECIES: GTP cyclohydrolase [Bacteroides] 
gi|495108322|ref|WP_007833144.1|	MULTISPECIES: DNA primase [Bacteroides] 
gi|495108323|ref|WP_007833145.1|	MULTISPECIES: malate dehydrogenase [Bacteroides] 
gi|495108329|ref|WP_007833151.1|	transcriptional regulator [Bacteroides dorei] 
gi|495108338|ref|WP_007833160.1|	hypothetical protein [Bacteroides dorei] 
gi|495108339|ref|WP_007833161.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108341|ref|WP_007833163.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108343|ref|WP_007833165.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495108355|ref|WP_007833177.1|	pantothenate kinase [Bacteroides dorei] 
gi|495108356|ref|WP_007833178.1|	9-O-acetylesterase [Bacteroides dorei] 
gi|495108362|ref|WP_007833184.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495108363|ref|WP_007833185.1|	MULTISPECIES: sensor histidine kinase [Bacteroides] 
gi|495108364|ref|WP_007833186.1|	hypothetical protein [Bacteroides dorei] 
gi|495108365|ref|WP_007833187.1|	MULTISPECIES: camphor resistance protein CrcB [Bacteroides] 
gi|495108366|ref|WP_007833188.1|	MULTISPECIES: amidophosphoribosyltransferase [Bacteroides] 
gi|495108367|ref|WP_007833189.1|	peptidase T [Bacteroides dorei] 
gi|495108368|ref|WP_007833190.1|	glycine cleavage system protein T [Bacteroides dorei] 
gi|495108369|ref|WP_007833191.1|	MULTISPECIES: sodium:proton antiporter [Bacteroides] 
gi|495108371|ref|WP_007833193.1|	MULTISPECIES: histidine triad (HIT) protein [Bacteroides] 
gi|495108373|ref|WP_007833195.1|	MULTISPECIES: heat-shock protein Hsp15 [Bacteroides] 
gi|495108375|ref|WP_007833197.1|	MULTISPECIES: peptidyl-tRNA hydrolase [Bacteroides] 
gi|495108376|ref|WP_007833198.1|	MULTISPECIES: 50S ribosomal protein L25 [Bacteroides] 
gi|492430049|ref|WP_005841624.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|492430045|ref|WP_005841621.1|	MULTISPECIES: transcription antitermination factor NusB [Bacteroides] 
gi|492430042|ref|WP_005841619.1|	MULTISPECIES: preprotein translocase subunit YajC [Bacteroides] 
gi|495108386|ref|WP_007833208.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108388|ref|WP_007833210.1|	MULTISPECIES: dephospho-CoA kinase [Bacteroides] 
gi|495108389|ref|WP_007833211.1|	hypothetical protein [Bacteroides dorei] 
gi|495108390|ref|WP_007833212.1|	hypothetical protein [Bacteroides dorei] 
gi|495108391|ref|WP_007833213.1|	hypothetical protein [Bacteroides dorei] 
gi|495108392|ref|WP_007833214.1|	MULTISPECIES: molecular chaperone ClpB [Bacteroides] 
gi|495108394|ref|WP_007833216.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108396|ref|WP_007833218.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108397|ref|WP_007833219.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|495108399|ref|WP_007833221.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495108405|ref|WP_007833227.1|	hypothetical protein [Bacteroides dorei] 
gi|495108407|ref|WP_007833229.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108409|ref|WP_007833231.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495108411|ref|WP_007833233.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108413|ref|WP_007833235.1|	MULTISPECIES: preprotein translocase [Bacteroides] 
gi|495108415|ref|WP_007833237.1|	alanine dehydrogenase [Bacteroides dorei] 
gi|495108423|ref|WP_007833245.1|	MULTISPECIES: peptidase M23 [Bacteroides] 
gi|495108425|ref|WP_007833247.1|	MULTISPECIES: peptidase C69 [Bacteroides] 
gi|495108426|ref|WP_007833248.1|	MULTISPECIES: phosphoglucomutase [Bacteroides] 
gi|495108428|ref|WP_007833250.1|	permease [Bacteroides dorei] 
gi|495108430|ref|WP_007833252.1|	MULTISPECIES: aldose 1-epimerase [Bacteroides] 
gi|495108432|ref|WP_007833254.1|	histidine kinase [Bacteroides dorei] 
gi|495108434|ref|WP_007833256.1|	MULTISPECIES: chemotaxis protein CheY [Bacteroides] 
gi|495108436|ref|WP_007833258.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108437|ref|WP_007833259.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108439|ref|WP_007833261.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108441|ref|WP_007833263.1|	hypothetical protein [Bacteroides dorei] 
gi|495108443|ref|WP_007833265.1|	hypothetical protein [Bacteroides dorei] 
gi|495108445|ref|WP_007833267.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108447|ref|WP_007833269.1|	hypothetical protein [Bacteroides dorei] 
gi|495108448|ref|WP_007833270.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108451|ref|WP_007833273.1|	hypothetical protein [Bacteroides dorei] 
gi|495108453|ref|WP_007833275.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108455|ref|WP_007833277.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108456|ref|WP_007833278.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108457|ref|WP_007833279.1|	hypothetical protein [Bacteroides dorei] 
gi|495108458|ref|WP_007833280.1|	MULTISPECIES: arylsulfatase [Bacteroides] 
gi|495108459|ref|WP_007833281.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108468|ref|WP_007833290.1|	ATPase AAA [Bacteroides dorei] 
gi|495108470|ref|WP_007833292.1|	hypothetical protein [Bacteroides dorei] 
gi|495108472|ref|WP_007833294.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495108473|ref|WP_007833295.1|	MULTISPECIES: aminoglycoside transporter [Bacteroides] 
gi|495108475|ref|WP_007833297.1|	MULTISPECIES: acriflavin resistance protein [Bacteroides] 
gi|495108477|ref|WP_007833299.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108478|ref|WP_007833300.1|	MULTISPECIES: potassium transporter [Bacteroides] 
gi|495108479|ref|WP_007833301.1|	multidrug transporter MatE [Bacteroides dorei] 
gi|495108481|ref|WP_007833303.1|	MULTISPECIES: pseudouridine synthase [Bacteroides] 
gi|495108482|ref|WP_007833304.1|	hypothetical protein [Bacteroides dorei] 
gi|495108483|ref|WP_007833305.1|	hypothetical protein [Bacteroides dorei] 
gi|495108484|ref|WP_007833306.1|	hypothetical protein [Bacteroides dorei] 
gi|495108485|ref|WP_007833307.1|	arsenate reductase [Bacteroides dorei] 
gi|495108489|ref|WP_007833311.1|	MULTISPECIES: methylated-DNA--protein-cysteine methyltransferase [Bacteroides] 
gi|495108490|ref|WP_007833312.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108491|ref|WP_007833313.1|	MULTISPECIES: acyl dehydratase [Bacteroides] 
gi|495108492|ref|WP_007833314.1|	MULTISPECIES: acetyltransferase [Bacteroides] 
gi|495108493|ref|WP_007833315.1|	MULTISPECIES: oxidoreductase [Bacteroides] 
gi|492459438|ref|WP_005852036.1|	MULTISPECIES: polysaccharide biosynthesis protein GtrA [Bacteroides] 
gi|495108494|ref|WP_007833316.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108495|ref|WP_007833317.1|	MULTISPECIES: heat-shock protein [Bacteroides] 
gi|495108496|ref|WP_007833318.1|	hypothetical protein [Bacteroides dorei] 
gi|495108497|ref|WP_007833319.1|	rRNA methyltransferase [Bacteroides dorei] 
gi|495108498|ref|WP_007833320.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108499|ref|WP_007833321.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108500|ref|WP_007833322.1|	transposase [Bacteroides dorei] 
gi|495108501|ref|WP_007833323.1|	hypothetical protein [Bacteroides dorei] 
