gi|494978815|ref|WP_007704839.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982748|ref|WP_007708772.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982749|ref|WP_007708773.1|	MULTISPECIES: thiamine biosynthesis protein ThiI [Clostridiales] 
gi|494982750|ref|WP_007708774.1|	MULTISPECIES: PTS sugar transporter [Clostridiales] 
gi|494982751|ref|WP_007708775.1|	radical SAM protein [[Clostridium] asparagiforme] 
gi|494982752|ref|WP_007708776.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982753|ref|WP_007708777.1|	MULTISPECIES: Holliday junction resolvase [Clostridiales] 
gi|494982754|ref|WP_007708778.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982755|ref|WP_007708779.1|	beta-lactamase [[Clostridium] asparagiforme] 
gi|494982756|ref|WP_007708780.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982757|ref|WP_007708781.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982760|ref|WP_007708784.1|	O-methyltransferase [[Clostridium] asparagiforme] 
gi|494982762|ref|WP_007708786.1|	peptidase U32 [[Clostridium] asparagiforme] 
gi|494982763|ref|WP_007708787.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|494982764|ref|WP_007708788.1|	peptidase M16 [[Clostridium] asparagiforme] 
gi|494982765|ref|WP_007708789.1|	GTPase Era [[Clostridium] asparagiforme] 
gi|494982766|ref|WP_007708790.1|	DNA repair protein RecO [[Clostridium] asparagiforme] 
gi|494982767|ref|WP_007708791.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982768|ref|WP_007708792.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982769|ref|WP_007708793.1|	MULTISPECIES: glycyl-tRNA synthetase [Clostridiales] 
gi|494982771|ref|WP_007708795.1|	MULTISPECIES: phosphatidylserine decarboxylase [Clostridiales] 
gi|494982773|ref|WP_007708797.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982774|ref|WP_007708798.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982775|ref|WP_007708799.1|	MULTISPECIES: histidine kinase [Clostridiales] 
gi|494982776|ref|WP_007708800.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|494982777|ref|WP_007708801.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982783|ref|WP_007708807.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982784|ref|WP_007708808.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982786|ref|WP_007708810.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982787|ref|WP_007708811.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982789|ref|WP_007708813.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982791|ref|WP_007708815.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982793|ref|WP_007708817.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982794|ref|WP_007708818.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982795|ref|WP_007708819.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982796|ref|WP_007708820.1|	MULTISPECIES: pyruvate phosphate dikinase [Clostridiales] 
gi|494982797|ref|WP_007708821.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982798|ref|WP_007708822.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982799|ref|WP_007708823.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982801|ref|WP_007708825.1|	C4-dicarboxylate ABC transporter [[Clostridium] asparagiforme] 
gi|494982803|ref|WP_007708827.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982806|ref|WP_007708830.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982808|ref|WP_007708832.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982810|ref|WP_007708834.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982812|ref|WP_007708836.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982814|ref|WP_007708838.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982815|ref|WP_007708839.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982817|ref|WP_007708841.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982818|ref|WP_007708842.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982819|ref|WP_007708843.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982821|ref|WP_007708845.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982823|ref|WP_007708847.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982825|ref|WP_007708849.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982826|ref|WP_007708850.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982827|ref|WP_007708851.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982828|ref|WP_007708852.1|	hydrolase [[Clostridium] asparagiforme] 
gi|494982829|ref|WP_007708853.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982830|ref|WP_007708854.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982831|ref|WP_007708855.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982832|ref|WP_007708856.1|	sugar ABC transporter permease [[Clostridium] asparagiforme] 
gi|494982834|ref|WP_007708858.1|	MULTISPECIES: sugar permease [Clostridiales] 
gi|494982835|ref|WP_007708859.1|	beta-phosphoglucomutase [[Clostridium] asparagiforme] 
gi|494982836|ref|WP_007708860.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982837|ref|WP_007708861.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982838|ref|WP_007708862.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982839|ref|WP_007708863.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982840|ref|WP_007708864.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982841|ref|WP_007708865.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982842|ref|WP_007708866.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982843|ref|WP_007708867.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982844|ref|WP_007708868.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982845|ref|WP_007708869.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982846|ref|WP_007708870.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982847|ref|WP_007708871.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982849|ref|WP_007708873.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982851|ref|WP_007708875.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982853|ref|WP_007708877.1|	pyrroline-5-carboxylate reductase [[Clostridium] asparagiforme] 
gi|494982854|ref|WP_007708878.1|	MULTISPECIES: NUDIX hydrolase [Clostridiales] 
gi|494982855|ref|WP_007708879.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982856|ref|WP_007708880.1|	MULTISPECIES: multidrug DMT transporter permease [Clostridiales] 
gi|494982857|ref|WP_007708881.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982858|ref|WP_007708882.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982859|ref|WP_007708883.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982861|ref|WP_007708885.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982863|ref|WP_007708887.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982865|ref|WP_007708889.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982866|ref|WP_007708890.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982867|ref|WP_007708891.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982868|ref|WP_007708892.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982869|ref|WP_007708893.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982870|ref|WP_007708894.1|	cytochrome C oxidase subunit IV [[Clostridium] asparagiforme] 
gi|494982871|ref|WP_007708895.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982873|ref|WP_007708897.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982874|ref|WP_007708898.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982875|ref|WP_007708899.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982876|ref|WP_007708900.1|	MULTISPECIES: LuxR family transcriptional regulator [Clostridiales] 
gi|494982878|ref|WP_007708902.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|494982880|ref|WP_007708904.1|	2-dehydro-3-deoxygluconokinase [[Clostridium] asparagiforme] 
gi|494982881|ref|WP_007708905.1|	aldolase [[Clostridium] asparagiforme] 
gi|494982882|ref|WP_007708906.1|	galactonate dehydratase [[Clostridium] asparagiforme] 
gi|494982883|ref|WP_007708907.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982884|ref|WP_007708908.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982885|ref|WP_007708909.1|	hydroxyethylthiazole kinase [[Clostridium] asparagiforme] 
gi|494982886|ref|WP_007708910.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982887|ref|WP_007708911.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982888|ref|WP_007708912.1|	phosphomethylpyrimidine kinase [[Clostridium] asparagiforme] 
gi|494982889|ref|WP_007708913.1|	hydrogenase expression protein [[Clostridium] asparagiforme] 
gi|494982890|ref|WP_007708914.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982891|ref|WP_007708915.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982892|ref|WP_007708916.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982894|ref|WP_007708918.1|	peptidyl-prolyl cis-trans isomerase [[Clostridium] asparagiforme] 
gi|494982895|ref|WP_007708919.1|	multidrug transporter MatE [[Clostridium] asparagiforme] 
gi|494982897|ref|WP_007708921.1|	SARP family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494982898|ref|WP_007708922.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982900|ref|WP_007708924.1|	sortase [[Clostridium] asparagiforme] 
gi|494982902|ref|WP_007708926.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982903|ref|WP_007708927.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982905|ref|WP_007708929.1|	ABC transporter substrate-binding protein [[Clostridium] asparagiforme] 
gi|494982907|ref|WP_007708931.1|	amino acid ABC transporter substrate-binding protein [[Clostridium] asparagiforme] 
gi|494982910|ref|WP_007708934.1|	ABC transporter [[Clostridium] asparagiforme] 
gi|494982911|ref|WP_007708935.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982913|ref|WP_007708937.1|	CTP synthetase [[Clostridium] asparagiforme] 
gi|494982915|ref|WP_007708939.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982917|ref|WP_007708941.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982918|ref|WP_007708942.1|	amidohydrolase [[Clostridium] asparagiforme] 
gi|494982920|ref|WP_007708944.1|	amino acid ABC transporter substrate-binding protein [[Clostridium] asparagiforme] 
gi|494982921|ref|WP_007708945.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982922|ref|WP_007708946.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982923|ref|WP_007708947.1|	diaminopimelate epimerase [[Clostridium] asparagiforme] 
gi|494982925|ref|WP_007708949.1|	glutamine synthetase [[Clostridium] asparagiforme] 
gi|494982926|ref|WP_007708950.1|	transcription antitermination regulator [[Clostridium] asparagiforme] 
gi|494982929|ref|WP_007708953.1|	diaminopimelate epimerase [[Clostridium] asparagiforme] 
gi|494982930|ref|WP_007708954.1|	aspartate aminotransferase [[Clostridium] asparagiforme] 
gi|494982932|ref|WP_007708956.1|	MULTISPECIES: AsnC family transcriptional regulator [Clostridiales] 
gi|494982933|ref|WP_007708957.1|	MULTISPECIES: N-acetylmuramoyl-L-alanine amidase [Clostridiales] 
gi|494982934|ref|WP_007708958.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982935|ref|WP_007708959.1|	MULTISPECIES: NUDIX hydrolase [Clostridiales] 
gi|494982936|ref|WP_007708960.1|	cytidylate kinase [[Clostridium] asparagiforme] 
gi|494982937|ref|WP_007708961.1|	FAD-dependent oxidoreductase [[Clostridium] asparagiforme] 
gi|494982938|ref|WP_007708962.1|	MULTISPECIES: peptidoglycan-binding protein [Clostridiales] 
gi|494982946|ref|WP_007708970.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982948|ref|WP_007708972.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982950|ref|WP_007708974.1|	carbamoyl phosphate synthase large subunit [[Clostridium] asparagiforme] 
gi|494982952|ref|WP_007708976.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982953|ref|WP_007708977.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982954|ref|WP_007708978.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982955|ref|WP_007708979.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982958|ref|WP_007708982.1|	carbamate kinase [[Clostridium] asparagiforme] 
gi|494982960|ref|WP_007708984.1|	glycosyl transferase [[Clostridium] asparagiforme] 
gi|494982962|ref|WP_007708986.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982963|ref|WP_007708987.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982966|ref|WP_007708990.1|	MULTISPECIES: phosphoesterase [Clostridiales] 
gi|494982968|ref|WP_007708992.1|	RpiR family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494982970|ref|WP_007708994.1|	1-phosphofructokinase [[Clostridium] asparagiforme] 
gi|494982972|ref|WP_007708996.1|	PTS fructose transporter subunit IIC [[Clostridium] asparagiforme] 
gi|494982974|ref|WP_007708998.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|494982976|ref|WP_007709000.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982977|ref|WP_007709001.1|	CMP deaminase [[Clostridium] asparagiforme] 
gi|494982979|ref|WP_007709003.1|	cold-shock protein [[Clostridium] asparagiforme] 
gi|494982980|ref|WP_007709004.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982982|ref|WP_007709006.1|	MULTISPECIES: aminotransferase [Clostridiales] 
gi|494982983|ref|WP_007709007.1|	MULTISPECIES: sodium:dicarboxylate symporter [Clostridiales] 
gi|494982986|ref|WP_007709010.1|	sodium:proton antiporter [[Clostridium] asparagiforme] 
gi|494982987|ref|WP_007709011.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982989|ref|WP_007709013.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982990|ref|WP_007709014.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982991|ref|WP_007709015.1|	MULTISPECIES: diacylglycerol kinase [Clostridiales] 
gi|494982992|ref|WP_007709016.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982993|ref|WP_007709017.1|	MULTISPECIES: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Clostridiales] 
gi|494982994|ref|WP_007709018.1|	cysteinyl-tRNA synthetase [[Clostridium] asparagiforme] 
gi|494982995|ref|WP_007709019.1|	ribonuclease III [[Clostridium] asparagiforme] 
gi|494982996|ref|WP_007709020.1|	MULTISPECIES: RNA methyltransferase [Clostridiales] 
gi|494983000|ref|WP_007709024.1|	transglutaminase [[Clostridium] asparagiforme] 
gi|494983001|ref|WP_007709025.1|	MULTISPECIES: type II secretion system protein F [Clostridiales] 
gi|494983003|ref|WP_007709027.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494983004|ref|WP_007709028.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494983005|ref|WP_007709029.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494983006|ref|WP_007709030.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494983007|ref|WP_007709031.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494983008|ref|WP_007709032.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494983009|ref|WP_007709033.1|	MULTISPECIES: L-lactate dehydrogenase [Clostridiales] 
gi|494983010|ref|WP_007709034.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494983011|ref|WP_007709035.1|	XRE family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494983012|ref|WP_007709036.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494983013|ref|WP_007709037.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494983015|ref|WP_007709039.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494983017|ref|WP_007709041.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494983018|ref|WP_007709042.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494983020|ref|WP_007709044.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494983022|ref|WP_007709046.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494983024|ref|WP_007709048.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494983026|ref|WP_007709050.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494983028|ref|WP_007709052.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494983029|ref|WP_007709053.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494983030|ref|WP_007709054.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494983031|ref|WP_007709055.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494983032|ref|WP_007709056.1|	branched-chain amino acid ABC transporter permease [[Clostridium] asparagiforme] 
gi|494983033|ref|WP_007709057.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494983035|ref|WP_007709059.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494983037|ref|WP_007709061.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494983039|ref|WP_007709063.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494983041|ref|WP_007709065.1|	MULTISPECIES: tyrosine recombinase XerD [Clostridiales] 
gi|494983043|ref|WP_007709067.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494983044|ref|WP_007709068.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494983045|ref|WP_007709069.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494983046|ref|WP_007709070.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494983047|ref|WP_007709071.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494983048|ref|WP_007709072.1|	tellurite resistance protein [[Clostridium] asparagiforme] 
gi|494983053|ref|WP_007709077.1|	inorganic phosphate transporter PiT [[Clostridium] asparagiforme] 
gi|494983055|ref|WP_007709079.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494983058|ref|WP_007709082.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494983060|ref|WP_007709084.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
