gi|493900435|ref|WP_006846241.1|	hypothetical protein [Prevotella copri] 
gi|493901600|ref|WP_006847383.1|	hypothetical protein [Prevotella copri] 
gi|493901601|ref|WP_006847384.1|	aminopeptidase [Prevotella copri] 
gi|493901602|ref|WP_006847385.1|	Xaa-Pro aminopeptidase [Prevotella copri] 
gi|493901603|ref|WP_006847386.1|	serine protease [Prevotella copri] 
gi|493901604|ref|WP_006847387.1|	tRNA (guanine-N1)-methyltransferase [Prevotella copri] 
gi|493901605|ref|WP_006847388.1|	hypothetical protein [Prevotella copri] 
gi|493901606|ref|WP_006847389.1|	aconitate hydratase [Prevotella copri] 
gi|493901607|ref|WP_006847390.1|	citrate synthase [Prevotella copri] 
gi|493901608|ref|WP_006847391.1|	hypothetical protein [Prevotella copri] 
gi|493901609|ref|WP_006847392.1|	coproporphyrinogen III oxidase [Prevotella copri] 
gi|493901610|ref|WP_006847393.1|	hypothetical protein [Prevotella copri] 
gi|493901611|ref|WP_006847394.1|	MULTISPECIES: elongation factor G [Prevotella] 
gi|493901612|ref|WP_006847395.1|	histidine kinase [Prevotella copri] 
gi|493901613|ref|WP_006847396.1|	MULTISPECIES: transcriptional regulator [Prevotella] 
gi|493901614|ref|WP_006847397.1|	quinolinate synthetase A [Prevotella copri] 
gi|493901615|ref|WP_006847398.1|	MULTISPECIES: 30S ribosomal protein S6 [Prevotella] 
gi|493901616|ref|WP_006847399.1|	MULTISPECIES: 30S ribosomal protein S18 [Prevotella] 
gi|493901617|ref|WP_006847400.1|	MULTISPECIES: 50S ribosomal protein L9 [Prevotella] 
gi|493901618|ref|WP_006847401.1|	ACP S-malonyltransferase [Prevotella copri] 
gi|493901619|ref|WP_006847402.1|	alpha-amlyase [Prevotella copri] 
gi|493901620|ref|WP_006847403.1|	putative trans-aconitate 2-methyltransferase [Prevotella copri] 
gi|493901621|ref|WP_006847404.1|	hypothetical protein [Prevotella copri] 
gi|493901623|ref|WP_006847405.1|	hypothetical protein [Prevotella copri] 
gi|493901624|ref|WP_006847406.1|	hypothetical protein [Prevotella copri] 
gi|493901625|ref|WP_006847407.1|	hypothetical protein [Prevotella copri] 
gi|493901626|ref|WP_006847408.1|	hypothetical protein [Prevotella copri] 
gi|493901627|ref|WP_006847409.1|	amino acid ABC transporter permease [Prevotella copri] 
gi|493901628|ref|WP_006847410.1|	ATPase AAA [Prevotella copri] 
gi|493901629|ref|WP_006847411.1|	ATPase AAA [Prevotella copri] 
gi|493901630|ref|WP_006847412.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493901631|ref|WP_006847413.1|	hypothetical protein [Prevotella copri] 
gi|493901632|ref|WP_006847414.1|	peptidase S9C subfamily [Prevotella copri] 
gi|493901633|ref|WP_006847415.1|	ribonuclease G [Prevotella copri] 
gi|493901634|ref|WP_006847416.1|	MULTISPECIES: DNA-binding protein [Prevotella] 
gi|493901635|ref|WP_006847417.1|	hypothetical protein [Prevotella copri] 
gi|493901636|ref|WP_006847418.1|	LemA protein [Prevotella copri] 
gi|493901637|ref|WP_006847419.1|	hypothetical protein [Prevotella copri] 
gi|493901638|ref|WP_006847420.1|	pyruvate kinase [Prevotella copri] 
gi|493901639|ref|WP_006847421.1|	sugar transporter [Prevotella copri] 
gi|493901640|ref|WP_006847422.1|	glutamine amidotransferase [Prevotella copri] 
gi|493901641|ref|WP_006847423.1|	MULTISPECIES: amidophosphoribosyltransferase [Prevotella] 
gi|493901642|ref|WP_006847424.1|	MULTISPECIES: carbamoyl phosphate synthase small subunit [Prevotella] 
gi|493901643|ref|WP_006847425.1|	carbamoyl phosphate synthase large subunit [Prevotella copri] 
gi|493901644|ref|WP_006847426.1|	putative cytoplasmic protein [Prevotella copri] 
gi|493901645|ref|WP_006847427.1|	hypothetical protein [Prevotella copri] 
gi|493901646|ref|WP_006847428.1|	hypothetical protein [Prevotella copri] 
gi|493901647|ref|WP_006847429.1|	toxin-antitoxin system antitoxin component Xre family [Prevotella copri] 
gi|493901648|ref|WP_006847430.1|	hypothetical protein [Prevotella copri] 
gi|493901649|ref|WP_006847431.1|	hypothetical protein [Prevotella copri] 
gi|493901650|ref|WP_006847432.1|	hypothetical protein [Prevotella copri] 
gi|493901651|ref|WP_006847433.1|	helicase [Prevotella copri] 
gi|493901652|ref|WP_006847434.1|	type III restriction endonuclease subunit R [Prevotella copri] 
gi|493901653|ref|WP_006847435.1|	type III restriction system methylase [Prevotella copri] 
gi|493901655|ref|WP_006847436.1|	hypothetical protein [Prevotella copri] 
gi|493901656|ref|WP_006847437.1|	hypothetical protein [Prevotella copri] 
gi|493901657|ref|WP_006847438.1|	ATP-binding protein [Prevotella copri] 
gi|493901658|ref|WP_006847439.1|	hypothetical protein [Prevotella copri] 
gi|493901659|ref|WP_006847440.1|	hypothetical protein [Prevotella copri] 
gi|493901660|ref|WP_006847441.1|	hydrolase [Prevotella copri] 
gi|493901661|ref|WP_006847442.1|	carbonate dehydratase [Prevotella copri] 
gi|493901662|ref|WP_006847443.1|	phosphohydrolase [Prevotella copri] 
gi|493901663|ref|WP_006847444.1|	transglycosylase [Prevotella copri] 
gi|493901664|ref|WP_006847445.1|	maltose O-acetyltransferase [Prevotella copri] 
gi|493901665|ref|WP_006847446.1|	transcriptional regulator GerE LuxR family [Prevotella copri] 
gi|493901666|ref|WP_006847447.1|	hypothetical protein [Prevotella copri] 
gi|493901667|ref|WP_006847448.1|	thiol peroxidase [Prevotella copri] 
gi|493901668|ref|WP_006847449.1|	hypothetical protein [Prevotella copri] 
gi|493901669|ref|WP_006847450.1|	phospholipase [Prevotella copri] 
gi|493901670|ref|WP_006847451.1|	NUDIX/MutT-family protein [Prevotella copri] 
gi|493901671|ref|WP_006847452.1|	cupin [Prevotella copri] 
gi|493901672|ref|WP_006847453.1|	NADH dehydrogenase [Prevotella copri] 
gi|493901673|ref|WP_006847454.1|	UmuD protein [Prevotella copri] 
gi|493901674|ref|WP_006847455.1|	SOS mutagenesis and repair protein UmuC [Prevotella copri] 
gi|493901675|ref|WP_006847456.1|	nitroreductase [Prevotella copri] 
gi|493901676|ref|WP_006847457.1|	helicase [Prevotella copri] 
gi|493901677|ref|WP_006847458.1|	homoserine O-acetyltransferase [Prevotella copri] 
gi|493901679|ref|WP_006847459.1|	peptidase S9 [Prevotella copri] 
gi|493901680|ref|WP_006847460.1|	permease [Prevotella copri] 
gi|493901681|ref|WP_006847461.1|	hypothetical protein [Prevotella copri] 
gi|493901682|ref|WP_006847462.1|	putative lipoprotein [Prevotella copri] 
gi|493901683|ref|WP_006847463.1|	Fe-S oxidoreductase [Prevotella copri] 
gi|493901684|ref|WP_006847464.1|	radical SAM protein [Prevotella copri] 
gi|493901685|ref|WP_006847465.1|	glycosyl transferase family 2 [Prevotella copri] 
gi|493901686|ref|WP_006847466.1|	hypothetical protein [Prevotella copri] 
gi|493901687|ref|WP_006847467.1|	gliding motility protein GldB [Prevotella copri] 
gi|493901688|ref|WP_006847468.1|	peptidase S9 [Prevotella copri] 
gi|493901689|ref|WP_006847469.1|	hypothetical protein [Prevotella copri] 
gi|493901690|ref|WP_006847470.1|	RNA polymerase sigma factor rpoD [Prevotella copri] 
gi|493901691|ref|WP_006847471.1|	type I deoxyribonuclease HsdR [Prevotella copri] 
gi|493901692|ref|WP_006847472.1|	hypothetical protein [Prevotella copri] 
gi|493901693|ref|WP_006847473.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493901694|ref|WP_006847474.1|	modification methylase DdeI [Prevotella copri] 
gi|493901695|ref|WP_006847475.1|	hypothetical protein [Prevotella copri] 
gi|493901696|ref|WP_006847476.1|	hypothetical protein [Prevotella copri] 
gi|493901697|ref|WP_006847477.1|	4-hydroxythreonine-4-phosphate dehydrogenase [Prevotella copri] 
gi|493901698|ref|WP_006847478.1|	hypothetical protein [Prevotella copri] 
gi|493901699|ref|WP_006847479.1|	hypothetical protein [Prevotella copri] 
gi|493901700|ref|WP_006847480.1|	ABC-type transport system [Prevotella copri] 
gi|493901701|ref|WP_006847481.1|	hypothetical protein [Prevotella copri] 
gi|493901702|ref|WP_006847482.1|	DNA-binding protein [Prevotella copri] 
gi|493901703|ref|WP_006847483.1|	hypothetical protein [Prevotella copri] 
gi|493901705|ref|WP_006847484.1|	hypothetical protein [Prevotella copri] 
gi|493901706|ref|WP_006847485.1|	DNA methyltransferase [Prevotella copri] 
gi|493901707|ref|WP_006847486.1|	type I restriction-modification system S subunit [Prevotella copri] 
gi|493901708|ref|WP_006847487.1|	type I deoxyribonuclease HsdR [Prevotella copri] 
gi|493901709|ref|WP_006847488.1|	hypothetical protein [Prevotella copri] 
gi|493901710|ref|WP_006847489.1|	hypothetical protein [Prevotella copri] 
gi|493901711|ref|WP_006847490.1|	transposase [Prevotella copri] 
gi|493901712|ref|WP_006847491.1|	phosphoenolpyruvate-dependent sugar phosphotransferase system EIIC [Prevotella copri] 
gi|493901713|ref|WP_006847492.1|	hypothetical protein [Prevotella copri] 
gi|493901714|ref|WP_006847493.1|	putative endonuclease [Prevotella copri] 
gi|493901715|ref|WP_006847494.1|	hypothetical protein [Prevotella copri] 
gi|493901716|ref|WP_006847495.1|	hypothetical protein [Prevotella copri] 
gi|493901717|ref|WP_006847496.1|	hypothetical protein [Prevotella copri] 
gi|493901718|ref|WP_006847497.1|	hypothetical protein [Prevotella copri] 
gi|493901719|ref|WP_006847498.1|	hypothetical protein [Prevotella copri] 
gi|493901720|ref|WP_006847499.1|	hypothetical protein [Prevotella copri] 
gi|493901721|ref|WP_006847500.1|	putative multidrug resistance protein [Prevotella copri] 
gi|493901722|ref|WP_006847501.1|	hypothetical protein [Prevotella copri] 
gi|493901723|ref|WP_006847502.1|	hypothetical protein [Prevotella copri] 
gi|493901724|ref|WP_006847503.1|	hypothetical protein [Prevotella copri] 
gi|493901725|ref|WP_006847504.1|	hypothetical protein [Prevotella copri] 
gi|493901726|ref|WP_006847505.1|	hypothetical protein [Prevotella copri] 
gi|493901727|ref|WP_006847506.1|	hypothetical protein [Prevotella copri] 
gi|493901728|ref|WP_006847507.1|	hypothetical protein [Prevotella copri] 
gi|493901730|ref|WP_006847508.1|	lysozyme [Prevotella copri] 
gi|493901731|ref|WP_006847509.1|	MULTISPECIES: glutamate dehydrogenase [Prevotella] 
gi|493901732|ref|WP_006847510.1|	ComEC/Rec2 family protein [Prevotella copri] 
gi|493901733|ref|WP_006847511.1|	hypothetical protein [Prevotella copri] 
gi|493901734|ref|WP_006847512.1|	hypothetical protein [Prevotella copri] 
gi|493901735|ref|WP_006847513.1|	N-acetylmuramoyl-L-alanine amidase [Prevotella copri] 
gi|493901736|ref|WP_006847514.1|	hypothetical protein [Prevotella copri] 
gi|493901737|ref|WP_006847515.1|	hypothetical protein [Prevotella copri] 
gi|493901738|ref|WP_006847516.1|	nitrite reductase [NAD(P)H] small subunit [Prevotella copri] 
gi|493901739|ref|WP_006847517.1|	DNA-binding protein [Prevotella copri] 
gi|493901740|ref|WP_006847518.1|	hypothetical protein [Prevotella copri] 
gi|493901741|ref|WP_006847519.1|	transcription-repair-coupling factor [Prevotella copri] 
gi|493901742|ref|WP_006847520.1|	hypothetical protein [Prevotella copri] 
gi|493901743|ref|WP_006847521.1|	hypothetical protein [Prevotella copri] 
gi|493901744|ref|WP_006847522.1|	hypothetical protein [Prevotella copri] 
gi|493901746|ref|WP_006847523.1|	hypothetical protein [Prevotella copri] 
gi|493901747|ref|WP_006847524.1|	putative transcriptional regulatory protein [Prevotella copri] 
gi|493901748|ref|WP_006847525.1|	membrane protein [Prevotella copri] 
gi|493901749|ref|WP_006847526.1|	hypothetical protein [Prevotella copri] 
gi|493901750|ref|WP_006847527.1|	transcriptional regulator AraC family [Prevotella copri] 
gi|493901751|ref|WP_006847528.1|	inositol-3-phosphate synthase [Prevotella copri] 
gi|493901752|ref|WP_006847529.1|	hypothetical protein [Prevotella copri] 
gi|493901753|ref|WP_006847530.1|	arginine repressor [Prevotella copri] 
gi|493901754|ref|WP_006847531.1|	putative maturase K [Prevotella copri] 
gi|493901755|ref|WP_006847532.1|	acetyltransferase [Prevotella copri] 
gi|493901756|ref|WP_006847533.1|	argininosuccinate synthase [Prevotella copri] 
gi|493901757|ref|WP_006847534.1|	N-acetyl-gamma-glutamyl-phosphate reductase [Prevotella copri] 
gi|493901758|ref|WP_006847535.1|	acetylornithine aminotransferase [Prevotella copri] 
gi|493901759|ref|WP_006847536.1|	hypothetical protein [Prevotella copri] 
gi|493901760|ref|WP_006847537.1|	LytTr DNA-binding domain protein [Prevotella copri] 
gi|493901761|ref|WP_006847538.1|	TonB protein [Prevotella copri] 
gi|493901762|ref|WP_006847539.1|	putative tetratricopeptide repeat-containing domain protein [Prevotella copri] 
gi|493901763|ref|WP_006847540.1|	TonB-dependent receptor [Prevotella copri] 
gi|493901764|ref|WP_006847541.1|	MULTISPECIES: pyrroline-5-carboxylate reductase [Prevotella] 
gi|493901765|ref|WP_006847542.1|	MULTISPECIES: transcriptional regulator [Prevotella] 
gi|493901766|ref|WP_006847543.1|	acetyl-CoA synthetase [Prevotella copri] 
gi|493901767|ref|WP_006847544.1|	glutamate 5-kinase [Prevotella copri] 
gi|493901768|ref|WP_006847545.1|	putative cytoplasmic protein [Prevotella copri] 
gi|493901769|ref|WP_006847546.1|	RhuM [Prevotella copri] 
gi|493901770|ref|WP_006847547.1|	hypothetical protein [Prevotella copri] 
gi|493901771|ref|WP_006847548.1|	hypothetical protein [Prevotella copri] 
gi|493901772|ref|WP_006847549.1|	transposase [Prevotella copri] 
gi|493901773|ref|WP_006847550.1|	alpha-galactosidase [Prevotella copri] 
gi|493901774|ref|WP_006847551.1|	fructan beta-(2,6)-fructosidase [Prevotella copri] 
gi|493901775|ref|WP_006847552.1|	hypothetical protein [Prevotella copri] 
gi|493901776|ref|WP_006847553.1|	ATPase [Prevotella copri] 
gi|493901777|ref|WP_006847554.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493901778|ref|WP_006847555.1|	hypothetical protein [Prevotella copri] 
gi|493901779|ref|WP_006847556.1|	putative cytoplasmic protein [Prevotella copri] 
gi|493901780|ref|WP_006847557.1|	gamma-glutamyl phosphate reductase [Prevotella copri] 
gi|493901781|ref|WP_006847558.1|	preprotein translocase YajC subunit [Prevotella copri] 
gi|493901782|ref|WP_006847559.1|	N-acetylornithine carbamoyltransferase [Prevotella copri] 
gi|493901783|ref|WP_006847560.1|	translation initiation inhibitor [Prevotella copri] 
gi|493901784|ref|WP_006847561.1|	putative cytochrome c binding protein [Prevotella copri] 
gi|493901785|ref|WP_006847562.1|	hypothetical protein [Prevotella copri] 
gi|493901786|ref|WP_006847563.1|	hypothetical protein [Prevotella copri] 
gi|493901787|ref|WP_006847564.1|	acyltransferase [Prevotella copri] 
gi|493901789|ref|WP_006847565.1|	D-alanine--D-alanine ligase [Prevotella copri] 
gi|493901790|ref|WP_006847566.1|	ribosomal large subunit pseudouridine synthase D [Prevotella copri] 
gi|493901791|ref|WP_006847567.1|	putative transmembrane PASTA-domain protein [Prevotella copri] 
gi|493901792|ref|WP_006847568.1|	hypothetical protein [Prevotella copri] 
gi|490480773|ref|WP_004351099.1|	MULTISPECIES: 50S ribosomal protein L34 [Prevotellaceae] 
gi|493901793|ref|WP_006847569.1|	elongation factor P [Prevotella copri] 
gi|493901794|ref|WP_006847570.1|	glycosyl transferase family 2 [Prevotella copri] 
gi|493901795|ref|WP_006847571.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493901796|ref|WP_006847572.1|	MULTISPECIES: FeS assembly SUF system protein [Prevotella] 
gi|493901797|ref|WP_006847573.1|	UDP-2,3-diacylglucosamine hydrolase [Prevotella copri] 
gi|493901798|ref|WP_006847574.1|	carbohydrate kinase [Prevotella copri] 
gi|493901799|ref|WP_006847575.1|	acetate kinase [Prevotella copri] 
gi|493901800|ref|WP_006847576.1|	phosphotransacetylase [Prevotella copri] 
gi|493901801|ref|WP_006847577.1|	membrane protein [Prevotella copri] 
gi|493901802|ref|WP_006847578.1|	dihydropteroate synthase [Prevotella copri] 
gi|493901803|ref|WP_006847579.1|	hypothetical protein [Prevotella copri] 
gi|493901805|ref|WP_006847580.1|	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [Prevotella copri] 
gi|493901806|ref|WP_006847581.1|	ATPase [Prevotella copri] 
gi|493901807|ref|WP_006847582.1|	glutamine amidotransferase [Prevotella copri] 
gi|493901808|ref|WP_006847583.1|	MULTISPECIES: pyridoxal biosynthesis lyase [Prevotella] 
gi|493901809|ref|WP_006847584.1|	ATPase AAA [Prevotella copri] 
gi|493901810|ref|WP_006847585.1|	thiamine-phosphate pyrophosphorylase [Prevotella copri] 
gi|493901811|ref|WP_006847586.1|	hypothetical protein [Prevotella copri] 
gi|493901812|ref|WP_006847587.1|	hypothetical protein [Prevotella copri] 
gi|493901813|ref|WP_006847588.1|	protease [Prevotella copri] 
gi|493901815|ref|WP_006847589.1|	hypothetical protein [Prevotella copri] 
gi|493901816|ref|WP_006847590.1|	hypothetical protein [Prevotella copri] 
gi|493901817|ref|WP_006847591.1|	hypothetical protein [Prevotella copri] 
gi|493901818|ref|WP_006847592.1|	hypothetical protein [Prevotella copri] 
gi|493901819|ref|WP_006847593.1|	membrane protein [Prevotella copri] 
gi|493901820|ref|WP_006847594.1|	TonB-linked outer membrane protein [Prevotella copri] 
gi|493901821|ref|WP_006847595.1|	putative two-component system sensor histidine kinase [Prevotella copri] 
gi|493901822|ref|WP_006847596.1|	hypothetical protein [Prevotella copri] 
gi|493901823|ref|WP_006847597.1|	beta-galactosidase [Prevotella copri] 
gi|493901824|ref|WP_006847598.1|	arabinogalactan endo-1,4-beta-galactosidase [Prevotella copri] 
gi|493901825|ref|WP_006847599.1|	hypothetical protein [Prevotella copri] 
gi|493901826|ref|WP_006847600.1|	starch-binding protein [Prevotella copri] 
gi|493901827|ref|WP_006847601.1|	collagen-binding protein [Prevotella copri] 
gi|493901828|ref|WP_006847602.1|	pectate lyase [Prevotella copri] 
gi|493901829|ref|WP_006847603.1|	hypothetical protein [Prevotella copri] 
gi|493901830|ref|WP_006847604.1|	hypothetical protein [Prevotella copri] 
gi|493901831|ref|WP_006847605.1|	putative helix-hairpin-helix motif protein [Prevotella copri] 
gi|493901832|ref|WP_006847606.1|	sodium transporter family protein [Prevotella copri] 
gi|493901833|ref|WP_006847607.1|	sodium transporter family protein [Prevotella copri] 
gi|493901834|ref|WP_006847608.1|	MULTISPECIES: adenylate cyclase [Prevotella] 
gi|493901835|ref|WP_006847609.1|	membrane protein [Prevotella copri] 
gi|493901836|ref|WP_006847610.1|	peptide chain release factor 2 [Prevotella copri] 
gi|493901837|ref|WP_006847611.1|	long-chain fatty acid--CoA ligase [Prevotella copri] 
gi|493901838|ref|WP_006847612.1|	acetylornithine deacetylase [Prevotella copri] 
gi|493901839|ref|WP_006847613.1|	hypothetical protein [Prevotella copri] 
gi|493901840|ref|WP_006847614.1|	transcriptional regulator [Prevotella copri] 
gi|493901841|ref|WP_006847615.1|	membrane protein [Prevotella copri] 
gi|493901842|ref|WP_006847616.1|	hypothetical protein [Prevotella copri] 
