gi|491884269|ref|WP_005651557.1|	hypothetical protein partial [Bacteroides stercoris] 
gi|490419165|ref|WP_004291474.1|	MULTISPECIES: deaminase [Bacteroidetes] 
gi|490419162|ref|WP_004291471.1|	MULTISPECIES: chemotaxis protein CheY [Bacteroidales] 
gi|490419158|ref|WP_004291467.1|	MULTISPECIES: histidine kinase [Bacteroidales] 
gi|490419157|ref|WP_004291466.1|	MULTISPECIES: tetracycline resistance protein tetQ [Bacteroidales] 
gi|491887817|ref|WP_005653615.1|	DNA methylase [Bacteroides stercoris] 
gi|490419152|ref|WP_004291461.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490419147|ref|WP_004291456.1|	MULTISPECIES: DNA topoisomerase I [Bacteroidales] 
gi|490419146|ref|WP_004291455.1|	MULTISPECIES: hypothetical protein [Bacteroidetes] 
gi|490419144|ref|WP_004291454.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490419122|ref|WP_004291432.1|	MULTISPECIES: DNA-binding protein [Bacteroidales] 
gi|491887818|ref|WP_005653616.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490419116|ref|WP_004291426.1|	MULTISPECIES: CTP synthase [Bacteroidetes] 
gi|490419113|ref|WP_004291424.1|	MULTISPECIES: DNA-binding protein [Bacteroidales] 
gi|490419112|ref|WP_004291423.1|	MULTISPECIES: hypothetical protein [Bacteroidetes] 
gi|490419111|ref|WP_004291422.1|	MULTISPECIES: tyrosine recombinase [Bacteroidales] 
gi|491887819|ref|WP_005653617.1|	helicase [Bacteroides stercoris] 
gi|491887820|ref|WP_005653618.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887821|ref|WP_005653619.1|	MULTISPECIES: MFS transporter [Bacteroides] 
gi|491887823|ref|WP_005653621.1|	3-phosphoglycerate dehydrogenase [Bacteroides stercoris] 
gi|491887824|ref|WP_005653622.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887826|ref|WP_005653624.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887828|ref|WP_005653626.1|	peptidylprolyl isomerase [Bacteroides stercoris] 
gi|491887829|ref|WP_005653627.1|	multidrug transporter MatE [Bacteroides stercoris] 
gi|491887830|ref|WP_005653628.1|	membrane protein [Bacteroides stercoris] 
gi|491887832|ref|WP_005653630.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887836|ref|WP_005653634.1|	type II restriction endonuclease [Bacteroides stercoris] 
gi|491887838|ref|WP_005653636.1|	NAD(P)H nitroreductase [Bacteroides stercoris] 
gi|491887840|ref|WP_005653638.1|	MULTISPECIES: hemolysin III [Bacteroides] 
gi|491887842|ref|WP_005653640.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887844|ref|WP_005653642.1|	glycine dehydrogenase [Bacteroides stercoris] 
gi|491887846|ref|WP_005653644.1|	MULTISPECIES: metallo-beta-lactamase [Bacteroides] 
gi|491887848|ref|WP_005653646.1|	16S rRNA methyltransferase [Bacteroides stercoris] 
gi|491887850|ref|WP_005653648.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887851|ref|WP_005653649.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887853|ref|WP_005653651.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887855|ref|WP_005653653.1|	ATPase [Bacteroides stercoris] 
gi|491887857|ref|WP_005653655.1|	AraC family transcriptional regulator [Bacteroides stercoris] 
gi|491887859|ref|WP_005653657.1|	glycerate kinase [Bacteroides stercoris] 
gi|491887861|ref|WP_005653659.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887863|ref|WP_005653661.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887865|ref|WP_005653663.1|	MULTISPECIES: lipoate-protein ligase B [Bacteroides] 
gi|491887868|ref|WP_005653666.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887871|ref|WP_005653669.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887874|ref|WP_005653672.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887877|ref|WP_005653675.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|491887880|ref|WP_005653678.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887883|ref|WP_005653681.1|	glycosyltransferase [Bacteroides stercoris] 
gi|491887885|ref|WP_005653683.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887888|ref|WP_005653685.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887890|ref|WP_005653687.1|	phosphoenolpyruvate phosphomutase [Bacteroides stercoris] 
gi|491887892|ref|WP_005653689.1|	phosphoenolpyruvate decarboxylase [Bacteroides stercoris] 
gi|491887894|ref|WP_005653691.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887896|ref|WP_005653693.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887898|ref|WP_005653695.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887900|ref|WP_005653697.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887902|ref|WP_005653699.1|	lipopolysaccharide biosynthesis protein [Bacteroides stercoris] 
gi|491887904|ref|WP_005653701.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887906|ref|WP_005653703.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887909|ref|WP_005653706.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887911|ref|WP_005653708.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887912|ref|WP_005653709.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887915|ref|WP_005653712.1|	glycosyl transferase family 2 [Bacteroides stercoris] 
gi|491887917|ref|WP_005653714.1|	N-acetylmuramoyl-L-alanine amidase [Bacteroides stercoris] 
gi|491887919|ref|WP_005653716.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887920|ref|WP_005653717.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|491887922|ref|WP_005653719.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887924|ref|WP_005653721.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887927|ref|WP_005653723.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887929|ref|WP_005653724.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887931|ref|WP_005653725.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887934|ref|WP_005653727.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887937|ref|WP_005653729.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887939|ref|WP_005653730.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491887942|ref|WP_005653732.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887946|ref|WP_005653734.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887948|ref|WP_005653735.1|	phenylalanyl-tRNA synthetase subunit beta [Bacteroides stercoris] 
gi|491887951|ref|WP_005653737.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887953|ref|WP_005653738.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|491887955|ref|WP_005653739.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491887957|ref|WP_005653740.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887960|ref|WP_005653741.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887962|ref|WP_005653742.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887965|ref|WP_005653744.1|	exodeoxyribonuclease III [Bacteroides stercoris] 
gi|491887968|ref|WP_005653745.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887971|ref|WP_005653747.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491887974|ref|WP_005653749.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887977|ref|WP_005653751.1|	MULTISPECIES: GTP-binding protein LepA [Bacteroides] 
gi|491887979|ref|WP_005653752.1|	sodium:proton antiporter [Bacteroides stercoris] 
gi|491887984|ref|WP_005653755.1|	MULTISPECIES: xanthine permease [Bacteroides] 
gi|491887987|ref|WP_005653757.1|	MULTISPECIES: xanthine phosphoribosyltransferase [Bacteroides] 
gi|491887991|ref|WP_005653759.1|	MULTISPECIES: DNA recombination protein RmuC [Bacteroides] 
gi|491887994|ref|WP_005653761.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887997|ref|WP_005653762.1|	methionine aminopeptidase [Bacteroides stercoris] 
gi|491887999|ref|WP_005653763.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888001|ref|WP_005653764.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888006|ref|WP_005653766.1|	MFS transporter [Bacteroides stercoris] 
gi|491888011|ref|WP_005653769.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491888014|ref|WP_005653771.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888017|ref|WP_005653773.1|	RNA pseudouridylate synthase [Bacteroides stercoris] 
gi|491888020|ref|WP_005653775.1|	RNA methyltransferase [Bacteroides stercoris] 
gi|491888025|ref|WP_005653778.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888029|ref|WP_005653781.1|	pyruvate phosphate dikinase [Bacteroides stercoris] 
gi|491888034|ref|WP_005653783.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888036|ref|WP_005653785.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888039|ref|WP_005653787.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888042|ref|WP_005653789.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888044|ref|WP_005653790.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888047|ref|WP_005653792.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888051|ref|WP_005653795.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888055|ref|WP_005653797.1|	superoxide dismutase [Bacteroides stercoris] 
gi|491888058|ref|WP_005653799.1|	ATP-dependent DNA helicase [Bacteroides stercoris] 
gi|491888060|ref|WP_005653800.1|	MULTISPECIES: carboxynorspermidine decarboxylase [Bacteroides] 
gi|491888063|ref|WP_005653802.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888067|ref|WP_005653804.1|	MULTISPECIES: GTP-binding protein YsxC [Bacteroides] 
gi|491888070|ref|WP_005653806.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888074|ref|WP_005653809.1|	MULTISPECIES: recombinase RecR [Bacteroides] 
gi|491888077|ref|WP_005653811.1|	membrane protein [Bacteroides stercoris] 
gi|491888080|ref|WP_005653813.1|	acetyltransferase [Bacteroides stercoris] 
gi|491888083|ref|WP_005653815.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888085|ref|WP_005653816.1|	aminotransferase [Bacteroides stercoris] 
gi|491888088|ref|WP_005653818.1|	membrane protein [Bacteroides stercoris] 
gi|491888091|ref|WP_005653820.1|	cation transporter [Bacteroides stercoris] 
gi|491888093|ref|WP_005653821.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888096|ref|WP_005653823.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888099|ref|WP_005653825.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888103|ref|WP_005653828.1|	major facilitator transporter [Bacteroides stercoris] 
gi|491888105|ref|WP_005653829.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888109|ref|WP_005653831.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888112|ref|WP_005653833.1|	transposase [Bacteroides stercoris] 
gi|491888115|ref|WP_005653835.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888118|ref|WP_005653837.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888121|ref|WP_005653839.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888124|ref|WP_005653841.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888128|ref|WP_005653844.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888132|ref|WP_005653846.1|	MULTISPECIES: phosphoadenosine phosphosulfate reductase [Bacteroides] 
gi|491888135|ref|WP_005653848.1|	MULTISPECIES: chromosome partitioning protein ParB [Bacteroides] 
gi|491888138|ref|WP_005653850.1|	NAD-dependent dehydratase [Bacteroides stercoris] 
gi|491888141|ref|WP_005653852.1|	sensor histidine kinase [Bacteroides stercoris] 
gi|491888146|ref|WP_005653855.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888148|ref|WP_005653856.1|	ATP-dependent helicase [Bacteroides stercoris] 
gi|491888151|ref|WP_005653858.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888154|ref|WP_005653860.1|	MULTISPECIES: choloylglycine hydrolase [Bacteroides] 
gi|491888157|ref|WP_005653862.1|	excinuclease ABC subunit B [Bacteroides stercoris] 
gi|491888160|ref|WP_005653864.1|	phenylacetate-CoA ligase [Bacteroides stercoris] 
gi|491888163|ref|WP_005653866.1|	amino acid-binding protein [Bacteroides stercoris] 
gi|491888167|ref|WP_005653868.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|491888170|ref|WP_005653870.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491888173|ref|WP_005653872.1|	membrane protein [Bacteroides stercoris] 
gi|491888177|ref|WP_005653875.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888179|ref|WP_005653876.1|	peptidase M23B [Bacteroides stercoris] 
gi|491888182|ref|WP_005653878.1|	MULTISPECIES: excinuclease ABC subunit A [Bacteroides] 
gi|491888184|ref|WP_005653879.1|	cysteinyl-tRNA(Pro) deacylase [Bacteroides stercoris] 
gi|491888187|ref|WP_005653881.1|	MULTISPECIES: symporter [Bacteroides] 
gi|491888189|ref|WP_005653882.1|	GNAT family acetyltransferase [Bacteroides stercoris] 
gi|491888192|ref|WP_005653884.1|	MULTISPECIES: PadR family transcriptional regulator [Bacteroides] 
gi|491888194|ref|WP_005653885.1|	PspC family transcriptional regulator [Bacteroides stercoris] 
gi|491888196|ref|WP_005653886.1|	peptidase S9 [Bacteroides stercoris] 
gi|491888199|ref|WP_005653888.1|	multidrug transporter MatE [Bacteroides stercoris] 
gi|491888201|ref|WP_005653889.1|	insertase [Bacteroides stercoris] 
gi|491888204|ref|WP_005653891.1|	CTP synthetase [Bacteroides stercoris] 
gi|491888206|ref|WP_005653892.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888208|ref|WP_005653893.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888211|ref|WP_005653895.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888212|ref|WP_005653896.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491888216|ref|WP_005653897.1|	ferredoxin [Bacteroides stercoris] 
gi|491888218|ref|WP_005653898.1|	electron transporter RnfC [Bacteroides stercoris] 
gi|491888220|ref|WP_005653899.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491888222|ref|WP_005653900.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888224|ref|WP_005653901.1|	MULTISPECIES: electron transporter RsxE [Bacteroides] 
gi|491888226|ref|WP_005653902.1|	MULTISPECIES: electron transport complex RsxE subunit [Bacteroides] 
gi|491888228|ref|WP_005653903.1|	MULTISPECIES: UDP-galactose-4-epimerase [Bacteroides] 
gi|491888624|ref|WP_005653904.1|	F0F1 ATP synthase subunit beta [Bacteroides stercoris] 
gi|491888627|ref|WP_005653906.1|	MULTISPECIES: ATP synthase subunit epsilon [Bacteroides] 
gi|491888630|ref|WP_005653908.1|	membrane protein [Bacteroides stercoris] 
gi|491888635|ref|WP_005653912.1|	ATP synthase subunit A [Bacteroides stercoris] 
gi|491888638|ref|WP_005653914.1|	MULTISPECIES: ATP synthase subunit C [Bacteroides] 
gi|491888642|ref|WP_005653917.1|	ATP synthase subunit B [Bacteroides stercoris] 
gi|491888646|ref|WP_005653920.1|	MULTISPECIES: F0F1 ATP synthase subunit delta [Bacteroides] 
gi|491888650|ref|WP_005653922.1|	F0F1 ATP synthase subunit alpha [Bacteroides stercoris] 
gi|491888653|ref|WP_005653924.1|	F0F1 ATP synthase subunit gamma [Bacteroides stercoris] 
gi|491888656|ref|WP_005653926.1|	helicase [Bacteroides stercoris] 
gi|491888659|ref|WP_005653928.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888662|ref|WP_005653930.1|	transcriptional regulator [Bacteroides stercoris] 
gi|491888665|ref|WP_005653932.1|	sensor histidine kinase [Bacteroides stercoris] 
gi|491888668|ref|WP_005653934.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888671|ref|WP_005653936.1|	formate--tetrahydrofolate ligase [Bacteroides stercoris] 
gi|491888674|ref|WP_005653938.1|	MULTISPECIES: serine hydroxymethyltransferase [Bacteroides] 
gi|491888677|ref|WP_005653940.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491888681|ref|WP_005653942.1|	MULTISPECIES: flavin reductase [Bacteroides] 
gi|491888683|ref|WP_005653943.1|	aspartate carbamoyltransferase [Bacteroides stercoris] 
gi|491888686|ref|WP_005653945.1|	MULTISPECIES: aspartate carbamoyltransferase catalytic subunit [Bacteroides] 
gi|491888689|ref|WP_005653947.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888692|ref|WP_005653949.1|	recombinase [Bacteroides stercoris] 
gi|491888696|ref|WP_005653951.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888700|ref|WP_005653954.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888704|ref|WP_005653956.1|	UDP-N-acetyl-D-glucosamine dehydrogenase [Bacteroides stercoris] 
gi|491888706|ref|WP_005653957.1|	oxidoreductase [Bacteroides stercoris] 
gi|491888709|ref|WP_005653959.1|	MULTISPECIES: acetyltransferase [Bacteroides] 
gi|491888712|ref|WP_005653961.1|	aminotransferase DegT [Bacteroides stercoris] 
gi|491888714|ref|WP_005653962.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491888716|ref|WP_005653963.1|	DNA-binding protein [Bacteroides stercoris] 
gi|491888719|ref|WP_005653965.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491888721|ref|WP_005653966.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888724|ref|WP_005653968.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888727|ref|WP_005653970.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888729|ref|WP_005653971.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888732|ref|WP_005653973.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888734|ref|WP_005653974.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888736|ref|WP_005653975.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888739|ref|WP_005653977.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888742|ref|WP_005653978.1|	UDP-N-acetylglucosamine 2-epimerase [Bacteroides stercoris] 
gi|491888744|ref|WP_005653979.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888749|ref|WP_005653982.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888752|ref|WP_005653984.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888758|ref|WP_005653988.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888762|ref|WP_005653991.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888768|ref|WP_005653995.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888774|ref|WP_005653998.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888778|ref|WP_005654001.1|	GDP-mannose 6-dehydrogenase [Bacteroides stercoris] 
gi|491888781|ref|WP_005654003.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888787|ref|WP_005654006.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888790|ref|WP_005654008.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491888794|ref|WP_005654010.1|	MULTISPECIES: chromosome partitioning protein ParA [Bacteroides] 
gi|491888798|ref|WP_005654012.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888801|ref|WP_005654014.1|	penicillin-binding protein 1A [Bacteroides stercoris] 
gi|491888805|ref|WP_005654015.1|	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase [Bacteroides stercoris] 
gi|491888807|ref|WP_005654016.1|	3-deoxy-manno-octulosonate cytidylyltransferase [Bacteroides stercoris] 
gi|491888809|ref|WP_005654017.1|	peptidase M16 [Bacteroides stercoris] 
gi|491888811|ref|WP_005654018.1|	phosphatidylinositol-4-phosphate 5-kinase [Bacteroides stercoris] 
gi|491888813|ref|WP_005654019.1|	MULTISPECIES: ribose-phosphate pyrophosphokinase [Bacteroides] 
gi|491888815|ref|WP_005654020.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888819|ref|WP_005654023.1|	sensor histidine kinase [Bacteroides stercoris] 
