gi|490935456|ref|WP_004797295.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936897|ref|WP_004798734.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936901|ref|WP_004798738.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936903|ref|WP_004798740.1|	MULTISPECIES: peptidyl-tRNA hydrolase [Firmicutes] 
gi|490936904|ref|WP_004798741.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936906|ref|WP_004798743.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936908|ref|WP_004798745.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936911|ref|WP_004798748.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936913|ref|WP_004798750.1|	PTS lactose transporter subunit IIA [[Eubacterium] dolichum] 
gi|490936916|ref|WP_004798753.1|	6-phospho-beta-galactosidase [[Eubacterium] dolichum] 
gi|490936918|ref|WP_004798755.1|	PTS sugar transporter subunit IIC [[Eubacterium] dolichum] 
gi|490936920|ref|WP_004798757.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936921|ref|WP_004798758.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936923|ref|WP_004798760.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936925|ref|WP_004798762.1|	protein jag [[Eubacterium] dolichum] 
gi|490936927|ref|WP_004798764.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936928|ref|WP_004798765.1|	MULTISPECIES: ribonuclease P [Firmicutes] 
gi|490936931|ref|WP_004798768.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936933|ref|WP_004798770.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936935|ref|WP_004798772.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936937|ref|WP_004798774.1|	MULTISPECIES: DNA polymerase III subunit beta [Firmicutes] 
gi|490936939|ref|WP_004798776.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936940|ref|WP_004798777.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936941|ref|WP_004798778.1|	DNA gyrase subunit B [[Eubacterium] dolichum] 
gi|490936943|ref|WP_004798780.1|	MULTISPECIES: DNA gyrase subunit A [Firmicutes] 
gi|490936945|ref|WP_004798782.1|	seryl-tRNA synthetase [[Eubacterium] dolichum] 
gi|490936947|ref|WP_004798784.1|	adenosine deaminase [[Eubacterium] dolichum] 
gi|490936949|ref|WP_004798786.1|	DNA polymerase III subunit gamma/tau [[Eubacterium] dolichum] 
gi|490936950|ref|WP_004798787.1|	DNA-binding protein [[Eubacterium] dolichum] 
gi|490936952|ref|WP_004798789.1|	recombinase RecR [[Eubacterium] dolichum] 
gi|490936954|ref|WP_004798791.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936956|ref|WP_004798793.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936957|ref|WP_004798794.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936960|ref|WP_004798797.1|	MULTISPECIES: acetyltransferase [Firmicutes] 
gi|490936961|ref|WP_004798798.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936962|ref|WP_004798799.1|	fatty acid-binding protein DegV [[Eubacterium] dolichum] 
gi|490936964|ref|WP_004798801.1|	ArsR family transcriptional regulator [[Eubacterium] dolichum] 
gi|490936965|ref|WP_004798802.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936967|ref|WP_004798804.1|	permease [[Eubacterium] dolichum] 
gi|490936969|ref|WP_004798806.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936971|ref|WP_004798808.1|	MULTISPECIES: ArsC family transcriptional regulator [Firmicutes] 
gi|490936973|ref|WP_004798810.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936974|ref|WP_004798811.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936976|ref|WP_004798813.1|	histidine kinase [[Eubacterium] dolichum] 
gi|490936977|ref|WP_004798814.1|	potassium-transporting ATPase subunit A [[Eubacterium] dolichum] 
gi|490936979|ref|WP_004798816.1|	potassium-transporting ATPase subunit B [[Eubacterium] dolichum] 
gi|490936980|ref|WP_004798817.1|	MULTISPECIES: ATPase [Firmicutes] 
gi|490936982|ref|WP_004798819.1|	XRE family transcriptional regulator [[Eubacterium] dolichum] 
gi|490936983|ref|WP_004798820.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936985|ref|WP_004798822.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936987|ref|WP_004798824.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936988|ref|WP_004798825.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936990|ref|WP_004798827.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936991|ref|WP_004798828.1|	multidrug ABC transporter permease [[Eubacterium] dolichum] 
gi|490936993|ref|WP_004798830.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936994|ref|WP_004798831.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936995|ref|WP_004798832.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936997|ref|WP_004798834.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936998|ref|WP_004798835.1|	maltose O-acetyltransferase [[Eubacterium] dolichum] 
gi|490936999|ref|WP_004798836.1|	N5-carboxyaminoimidazole ribonucleotide mutase [[Eubacterium] dolichum] 
gi|490937001|ref|WP_004798838.1|	phosphoribosylformylglycinamidine synthase [[Eubacterium] dolichum] 
gi|490937003|ref|WP_004798840.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937004|ref|WP_004798841.1|	phosphoribosylaminoimidazole synthetase [[Eubacterium] dolichum] 
gi|490937006|ref|WP_004798843.1|	phosphoribosylglycinamide formyltransferase [[Eubacterium] dolichum] 
gi|490937008|ref|WP_004798845.1|	purine biosynthesis protein purH [[Eubacterium] dolichum] 
gi|490937010|ref|WP_004798847.1|	multidrug DMT transporter permease [[Eubacterium] dolichum] 
gi|490937011|ref|WP_004798848.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937013|ref|WP_004798850.1|	transcriptional antiterminator [[Eubacterium] dolichum] 
gi|490937014|ref|WP_004798851.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937016|ref|WP_004798853.1|	PTS sugar transporter subunit IIA [[Eubacterium] dolichum] 
gi|490937019|ref|WP_004798856.1|	MULTISPECIES: PTS sugar transporter subunit IIB [Firmicutes] 
gi|490937021|ref|WP_004798858.1|	PTS galactitol transporter subunit IIC [[Eubacterium] dolichum] 
gi|490937022|ref|WP_004798859.1|	dehydrogenase [[Eubacterium] dolichum] 
gi|490937024|ref|WP_004798861.1|	MULTISPECIES: LacX protein [Firmicutes] 
gi|490937026|ref|WP_004798863.1|	MULTISPECIES: adhesin [Firmicutes] 
gi|490937029|ref|WP_004798866.1|	histidinol phosphate phosphatase [[Eubacterium] dolichum] 
gi|490937031|ref|WP_004798868.1|	amidohydrolase [[Eubacterium] dolichum] 
gi|490937032|ref|WP_004798869.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937034|ref|WP_004798871.1|	thiamine ABC transporter permease [[Eubacterium] dolichum] 
gi|490937036|ref|WP_004798873.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937037|ref|WP_004798874.1|	membrane protein [[Eubacterium] dolichum] 
gi|490937039|ref|WP_004798876.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937040|ref|WP_004798877.1|	cysteine ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490937041|ref|WP_004798878.1|	ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490937042|ref|WP_004798879.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937045|ref|WP_004798882.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937047|ref|WP_004798884.1|	membrane protein [[Eubacterium] dolichum] 
gi|490937049|ref|WP_004798886.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937050|ref|WP_004798887.1|	spore cortex biosynthesis protein YabQ [[Eubacterium] dolichum] 
gi|490937052|ref|WP_004798889.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937053|ref|WP_004798890.1|	type II restriction endonuclease [[Eubacterium] dolichum] 
gi|490937055|ref|WP_004798892.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937058|ref|WP_004798895.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937060|ref|WP_004798897.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937062|ref|WP_004798899.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937063|ref|WP_004798900.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937064|ref|WP_004798901.1|	serine protease [[Eubacterium] dolichum] 
gi|490937066|ref|WP_004798903.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937069|ref|WP_004798906.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937070|ref|WP_004798907.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937072|ref|WP_004798909.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937075|ref|WP_004798912.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937077|ref|WP_004798914.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937079|ref|WP_004798916.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937081|ref|WP_004798918.1|	LytTR family transcriptional regulator [[Eubacterium] dolichum] 
gi|490937082|ref|WP_004798919.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937084|ref|WP_004798921.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937085|ref|WP_004798922.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937086|ref|WP_004798923.1|	MULTISPECIES: 16S rRNA methyltransferase [Firmicutes] 
gi|490937089|ref|WP_004798926.1|	MULTISPECIES: chromosome partitioning protein ParB [Firmicutes] 
gi|490937090|ref|WP_004798927.1|	sporulation initiation inhibitor Soj [[Eubacterium] dolichum] 
gi|490937092|ref|WP_004798929.1|	chromosome partitioning protein ParB [[Eubacterium] dolichum] 
gi|490937094|ref|WP_004798931.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937095|ref|WP_004798932.1|	PTS glucose transporter subunit IIA [[Eubacterium] dolichum] 
gi|490937097|ref|WP_004798934.1|	transcriptional antiterminator [[Eubacterium] dolichum] 
gi|490937099|ref|WP_004798936.1|	PTS fructose transporter subunit IIB [[Eubacterium] dolichum] 
gi|490936158|ref|WP_004797996.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936159|ref|WP_004797997.1|	alpha/beta hydrolase [[Eubacterium] dolichum] 
gi|490936161|ref|WP_004797999.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936163|ref|WP_004798001.1|	fructokinase [[Eubacterium] dolichum] 
gi|490936165|ref|WP_004798003.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937101|ref|WP_004798938.1|	transporter [[Eubacterium] dolichum] 
gi|490937103|ref|WP_004798940.1|	methionine aminopeptidase [[Eubacterium] dolichum] 
gi|490937105|ref|WP_004798942.1|	D-tyrosyl-tRNA(Tyr) deacylase [[Eubacterium] dolichum] 
gi|490937106|ref|WP_004798943.1|	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase [[Eubacterium] dolichum] 
gi|490937108|ref|WP_004798945.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937110|ref|WP_004798947.1|	chromate transporter [[Eubacterium] dolichum] 
gi|490937112|ref|WP_004798949.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937114|ref|WP_004798951.1|	GTP-binding protein YchF [[Eubacterium] dolichum] 
gi|490937115|ref|WP_004798952.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937117|ref|WP_004798954.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937118|ref|WP_004798955.1|	ribonucleoside triphosphate reductase [[Eubacterium] dolichum] 
gi|490937120|ref|WP_004798957.1|	MULTISPECIES: ribonucleoside-triphosphate reductase activating protein [Firmicutes] 
gi|490937121|ref|WP_004798958.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937122|ref|WP_004798959.1|	FAD-dependent oxidoreductase [[Eubacterium] dolichum] 
gi|490937124|ref|WP_004798961.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937126|ref|WP_004798963.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937128|ref|WP_004798965.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937129|ref|WP_004798966.1|	hydrolase [[Eubacterium] dolichum] 
gi|490937131|ref|WP_004798968.1|	N-acetylglucosamine-1-phosphate uridyltransferase [[Eubacterium] dolichum] 
gi|490937133|ref|WP_004798970.1|	ribose-phosphate pyrophosphokinase [[Eubacterium] dolichum] 
gi|490937135|ref|WP_004798972.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937137|ref|WP_004798974.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937139|ref|WP_004798976.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937142|ref|WP_004798979.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937144|ref|WP_004798981.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937146|ref|WP_004798983.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937147|ref|WP_004798984.1|	tRNA modification GTPase [[Eubacterium] dolichum] 
gi|490937149|ref|WP_004798986.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937151|ref|WP_004798988.1|	ribose 5-phosphate isomerase [[Eubacterium] dolichum] 
gi|490937153|ref|WP_004798990.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937154|ref|WP_004798991.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937156|ref|WP_004798993.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937158|ref|WP_004798995.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937160|ref|WP_004798997.1|	phosphoglyceromutase [[Eubacterium] dolichum] 
gi|490937161|ref|WP_004798998.1|	MULTISPECIES: stress responsive protein [Firmicutes] 
gi|490937163|ref|WP_004799000.1|	peptide-methionine (S)-S-oxide reductase [[Eubacterium] dolichum] 
gi|490937166|ref|WP_004799003.1|	recombinase RarA [[Eubacterium] dolichum] 
gi|490937167|ref|WP_004799004.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937169|ref|WP_004799006.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937170|ref|WP_004799007.1|	membrane protein [[Eubacterium] dolichum] 
gi|490937171|ref|WP_004799008.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937173|ref|WP_004799010.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937175|ref|WP_004799012.1|	MULTISPECIES: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Firmicutes] 
gi|490937176|ref|WP_004799013.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937179|ref|WP_004799016.1|	rubrerythrin [[Eubacterium] dolichum] 
gi|490937181|ref|WP_004799018.1|	SAM-dependent methyltransferase [[Eubacterium] dolichum] 
gi|490937183|ref|WP_004799020.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937186|ref|WP_004799023.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937188|ref|WP_004799025.1|	MULTISPECIES: chromosome condensation protein CrcB [Firmicutes] 
gi|490937191|ref|WP_004799028.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937193|ref|WP_004799030.1|	DNA-binding protein [[Eubacterium] dolichum] 
gi|490937195|ref|WP_004799032.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937196|ref|WP_004799033.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937199|ref|WP_004799036.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937201|ref|WP_004799038.1|	MULTISPECIES: transcriptional regulator [Firmicutes] 
gi|490937203|ref|WP_004799040.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937204|ref|WP_004799041.1|	MULTISPECIES: S-ribosylhomocysteinase [Firmicutes] 
gi|490937206|ref|WP_004799043.1|	ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490937208|ref|WP_004799045.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937210|ref|WP_004799047.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937212|ref|WP_004799049.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937213|ref|WP_004799050.1|	GntR family transcriptional regulator [[Eubacterium] dolichum] 
gi|490937215|ref|WP_004799052.1|	ATPase [[Eubacterium] dolichum] 
gi|490937217|ref|WP_004799054.1|	transcriptional regulator [[Eubacterium] dolichum] 
gi|490937221|ref|WP_004799058.1|	MULTISPECIES: ArsR family transcriptional regulator [Firmicutes] 
gi|490937224|ref|WP_004799061.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937226|ref|WP_004799063.1|	zinc ABC transporter ATPase [[Eubacterium] dolichum] 
gi|490937227|ref|WP_004799064.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937229|ref|WP_004799066.1|	Cro/Cl family transcriptional regulator [[Eubacterium] dolichum] 
gi|490937231|ref|WP_004799068.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|488232050|ref|WP_002303258.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937275|ref|WP_004799112.1|	resolvase [[Eubacterium] dolichum] 
gi|490937277|ref|WP_004799114.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937279|ref|WP_004799116.1|	MULTISPECIES: transposase [Firmicutes] 
gi|490937282|ref|WP_004799119.1|	hypothetical protein partial [[Eubacterium] dolichum] 
gi|490937313|ref|WP_004799150.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937315|ref|WP_004799152.1|	cation-transporting ATPase [[Eubacterium] dolichum] 
gi|490937316|ref|WP_004799153.1|	heme ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490937318|ref|WP_004799155.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937319|ref|WP_004799156.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937321|ref|WP_004799158.1|	MULTISPECIES: acyl-phosphate glycerol 3-phosphate acyltransferase [Firmicutes] 
gi|490937323|ref|WP_004799160.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937325|ref|WP_004799162.1|	MULTISPECIES: DNA topoisomerase IV subunit B [Firmicutes] 
gi|490937326|ref|WP_004799163.1|	DNA gyrase subunit A [[Eubacterium] dolichum] 
gi|490937328|ref|WP_004799165.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937332|ref|WP_004799169.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937334|ref|WP_004799171.1|	stage V sporulation protein AC [[Eubacterium] dolichum] 
gi|490937336|ref|WP_004799173.1|	stage V sporulation protein AD [[Eubacterium] dolichum] 
gi|490937337|ref|WP_004799174.1|	stage V sporulation protein AEB [[Eubacterium] dolichum] 
gi|490937339|ref|WP_004799176.1|	stage V sporulation protein B [[Eubacterium] dolichum] 
gi|490937340|ref|WP_004799177.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937342|ref|WP_004799179.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937344|ref|WP_004799181.1|	MULTISPECIES: segregation and condensation protein B [Firmicutes] 
gi|490937345|ref|WP_004799182.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937347|ref|WP_004799184.1|	D-Ala-D-Ala carboxypeptidase [[Eubacterium] dolichum] 
gi|490937349|ref|WP_004799186.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937350|ref|WP_004799187.1|	spore maturation protein [[Eubacterium] dolichum] 
gi|490937352|ref|WP_004799189.1|	MULTISPECIES: pseudouridine synthase B [Firmicutes] 
gi|490937354|ref|WP_004799191.1|	MULTISPECIES: rRNA methyltransferase [Firmicutes] 
gi|490937356|ref|WP_004799193.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937357|ref|WP_004799194.1|	tRNA modifying enzyme [[Eubacterium] dolichum] 
gi|490937359|ref|WP_004799196.1|	UDP-N-acetylmuramyl peptide synthase [[Eubacterium] dolichum] 
gi|490937361|ref|WP_004799198.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937363|ref|WP_004799200.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937366|ref|WP_004799203.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937368|ref|WP_004799205.1|	phosphate starvation protein PhoH [[Eubacterium] dolichum] 
gi|490937371|ref|WP_004799208.1|	PhoP family transcriptional regulator [[Eubacterium] dolichum] 
gi|490937373|ref|WP_004799210.1|	histidine kinase [[Eubacterium] dolichum] 
gi|490937376|ref|WP_004799213.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937378|ref|WP_004799215.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937379|ref|WP_004799216.1|	phosphate ABC transporter permease [[Eubacterium] dolichum] 
gi|490937381|ref|WP_004799218.1|	phosphate ABC transporter permease [[Eubacterium] dolichum] 
gi|490937382|ref|WP_004799219.1|	phosphate ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490937384|ref|WP_004799221.1|	MULTISPECIES: PhoU family transcriptional regulator [Firmicutes] 
