gi|494094725|ref|WP_007035549.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|488630621|ref|WP_002567309.1|	LysR family transcriptional regulator [[Clostridium] bolteae] 
gi|488630620|ref|WP_002567308.1|	GTP-binding protein EngB [[Clostridium] bolteae] 
gi|488630619|ref|WP_002567307.1|	Lon protease [[Clostridium] bolteae] 
gi|494095343|ref|WP_007036167.1|	ATP-dependent protease [[Clostridium] bolteae] 
gi|488630617|ref|WP_002567305.1|	MULTISPECIES: ATP-dependent Clp protease proteolytic subunit [Clostridiales] 
gi|488630616|ref|WP_002567304.1|	trigger factor [[Clostridium] bolteae] 
gi|494095344|ref|WP_007036168.1|	4-methyl-5(B-hydroxyethyl)-thiazole monophosphate biosynthesis protein [[Clostridium] bolteae] 
gi|494095345|ref|WP_007036169.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630614|ref|WP_002567302.1|	adenylate cyclase [[Clostridium] bolteae] 
gi|494095346|ref|WP_007036170.1|	galactoside ABC transporter permease [[Clostridium] bolteae] 
gi|488630612|ref|WP_002567300.1|	D-ribose transporter ATP binding protein [[Clostridium] bolteae] 
gi|488630611|ref|WP_002567299.1|	methyl-galactoside ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|494095347|ref|WP_007036171.1|	LacI family transcriptional regulator [[Clostridium] bolteae] 
gi|488630609|ref|WP_002567297.1|	sugar ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|494095348|ref|WP_007036172.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095349|ref|WP_007036173.1|	histidine kinase [[Clostridium] bolteae] 
gi|494095350|ref|WP_007036174.1|	AraC family transcriptional regulator [[Clostridium] bolteae] 
gi|488630606|ref|WP_002567294.1|	pectin methylesterase [[Clostridium] bolteae] 
gi|494095351|ref|WP_007036175.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095352|ref|WP_007036176.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095353|ref|WP_007036177.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630605|ref|WP_002567293.1|	amidophosphoribosyltransferase [[Clostridium] bolteae] 
gi|488630604|ref|WP_002567292.1|	precorrin-8X methylmutase [[Clostridium] bolteae] 
gi|494095354|ref|WP_007036178.1|	cobyric acid synthase [[Clostridium] bolteae] 
gi|494095355|ref|WP_007036179.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630601|ref|WP_002567289.1|	cobalamin biosynthesis protein CobD [[Clostridium] bolteae] 
gi|488630600|ref|WP_002567288.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630599|ref|WP_002567287.1|	cobalamin-5-phosphate synthase [[Clostridium] bolteae] 
gi|488630598|ref|WP_002567286.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630597|ref|WP_002567285.1|	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [[Clostridium] bolteae] 
gi|488630596|ref|WP_002567284.1|	cobyrinic acid a,c-diamide synthase [[Clostridium] bolteae] 
gi|488630595|ref|WP_002567283.1|	precorrin-6X reductase [[Clostridium] bolteae] 
gi|488630594|ref|WP_002567282.1|	precorrin-6X reductase [[Clostridium] bolteae] 
gi|488630593|ref|WP_002567281.1|	precorrin-4 C11-methyltransferase [[Clostridium] bolteae] 
gi|488630592|ref|WP_002567280.1|	cobalt-precorrin-6A synthase [[Clostridium] bolteae] 
gi|488630591|ref|WP_002567279.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630590|ref|WP_002567278.1|	MULTISPECIES: small acid-soluble spore protein [Clostridiales] 
gi|494095356|ref|WP_007036180.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095357|ref|WP_007036181.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095358|ref|WP_007036182.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095359|ref|WP_007036183.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630588|ref|WP_002567276.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630587|ref|WP_002567275.1|	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [[Clostridium] bolteae] 
gi|494095360|ref|WP_007036184.1|	cytidylate kinase [[Clostridium] bolteae] 
gi|488630585|ref|WP_002567273.1|	FAD-dependent oxidoreductase [[Clostridium] bolteae] 
gi|488630584|ref|WP_002567272.1|	polyphosphate:AMP phosphotransferase [[Clostridium] bolteae] 
gi|488630583|ref|WP_002567271.1|	aspartate kinase [[Clostridium] bolteae] 
gi|494095361|ref|WP_007036185.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630582|ref|WP_002567270.1|	potassium transporter [[Clostridium] bolteae] 
gi|488630581|ref|WP_002567269.1|	hydrolase [[Clostridium] bolteae] 
gi|494095362|ref|WP_007036186.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630580|ref|WP_002567268.1|	acetyltransferase [[Clostridium] bolteae] 
gi|494095363|ref|WP_007036187.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095364|ref|WP_007036188.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630578|ref|WP_002567266.1|	phosphoribosylformylglycinamidine synthase [[Clostridium] bolteae] 
gi|494095365|ref|WP_007036189.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630576|ref|WP_002567264.1|	6-phosphofructokinase [[Clostridium] bolteae] 
gi|488630575|ref|WP_002567263.1|	fructose-2,6-bisphosphatase [[Clostridium] bolteae] 
gi|494095366|ref|WP_007036190.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630573|ref|WP_002567261.1|	LysR family transcriptional regulator [[Clostridium] bolteae] 
gi|494095367|ref|WP_007036191.1|	helicase [[Clostridium] bolteae] 
gi|494095368|ref|WP_007036192.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630571|ref|WP_002567259.1|	MULTISPECIES: PTS cellobiose transporter subunit IIBC [Clostridiales] 
gi|488630570|ref|WP_002567258.1|	6-phosphofructokinase [[Clostridium] bolteae] 
gi|488630569|ref|WP_002567257.1|	membrane protein [[Clostridium] bolteae] 
gi|494095369|ref|WP_007036193.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095370|ref|WP_007036194.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630567|ref|WP_002567255.1|	MULTISPECIES: hemerythrin [Clostridiales] 
gi|494095371|ref|WP_007036195.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095372|ref|WP_007036196.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630565|ref|WP_002567253.1|	alanine racemase [[Clostridium] bolteae] 
gi|494095373|ref|WP_007036197.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630563|ref|WP_002567251.1|	endoribonuclease L-PSP [[Clostridium] bolteae] 
gi|488630562|ref|WP_002567250.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095374|ref|WP_007036198.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095375|ref|WP_007036199.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630560|ref|WP_002567248.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630559|ref|WP_002567247.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488630558|ref|WP_002567246.1|	2-dehydro-3-deoxyglucarate aldolase [[Clostridium] bolteae] 
gi|488630557|ref|WP_002567245.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095376|ref|WP_007036200.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630555|ref|WP_002567243.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095377|ref|WP_007036201.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095378|ref|WP_007036202.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095379|ref|WP_007036203.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630553|ref|WP_002567241.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630552|ref|WP_002567240.1|	MULTISPECIES: C4-dicarboxylate ABC transporter permease [Clostridiales] 
gi|488630551|ref|WP_002567239.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630550|ref|WP_002567238.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095380|ref|WP_007036204.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095381|ref|WP_007036205.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630547|ref|WP_002567235.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095382|ref|WP_007036206.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630545|ref|WP_002567233.1|	D-ribose transporter ATP binding protein [[Clostridium] bolteae] 
gi|488630544|ref|WP_002567232.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095383|ref|WP_007036207.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095384|ref|WP_007036208.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095385|ref|WP_007036209.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630543|ref|WP_002567231.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095386|ref|WP_007036210.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095387|ref|WP_007036211.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630541|ref|WP_002567229.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095388|ref|WP_007036212.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095389|ref|WP_007036213.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095390|ref|WP_007036214.1|	xanthine permease [[Clostridium] bolteae] 
gi|494095391|ref|WP_007036215.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095392|ref|WP_007036216.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095393|ref|WP_007036217.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095394|ref|WP_007036218.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095395|ref|WP_007036219.1|	transposase [[Clostridium] bolteae] 
gi|494095396|ref|WP_007036220.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095397|ref|WP_007036221.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095398|ref|WP_007036222.1|	phosphoglucomutase [[Clostridium] bolteae] 
gi|488629902|ref|WP_002566591.1|	mannose-1-phosphate guanylyltransferase [[Clostridium] bolteae] 
gi|488629903|ref|WP_002566592.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095399|ref|WP_007036223.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629905|ref|WP_002566594.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629906|ref|WP_002566595.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629907|ref|WP_002566596.1|	glycosyltransferase [[Clostridium] bolteae] 
gi|494095400|ref|WP_007036224.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095401|ref|WP_007036225.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095402|ref|WP_007036226.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095403|ref|WP_007036227.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095404|ref|WP_007036228.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095405|ref|WP_007036229.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095406|ref|WP_007036230.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095407|ref|WP_007036231.1|	glycerol-3-phosphate cytidiltransferase [[Clostridium] bolteae] 
gi|494095408|ref|WP_007036232.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095330|ref|WP_007036154.1|	transposase [[Clostridium] bolteae] 
gi|494095409|ref|WP_007036233.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629914|ref|WP_002566603.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629915|ref|WP_002566604.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095410|ref|WP_007036234.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095411|ref|WP_007036235.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629918|ref|WP_002566607.1|	HAD hydrolase family IA [[Clostridium] bolteae] 
gi|494095412|ref|WP_007036236.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095413|ref|WP_007036237.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [[Clostridium] bolteae] 
gi|488629921|ref|WP_002566610.1|	transposase [[Clostridium] bolteae] 
gi|494095414|ref|WP_007036238.1|	transposase IS116/IS110/IS902 family [[Clostridium] bolteae] 
gi|488629923|ref|WP_002566612.1|	transposase [[Clostridium] bolteae] 
gi|494095415|ref|WP_007036239.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095416|ref|WP_007036240.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095417|ref|WP_007036241.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629926|ref|WP_002566615.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629927|ref|WP_002566616.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095418|ref|WP_007036242.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629929|ref|WP_002566618.1|	sugar ABC transporter ATP-binding protein [[Clostridium] bolteae] 
gi|488629930|ref|WP_002566619.1|	glycosyltransferase [[Clostridium] bolteae] 
gi|494095419|ref|WP_007036243.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629932|ref|WP_002566621.1|	lipopolysaccharide ABC transporter permease [[Clostridium] bolteae] 
gi|488629933|ref|WP_002566622.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629934|ref|WP_002566623.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629935|ref|WP_002566624.1|	exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase [[Clostridium] bolteae] 
gi|488629936|ref|WP_002566625.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632312|ref|WP_002568997.1|	MULTISPECIES: rubrerythrin [Clostridiales] 
gi|488632313|ref|WP_002568998.1|	ribose 5-phosphate isomerase [[Clostridium] bolteae] 
gi|488632314|ref|WP_002568999.1|	MULTISPECIES: chorismate synthase [Clostridiales] 
gi|488632315|ref|WP_002569000.1|	6-phosphogluconolactonase [[Clostridium] bolteae] 
gi|488632316|ref|WP_002569001.1|	MULTISPECIES: Cro/Cl family transcriptional regulator [Clostridiales] 
gi|488632317|ref|WP_002569002.1|	MULTISPECIES: spermidine/putrescine ABC transporter ATP-binding protein [Lachnoclostridium] 
gi|488632318|ref|WP_002569003.1|	ABC transporter permease [[Clostridium] bolteae] 
gi|488632319|ref|WP_002569004.1|	spermidine/putrescine ABC transporter permease [[Clostridium] bolteae] 
gi|488632320|ref|WP_002569005.1|	spermidine/putrescine ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|488632321|ref|WP_002569006.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095420|ref|WP_007036244.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095421|ref|WP_007036245.1|	MULTISPECIES: DtxR family transcriptional regulator [Clostridiales] 
gi|488632323|ref|WP_002569008.1|	nitroreductase [[Clostridium] bolteae] 
gi|494095422|ref|WP_007036246.1|	zinc ABC transporter ATPase [[Clostridium] bolteae] 
gi|494095423|ref|WP_007036247.1|	heavy metal transporter [[Clostridium] bolteae] 
gi|488632326|ref|WP_002569011.1|	MULTISPECIES: ArsR family transcriptional regulator [Clostridiales] 
gi|494095424|ref|WP_007036248.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632327|ref|WP_002569012.1|	aspartyl-tRNA synthase [[Clostridium] bolteae] 
gi|494095425|ref|WP_007036249.1|	histidyl-tRNA synthetase [[Clostridium] bolteae] 
gi|488632329|ref|WP_002569014.1|	uroporphyrinogen III decarboxylase [[Clostridium] bolteae] 
gi|488632330|ref|WP_002569015.1|	coproporphyrinogen III oxidase [[Clostridium] bolteae] 
gi|488632331|ref|WP_002569016.1|	beta-lactamase [[Clostridium] bolteae] 
gi|488632332|ref|WP_002569017.1|	MULTISPECIES: (p)ppGpp synthetase [Clostridiales] 
gi|488632333|ref|WP_002569018.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095426|ref|WP_007036250.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632335|ref|WP_002569020.1|	adenine phosphoribosyltransferase [[Clostridium] bolteae] 
gi|494095427|ref|WP_007036251.1|	transcriptional regulator [[Clostridium] bolteae] 
gi|488632337|ref|WP_002569022.1|	polygalacturonase [[Clostridium] bolteae] 
gi|488632338|ref|WP_002569023.1|	MULTISPECIES: sugar ABC transporter permease [Clostridiales] 
gi|488632339|ref|WP_002569024.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|494095428|ref|WP_007036252.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632341|ref|WP_002569026.1|	oligogalacturonide ABC transporter extracellular solute-binding protein [[Clostridium] bolteae] 
gi|488632342|ref|WP_002569027.1|	glycosyl hydrolase family 88 [[Clostridium] bolteae] 
gi|494095429|ref|WP_007036253.1|	acetyl esterase [[Clostridium] bolteae] 
gi|488632344|ref|WP_002569029.1|	DeoR family transcriptional regulator [[Clostridium] bolteae] 
gi|494095430|ref|WP_007036254.1|	transaldolase [[Clostridium] bolteae] 
gi|494095431|ref|WP_007036255.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632346|ref|WP_002569031.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|488632347|ref|WP_002569032.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632348|ref|WP_002569033.1|	MULTISPECIES: ribose ABC transporter permease [Clostridiales] 
gi|488632349|ref|WP_002569034.1|	ABC transporter [[Clostridium] bolteae] 
gi|488632350|ref|WP_002569035.1|	RbsB protein [[Clostridium] bolteae] 
gi|494095432|ref|WP_007036256.1|	AP endonuclease [[Clostridium] bolteae] 
gi|494095433|ref|WP_007036257.1|	PhoU family transcriptional regulator [[Clostridium] bolteae] 
gi|488632353|ref|WP_002569038.1|	phosphate ABC transporter ATP-binding protein [[Clostridium] bolteae] 
gi|488632354|ref|WP_002569039.1|	MULTISPECIES: phosphate ABC transporter permease [Lachnoclostridium] 
gi|488632355|ref|WP_002569040.1|	MULTISPECIES: phosphate ABC transporter permease [Clostridiales] 
gi|488632356|ref|WP_002569041.1|	phosphate ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|494095434|ref|WP_007036258.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632357|ref|WP_002569042.1|	mucin desulfatase [[Clostridium] bolteae] 
gi|488632358|ref|WP_002569043.1|	nucleotidyltransferase [[Clostridium] bolteae] 
gi|488632359|ref|WP_002569044.1|	MULTISPECIES: sugar ABC transporter permease [Clostridiales] 
gi|494095435|ref|WP_007036259.1|	sugar ABC transporter permease [[Clostridium] bolteae] 
gi|488632361|ref|WP_002569046.1|	ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|488632362|ref|WP_002569047.1|	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase [[Clostridium] bolteae] 
gi|494095436|ref|WP_007036260.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632363|ref|WP_002569048.1|	AraC family transcriptional regulator [[Clostridium] bolteae] 
gi|494095437|ref|WP_007036261.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632364|ref|WP_002569049.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095438|ref|WP_007036262.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632365|ref|WP_002569050.1|	ABC transporter [[Clostridium] bolteae] 
gi|488632366|ref|WP_002569051.1|	molybdate ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|488632367|ref|WP_002569052.1|	NifC-like protein [[Clostridium] bolteae] 
gi|488632368|ref|WP_002569053.1|	sulfate transporter [[Clostridium] bolteae] 
gi|488632369|ref|WP_002569054.1|	membrane protein [[Clostridium] bolteae] 
gi|488632370|ref|WP_002569055.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095439|ref|WP_007036263.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632372|ref|WP_002569057.1|	peptidase M16 [[Clostridium] bolteae] 
gi|494095440|ref|WP_007036264.1|	2-deoxy-D-gluconate 3-dehydrogenase [[Clostridium] bolteae] 
gi|488632374|ref|WP_002569059.1|	2-dehydro-3-deoxy-6-phosphogalactonate aldolase [[Clostridium] bolteae] 
gi|488632375|ref|WP_002569060.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632376|ref|WP_002569061.1|	hypothetical protein [[Clostridium] bolteae] 
