gi|489886408|ref|WP_003789858.1|	amino acid carrier protein [Actinomyces odontolyticus] 
gi|489888205|ref|WP_003791655.1|	amino acid ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489888206|ref|WP_003791656.1|	polar amino acid ABC transporter permease [Actinomyces odontolyticus] 
gi|489888208|ref|WP_003791658.1|	amino acid ABC transporter permease [Actinomyces odontolyticus] 
gi|489888211|ref|WP_003791661.1|	glutamine ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489888212|ref|WP_003791662.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888214|ref|WP_003791664.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888216|ref|WP_003791666.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888217|ref|WP_003791667.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888221|ref|WP_003791671.1|	polysaccharide biosynthesis protein GtrA [Actinomyces odontolyticus] 
gi|489888223|ref|WP_003791673.1|	phospholipase [Actinomyces odontolyticus] 
gi|489888224|ref|WP_003791674.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888225|ref|WP_003791675.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888227|ref|WP_003791677.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888228|ref|WP_003791678.1|	glutaredoxin [Actinomyces odontolyticus] 
gi|489888230|ref|WP_003791680.1|	ribonucleotide reductase [Actinomyces odontolyticus] 
gi|489888232|ref|WP_003791682.1|	ribonucleotide-diphosphate reductase subunit alpha [Actinomyces odontolyticus] 
gi|489888235|ref|WP_003791685.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888237|ref|WP_003791687.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888239|ref|WP_003791689.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888240|ref|WP_003791690.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888243|ref|WP_003791693.1|	isopentenyl-diphosphate delta-isomerase [Actinomyces odontolyticus] 
gi|489888245|ref|WP_003791695.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489888247|ref|WP_003791697.1|	cell division protein FtsX [Actinomyces odontolyticus] 
gi|489888249|ref|WP_003791699.1|	serine ammonia-lyase [Actinomyces odontolyticus] 
gi|489888251|ref|WP_003791701.1|	collagen-binding protein [Actinomyces odontolyticus] 
gi|489888253|ref|WP_003791703.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888255|ref|WP_003791705.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888257|ref|WP_003791707.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888259|ref|WP_003791709.1|	protein tyrosine/serine phosphatase [Actinomyces odontolyticus] 
gi|489888261|ref|WP_003791711.1|	cytochrome C biosynthesis protein [Actinomyces odontolyticus] 
gi|489888263|ref|WP_003791713.1|	phosphoribulokinase [Actinomyces odontolyticus] 
gi|489888265|ref|WP_003791715.1|	phosphoribosyltransferase [Actinomyces odontolyticus] 
gi|489888267|ref|WP_003791717.1|	transcription elongation protein SprT [Actinomyces odontolyticus] 
gi|489888269|ref|WP_003791719.1|	ATP-dependent helicase [Actinomyces odontolyticus] 
gi|489888271|ref|WP_003791721.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888273|ref|WP_003791723.1|	membrane protein [Actinomyces odontolyticus] 
gi|489888275|ref|WP_003791725.1|	protoporphyrinogen oxidase [Actinomyces odontolyticus] 
gi|489888276|ref|WP_003791726.1|	lysophospholipase [Actinomyces odontolyticus] 
gi|489888279|ref|WP_003791729.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888282|ref|WP_003791732.1|	membrane protein [Actinomyces odontolyticus] 
gi|489888284|ref|WP_003791734.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888287|ref|WP_003791737.1|	deoxyribonuclease [Actinomyces odontolyticus] 
gi|489888290|ref|WP_003791740.1|	antibiotic resistance protein VanZ [Actinomyces odontolyticus] 
gi|489888291|ref|WP_003791741.1|	MerR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489888293|ref|WP_003791743.1|	histidine kinase [Actinomyces odontolyticus] 
gi|489888294|ref|WP_003791744.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489888297|ref|WP_003791747.1|	ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489888300|ref|WP_003791750.1|	ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489888303|ref|WP_003791753.1|	peptide ABC transporter permease [Actinomyces odontolyticus] 
gi|489888305|ref|WP_003791755.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489888307|ref|WP_003791757.1|	ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489888309|ref|WP_003791759.1|	glycine/betaine ABC transporter4868464#ABC transporter permease [Actinomyces odontolyticus] 
gi|489888312|ref|WP_003791762.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489888314|ref|WP_003791764.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489888316|ref|WP_003791766.1|	ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489888318|ref|WP_003791768.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489888320|ref|WP_003791770.1|	ion transporter [Actinomyces odontolyticus] 
gi|489888322|ref|WP_003791772.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888323|ref|WP_003791773.1|	nitrate reductase [Actinomyces odontolyticus] 
gi|489888325|ref|WP_003791775.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888327|ref|WP_003791777.1|	prolyl-tRNA synthetase [Actinomyces odontolyticus] 
gi|489888329|ref|WP_003791779.1|	glutamyl-Q tRNA(Asp) ligase [Actinomyces odontolyticus] 
gi|489888331|ref|WP_003791781.1|	chromosome condensation protein CrcB [Actinomyces odontolyticus] 
gi|489888333|ref|WP_003791783.1|	protein CrcB [Actinomyces odontolyticus] 
gi|489888334|ref|WP_003791784.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489888336|ref|WP_003791786.1|	metal ABC transporter permease [Actinomyces odontolyticus] 
gi|489888339|ref|WP_003791789.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489888340|ref|WP_003791790.1|	membrane protein [Actinomyces odontolyticus] 
gi|489888342|ref|WP_003791792.1|	uracil phosphoribosyltransferase [Actinomyces odontolyticus] 
gi|489888346|ref|WP_003791796.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888349|ref|WP_003791799.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888351|ref|WP_003791801.1|	molybdenum cofactor biosynthesis protein [Actinomyces odontolyticus] 
gi|489888357|ref|WP_003791807.1|	MULTISPECIES: molybdenum cofactor biosynthesis protein MoaC [Actinomyces] 
gi|489888359|ref|WP_003791809.1|	molybdenum cofactor biosynthesis protein MoaA [Actinomyces odontolyticus] 
gi|489888360|ref|WP_003791810.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888362|ref|WP_003791812.1|	IMP dehydrogenase [Actinomyces odontolyticus] 
gi|489888363|ref|WP_003791813.1|	molybdenum cofactor biosynthesis protein MoaA [Actinomyces odontolyticus] 
gi|489888366|ref|WP_003791816.1|	MFS transporter [Actinomyces odontolyticus] 
gi|489888367|ref|WP_003791817.1|	nitrate reductase A subunit alpha [Actinomyces odontolyticus] 
gi|489888370|ref|WP_003791820.1|	nitrate reductase subunit beta [Actinomyces odontolyticus] 
gi|489888371|ref|WP_003791821.1|	nitrate reductase [Actinomyces odontolyticus] 
gi|489888373|ref|WP_003791823.1|	nitrate reductase subunit gamma [Actinomyces odontolyticus] 
gi|489888375|ref|WP_003791825.1|	molybdenum cofactor biosynthesis protein MoaD [Actinomyces odontolyticus] 
gi|489888376|ref|WP_003791826.1|	molybdenum cofactor biosynthesis protein MoaE [Actinomyces odontolyticus] 
gi|489888377|ref|WP_003791827.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888379|ref|WP_003791829.1|	molybdopterin-guanine dinucleotide biosynthesis protein [Actinomyces odontolyticus] 
gi|489888381|ref|WP_003791831.1|	cell wall-binding protein [Actinomyces odontolyticus] 
gi|489888383|ref|WP_003791833.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888384|ref|WP_003791834.1|	metallo-beta-lactamase [Actinomyces odontolyticus] 
gi|489888386|ref|WP_003791836.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888390|ref|WP_003791840.1|	molybdate-binding protein [Actinomyces odontolyticus] 
gi|489888392|ref|WP_003791842.1|	molybdate ABC transporter permease [Actinomyces odontolyticus] 
gi|489888395|ref|WP_003791845.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888396|ref|WP_003791846.1|	activase [Actinomyces odontolyticus] 
gi|489888397|ref|WP_003791847.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489888400|ref|WP_003791850.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888402|ref|WP_003791852.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888404|ref|WP_003791854.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888406|ref|WP_003791856.1|	peptide transporter [Actinomyces odontolyticus] 
gi|489888407|ref|WP_003791857.1|	LysR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489888409|ref|WP_003791859.1|	membrane protein [Actinomyces odontolyticus] 
gi|489888411|ref|WP_003791861.1|	superoxide dismutase [Actinomyces odontolyticus] 
gi|489888413|ref|WP_003791863.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489888416|ref|WP_003791866.1|	SAM-dependent methyltransferase [Actinomyces odontolyticus] 
gi|489888417|ref|WP_003791867.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888419|ref|WP_003791869.1|	prevent-host-death protein [Actinomyces odontolyticus] 
gi|489888421|ref|WP_003791871.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888423|ref|WP_003791873.1|	elongation factor 3 [Actinomyces odontolyticus] 
gi|489888425|ref|WP_003791875.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888427|ref|WP_003791877.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888429|ref|WP_003791879.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888430|ref|WP_003791880.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888432|ref|WP_003791882.1|	DNA topoisomerase I [Actinomyces odontolyticus] 
gi|489888434|ref|WP_003791884.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888436|ref|WP_003791886.1|	DNA polymerase III subunit delta' [Actinomyces odontolyticus] 
gi|489888437|ref|WP_003791887.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888439|ref|WP_003791889.1|	DNA-binding protein [Actinomyces odontolyticus] 
gi|489888442|ref|WP_003791892.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888444|ref|WP_003791894.1|	cystathionine gamma-synthase [Actinomyces odontolyticus] 
gi|489888446|ref|WP_003791896.1|	chloride channel protein [Actinomyces odontolyticus] 
gi|489888447|ref|WP_003791897.1|	MarR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489888449|ref|WP_003791899.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888451|ref|WP_003791901.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888453|ref|WP_003791903.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888454|ref|WP_003791904.1|	phosphoglyceromutase [Actinomyces odontolyticus] 
gi|489888456|ref|WP_003791906.1|	CarD family transcriptional regulator [Actinomyces odontolyticus] 
gi|489888458|ref|WP_003791908.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888460|ref|WP_003791910.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888462|ref|WP_003791912.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888463|ref|WP_003791913.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888466|ref|WP_003791916.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888467|ref|WP_003791917.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888469|ref|WP_003791919.1|	membrane protein [Actinomyces odontolyticus] 
gi|489888471|ref|WP_003791921.1|	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Actinomyces odontolyticus] 
gi|489888473|ref|WP_003791923.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888476|ref|WP_003791926.1|	Hsp70 nucleotide exchange factor FES1 [Actinomyces odontolyticus] 
gi|489888477|ref|WP_003791927.1|	threonine synthase [Actinomyces odontolyticus] 
gi|489888479|ref|WP_003791929.1|	cysteinyl-tRNA synthetase [Actinomyces odontolyticus] 
gi|489888480|ref|WP_003791930.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888483|ref|WP_003791933.1|	RNA methyltransferase [Actinomyces odontolyticus] 
gi|489888485|ref|WP_003791935.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888486|ref|WP_003791936.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888487|ref|WP_003791937.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888489|ref|WP_003791939.1|	membrane protein [Actinomyces odontolyticus] 
gi|489888492|ref|WP_003791942.1|	adenylosuccinate synthetase [Actinomyces odontolyticus] 
gi|489888493|ref|WP_003791943.1|	membrane protein [Actinomyces odontolyticus] 
gi|489888495|ref|WP_003791945.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888497|ref|WP_003791947.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888499|ref|WP_003791949.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888501|ref|WP_003791951.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888502|ref|WP_003791952.1|	ATP-dependent Clp protease ATP-binding protein [Actinomyces odontolyticus] 
gi|489888504|ref|WP_003791954.1|	fibronectin [Actinomyces odontolyticus] 
gi|489888506|ref|WP_003791956.1|	ATPase AAA [Actinomyces odontolyticus] 
gi|489888509|ref|WP_003791959.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888510|ref|WP_003791960.1|	transglutaminase [Actinomyces odontolyticus] 
gi|489888512|ref|WP_003791962.1|	protein kinase [Actinomyces odontolyticus] 
gi|489888514|ref|WP_003791964.1|	serine/threonine protein kinase [Actinomyces odontolyticus] 
gi|489888515|ref|WP_003791965.1|	signal peptide protein [Actinomyces odontolyticus] 
gi|489888517|ref|WP_003791967.1|	pyruvate phosphate dikinase [Actinomyces odontolyticus] 
gi|489888519|ref|WP_003791969.1|	CAAX amino terminal protease [Actinomyces odontolyticus] 
gi|489888521|ref|WP_003791971.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888522|ref|WP_003791972.1|	amino acid ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489888524|ref|WP_003791974.1|	membrane protein [Actinomyces odontolyticus] 
gi|489888525|ref|WP_003791975.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489888527|ref|WP_003791977.1|	cell division protein FtsX [Actinomyces odontolyticus] 
gi|489888528|ref|WP_003791978.1|	ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489888530|ref|WP_003791980.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888533|ref|WP_003791983.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888535|ref|WP_003791985.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888537|ref|WP_003791987.1|	dimethylmenaquinone methyltransferase [Actinomyces odontolyticus] 
gi|489888538|ref|WP_003791988.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888540|ref|WP_003791990.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489888542|ref|WP_003791992.1|	alpha/beta hydrolase [Actinomyces odontolyticus] 
gi|489888544|ref|WP_003791994.1|	cell wall surface anchor protein [Actinomyces odontolyticus] 
gi|489888546|ref|WP_003791996.1|	oxidoreductase [Actinomyces odontolyticus] 
gi|489888549|ref|WP_003791999.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888551|ref|WP_003792001.1|	alpha/beta hydrolase [Actinomyces odontolyticus] 
gi|489888554|ref|WP_003792004.1|	homoserine O-acetyltransferase [Actinomyces odontolyticus] 
gi|489888557|ref|WP_003792007.1|	O-acetylhomoserine aminocarboxypropyltransferase [Actinomyces odontolyticus] 
gi|489888558|ref|WP_003792008.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888560|ref|WP_003792010.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888562|ref|WP_003792012.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888564|ref|WP_003792014.1|	MULTISPECIES: inorganic pyrophosphatase [Actinomyces] 
gi|489888566|ref|WP_003792016.1|	D-alanyl-D-alanine carboxypeptidase [Actinomyces odontolyticus] 
gi|489888567|ref|WP_003792017.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888568|ref|WP_003792018.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888569|ref|WP_003792019.1|	hypoxanthine phosphoribosyltransferase [Actinomyces odontolyticus] 
gi|489888571|ref|WP_003792021.1|	ATPase AAA [Actinomyces odontolyticus] 
gi|489888573|ref|WP_003792023.1|	GTP cyclohydrolase [Actinomyces odontolyticus] 
gi|489888575|ref|WP_003792025.1|	dihydropteroate synthase [Actinomyces odontolyticus] 
gi|489888577|ref|WP_003792027.1|	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase [Actinomyces odontolyticus] 
gi|489888579|ref|WP_003792029.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888580|ref|WP_003792030.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888581|ref|WP_003792031.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888584|ref|WP_003792034.1|	DNA repair protein RadA [Actinomyces odontolyticus] 
gi|489888586|ref|WP_003792036.1|	fibronectin [Actinomyces odontolyticus] 
gi|489888588|ref|WP_003792038.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888589|ref|WP_003792039.1|	transglutaminase [Actinomyces odontolyticus] 
gi|489888590|ref|WP_003792040.1|	protein kinase [Actinomyces odontolyticus] 
gi|489888592|ref|WP_003792042.1|	peptidase S8 [Actinomyces odontolyticus] 
gi|489888593|ref|WP_003792043.1|	thermostable alkaline protease [Actinomyces odontolyticus] 
gi|489888594|ref|WP_003792044.1|	thermostable alkaline protease [Actinomyces odontolyticus] 
gi|489888596|ref|WP_003792046.1|	thermostable alkaline protease [Actinomyces odontolyticus] 
gi|489888599|ref|WP_003792049.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888601|ref|WP_003792051.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888603|ref|WP_003792053.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888604|ref|WP_003792054.1|	ATP-binding protein [Actinomyces odontolyticus] 
gi|489888606|ref|WP_003792056.1|	membrane protein [Actinomyces odontolyticus] 
gi|489888608|ref|WP_003792058.1|	translation initiation factor 2 [Actinomyces odontolyticus] 
gi|489888610|ref|WP_003792060.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888611|ref|WP_003792061.1|	type VII secretion protein [Actinomyces odontolyticus] 
gi|489888613|ref|WP_003792063.1|	hypothetical protein [Actinomyces odontolyticus] 
