gi|490986841|ref|WP_004848574.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988728|ref|WP_004850461.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988730|ref|WP_004850463.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988732|ref|WP_004850465.1|	excisionase [Coprococcus eutactus] 
gi|490988734|ref|WP_004850467.1|	nucleoside triphosphatase [Coprococcus eutactus] 
gi|490988736|ref|WP_004850469.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988738|ref|WP_004850471.1|	phage capsid protein [Coprococcus eutactus] 
gi|490988740|ref|WP_004850473.1|	DNA-binding protein [Coprococcus eutactus] 
gi|490988742|ref|WP_004850475.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988743|ref|WP_004850476.1|	transposase [Coprococcus eutactus] 
gi|490988746|ref|WP_004850479.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988748|ref|WP_004850481.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988750|ref|WP_004850483.1|	aminoacyl-tRNA synthetase [Coprococcus eutactus] 
gi|490988752|ref|WP_004850485.1|	RNA methyltransferase [Coprococcus eutactus] 
gi|490988754|ref|WP_004850487.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988757|ref|WP_004850490.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988759|ref|WP_004850492.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988761|ref|WP_004850494.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988762|ref|WP_004850495.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988764|ref|WP_004850497.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988766|ref|WP_004850499.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988768|ref|WP_004850501.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988770|ref|WP_004850503.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988772|ref|WP_004850505.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988774|ref|WP_004850507.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988775|ref|WP_004850508.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988777|ref|WP_004850510.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988779|ref|WP_004850512.1|	cation transporter [Coprococcus eutactus] 
gi|490988781|ref|WP_004850514.1|	thiol-disulfide isomerase [Coprococcus eutactus] 
gi|490988784|ref|WP_004850517.1|	citrate synthase [Coprococcus eutactus] 
gi|490988786|ref|WP_004850519.1|	endonuclease III [Coprococcus eutactus] 
gi|490988787|ref|WP_004850520.1|	MULTISPECIES: uracil phosphoribosyltransferase [Coprococcus] 
gi|490988789|ref|WP_004850522.1|	ABC transporter permease [Coprococcus eutactus] 
gi|490988808|ref|WP_004850541.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988810|ref|WP_004850543.1|	MULTISPECIES: transcriptional regulator [Bacteria] 
gi|490988812|ref|WP_004850545.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|490988815|ref|WP_004850548.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Bacteria] 
gi|490988817|ref|WP_004850550.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|490988818|ref|WP_004850551.1|	XRE family transcriptional regulator [Coprococcus eutactus] 
gi|490988820|ref|WP_004850553.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988822|ref|WP_004850555.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988824|ref|WP_004850557.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988826|ref|WP_004850559.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988828|ref|WP_004850561.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988831|ref|WP_004850564.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988833|ref|WP_004850566.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988835|ref|WP_004850568.1|	transcriptional regulator [Coprococcus eutactus] 
gi|490988837|ref|WP_004850570.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988839|ref|WP_004850572.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988841|ref|WP_004850574.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988843|ref|WP_004850576.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988845|ref|WP_004850578.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490988846|ref|WP_004850579.1|	MULTISPECIES: PadR family transcriptional regulator [Lachnospiraceae] 
gi|490988848|ref|WP_004850581.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988850|ref|WP_004850583.1|	recombinase [Coprococcus eutactus] 
gi|490988852|ref|WP_004850585.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988855|ref|WP_004850588.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490988857|ref|WP_004850590.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988860|ref|WP_004850593.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988864|ref|WP_004850597.1|	MULTISPECIES: integrase [Firmicutes] 
gi|490988866|ref|WP_004850599.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490988868|ref|WP_004850601.1|	XRE family transcriptional regulator [Coprococcus eutactus] 
gi|490988870|ref|WP_004850603.1|	MULTISPECIES: elongation factor Tu [Coprococcus] 
gi|490988872|ref|WP_004850605.1|	elongation factor P [Coprococcus eutactus] 
gi|490988874|ref|WP_004850607.1|	MULTISPECIES: 30S ribosomal protein S7 [Coprococcus] 
gi|490988875|ref|WP_004850608.1|	MULTISPECIES: 30S ribosomal protein S12 [Coprococcus] 
gi|490988877|ref|WP_004850610.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988878|ref|WP_004850611.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988880|ref|WP_004850613.1|	MULTISPECIES: DNA-directed RNA polymerase subunit beta' [Coprococcus] 
gi|490988882|ref|WP_004850615.1|	MULTISPECIES: DNA-directed RNA polymerase subunit beta [Coprococcus] 
gi|490988884|ref|WP_004850617.1|	50S ribosomal protein L7/L12 [Coprococcus eutactus] 
gi|490988885|ref|WP_004850618.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988888|ref|WP_004850621.1|	50S ribosomal protein L10 [Coprococcus eutactus] 
gi|490988889|ref|WP_004850622.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988890|ref|WP_004850623.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988891|ref|WP_004850624.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988893|ref|WP_004850626.1|	aspartate decarboxylase [Coprococcus eutactus] 
gi|490988894|ref|WP_004850627.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988896|ref|WP_004850629.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988899|ref|WP_004850632.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988901|ref|WP_004850634.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988903|ref|WP_004850636.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988905|ref|WP_004850638.1|	methylglyoxal synthase [Coprococcus eutactus] 
gi|490988906|ref|WP_004850639.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988908|ref|WP_004850641.1|	membrane protein [Coprococcus eutactus] 
gi|490988910|ref|WP_004850643.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988912|ref|WP_004850645.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988914|ref|WP_004850647.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988917|ref|WP_004850650.1|	MULTISPECIES: membrane protein [Coprococcus] 
gi|490988918|ref|WP_004850651.1|	MULTISPECIES: LrgA [Coprococcus] 
gi|490988919|ref|WP_004850652.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988920|ref|WP_004850653.1|	ATPase [Coprococcus eutactus] 
gi|490988922|ref|WP_004850655.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988923|ref|WP_004850656.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988925|ref|WP_004850658.1|	ammonia permease [Coprococcus eutactus] 
gi|490988930|ref|WP_004850663.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988927|ref|WP_004850660.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988932|ref|WP_004850665.1|	multidrug DMT transporter permease [Coprococcus eutactus] 
gi|490988934|ref|WP_004850667.1|	XRE family transcriptional regulator [Coprococcus eutactus] 
gi|490988936|ref|WP_004850669.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988938|ref|WP_004850671.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988940|ref|WP_004850673.1|	potassium transporter TrkA [Coprococcus eutactus] 
gi|490988942|ref|WP_004850675.1|	potassium transporter TrkH [Coprococcus eutactus] 
gi|490988944|ref|WP_004850677.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988946|ref|WP_004850679.1|	1-deoxy-D-xylulose-5-phosphate synthase [Coprococcus eutactus] 
gi|490988948|ref|WP_004850681.1|	MULTISPECIES: transcriptional regulator [Coprococcus] 
gi|490988950|ref|WP_004850683.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988952|ref|WP_004850685.1|	MULTISPECIES: DNA-binding protein [Coprococcus] 
gi|490988954|ref|WP_004850687.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988956|ref|WP_004850689.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988958|ref|WP_004850691.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988960|ref|WP_004850693.1|	lactoylglutathione lyase [Coprococcus eutactus] 
gi|490988962|ref|WP_004850695.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988964|ref|WP_004850697.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988966|ref|WP_004850699.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988968|ref|WP_004850701.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988970|ref|WP_004850703.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988972|ref|WP_004850705.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988975|ref|WP_004850708.1|	MULTISPECIES: membrane protein [Coprococcus] 
gi|490988977|ref|WP_004850710.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988979|ref|WP_004850712.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988981|ref|WP_004850714.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988983|ref|WP_004850716.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988984|ref|WP_004850717.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988985|ref|WP_004850718.1|	ATP-binding protein [Coprococcus eutactus] 
gi|490988988|ref|WP_004850721.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988991|ref|WP_004850724.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988992|ref|WP_004850725.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988994|ref|WP_004850727.1|	RNA methyltransferase [Coprococcus eutactus] 
gi|490988996|ref|WP_004850729.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988998|ref|WP_004850731.1|	nucleoside-triphosphate diphosphatase [Coprococcus eutactus] 
gi|490989000|ref|WP_004850733.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989002|ref|WP_004850735.1|	MULTISPECIES: RNA methyltransferase [Coprococcus] 
gi|490989004|ref|WP_004850737.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989005|ref|WP_004850738.1|	valyl-tRNA synthase [Coprococcus eutactus] 
gi|490989007|ref|WP_004850740.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989008|ref|WP_004850741.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989011|ref|WP_004850744.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989014|ref|WP_004850747.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989016|ref|WP_004850749.1|	MULTISPECIES: orotate phosphoribosyltransferase [Coprococcus] 
gi|490989017|ref|WP_004850750.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989018|ref|WP_004850751.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989020|ref|WP_004850753.1|	spermidine/putrescine ABC transporter substrate-binding protein [Coprococcus eutactus] 
gi|490989023|ref|WP_004850756.1|	MULTISPECIES: spermidine/putrescine ABC transporter permease [Coprococcus] 
gi|490989024|ref|WP_004850757.1|	MULTISPECIES: ABC transporter permease [Coprococcus] 
gi|490989025|ref|WP_004850758.1|	MULTISPECIES: spermidine/putrescine ABC transporter ATP-binding protein [Coprococcus] 
gi|490989027|ref|WP_004850760.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989028|ref|WP_004850761.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989030|ref|WP_004850763.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989032|ref|WP_004850765.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989034|ref|WP_004850767.1|	conjugal transfer protein TraX [Coprococcus eutactus] 
gi|490989035|ref|WP_004850768.1|	sucrose-6-phosphate hydrolase [Coprococcus eutactus] 
gi|490989036|ref|WP_004850769.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989037|ref|WP_004850770.1|	MULTISPECIES: V-type ATP synthase subunit D [Coprococcus] 
gi|490989038|ref|WP_004850771.1|	MULTISPECIES: V-type ATP synthase subunit B [Coprococcus] 
gi|490989039|ref|WP_004850772.1|	V-type ATP synthase subunit A [Coprococcus eutactus] 
gi|490989040|ref|WP_004850773.1|	V-type ATP synthase subunit F [Coprococcus eutactus] 
gi|490989041|ref|WP_004850774.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989043|ref|WP_004850776.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989045|ref|WP_004850778.1|	MULTISPECIES: V-type ATP synthase subunit K [Coprococcus] 
gi|490989047|ref|WP_004850780.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989051|ref|WP_004850784.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989052|ref|WP_004850785.1|	ribose 5-phosphate isomerase [Coprococcus eutactus] 
gi|490989063|ref|WP_004850796.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989065|ref|WP_004850798.1|	D-tyrosyl-tRNA(Tyr) deacylase [Coprococcus eutactus] 
gi|490989067|ref|WP_004850800.1|	acetolactate synthase [Coprococcus eutactus] 
gi|490989069|ref|WP_004850802.1|	acetolactate synthase [Coprococcus eutactus] 
gi|490989071|ref|WP_004850804.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989072|ref|WP_004850805.1|	multidrug transporter MatE [Coprococcus eutactus] 
gi|490989074|ref|WP_004850807.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989077|ref|WP_004850810.1|	asparagine synthase [Coprococcus eutactus] 
gi|490989079|ref|WP_004850812.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989081|ref|WP_004850814.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989083|ref|WP_004850816.1|	MULTISPECIES: dipicolinate synthase [Coprococcus] 
gi|490989084|ref|WP_004850817.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989085|ref|WP_004850818.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989087|ref|WP_004850820.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989088|ref|WP_004850821.1|	MULTISPECIES: chromosome segregation and condensation protein ScpA [Coprococcus] 
gi|490989091|ref|WP_004850824.1|	stage IV sporulation protein A [Coprococcus eutactus] 
gi|490989092|ref|WP_004850825.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989094|ref|WP_004850827.1|	MULTISPECIES: glycerol-3-phosphate dehydrogenase [Coprococcus] 
gi|490989095|ref|WP_004850828.1|	MULTISPECIES: acyl-phosphate glycerol 3-phosphate acyltransferase [Coprococcus] 
gi|490989098|ref|WP_004850831.1|	GTP-binding protein Der [Coprococcus eutactus] 
gi|490989100|ref|WP_004850833.1|	Fe-S oxidoreductase [Coprococcus eutactus] 
gi|490989102|ref|WP_004850835.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989104|ref|WP_004850837.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989107|ref|WP_004850840.1|	ribonuclease HII [Coprococcus eutactus] 
gi|490989109|ref|WP_004850842.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989111|ref|WP_004850844.1|	MULTISPECIES: GTPase YlqF [Coprococcus] 
gi|490989113|ref|WP_004850846.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989115|ref|WP_004850848.1|	50S ribosomal protein L19 [Coprococcus eutactus] 
gi|490989116|ref|WP_004850849.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989118|ref|WP_004850851.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989120|ref|WP_004850853.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989122|ref|WP_004850855.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989124|ref|WP_004850857.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989126|ref|WP_004850859.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989128|ref|WP_004850861.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989129|ref|WP_004850862.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989130|ref|WP_004850863.1|	MULTISPECIES: single-stranded DNA-binding protein [Coprococcus] 
gi|490989132|ref|WP_004850865.1|	ribonuclease R [Coprococcus eutactus] 
gi|490989134|ref|WP_004850867.1|	preprotein translocase subunit SecG [Coprococcus eutactus] 
gi|490989136|ref|WP_004850869.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989138|ref|WP_004850871.1|	thiamine-phosphate pyrophosphorylase [Coprococcus eutactus] 
gi|490989140|ref|WP_004850873.1|	hydroxyethylthiazole kinase [Coprococcus eutactus] 
gi|490989141|ref|WP_004850874.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989144|ref|WP_004850877.1|	phosphoglyceromutase [Coprococcus eutactus] 
gi|490989146|ref|WP_004850879.1|	MULTISPECIES: exodeoxyribonuclease III [Coprococcus] 
gi|490989154|ref|WP_004850887.1|	MULTISPECIES: phospho-2-dehydro-3-deoxyheptonate aldolase [Coprococcus] 
gi|490989156|ref|WP_004850889.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989158|ref|WP_004850891.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989160|ref|WP_004850893.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989161|ref|WP_004850894.1|	MULTISPECIES: purine nucleoside phosphorylase [Coprococcus] 
gi|490989162|ref|WP_004850895.1|	MULTISPECIES: ribonuclease H [Coprococcus] 
gi|490989163|ref|WP_004850896.1|	5-methyltetrahydrofolate--homocysteine methyltransferase [Coprococcus eutactus] 
gi|490989165|ref|WP_004850898.1|	acetolactate synthase [Coprococcus eutactus] 
gi|490989167|ref|WP_004850900.1|	ketol-acid reductoisomerase [Coprococcus eutactus] 
gi|490989168|ref|WP_004850901.1|	MULTISPECIES: transcription elongation factor GreA [Coprococcus] 
gi|490989170|ref|WP_004850903.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989172|ref|WP_004850905.1|	DNA polymerase I [Coprococcus eutactus] 
gi|490989174|ref|WP_004850907.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989176|ref|WP_004850909.1|	phosphotransacetylase [Coprococcus eutactus] 
gi|490989179|ref|WP_004850912.1|	acetate kinase [Coprococcus eutactus] 
gi|490989180|ref|WP_004850913.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989183|ref|WP_004850916.1|	MULTISPECIES: 50S ribosomal protein L32 [Coprococcus] 
gi|490989184|ref|WP_004850917.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989186|ref|WP_004850919.1|	phosphate acyltransferase [Coprococcus eutactus] 
gi|490989187|ref|WP_004850920.1|	ribonuclease III [Coprococcus eutactus] 
gi|490989189|ref|WP_004850922.1|	chromosome segregation protein SMC [Coprococcus eutactus] 
gi|490989191|ref|WP_004850924.1|	MULTISPECIES: cell division protein FtsY [Coprococcus] 
gi|490989193|ref|WP_004850926.1|	MULTISPECIES: threonine dehydratase [Coprococcus] 
gi|490989195|ref|WP_004850928.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989197|ref|WP_004850930.1|	ribonuclease Z [Coprococcus eutactus] 
gi|490989199|ref|WP_004850932.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989201|ref|WP_004850934.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
