gi|490746319|ref|WP_004608627.1|	hypothetical protein partial [[Clostridium] spiroforme] 
gi|490747165|ref|WP_004609473.1|	hydrolase [[Clostridium] spiroforme] 
gi|490747166|ref|WP_004609474.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747167|ref|WP_004609475.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747168|ref|WP_004609476.1|	alanine racemase [[Clostridium] spiroforme] 
gi|490747169|ref|WP_004609477.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747170|ref|WP_004609478.1|	UDP-galactose-4-epimerase [[Clostridium] spiroforme] 
gi|490747171|ref|WP_004609479.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747172|ref|WP_004609480.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747173|ref|WP_004609481.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747174|ref|WP_004609482.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747175|ref|WP_004609483.1|	stage II sporulation protein D [[Clostridium] spiroforme] 
gi|490747176|ref|WP_004609484.1|	stage II sporulation protein [[Clostridium] spiroforme] 
gi|490747177|ref|WP_004609485.1|	MULTISPECIES: rod shape-determining protein MreB [Firmicutes] 
gi|490747178|ref|WP_004609486.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747179|ref|WP_004609487.1|	glycosyltransferase [[Clostridium] spiroforme] 
gi|490747180|ref|WP_004609488.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747181|ref|WP_004609489.1|	preprotein translocase subunit SecG [[Clostridium] spiroforme] 
gi|490747182|ref|WP_004609490.1|	ribonuclease R [[Clostridium] spiroforme] 
gi|490747183|ref|WP_004609491.1|	single-stranded DNA-binding protein [[Clostridium] spiroforme] 
gi|490747184|ref|WP_004609492.1|	membrane protein [[Clostridium] spiroforme] 
gi|490747185|ref|WP_004609493.1|	MarR family transcripitonal regulator [[Clostridium] spiroforme] 
gi|490747186|ref|WP_004609494.1|	multidrug transporter MatE [[Clostridium] spiroforme] 
gi|490747187|ref|WP_004609495.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747188|ref|WP_004609496.1|	PTS system fructose-like transporter subunit EIIB [[Clostridium] spiroforme] 
gi|490747189|ref|WP_004609497.1|	PTS fructose transporter subunit IIC [[Clostridium] spiroforme] 
gi|490747190|ref|WP_004609498.1|	PTS fructose transporter subunit IIABC [[Clostridium] spiroforme] 
gi|490747191|ref|WP_004609499.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747192|ref|WP_004609500.1|	PTS mannose transporter subunit IIAB [[Clostridium] spiroforme] 
gi|490747193|ref|WP_004609501.1|	PTS alpha-glucoside transporter subunit IIBC [[Clostridium] spiroforme] 
gi|490747194|ref|WP_004609502.1|	PTS mannose transporter subunit IID [[Clostridium] spiroforme] 
gi|490747195|ref|WP_004609503.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747196|ref|WP_004609504.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747197|ref|WP_004609505.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747198|ref|WP_004609506.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746634|ref|WP_004608942.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746633|ref|WP_004608941.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747199|ref|WP_004609507.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747200|ref|WP_004609508.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747201|ref|WP_004609509.1|	glutamine synthetase [[Clostridium] spiroforme] 
gi|490747202|ref|WP_004609510.1|	asparagine synthase [[Clostridium] spiroforme] 
gi|490747203|ref|WP_004609511.1|	glutamate synthase [[Clostridium] spiroforme] 
gi|490747204|ref|WP_004609512.1|	glutamate synthase subunit beta [[Clostridium] spiroforme] 
gi|490747205|ref|WP_004609513.1|	DNA methylase [[Clostridium] spiroforme] 
gi|490747206|ref|WP_004609514.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747207|ref|WP_004609515.1|	ABC transporter [[Clostridium] spiroforme] 
gi|490747208|ref|WP_004609516.1|	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase [[Clostridium] spiroforme] 
gi|490747209|ref|WP_004609517.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747210|ref|WP_004609518.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747211|ref|WP_004609519.1|	ribose ABC transporter substrate-binding protein [[Clostridium] spiroforme] 
gi|490747212|ref|WP_004609520.1|	histidine kinase [[Clostridium] spiroforme] 
gi|490747213|ref|WP_004609521.1|	LuxR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747214|ref|WP_004609522.1|	sugar ABC transporter substrate-binding protein [[Clostridium] spiroforme] 
gi|490747215|ref|WP_004609523.1|	PTS fructose transporter subunit IIA [[Clostridium] spiroforme] 
gi|490747216|ref|WP_004609524.1|	PTS fructose transporter subunit IIB [[Clostridium] spiroforme] 
gi|490747217|ref|WP_004609525.1|	PTS sorbose transporter subunit IIC [[Clostridium] spiroforme] 
gi|490747218|ref|WP_004609526.1|	PTS fructose transporter subunit IID [[Clostridium] spiroforme] 
gi|490747219|ref|WP_004609527.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747220|ref|WP_004609528.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747221|ref|WP_004609529.1|	mannose-6-phosphate isomerase [[Clostridium] spiroforme] 
gi|490747222|ref|WP_004609530.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747223|ref|WP_004609531.1|	transporter [[Clostridium] spiroforme] 
gi|490747224|ref|WP_004609532.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747225|ref|WP_004609533.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747226|ref|WP_004609534.1|	ATPase [[Clostridium] spiroforme] 
gi|490747227|ref|WP_004609535.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747228|ref|WP_004609536.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747229|ref|WP_004609537.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747230|ref|WP_004609538.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747231|ref|WP_004609539.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747232|ref|WP_004609540.1|	transposase [[Clostridium] spiroforme] 
gi|490747233|ref|WP_004609541.1|	reverse transcriptase [[Clostridium] spiroforme] 
gi|490747234|ref|WP_004609542.1|	rRNA methyltransferase [[Clostridium] spiroforme] 
gi|490747235|ref|WP_004609543.1|	dethiobiotin synthase [[Clostridium] spiroforme] 
gi|490747236|ref|WP_004609544.1|	biotin synthase [[Clostridium] spiroforme] 
gi|490747237|ref|WP_004609545.1|	integrase [[Clostridium] spiroforme] 
gi|490747238|ref|WP_004609546.1|	transcriptional regulator [[Clostridium] spiroforme] 
gi|490747239|ref|WP_004609547.1|	GntR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747240|ref|WP_004609548.1|	multidrug ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490747241|ref|WP_004609549.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747242|ref|WP_004609550.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747243|ref|WP_004609551.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747244|ref|WP_004609552.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747245|ref|WP_004609553.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747246|ref|WP_004609554.1|	magnesium transporter [[Clostridium] spiroforme] 
gi|490747247|ref|WP_004609555.1|	multidrug transporter MatE [[Clostridium] spiroforme] 
gi|490747248|ref|WP_004609556.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747249|ref|WP_004609557.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747250|ref|WP_004609558.1|	peptide ABC transporter substrate-binding protein [[Clostridium] spiroforme] 
gi|490747251|ref|WP_004609559.1|	ABC transporter permease [[Clostridium] spiroforme] 
gi|490747252|ref|WP_004609560.1|	ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490747253|ref|WP_004609561.1|	multidrug transporter MatE [[Clostridium] spiroforme] 
gi|490747254|ref|WP_004609562.1|	peroxiredoxin [[Clostridium] spiroforme] 
gi|490747255|ref|WP_004609563.1|	hydrolase [[Clostridium] spiroforme] 
gi|490747256|ref|WP_004609564.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747257|ref|WP_004609565.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747258|ref|WP_004609566.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747259|ref|WP_004609567.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747260|ref|WP_004609568.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747261|ref|WP_004609569.1|	glycosyl transferase family 1 [[Clostridium] spiroforme] 
gi|490747262|ref|WP_004609570.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747263|ref|WP_004609571.1|	ATPase [[Clostridium] spiroforme] 
gi|490747264|ref|WP_004609572.1|	ATPase [[Clostridium] spiroforme] 
gi|490747265|ref|WP_004609573.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747266|ref|WP_004609574.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747267|ref|WP_004609575.1|	molecular chaperone GroES [[Clostridium] spiroforme] 
gi|490747268|ref|WP_004609576.1|	molecular chaperone GroEL [[Clostridium] spiroforme] 
gi|490747269|ref|WP_004609577.1|	NAD synthetase [[Clostridium] spiroforme] 
gi|490747270|ref|WP_004609578.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747271|ref|WP_004609579.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747272|ref|WP_004609580.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747273|ref|WP_004609581.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747274|ref|WP_004609582.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747275|ref|WP_004609583.1|	shikimate 5-dehydrogenase [[Clostridium] spiroforme] 
gi|490747276|ref|WP_004609584.1|	nucleoside-triphosphate diphosphatase [[Clostridium] spiroforme] 
gi|490747277|ref|WP_004609585.1|	RNA methyltransferase [[Clostridium] spiroforme] 
gi|490747278|ref|WP_004609586.1|	membrane protein [[Clostridium] spiroforme] 
gi|490747279|ref|WP_004609587.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747280|ref|WP_004609588.1|	alanine acetyltransferase [[Clostridium] spiroforme] 
gi|490747281|ref|WP_004609589.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747282|ref|WP_004609590.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747283|ref|WP_004609591.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747284|ref|WP_004609592.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747285|ref|WP_004609593.1|	HAD family hydrolase [[Clostridium] spiroforme] 
gi|490747286|ref|WP_004609594.1|	ADP-ribose pyrophosphatase [[Clostridium] spiroforme] 
gi|490747287|ref|WP_004609595.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747288|ref|WP_004609596.1|	rubrerythrin [[Clostridium] spiroforme] 
gi|490747289|ref|WP_004609597.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747290|ref|WP_004609598.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747291|ref|WP_004609599.1|	GTP-binding protein [[Clostridium] spiroforme] 
gi|490747292|ref|WP_004609600.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747293|ref|WP_004609601.1|	ornithine carbamoyltransferase [[Clostridium] spiroforme] 
gi|490747294|ref|WP_004609602.1|	serine/threonine protein kinase [[Clostridium] spiroforme] 
gi|490747295|ref|WP_004609603.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747296|ref|WP_004609604.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747297|ref|WP_004609605.1|	histidine kinase [[Clostridium] spiroforme] 
gi|490747298|ref|WP_004609606.1|	PhoB family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747299|ref|WP_004609607.1|	argininosuccinate lyase [[Clostridium] spiroforme] 
gi|490747300|ref|WP_004609608.1|	argininosuccinate synthase [[Clostridium] spiroforme] 
gi|490747301|ref|WP_004609609.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747302|ref|WP_004609610.1|	ABC transporter [[Clostridium] spiroforme] 
gi|490747303|ref|WP_004609611.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747304|ref|WP_004609612.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747305|ref|WP_004609613.1|	N-acetyl-gamma-glutamyl-phosphate reductase [[Clostridium] spiroforme] 
gi|490747306|ref|WP_004609614.1|	ornithine acetyltransferase [[Clostridium] spiroforme] 
gi|490747307|ref|WP_004609615.1|	acetylglutamate kinase [[Clostridium] spiroforme] 
gi|490747308|ref|WP_004609616.1|	phosphoesterase [[Clostridium] spiroforme] 
gi|490747309|ref|WP_004609617.1|	beta-lactamase [[Clostridium] spiroforme] 
gi|490747310|ref|WP_004609618.1|	dihydroxyacetone kinase [[Clostridium] spiroforme] 
gi|490747311|ref|WP_004609619.1|	transcriptional regulator [[Clostridium] spiroforme] 
gi|490747312|ref|WP_004609620.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747313|ref|WP_004609621.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747314|ref|WP_004609622.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747315|ref|WP_004609623.1|	thioredoxin [[Clostridium] spiroforme] 
gi|490747316|ref|WP_004609624.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747317|ref|WP_004609625.1|	multidrug transporter MatE [[Clostridium] spiroforme] 
gi|490747318|ref|WP_004609626.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747319|ref|WP_004609627.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747320|ref|WP_004609628.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747321|ref|WP_004609629.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747322|ref|WP_004609630.1|	arginase [[Clostridium] spiroforme] 
gi|490747323|ref|WP_004609631.1|	ABC transporter [[Clostridium] spiroforme] 
gi|490747324|ref|WP_004609632.1|	ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490747325|ref|WP_004609633.1|	MerR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747326|ref|WP_004609634.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747327|ref|WP_004609635.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747328|ref|WP_004609636.1|	AsnC family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747329|ref|WP_004609637.1|	multidrug transporter MatE [[Clostridium] spiroforme] 
gi|490747330|ref|WP_004609638.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747331|ref|WP_004609639.1|	esterase [[Clostridium] spiroforme] 
gi|490747332|ref|WP_004609640.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747333|ref|WP_004609641.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747334|ref|WP_004609642.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747335|ref|WP_004609643.1|	membrane protein [[Clostridium] spiroforme] 
gi|490747336|ref|WP_004609644.1|	phosphohydrolase [[Clostridium] spiroforme] 
gi|490747337|ref|WP_004609645.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747338|ref|WP_004609646.1|	membrane protein [[Clostridium] spiroforme] 
gi|490747339|ref|WP_004609647.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747340|ref|WP_004609648.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747341|ref|WP_004609649.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747342|ref|WP_004609650.1|	CRISPR-associated protein Cas2 [[Clostridium] spiroforme] 
gi|490747343|ref|WP_004609651.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747344|ref|WP_004609652.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747345|ref|WP_004609653.1|	aspartate kinase [[Clostridium] spiroforme] 
gi|490747346|ref|WP_004609654.1|	membrane protein [[Clostridium] spiroforme] 
gi|490747347|ref|WP_004609655.1|	membrane protein [[Clostridium] spiroforme] 
gi|490747348|ref|WP_004609656.1|	pyrrolidone-carboxylate peptidase [[Clostridium] spiroforme] 
gi|490747349|ref|WP_004609657.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747350|ref|WP_004609658.1|	glucanase [[Clostridium] spiroforme] 
gi|490747351|ref|WP_004609659.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747352|ref|WP_004609660.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746582|ref|WP_004608890.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747353|ref|WP_004609661.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747354|ref|WP_004609662.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747355|ref|WP_004609663.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747356|ref|WP_004609664.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747357|ref|WP_004609665.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747358|ref|WP_004609666.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747359|ref|WP_004609667.1|	XRE family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747360|ref|WP_004609668.1|	histidine kinase [[Clostridium] spiroforme] 
gi|490747361|ref|WP_004609669.1|	multidrug ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490747362|ref|WP_004609670.1|	ABC transporter [[Clostridium] spiroforme] 
gi|490747363|ref|WP_004609671.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747364|ref|WP_004609672.1|	GTP-binding protein [[Clostridium] spiroforme] 
gi|490747365|ref|WP_004609673.1|	hypothetical protein partial [[Clostridium] spiroforme] 
gi|490747366|ref|WP_004609674.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747367|ref|WP_004609675.1|	transposase [[Clostridium] spiroforme] 
gi|490747368|ref|WP_004609676.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747369|ref|WP_004609677.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747370|ref|WP_004609678.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747371|ref|WP_004609679.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747372|ref|WP_004609680.1|	formate--tetrahydrofolate ligase [[Clostridium] spiroforme] 
gi|490747373|ref|WP_004609681.1|	N5-carboxyaminoimidazole ribonucleotide mutase [[Clostridium] spiroforme] 
gi|490747374|ref|WP_004609682.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [[Clostridium] spiroforme] 
gi|490747375|ref|WP_004609683.1|	phosphoribosylaminoimidazole synthetase [[Clostridium] spiroforme] 
gi|490747376|ref|WP_004609684.1|	phosphoribosylglycinamide formyltransferase [[Clostridium] spiroforme] 
gi|490747377|ref|WP_004609685.1|	phosphoribosylaminoimidazolecarboxamide formyltransferase [[Clostridium] spiroforme] 
gi|490747378|ref|WP_004609686.1|	phosphoribosylamine--glycine ligase [[Clostridium] spiroforme] 
gi|490747379|ref|WP_004609687.1|	phosphoribosylformylglycinamidine synthase [[Clostridium] spiroforme] 
