gi|491494228|ref|WP_005351951.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498526|ref|WP_005356230.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498528|ref|WP_005356232.1|	aspartate aminotransferase [[Eubacterium] siraeum] 
gi|491498530|ref|WP_005356234.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498532|ref|WP_005356236.1|	XRE family transcriptional regulator [[Eubacterium] siraeum] 
gi|491498533|ref|WP_005356237.1|	toxin RelE [[Eubacterium] siraeum] 
gi|491498535|ref|WP_005356239.1|	2-hydroxyglutaryl-CoA dehydratase [[Eubacterium] siraeum] 
gi|491498537|ref|WP_005356241.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498539|ref|WP_005356243.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498542|ref|WP_005356246.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498551|ref|WP_005356255.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498555|ref|WP_005356259.1|	HrcA family transcriptional regulator [[Eubacterium] siraeum] 
gi|491498558|ref|WP_005356262.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498562|ref|WP_005356266.1|	molecular chaperone DnaK [[Eubacterium] siraeum] 
gi|491498565|ref|WP_005356269.1|	MULTISPECIES: molecular chaperone DnaJ [Clostridiales] 
gi|491498567|ref|WP_005356271.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498570|ref|WP_005356274.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498572|ref|WP_005356276.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498573|ref|WP_005356277.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498578|ref|WP_005356282.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498576|ref|WP_005356280.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498579|ref|WP_005356283.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498582|ref|WP_005356286.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498583|ref|WP_005356287.1|	exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase [[Eubacterium] siraeum] 
gi|491498584|ref|WP_005356288.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498585|ref|WP_005356289.1|	MULTISPECIES: gamma-glutamyl kinase [Clostridiales] 
gi|491498586|ref|WP_005356290.1|	gamma-glutamyl phosphate reductase [[Eubacterium] siraeum] 
gi|491498587|ref|WP_005356291.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498588|ref|WP_005356292.1|	sodium:solute symporter [[Eubacterium] siraeum] 
gi|491498589|ref|WP_005356293.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498601|ref|WP_005356305.1|	iron transporter FeoB [[Eubacterium] siraeum] 
gi|491498608|ref|WP_005356312.1|	MULTISPECIES: iron transporter FeoA [Clostridiales] 
gi|491498609|ref|WP_005356313.1|	MULTISPECIES: iron transporter FeoA [Clostridiales] 
gi|491498611|ref|WP_005356315.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498613|ref|WP_005356317.1|	glycosidase [[Eubacterium] siraeum] 
gi|491498615|ref|WP_005356319.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498623|ref|WP_005356326.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498625|ref|WP_005356328.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498624|ref|WP_005356327.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498626|ref|WP_005356329.1|	phosphate ABC transporter permease [[Eubacterium] siraeum] 
gi|491498629|ref|WP_005356332.1|	phosphate ABC transporter permease [[Eubacterium] siraeum] 
gi|491498631|ref|WP_005356334.1|	phosphate ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491498633|ref|WP_005356336.1|	MULTISPECIES: PhoU family transcriptional regulator [Clostridiales] 
gi|491498635|ref|WP_005356338.1|	ArsR family transcriptional regulator [[Eubacterium] siraeum] 
gi|491498638|ref|WP_005356341.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498640|ref|WP_005356343.1|	serine O-acetyltransferase [[Eubacterium] siraeum] 
gi|491498642|ref|WP_005356345.1|	cysteinyl-tRNA synthetase [[Eubacterium] siraeum] 
gi|491498651|ref|WP_005356354.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498649|ref|WP_005356352.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498653|ref|WP_005356356.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498663|ref|WP_005356366.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498665|ref|WP_005356368.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498666|ref|WP_005356369.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498667|ref|WP_005356370.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498668|ref|WP_005356371.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498670|ref|WP_005356373.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498671|ref|WP_005356374.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498673|ref|WP_005356376.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498675|ref|WP_005356378.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498676|ref|WP_005356379.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498678|ref|WP_005356381.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498677|ref|WP_005356380.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498680|ref|WP_005356383.1|	dihydropyrimidine dehydrogenase subunit B [[Eubacterium] siraeum] 
gi|491498681|ref|WP_005356384.1|	hydantoinase [[Eubacterium] siraeum] 
gi|491498686|ref|WP_005356389.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498687|ref|WP_005356390.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498688|ref|WP_005356391.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498689|ref|WP_005356392.1|	nitrate ABC transporter substrate-binding protein [[Eubacterium] siraeum] 
gi|491498690|ref|WP_005356393.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498692|ref|WP_005356395.1|	ABC transporter permease [[Eubacterium] siraeum] 
gi|491498695|ref|WP_005356398.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498697|ref|WP_005356400.1|	sulfonate ABC transporter ATP-binding lipoprotein [[Eubacterium] siraeum] 
gi|491498699|ref|WP_005356402.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498701|ref|WP_005356404.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498704|ref|WP_005356407.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498707|ref|WP_005356410.1|	6-phosphofructokinase [[Eubacterium] siraeum] 
gi|491498709|ref|WP_005356412.1|	MULTISPECIES: growth inhibitor PemK [Clostridiales] 
gi|491498710|ref|WP_005356413.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498712|ref|WP_005356415.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498719|ref|WP_005356422.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498721|ref|WP_005356424.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498723|ref|WP_005356426.1|	ATPase AAA [[Eubacterium] siraeum] 
gi|491498725|ref|WP_005356428.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498726|ref|WP_005356429.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498728|ref|WP_005356431.1|	tryptophan synthase subunit beta [[Eubacterium] siraeum] 
gi|491498730|ref|WP_005356433.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498732|ref|WP_005356435.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498734|ref|WP_005356437.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498736|ref|WP_005356439.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498739|ref|WP_005356442.1|	multidrug transporter MatE [[Eubacterium] siraeum] 
gi|491498741|ref|WP_005356444.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498743|ref|WP_005356446.1|	RNA methyltransferase [[Eubacterium] siraeum] 
gi|491498744|ref|WP_005356447.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498745|ref|WP_005356448.1|	fumarate hydratase [[Eubacterium] siraeum] 
gi|491498746|ref|WP_005356449.1|	amidohydrolase [[Eubacterium] siraeum] 
gi|491498747|ref|WP_005356450.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498748|ref|WP_005356451.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498749|ref|WP_005356452.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498753|ref|WP_005356456.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498755|ref|WP_005356458.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498756|ref|WP_005356459.1|	2-nitropropane dioxygenase [[Eubacterium] siraeum] 
gi|491498759|ref|WP_005356461.1|	3-ketoacyl-ACP reductase [[Eubacterium] siraeum] 
gi|491498760|ref|WP_005356462.1|	3-oxoacyl-ACP synthase [[Eubacterium] siraeum] 
gi|491498761|ref|WP_005356463.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498762|ref|WP_005356464.1|	3-hydroxyacyl-ACP dehydratase [[Eubacterium] siraeum] 
gi|491498764|ref|WP_005356466.1|	acetyl-CoA carboxylase biotin carboxylase subunit [[Eubacterium] siraeum] 
gi|491498765|ref|WP_005356467.1|	acetyl-CoA carboxylase subunit beta [[Eubacterium] siraeum] 
gi|491498766|ref|WP_005356468.1|	acetyl-CoA carboxylase subunit alpha [[Eubacterium] siraeum] 
gi|491498767|ref|WP_005356469.1|	MULTISPECIES: acyl carrier protein [Clostridiales] 
gi|491498768|ref|WP_005356470.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498769|ref|WP_005356471.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498770|ref|WP_005356472.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498772|ref|WP_005356474.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498773|ref|WP_005356475.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498774|ref|WP_005356476.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498775|ref|WP_005356477.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498776|ref|WP_005356478.1|	ribulose-phosphate 3-epimerase [[Eubacterium] siraeum] 
gi|491498777|ref|WP_005356479.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498778|ref|WP_005356480.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498779|ref|WP_005356481.1|	MULTISPECIES: recombinase RecR [Clostridiales] 
gi|491498780|ref|WP_005356482.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498783|ref|WP_005356485.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498785|ref|WP_005356487.1|	allantoate amidohydrolase [[Eubacterium] siraeum] 
gi|491498786|ref|WP_005356488.1|	cysteine synthase [[Eubacterium] siraeum] 
gi|491498788|ref|WP_005356490.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498790|ref|WP_005356492.1|	glutamine amidotransferase [[Eubacterium] siraeum] 
gi|491498792|ref|WP_005356494.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498794|ref|WP_005356496.1|	pyridoxal biosynthesis lyase [[Eubacterium] siraeum] 
gi|491498796|ref|WP_005356498.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498797|ref|WP_005356499.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498798|ref|WP_005356500.1|	ATPase [[Eubacterium] siraeum] 
gi|491498800|ref|WP_005356502.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498802|ref|WP_005356504.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498803|ref|WP_005356505.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498805|ref|WP_005356507.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498806|ref|WP_005356508.1|	glycosyl transferase [[Eubacterium] siraeum] 
gi|491498807|ref|WP_005356509.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498808|ref|WP_005356510.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498809|ref|WP_005356511.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498810|ref|WP_005356512.1|	glutamyl-tRNA synthetase [[Eubacterium] siraeum] 
gi|491498811|ref|WP_005356513.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498812|ref|WP_005356514.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498814|ref|WP_005356516.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498816|ref|WP_005356518.1|	chemotaxis protein CheD [[Eubacterium] siraeum] 
gi|491498817|ref|WP_005356519.1|	chemotaxis protein CheY [[Eubacterium] siraeum] 
gi|491498818|ref|WP_005356520.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498819|ref|WP_005356521.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498820|ref|WP_005356522.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498826|ref|WP_005356528.1|	flagellar biosynthesis protein FlhA [[Eubacterium] siraeum] 
gi|491498827|ref|WP_005356529.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498829|ref|WP_005356531.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498831|ref|WP_005356533.1|	flagellar biosynthesis protein FliQ [[Eubacterium] siraeum] 
gi|491498833|ref|WP_005356535.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498835|ref|WP_005356537.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498837|ref|WP_005356539.1|	chemotaxis protein CheY [[Eubacterium] siraeum] 
gi|491498847|ref|WP_005356549.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498851|ref|WP_005356553.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498854|ref|WP_005356556.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498856|ref|WP_005356558.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498859|ref|WP_005356561.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498862|ref|WP_005356564.1|	MULTISPECIES: flagellar protein FlbD [Clostridiales] 
gi|491498865|ref|WP_005356567.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498868|ref|WP_005356570.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498871|ref|WP_005356573.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498875|ref|WP_005356577.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498878|ref|WP_005356580.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498881|ref|WP_005356583.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498883|ref|WP_005356585.1|	ATP synthase [[Eubacterium] siraeum] 
gi|491498884|ref|WP_005356586.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498886|ref|WP_005356588.1|	flagellar motor switch protein FliG [[Eubacterium] siraeum] 
gi|491498889|ref|WP_005356591.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498891|ref|WP_005356593.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498893|ref|WP_005356595.1|	flagellar basal body rod protein FlgC [[Eubacterium] siraeum] 
gi|491498897|ref|WP_005356599.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498899|ref|WP_005356601.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498902|ref|WP_005356604.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498905|ref|WP_005356607.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498908|ref|WP_005356610.1|	MULTISPECIES: chromosome partitioning protein ParA [Clostridiales] 
gi|491498911|ref|WP_005356613.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498916|ref|WP_005356618.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498918|ref|WP_005356620.1|	hypothetical protein partial [[Eubacterium] siraeum] 
gi|491498938|ref|WP_005356639.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498939|ref|WP_005356640.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498941|ref|WP_005356642.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498942|ref|WP_005356643.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498943|ref|WP_005356644.1|	transcriptional regulator [[Eubacterium] siraeum] 
gi|491498947|ref|WP_005356648.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498948|ref|WP_005356649.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498949|ref|WP_005356650.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498950|ref|WP_005356651.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498951|ref|WP_005356652.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498952|ref|WP_005356653.1|	GTP-binding protein LepA [[Eubacterium] siraeum] 
gi|491498953|ref|WP_005356654.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498954|ref|WP_005356655.1|	glycosyl transferase family 35 [[Eubacterium] siraeum] 
gi|491498956|ref|WP_005356657.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498958|ref|WP_005356659.1|	lactoylglutathione lyase [[Eubacterium] siraeum] 
gi|491498960|ref|WP_005356661.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498961|ref|WP_005356662.1|	homoserine O-succinyltransferase [[Eubacterium] siraeum] 
gi|491498963|ref|WP_005356664.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498965|ref|WP_005356666.1|	maltodextrin glucosidase [[Eubacterium] siraeum] 
gi|491498967|ref|WP_005356668.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498969|ref|WP_005356670.1|	MULTISPECIES: NADH dehydrogenase [Clostridiales] 
gi|491498970|ref|WP_005356671.1|	histidine kinase [[Eubacterium] siraeum] 
gi|491498972|ref|WP_005356673.1|	ferredoxin [[Eubacterium] siraeum] 
gi|491498973|ref|WP_005356674.1|	NADH dehydrogenase [[Eubacterium] siraeum] 
gi|491498975|ref|WP_005356676.1|	ferredoxin [[Eubacterium] siraeum] 
gi|491498977|ref|WP_005356678.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498979|ref|WP_005356680.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498981|ref|WP_005356682.1|	2-isopropylmalate synthase [[Eubacterium] siraeum] 
gi|491498982|ref|WP_005356683.1|	NAD-dependent DNA ligase LigA [[Eubacterium] siraeum] 
gi|491498984|ref|WP_005356685.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498985|ref|WP_005356686.1|	aminopeptidase [[Eubacterium] siraeum] 
gi|491498987|ref|WP_005356688.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498989|ref|WP_005356690.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498990|ref|WP_005356691.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498992|ref|WP_005356693.1|	peptide chain release factor 1 [[Eubacterium] siraeum] 
gi|491498994|ref|WP_005356695.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498996|ref|WP_005356697.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498998|ref|WP_005356699.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499000|ref|WP_005356701.1|	ATP-dependent Clp protease ATP-binding protein [[Eubacterium] siraeum] 
gi|491499001|ref|WP_005356702.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491499004|ref|WP_005356705.1|	MULTISPECIES: GTP-binding protein [Clostridiales] 
gi|491499006|ref|WP_005356707.1|	membrane protein [[Eubacterium] siraeum] 
gi|491499008|ref|WP_005356709.1|	MULTISPECIES: multidrug ABC transporter ATP-binding protein [Clostridiales] 
gi|491499010|ref|WP_005356711.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499012|ref|WP_005356713.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499014|ref|WP_005356715.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499016|ref|WP_005356717.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499019|ref|WP_005356720.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499022|ref|WP_005356723.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499024|ref|WP_005356725.1|	stage III sporulation protein D [[Eubacterium] siraeum] 
gi|491499026|ref|WP_005356727.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499028|ref|WP_005356729.1|	nitroreductase [[Eubacterium] siraeum] 
gi|491499030|ref|WP_005356731.1|	GCN5 family acetyltransferase [[Eubacterium] siraeum] 
gi|491499032|ref|WP_005356733.1|	endoglucanase [[Eubacterium] siraeum] 
gi|491499034|ref|WP_005356735.1|	nicotinate phosphoribosyltransferase [[Eubacterium] siraeum] 
gi|491499036|ref|WP_005356737.1|	isochorismatase [[Eubacterium] siraeum] 
gi|491499037|ref|WP_005356738.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499040|ref|WP_005356741.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499042|ref|WP_005356743.1|	hypothetical protein [[Eubacterium] siraeum] 
