gi|493550569|ref|WP_006504245.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551700|ref|WP_006505343.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493551701|ref|WP_006505344.1|	6-phospho-beta-glucosidase [Catenibacterium mitsuokai] 
gi|493551703|ref|WP_006505346.1|	purine nucleoside phosphorylase [Catenibacterium mitsuokai] 
gi|493551702|ref|WP_006505345.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551704|ref|WP_006505347.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551705|ref|WP_006505348.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551706|ref|WP_006505349.1|	arginyl-tRNA synthetase [Catenibacterium mitsuokai] 
gi|493551707|ref|WP_006505350.1|	DNA-directed RNA polymerase [Catenibacterium mitsuokai] 
gi|493551708|ref|WP_006505351.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551709|ref|WP_006505352.1|	glyceraldehyde-3-phosphate dehydrogenase [Catenibacterium mitsuokai] 
gi|493551710|ref|WP_006505353.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551711|ref|WP_006505354.1|	excinuclease ABC subunit B [Catenibacterium mitsuokai] 
gi|493551712|ref|WP_006505355.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551713|ref|WP_006505356.1|	excinuclease ABC subunit A [Catenibacterium mitsuokai] 
gi|493551714|ref|WP_006505357.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551715|ref|WP_006505358.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551716|ref|WP_006505359.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551717|ref|WP_006505360.1|	short-chain dehydrogenase [Catenibacterium mitsuokai] 
gi|493551718|ref|WP_006505361.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551719|ref|WP_006505362.1|	MULTISPECIES: purine biosynthesis protein PurH [Catenibacterium] 
gi|493551720|ref|WP_006505363.1|	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Catenibacterium mitsuokai] 
gi|493551721|ref|WP_006505364.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551722|ref|WP_006505365.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551724|ref|WP_006505366.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551725|ref|WP_006505367.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551726|ref|WP_006505368.1|	tRNA-dihydrouridine synthase [Catenibacterium mitsuokai] 
gi|493551727|ref|WP_006505369.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551728|ref|WP_006505370.1|	radical SAM protein [Catenibacterium mitsuokai] 
gi|493551729|ref|WP_006505371.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551730|ref|WP_006505372.1|	PTS cellobiose transporter subunit IIC [Catenibacterium mitsuokai] 
gi|493551731|ref|WP_006505373.1|	6-phospho-beta-glucosidase [Catenibacterium mitsuokai] 
gi|493551732|ref|WP_006505374.1|	ROK family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493551733|ref|WP_006505375.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551734|ref|WP_006505376.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551735|ref|WP_006505377.1|	membrane protein [Catenibacterium mitsuokai] 
gi|493551736|ref|WP_006505378.1|	lysyl-tRNA synthetase [Catenibacterium mitsuokai] 
gi|493551737|ref|WP_006505379.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551738|ref|WP_006505380.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551739|ref|WP_006505381.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551740|ref|WP_006505382.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551741|ref|WP_006505383.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551742|ref|WP_006505384.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551743|ref|WP_006505385.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551744|ref|WP_006505386.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551745|ref|WP_006505387.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551746|ref|WP_006505388.1|	ATPase [Catenibacterium mitsuokai] 
gi|493551747|ref|WP_006505389.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551748|ref|WP_006505390.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551749|ref|WP_006505391.1|	16S rRNA methyltransferase [Catenibacterium mitsuokai] 
gi|493551750|ref|WP_006505392.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551751|ref|WP_006505393.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551752|ref|WP_006505394.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551753|ref|WP_006505395.1|	PTS lactose transporter subunit IIC [Catenibacterium mitsuokai] 
gi|493551754|ref|WP_006505396.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551755|ref|WP_006505397.1|	PTS sorbose transporter subunit IIB [Catenibacterium mitsuokai] 
gi|493551756|ref|WP_006505398.1|	PTS N-acetylgalactosamine transporter subunit IIA [Catenibacterium mitsuokai] 
gi|493551757|ref|WP_006505399.1|	PTS N-acetylglucosamine transporter subunit IIABC [Catenibacterium mitsuokai] 
gi|493551758|ref|WP_006505400.1|	PTS fructose transporter subunit IIA [Catenibacterium mitsuokai] 
gi|493551759|ref|WP_006505401.1|	trehalose-6-phosphate hydrolase [Catenibacterium mitsuokai] 
gi|493551760|ref|WP_006505402.1|	transcriptional regulator [Catenibacterium mitsuokai] 
gi|493551761|ref|WP_006505403.1|	ATPase [Catenibacterium mitsuokai] 
gi|493551762|ref|WP_006505404.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551763|ref|WP_006505405.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551764|ref|WP_006505406.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551765|ref|WP_006505407.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551766|ref|WP_006505408.1|	PTS sugar transporter subunit IIBC [Catenibacterium mitsuokai] 
gi|493551767|ref|WP_006505409.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551768|ref|WP_006505410.1|	4-alpha-glucanotransferase [Catenibacterium mitsuokai] 
gi|493551769|ref|WP_006505411.1|	maltodextrin phosphorylase [Catenibacterium mitsuokai] 
gi|493551770|ref|WP_006505412.1|	SAM-dependent methyltransferase [Catenibacterium mitsuokai] 
gi|493551771|ref|WP_006505413.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551772|ref|WP_006505414.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551773|ref|WP_006505415.1|	transcriptional regulator [Catenibacterium mitsuokai] 
gi|493551774|ref|WP_006505416.1|	deoxyribose-phosphate aldolase [Catenibacterium mitsuokai] 
gi|493551775|ref|WP_006505417.1|	transcriptional regulator [Catenibacterium mitsuokai] 
gi|493551776|ref|WP_006505418.1|	sucrose-6-phosphate hydrolase [Catenibacterium mitsuokai] 
gi|493551777|ref|WP_006505419.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551778|ref|WP_006505420.1|	twitching moltility protein PilT [Catenibacterium mitsuokai] 
gi|493551779|ref|WP_006505421.1|	4Fe-4S ferredoxin [Catenibacterium mitsuokai] 
gi|493551780|ref|WP_006505422.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551781|ref|WP_006505423.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551782|ref|WP_006505424.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551783|ref|WP_006505425.1|	PTS beta-glucoside transporter subunit IIABC [Catenibacterium mitsuokai] 
gi|493551784|ref|WP_006505426.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551785|ref|WP_006505427.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551786|ref|WP_006505428.1|	3-methyladenine DNA glycosylase [Catenibacterium mitsuokai] 
gi|493551787|ref|WP_006505429.1|	RNA methyltransferase [Catenibacterium mitsuokai] 
gi|493551788|ref|WP_006505430.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551789|ref|WP_006505431.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551790|ref|WP_006505432.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551791|ref|WP_006505433.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551792|ref|WP_006505434.1|	rRNA methyltransferase [Catenibacterium mitsuokai] 
gi|493551793|ref|WP_006505435.1|	hydrolase [Catenibacterium mitsuokai] 
gi|493551794|ref|WP_006505436.1|	transcriptional regulator [Catenibacterium mitsuokai] 
gi|493551795|ref|WP_006505437.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551796|ref|WP_006505438.1|	glucanase [Catenibacterium mitsuokai] 
gi|493551797|ref|WP_006505439.1|	MULTISPECIES: cold-shock protein [Catenibacterium] 
gi|493551798|ref|WP_006505440.1|	peptidase M29 [Catenibacterium mitsuokai] 
gi|493551799|ref|WP_006505441.1|	MULTISPECIES: peptide chain release factor 3 [Catenibacterium] 
gi|493551800|ref|WP_006505442.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551801|ref|WP_006505443.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551802|ref|WP_006505444.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551803|ref|WP_006505445.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551804|ref|WP_006505446.1|	MULTISPECIES: translation initiation factor IF-3 [Catenibacterium] 
gi|493551805|ref|WP_006505447.1|	MULTISPECIES: 50S ribosomal protein L35 [Catenibacterium] 
gi|493551806|ref|WP_006505448.1|	MULTISPECIES: 50S ribosomal protein L20 [Catenibacterium] 
gi|493551807|ref|WP_006505449.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551808|ref|WP_006505450.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551809|ref|WP_006505451.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551810|ref|WP_006505452.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551811|ref|WP_006505453.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551812|ref|WP_006505454.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551813|ref|WP_006505455.1|	bacitracin ABC transporter ATP-binding protein [Catenibacterium mitsuokai] 
gi|493551814|ref|WP_006505456.1|	phospholipase [Catenibacterium mitsuokai] 
gi|493551815|ref|WP_006505457.1|	amidotransferase [Catenibacterium mitsuokai] 
gi|493551816|ref|WP_006505458.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551817|ref|WP_006505459.1|	rRNA methyltransferase [Catenibacterium mitsuokai] 
gi|493551818|ref|WP_006505460.1|	acylphosphatase [Catenibacterium mitsuokai] 
gi|493551819|ref|WP_006505461.1|	diacylglycerol kinase [Catenibacterium mitsuokai] 
gi|493551820|ref|WP_006505462.1|	diaminopimelate aminotransferase [Catenibacterium mitsuokai] 
gi|493551821|ref|WP_006505463.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551823|ref|WP_006505464.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551824|ref|WP_006505465.1|	phenylalanyl-tRNA synthase subunit alpha [Catenibacterium mitsuokai] 
gi|493551825|ref|WP_006505466.1|	phenylalanyl-tRNA synthetase [Catenibacterium mitsuokai] 
gi|493551826|ref|WP_006505467.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551827|ref|WP_006505468.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551828|ref|WP_006505469.1|	MULTISPECIES: hypothetical protein [Catenibacterium] 
gi|493551829|ref|WP_006505470.1|	membrane protein [Catenibacterium mitsuokai] 
gi|493551830|ref|WP_006505471.1|	cell division protein DivIVA [Catenibacterium mitsuokai] 
gi|493551831|ref|WP_006505472.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551832|ref|WP_006505473.1|	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Catenibacterium mitsuokai] 
gi|493551833|ref|WP_006505474.1|	damage-inducible protein CinA [Catenibacterium mitsuokai] 
gi|493551834|ref|WP_006505475.1|	protein RecA [Catenibacterium mitsuokai] 
gi|493551835|ref|WP_006505476.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551836|ref|WP_006505477.1|	ribonuclease [Catenibacterium mitsuokai] 
gi|493551837|ref|WP_006505478.1|	metallophosphoesterase [Catenibacterium mitsuokai] 
gi|493551838|ref|WP_006505479.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551839|ref|WP_006505480.1|	transporter [Catenibacterium mitsuokai] 
gi|493551840|ref|WP_006505481.1|	(dimethylallyl)adenosine tRNA methylthiotransferase [Catenibacterium mitsuokai] 
gi|493551841|ref|WP_006505482.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551842|ref|WP_006505483.1|	inosine 5'-monophosphate dehydrogenase [Catenibacterium mitsuokai] 
gi|493551843|ref|WP_006505484.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551844|ref|WP_006505485.1|	DNA mismatch repair protein MutS [Catenibacterium mitsuokai] 
gi|493551845|ref|WP_006505486.1|	DNA mismatch repair protein MutL [Catenibacterium mitsuokai] 
gi|493551846|ref|WP_006505487.1|	tRNA delta(2)-isopentenylpyrophosphate transferase [Catenibacterium mitsuokai] 
gi|493551847|ref|WP_006505488.1|	recombinase RarA [Catenibacterium mitsuokai] 
gi|493551848|ref|WP_006505489.1|	D-tyrosyl-tRNA(Tyr) deacylase [Catenibacterium mitsuokai] 
gi|493551849|ref|WP_006505490.1|	ABC transporter [Catenibacterium mitsuokai] 
gi|493551850|ref|WP_006505491.1|	ABC transporter [Catenibacterium mitsuokai] 
gi|493551851|ref|WP_006505492.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551852|ref|WP_006505493.1|	aspartate carbamoyltransferase [Catenibacterium mitsuokai] 
gi|493551853|ref|WP_006505494.1|	aspartate carbamoyltransferase [Catenibacterium mitsuokai] 
gi|493551854|ref|WP_006505495.1|	maltose O-acetyltransferase [Catenibacterium mitsuokai] 
gi|493551855|ref|WP_006505496.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551856|ref|WP_006505497.1|	hydrolase [Catenibacterium mitsuokai] 
gi|493551857|ref|WP_006505498.1|	pyrimidine-nucleoside phosphorylase [Catenibacterium mitsuokai] 
gi|493551858|ref|WP_006505499.1|	methionyl-tRNA formyltransferase [Catenibacterium mitsuokai] 
gi|493551859|ref|WP_006505500.1|	30S ribosomal protein S20 [Catenibacterium mitsuokai] 
gi|493551860|ref|WP_006505501.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [Catenibacterium mitsuokai] 
gi|493551861|ref|WP_006505502.1|	ATPase AAA [Catenibacterium mitsuokai] 
gi|493551862|ref|WP_006505503.1|	endonuclease IV [Catenibacterium mitsuokai] 
gi|493551863|ref|WP_006505504.1|	DEAD/DEAH box helicase [Catenibacterium mitsuokai] 
gi|493551864|ref|WP_006505505.1|	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Catenibacterium mitsuokai] 
gi|493551865|ref|WP_006505506.1|	COF family hydrolase [Catenibacterium mitsuokai] 
gi|493551866|ref|WP_006505507.1|	NUDIX hydrolase [Catenibacterium mitsuokai] 
gi|493551867|ref|WP_006505508.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551868|ref|WP_006505509.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551869|ref|WP_006505510.1|	RNA polymerase subunit sigma [Catenibacterium mitsuokai] 
gi|493551870|ref|WP_006505511.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551871|ref|WP_006505512.1|	glycyl-tRNA synthetase [Catenibacterium mitsuokai] 
gi|493551872|ref|WP_006505513.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551873|ref|WP_006505514.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551874|ref|WP_006505515.1|	GTPase Era [Catenibacterium mitsuokai] 
gi|493551875|ref|WP_006505516.1|	cytidine deaminase [Catenibacterium mitsuokai] 
gi|493551876|ref|WP_006505517.1|	rRNA maturation factor [Catenibacterium mitsuokai] 
gi|493551877|ref|WP_006505518.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551878|ref|WP_006505519.1|	acetylornithine aminotransferase [Catenibacterium mitsuokai] 
gi|493551879|ref|WP_006505520.1|	amidohydrolase [Catenibacterium mitsuokai] 
gi|493551880|ref|WP_006505521.1|	MULTISPECIES: 2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase [Catenibacterium] 
gi|493551881|ref|WP_006505522.1|	diaminopimelate epimerase [Catenibacterium mitsuokai] 
gi|493551882|ref|WP_006505523.1|	rubredoxin [Catenibacterium mitsuokai] 
gi|493551883|ref|WP_006505524.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551884|ref|WP_006505525.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551885|ref|WP_006505526.1|	iron transporter FeoB [Catenibacterium mitsuokai] 
gi|493551887|ref|WP_006505527.1|	iron transporter FeoA [Catenibacterium mitsuokai] 
gi|493551888|ref|WP_006505528.1|	MULTISPECIES: iron transporter FeoA [Catenibacterium] 
gi|493551889|ref|WP_006505529.1|	DtxR family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493551890|ref|WP_006505530.1|	ATPase [Catenibacterium mitsuokai] 
gi|493551891|ref|WP_006505531.1|	small multi-drug export protein [Catenibacterium mitsuokai] 
gi|493551892|ref|WP_006505532.1|	DNA glycosylase [Catenibacterium mitsuokai] 
gi|493551893|ref|WP_006505533.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551894|ref|WP_006505534.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551895|ref|WP_006505535.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551896|ref|WP_006505536.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551897|ref|WP_006505537.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551900|ref|WP_006505538.1|	iron transporter FeoB [Catenibacterium mitsuokai] 
gi|493551901|ref|WP_006505539.1|	RNA 2'-phosphotransferase [Catenibacterium mitsuokai] 
gi|493551903|ref|WP_006505540.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551904|ref|WP_006505541.1|	nitroreductase [Catenibacterium mitsuokai] 
gi|493551905|ref|WP_006505542.1|	ABC transporter substrate-binding protein [Catenibacterium mitsuokai] 
gi|493551906|ref|WP_006505543.1|	ABC transporter permease [Catenibacterium mitsuokai] 
gi|493551907|ref|WP_006505544.1|	methionine ABC transporter ATP-binding protein [Catenibacterium mitsuokai] 
gi|493551908|ref|WP_006505545.1|	NUDIX hydrolase [Catenibacterium mitsuokai] 
gi|493551909|ref|WP_006505546.1|	NADPH-dependent butanol dehydrogenase [Catenibacterium mitsuokai] 
gi|493551910|ref|WP_006505547.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551911|ref|WP_006505548.1|	Fe-S oxidoreductase [Catenibacterium mitsuokai] 
gi|493551912|ref|WP_006505549.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551913|ref|WP_006505550.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551914|ref|WP_006505551.1|	DNA-binding protein [Catenibacterium mitsuokai] 
gi|493551915|ref|WP_006505552.1|	pyrrolidone-carboxylate peptidase [Catenibacterium mitsuokai] 
gi|493551916|ref|WP_006505553.1|	MULTISPECIES: permease [Catenibacterium] 
gi|493551917|ref|WP_006505554.1|	membrane protein [Catenibacterium mitsuokai] 
gi|493551919|ref|WP_006505555.1|	peptidase [Catenibacterium mitsuokai] 
gi|493551920|ref|WP_006505556.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551921|ref|WP_006505557.1|	6-phospho-beta-glucosidase [Catenibacterium mitsuokai] 
gi|493551922|ref|WP_006505558.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493551924|ref|WP_006505559.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493551925|ref|WP_006505560.1|	oxidoreductase [Catenibacterium mitsuokai] 
