gi|493928256|ref|WP_006872959.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929572|ref|WP_006874195.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929573|ref|WP_006874196.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929574|ref|WP_006874197.1|	ABC transporter [Anaerotruncus colihominis] 
gi|493929575|ref|WP_006874198.1|	ABC transporter [Anaerotruncus colihominis] 
gi|493929577|ref|WP_006874199.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929578|ref|WP_006874200.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929579|ref|WP_006874201.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929580|ref|WP_006874202.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929581|ref|WP_006874203.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929582|ref|WP_006874204.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929583|ref|WP_006874205.1|	glutamate-1-semialdehyde aminotransferase [Anaerotruncus colihominis] 
gi|493929584|ref|WP_006874206.1|	MULTISPECIES: delta-aminolevulinic acid dehydratase [Clostridiales] 
gi|493929585|ref|WP_006874207.1|	MULTISPECIES: uroporphyrinogen-III synthase [Clostridiales] 
gi|493929586|ref|WP_006874208.1|	MULTISPECIES: porphobilinogen deaminase [Clostridiales] 
gi|493929587|ref|WP_006874209.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929588|ref|WP_006874210.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929589|ref|WP_006874211.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929590|ref|WP_006874212.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929591|ref|WP_006874213.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929592|ref|WP_006874214.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929593|ref|WP_006874215.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929595|ref|WP_006874216.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929596|ref|WP_006874217.1|	MULTISPECIES: molecular chaperone DnaK [Clostridiales] 
gi|493929597|ref|WP_006874218.1|	molecular chaperone DnaJ [Anaerotruncus colihominis] 
gi|493929598|ref|WP_006874219.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929599|ref|WP_006874220.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929600|ref|WP_006874221.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929601|ref|WP_006874222.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929602|ref|WP_006874223.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929603|ref|WP_006874224.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929604|ref|WP_006874225.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929605|ref|WP_006874226.1|	peptide ABC transporter ATP-binding protein [Anaerotruncus colihominis] 
gi|493929606|ref|WP_006874227.1|	amino acid ABC transporter permease [Anaerotruncus colihominis] 
gi|493929607|ref|WP_006874228.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929608|ref|WP_006874229.1|	MULTISPECIES: glutamine ABC transporter substrate-binding protein [Clostridiales] 
gi|493929609|ref|WP_006874230.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929610|ref|WP_006874231.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929611|ref|WP_006874232.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929612|ref|WP_006874233.1|	MULTISPECIES: amino acid-binding protein [Clostridiales] 
gi|493929613|ref|WP_006874234.1|	ABC transporter permease [Anaerotruncus colihominis] 
gi|493929614|ref|WP_006874235.1|	branched-chain amino acid ABC transporter permease [Anaerotruncus colihominis] 
gi|493929615|ref|WP_006874236.1|	MULTISPECIES: branched-chain amino acid ABC transporter ATP-binding protein [Clostridiales] 
gi|493929616|ref|WP_006874237.1|	MULTISPECIES: amino acid ABC transporter ATPase [Clostridiales] 
gi|493929617|ref|WP_006874238.1|	MULTISPECIES: prolyl-tRNA synthetase [Clostridiales] 
gi|493929618|ref|WP_006874239.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929619|ref|WP_006874240.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929621|ref|WP_006874241.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929622|ref|WP_006874242.1|	rubrerythrin [Anaerotruncus colihominis] 
gi|493929623|ref|WP_006874243.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929624|ref|WP_006874244.1|	V-type ATP synthase subunit D [Anaerotruncus colihominis] 
gi|493929625|ref|WP_006874245.1|	MULTISPECIES: V-type ATP synthase subunit B [Clostridiales] 
gi|493929626|ref|WP_006874246.1|	V-type ATP synthase subunit A [Anaerotruncus colihominis] 
gi|493929627|ref|WP_006874247.1|	MULTISPECIES: V-type ATP synthase subunit F [Clostridiales] 
gi|493929628|ref|WP_006874248.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929629|ref|WP_006874249.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929630|ref|WP_006874250.1|	V-type ATP synthase subunit K [Anaerotruncus colihominis] 
gi|493929631|ref|WP_006874251.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929632|ref|WP_006874252.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929633|ref|WP_006874253.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929634|ref|WP_006874254.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Clostridiales] 
gi|493929635|ref|WP_006874255.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929636|ref|WP_006874256.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929637|ref|WP_006874257.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929638|ref|WP_006874258.1|	MULTISPECIES: fructose-bisphosphate aldolase [Clostridiales] 
gi|493929639|ref|WP_006874259.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929640|ref|WP_006874260.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Clostridiales] 
gi|493929641|ref|WP_006874261.1|	MULTISPECIES: amino acid ABC transporter substrate-binding protein [Clostridiales] 
gi|493929642|ref|WP_006874262.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929643|ref|WP_006874263.1|	amino acid ABC transporter substrate-binding protein [Anaerotruncus colihominis] 
gi|493929644|ref|WP_006874264.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929645|ref|WP_006874265.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929646|ref|WP_006874266.1|	GTP-binding protein [Anaerotruncus colihominis] 
gi|493929647|ref|WP_006874267.1|	MULTISPECIES: thiamine biosynthesis protein ThiH [Clostridiales] 
gi|493929648|ref|WP_006874268.1|	biotin synthase [Anaerotruncus colihominis] 
gi|493929649|ref|WP_006874269.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929650|ref|WP_006874270.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929651|ref|WP_006874271.1|	GNAT family acetyltransferase [Anaerotruncus colihominis] 
gi|493929652|ref|WP_006874272.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929653|ref|WP_006874273.1|	sodium:solute symporter [Anaerotruncus colihominis] 
gi|493929654|ref|WP_006874274.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929655|ref|WP_006874275.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929656|ref|WP_006874276.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929657|ref|WP_006874277.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929658|ref|WP_006874278.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929659|ref|WP_006874279.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929660|ref|WP_006874280.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929661|ref|WP_006874281.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929662|ref|WP_006874282.1|	MULTISPECIES: glucose-1-phosphate cytidylyltransferase [Clostridiales] 
gi|493929663|ref|WP_006874283.1|	radical SAM protein [Anaerotruncus colihominis] 
gi|493929664|ref|WP_006874284.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929665|ref|WP_006874285.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929666|ref|WP_006874286.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929667|ref|WP_006874287.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929668|ref|WP_006874288.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929669|ref|WP_006874289.1|	UDP-galactopyranose mutase [Anaerotruncus colihominis] 
gi|493929670|ref|WP_006874290.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929671|ref|WP_006874291.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929672|ref|WP_006874292.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929673|ref|WP_006874293.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929674|ref|WP_006874294.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929675|ref|WP_006874295.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929676|ref|WP_006874296.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929677|ref|WP_006874297.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929678|ref|WP_006874298.1|	methyltransferase [Anaerotruncus colihominis] 
gi|493929679|ref|WP_006874299.1|	phosphoenolpyruvate synthase [Anaerotruncus colihominis] 
gi|493929680|ref|WP_006874300.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929681|ref|WP_006874301.1|	sugar nucleotidyltransferase [Anaerotruncus colihominis] 
gi|493929682|ref|WP_006874302.1|	histidinol phosphatase [Anaerotruncus colihominis] 
gi|493929683|ref|WP_006874303.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929684|ref|WP_006874304.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929685|ref|WP_006874305.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929686|ref|WP_006874306.1|	MULTISPECIES: PhoB family transcriptional regulator [Clostridiales] 
gi|493929687|ref|WP_006874307.1|	MULTISPECIES: histidine kinase [Clostridiales] 
gi|493929688|ref|WP_006874308.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929690|ref|WP_006874309.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929691|ref|WP_006874310.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929692|ref|WP_006874311.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929693|ref|WP_006874312.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929694|ref|WP_006874313.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929695|ref|WP_006874314.1|	MULTISPECIES: PTS sugar transporter [Clostridiales] 
gi|493929696|ref|WP_006874315.1|	glycosyl transferase [Anaerotruncus colihominis] 
gi|493929697|ref|WP_006874316.1|	MULTISPECIES: purine nucleoside phosphorylase [Clostridiales] 
gi|493929698|ref|WP_006874317.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929699|ref|WP_006874318.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493929700|ref|WP_006874319.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929701|ref|WP_006874320.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929702|ref|WP_006874321.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493929703|ref|WP_006874322.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929704|ref|WP_006874323.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929705|ref|WP_006874324.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929706|ref|WP_006874325.1|	decarboxylase [Anaerotruncus colihominis] 
gi|493929707|ref|WP_006874326.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929708|ref|WP_006874327.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929709|ref|WP_006874328.1|	MULTISPECIES: ATPase [Clostridiales] 
gi|493929710|ref|WP_006874329.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929711|ref|WP_006874330.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929712|ref|WP_006874331.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929713|ref|WP_006874332.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929714|ref|WP_006874333.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929715|ref|WP_006874334.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929716|ref|WP_006874335.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929717|ref|WP_006874336.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929718|ref|WP_006874337.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929719|ref|WP_006874338.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929720|ref|WP_006874339.1|	ABC transporter [Anaerotruncus colihominis] 
gi|493929721|ref|WP_006874340.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929722|ref|WP_006874341.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929723|ref|WP_006874342.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929724|ref|WP_006874343.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929725|ref|WP_006874344.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929726|ref|WP_006874345.1|	transcriptional regulator [Anaerotruncus colihominis] 
gi|493929727|ref|WP_006874346.1|	transcriptional regulator [Anaerotruncus colihominis] 
gi|493929728|ref|WP_006874347.1|	histidine kinase [Anaerotruncus colihominis] 
gi|493929729|ref|WP_006874348.1|	ABC transporter ATP-binding protein [Anaerotruncus colihominis] 
gi|493929730|ref|WP_006874349.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929731|ref|WP_006874350.1|	ABC transporter ATP-binding protein [Anaerotruncus colihominis] 
gi|493929732|ref|WP_006874351.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929733|ref|WP_006874352.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929734|ref|WP_006874353.1|	transcriptional regulator [Anaerotruncus colihominis] 
gi|493929735|ref|WP_006874354.1|	transcriptional regulator [Anaerotruncus colihominis] 
gi|493929736|ref|WP_006874355.1|	multidrug transporter MatE [Anaerotruncus colihominis] 
gi|493929737|ref|WP_006874356.1|	transcriptional regulator [Anaerotruncus colihominis] 
gi|493929738|ref|WP_006874357.1|	RNA polymerase sigma-H factor [Anaerotruncus colihominis] 
gi|493929739|ref|WP_006874358.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929740|ref|WP_006874359.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929741|ref|WP_006874360.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929742|ref|WP_006874361.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|489597528|ref|WP_003501971.1|	MULTISPECIES: XRE family transcriptional regulator [Bacteria] 
gi|493929743|ref|WP_006874362.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929744|ref|WP_006874363.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929746|ref|WP_006874364.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929747|ref|WP_006874365.1|	transcriptional regulator [Anaerotruncus colihominis] 
gi|493929748|ref|WP_006874366.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929749|ref|WP_006874367.1|	MULTISPECIES: lantibiotic ABC transporter permease [Clostridiales] 
gi|493929750|ref|WP_006874368.1|	lantibiotic ABC transporter permease [Anaerotruncus colihominis] 
gi|493929751|ref|WP_006874369.1|	bacitracin ABC transporter ATP-binding protein [Anaerotruncus colihominis] 
gi|488665902|ref|WP_002594744.1|	MULTISPECIES: histidine kinase [Clostridiales] 
gi|493929752|ref|WP_006874370.1|	transcriptional regulator [Anaerotruncus colihominis] 
gi|493929753|ref|WP_006874371.1|	transposase [Anaerotruncus colihominis] 
gi|493929754|ref|WP_006874372.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929755|ref|WP_006874373.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929756|ref|WP_006874374.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929757|ref|WP_006874375.1|	NAD-dependent DNA ligase [Anaerotruncus colihominis] 
gi|489597488|ref|WP_003501931.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493929758|ref|WP_006874376.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929759|ref|WP_006874377.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929760|ref|WP_006874378.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929761|ref|WP_006874379.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929762|ref|WP_006874380.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929763|ref|WP_006874381.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929764|ref|WP_006874382.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929765|ref|WP_006874383.1|	recombinase RecD [Anaerotruncus colihominis] 
gi|493929766|ref|WP_006874384.1|	endonuclease [Anaerotruncus colihominis] 
gi|493929767|ref|WP_006874385.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929768|ref|WP_006874386.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|489597471|ref|WP_003501914.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493929769|ref|WP_006874387.1|	MULTISPECIES: integrase [Clostridiales] 
gi|493929770|ref|WP_006874388.1|	lysyl-tRNA synthetase [Anaerotruncus colihominis] 
gi|493929771|ref|WP_006874389.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929772|ref|WP_006874390.1|	transcription elongation factor GreA [Anaerotruncus colihominis] 
gi|493929773|ref|WP_006874391.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929774|ref|WP_006874392.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929775|ref|WP_006874393.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929776|ref|WP_006874394.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929777|ref|WP_006874395.1|	MULTISPECIES: cell division protein FtsE [Clostridiales] 
gi|493929778|ref|WP_006874396.1|	CdaR family transcriptional regulator [Anaerotruncus colihominis] 
gi|493929779|ref|WP_006874397.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929780|ref|WP_006874398.1|	RNA pseudouridine synthase [Anaerotruncus colihominis] 
gi|493929781|ref|WP_006874399.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929782|ref|WP_006874400.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929783|ref|WP_006874401.1|	elongation factor G [Anaerotruncus colihominis] 
gi|493929784|ref|WP_006874402.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929785|ref|WP_006874403.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929786|ref|WP_006874404.1|	MULTISPECIES: RNA methyltransferase [Clostridiales] 
gi|493929787|ref|WP_006874405.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929788|ref|WP_006874406.1|	hypothetical protein [Anaerotruncus colihominis] 
