gi|495390983|ref|WP_008115684.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495393144|ref|WP_008117845.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393146|ref|WP_008117847.1|	1-phosphofructokinase [[Bacteroides] pectinophilus] 
gi|495393148|ref|WP_008117849.1|	PTS fructose transporter subunit IIC [[Bacteroides] pectinophilus] 
gi|495393151|ref|WP_008117852.1|	MULTISPECIES: PTS galactitol transporter subunit IIC [Bacteria] 
gi|495393153|ref|WP_008117854.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393155|ref|WP_008117856.1|	DeoR family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495393158|ref|WP_008117859.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393160|ref|WP_008117861.1|	MULTISPECIES: cell division protein MraZ [Bacteria] 
gi|495393163|ref|WP_008117864.1|	16S rRNA methyltransferase [[Bacteroides] pectinophilus] 
gi|495393164|ref|WP_008117865.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393166|ref|WP_008117867.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393168|ref|WP_008117869.1|	peptidoglycan glycosyltransferase [[Bacteroides] pectinophilus] 
gi|495393170|ref|WP_008117871.1|	MULTISPECIES: cell division protein [Bacteria] 
gi|495393172|ref|WP_008117873.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393175|ref|WP_008117876.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393176|ref|WP_008117877.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393177|ref|WP_008117878.1|	MULTISPECIES: cell division protein FtsZ [Bacteria] 
gi|495393178|ref|WP_008117879.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393179|ref|WP_008117880.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393180|ref|WP_008117881.1|	flagellar biosynthesis protein FliA [[Bacteroides] pectinophilus] 
gi|495393181|ref|WP_008117882.1|	MULTISPECIES: aspartate-semialdehyde dehydrogenase [Bacteria] 
gi|495393182|ref|WP_008117883.1|	5'-nucleotidase [[Bacteroides] pectinophilus] 
gi|495393183|ref|WP_008117884.1|	DNA topoisomerase III [[Bacteroides] pectinophilus] 
gi|495393184|ref|WP_008117885.1|	glutamine amidotransferase [[Bacteroides] pectinophilus] 
gi|495393185|ref|WP_008117886.1|	UDP-N-acetylglucosamine pyrophosphorylase [[Bacteroides] pectinophilus] 
gi|495393186|ref|WP_008117887.1|	nitrogen-fixing protein NifU [[Bacteroides] pectinophilus] 
gi|495393189|ref|WP_008117890.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393191|ref|WP_008117892.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393193|ref|WP_008117894.1|	phosphoenolpyruvate phosphomutase [[Bacteroides] pectinophilus] 
gi|495393194|ref|WP_008117895.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393196|ref|WP_008117897.1|	phosphoenolpyruvate decarboxylase [[Bacteroides] pectinophilus] 
gi|495393197|ref|WP_008117898.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393199|ref|WP_008117900.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393201|ref|WP_008117902.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393203|ref|WP_008117904.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393205|ref|WP_008117906.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393207|ref|WP_008117908.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393209|ref|WP_008117910.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393211|ref|WP_008117912.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393213|ref|WP_008117914.1|	UDP-N-acetylglucosamine 2-epimerase [[Bacteroides] pectinophilus] 
gi|495393215|ref|WP_008117916.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393217|ref|WP_008117918.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393219|ref|WP_008117920.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393221|ref|WP_008117922.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393223|ref|WP_008117924.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393226|ref|WP_008117927.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393228|ref|WP_008117929.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393230|ref|WP_008117931.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393232|ref|WP_008117933.1|	ribulose-phosphate 3-epimerase [[Bacteroides] pectinophilus] 
gi|495393234|ref|WP_008117935.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393236|ref|WP_008117937.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393238|ref|WP_008117939.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393240|ref|WP_008117941.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393242|ref|WP_008117943.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393244|ref|WP_008117945.1|	iron ABC transporter substrate-binding protein [[Bacteroides] pectinophilus] 
gi|495393246|ref|WP_008117947.1|	iron ABC transporter permease [[Bacteroides] pectinophilus] 
gi|495393248|ref|WP_008117949.1|	iron ABC transporter ATP-binding protein [[Bacteroides] pectinophilus] 
gi|495393250|ref|WP_008117951.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393253|ref|WP_008117954.1|	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [[Bacteroides] pectinophilus] 
gi|495393255|ref|WP_008117956.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393256|ref|WP_008117957.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393257|ref|WP_008117958.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393258|ref|WP_008117959.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393259|ref|WP_008117960.1|	cobalamin biosynthesis protein CobD [[Bacteroides] pectinophilus] 
gi|495393260|ref|WP_008117961.1|	MULTISPECIES: cobyric acid synthase [Bacteria] 
gi|495393261|ref|WP_008117962.1|	cobinamide adenolsyltransferase [[Bacteroides] pectinophilus] 
gi|495393262|ref|WP_008117963.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393264|ref|WP_008117965.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393266|ref|WP_008117967.1|	1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylase [[Bacteroides] pectinophilus] 
gi|495393267|ref|WP_008117968.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393268|ref|WP_008117969.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393269|ref|WP_008117970.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393270|ref|WP_008117971.1|	MULTISPECIES: cobalt ABC transporter ATP-binding protein [Bacteria] 
gi|495393271|ref|WP_008117972.1|	beta-lactamase [[Bacteroides] pectinophilus] 
gi|495393272|ref|WP_008117973.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393273|ref|WP_008117974.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393274|ref|WP_008117975.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393275|ref|WP_008117976.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393276|ref|WP_008117977.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393277|ref|WP_008117978.1|	beta-lactamase [[Bacteroides] pectinophilus] 
gi|495393279|ref|WP_008117980.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393280|ref|WP_008117981.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393281|ref|WP_008117982.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393282|ref|WP_008117983.1|	MULTISPECIES: glycosyl transferase family 2 [Bacteria] 
gi|495393283|ref|WP_008117984.1|	ATPase AAA [[Bacteroides] pectinophilus] 
gi|495393284|ref|WP_008117985.1|	MULTISPECIES: Holliday junction DNA helicase RuvA [Bacteria] 
gi|495393285|ref|WP_008117986.1|	MULTISPECIES: Holliday junction DNA helicase RuvB [Bacteria] 
gi|495393286|ref|WP_008117987.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393288|ref|WP_008117989.1|	MULTISPECIES: ribonuclease R [Bacteria] 
gi|495393290|ref|WP_008117991.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393291|ref|WP_008117992.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393292|ref|WP_008117993.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393293|ref|WP_008117994.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393294|ref|WP_008117995.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393295|ref|WP_008117996.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393297|ref|WP_008117998.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393300|ref|WP_008118001.1|	DNA glycosylase [[Bacteroides] pectinophilus] 
gi|495393306|ref|WP_008118007.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393308|ref|WP_008118009.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393309|ref|WP_008118010.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393311|ref|WP_008118012.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393313|ref|WP_008118014.1|	MULTISPECIES: DNA-directed RNA polymerase subunit omega [Bacteria] 
gi|495393315|ref|WP_008118016.1|	membrane protein [[Bacteroides] pectinophilus] 
gi|495393317|ref|WP_008118018.1|	MULTISPECIES: ribosome maturation protein RimP [Bacteria] 
gi|495393318|ref|WP_008118019.1|	MULTISPECIES: transcription elongation factor NusA [Bacteria] 
gi|495393319|ref|WP_008118020.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393322|ref|WP_008118023.1|	50S ribosomal protein L7ae [[Bacteroides] pectinophilus] 
gi|495393325|ref|WP_008118026.1|	translation initiation factor IF-2 [[Bacteroides] pectinophilus] 
gi|495393327|ref|WP_008118028.1|	ribosome-binding factor A [[Bacteroides] pectinophilus] 
gi|495393329|ref|WP_008118030.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393330|ref|WP_008118031.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393332|ref|WP_008118033.1|	tRNA pseudouridine synthase B [[Bacteroides] pectinophilus] 
gi|495393333|ref|WP_008118034.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393335|ref|WP_008118036.1|	30S ribosomal protein S15 [[Bacteroides] pectinophilus] 
gi|495393337|ref|WP_008118038.1|	polyribonucleotide nucleotidyltransferase [[Bacteroides] pectinophilus] 
gi|495393338|ref|WP_008118039.1|	histidine triad (HIT) protein [[Bacteroides] pectinophilus] 
gi|495393339|ref|WP_008118040.1|	MULTISPECIES: transcriptional regulator [Bacteria] 
gi|495393340|ref|WP_008118041.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393341|ref|WP_008118042.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393342|ref|WP_008118043.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393343|ref|WP_008118044.1|	2-hydroxyglutaryl-CoA dehydratase [[Bacteroides] pectinophilus] 
gi|495393344|ref|WP_008118045.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393345|ref|WP_008118046.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393346|ref|WP_008118047.1|	pyruvate kinase [[Bacteroides] pectinophilus] 
gi|495393347|ref|WP_008118048.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393348|ref|WP_008118049.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393350|ref|WP_008118051.1|	CAAX protease [[Bacteroides] pectinophilus] 
gi|495393352|ref|WP_008118053.1|	MULTISPECIES: tyrosyl-tRNA synthetase [Bacteria] 
gi|495393353|ref|WP_008118054.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393354|ref|WP_008118055.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393355|ref|WP_008118056.1|	transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495393356|ref|WP_008118057.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393357|ref|WP_008118058.1|	copper-translocating P-type ATPase [[Bacteroides] pectinophilus] 
gi|495393358|ref|WP_008118059.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393359|ref|WP_008118060.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393360|ref|WP_008118061.1|	MULTISPECIES: acetyltransferase [Bacteria] 
gi|495393361|ref|WP_008118062.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393363|ref|WP_008118064.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393364|ref|WP_008118065.1|	adenylate cyclase [[Bacteroides] pectinophilus] 
gi|495393365|ref|WP_008118066.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393366|ref|WP_008118067.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393367|ref|WP_008118068.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393368|ref|WP_008118069.1|	stage V sporulation protein AF [[Bacteroides] pectinophilus] 
gi|495393369|ref|WP_008118070.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393371|ref|WP_008118072.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393374|ref|WP_008118075.1|	MULTISPECIES: 5-keto-4-deoxyuronate isomerase [Bacteria] 
gi|495393376|ref|WP_008118077.1|	gluconate 5-dehydrogenase [[Bacteroides] pectinophilus] 
gi|495393378|ref|WP_008118079.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393380|ref|WP_008118081.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393382|ref|WP_008118083.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393383|ref|WP_008118084.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393386|ref|WP_008118087.1|	tryptophanyl-tRNA synthase [[Bacteroides] pectinophilus] 
gi|495393387|ref|WP_008118088.1|	type II secretion system protein [[Bacteroides] pectinophilus] 
gi|495393389|ref|WP_008118090.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393391|ref|WP_008118092.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393393|ref|WP_008118094.1|	peptidase A24 [[Bacteroides] pectinophilus] 
gi|495393394|ref|WP_008118095.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393396|ref|WP_008118097.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393398|ref|WP_008118099.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393400|ref|WP_008118101.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393402|ref|WP_008118103.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393404|ref|WP_008118105.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393406|ref|WP_008118107.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393408|ref|WP_008118109.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393410|ref|WP_008118111.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393412|ref|WP_008118113.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393414|ref|WP_008118115.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393416|ref|WP_008118117.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393418|ref|WP_008118119.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393419|ref|WP_008118120.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393422|ref|WP_008118123.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393424|ref|WP_008118125.1|	MULTISPECIES: transcriptional regulator [Bacteria] 
gi|495393425|ref|WP_008118126.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393428|ref|WP_008118129.1|	MULTISPECIES: flagellar basal body rod protein FlgC [Bacteria] 
gi|495393429|ref|WP_008118130.1|	flagellar hook-basal body protein FliE [[Bacteroides] pectinophilus] 
gi|495393431|ref|WP_008118132.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393433|ref|WP_008118134.1|	flagellar motor switch protein FliG [[Bacteroides] pectinophilus] 
gi|495393435|ref|WP_008118136.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393437|ref|WP_008118138.1|	ATP synthase [[Bacteroides] pectinophilus] 
gi|495393439|ref|WP_008118140.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393441|ref|WP_008118142.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393444|ref|WP_008118145.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393445|ref|WP_008118146.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393448|ref|WP_008118149.1|	flagellar protein [[Bacteroides] pectinophilus] 
gi|495393449|ref|WP_008118150.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393450|ref|WP_008118151.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393451|ref|WP_008118152.1|	flagellar motor protein MotP [[Bacteroides] pectinophilus] 
gi|495393452|ref|WP_008118153.1|	MULTISPECIES: chemotaxis protein [Bacteria] 
gi|495393453|ref|WP_008118154.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393454|ref|WP_008118155.1|	MULTISPECIES: flagellar motor switch protein FliM [Bacteria] 
gi|495393455|ref|WP_008118156.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393456|ref|WP_008118157.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393458|ref|WP_008118159.1|	MULTISPECIES: chemotaxis protein CheY [Bacteria] 
gi|495393460|ref|WP_008118161.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393462|ref|WP_008118163.1|	flagellar biosynthesis protein FliP [[Bacteroides] pectinophilus] 
gi|495393464|ref|WP_008118165.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393466|ref|WP_008118167.1|	flagellar biosynthesis protein FliR [[Bacteroides] pectinophilus] 
gi|495393468|ref|WP_008118169.1|	MULTISPECIES: flagellar biosynthesis protein [Bacteria] 
gi|495393470|ref|WP_008118171.1|	MULTISPECIES: flagellar biosynthesis protein FlhA [Bacteria] 
gi|495393472|ref|WP_008118173.1|	GTP-binding protein [[Bacteroides] pectinophilus] 
gi|495393474|ref|WP_008118175.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393476|ref|WP_008118177.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393478|ref|WP_008118179.1|	MULTISPECIES: chemotaxis protein CheB [Bacteria] 
gi|495393479|ref|WP_008118180.1|	chemotaxis protein CheA [[Bacteroides] pectinophilus] 
gi|495393480|ref|WP_008118181.1|	MULTISPECIES: chemotaxis protein CheW [Bacteria] 
gi|495393482|ref|WP_008118183.1|	MULTISPECIES: chemotaxis protein CheY [Bacteria] 
gi|495393484|ref|WP_008118185.1|	chemotaxis protein CheD [[Bacteroides] pectinophilus] 
gi|495393486|ref|WP_008118187.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393487|ref|WP_008118188.1|	MULTISPECIES: RNA polymerase sigma 70 [Bacteria] 
gi|495393489|ref|WP_008118190.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393491|ref|WP_008118192.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393493|ref|WP_008118194.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393495|ref|WP_008118196.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393497|ref|WP_008118198.1|	30S ribosomal protein S2 [[Bacteroides] pectinophilus] 
gi|495393499|ref|WP_008118200.1|	MULTISPECIES: elongation factor Ts [Bacteria] 
gi|495393501|ref|WP_008118202.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393503|ref|WP_008118204.1|	MULTISPECIES: uridylate kinase [Bacteria] 
gi|495393505|ref|WP_008118206.1|	MULTISPECIES: ribosome recycling factor [Bacteria] 
gi|495393508|ref|WP_008118209.1|	UDP pyrophosphate synthase [[Bacteroides] pectinophilus] 
gi|495393510|ref|WP_008118211.1|	MULTISPECIES: CDP-diglyceride synthetase [Bacteria] 
gi|495393512|ref|WP_008118213.1|	1-deoxy-D-xylulose 5-phosphate reductoisomerase [[Bacteroides] pectinophilus] 
gi|495393514|ref|WP_008118215.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393516|ref|WP_008118217.1|	MULTISPECIES: 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [Bacteria] 
